date,close
2017-11-02,299.26
2017-11-03,306.09
2017-11-06,302.78
2017-11-07,306.05
2017-11-08,304.39
2017-11-09,302.99
2017-11-10,302.99
2017-11-13,315.4
2017-11-14,308.7
2017-11-15,311.3
2017-11-16,312.5
2017-11-17,315.05
2017-11-20,308.74
2017-11-21,317.81
2017-11-22,312.6
2017-11-24,315.55
2017-11-27,316.81
2017-11-28,317.55
2017-11-29,307.54
2017-11-30,308.85
2017-12-01,306.53
2017-12-04,305.2
2017-12-05,303.7
2017-12-06,313.26
2017-12-07,311.24
2017-12-08,315.13
2017-12-11,328.91
2017-12-12,341.03
2017-12-13,339.03
2017-12-14,337.89
2017-12-15,343.45
2017-12-18,338.87
2017-12-19,331.1
2017-12-20,328.98
2017-12-21,331.66
2017-12-22,325.2
2017-12-26,317.29
2017-12-27,311.64
2017-12-28,315.36
2017-12-29,311.35
2018-01-02,320.53
2018-01-03,317.25
2018-01-04,314.62
2018-01-05,316.58
2018-01-08,336.41
2018-01-09,333.69
2018-01-10,334.8
2018-01-11,337.95
2018-01-12,336.22
2018-01-16,340.06
2018-01-17,347.16
2018-01-18,344.57
2018-01-19,350.02
2018-01-22,351.56
2018-01-23,352.79
2018-01-24,345.89
2018-01-25,337.64
2018-01-26,342.85
2018-01-29,349.53
2018-01-30,345.82
2018-01-31,354.31
2018-02-01,349.25
2018-02-02,343.75
2018-02-05,333.13
2018-02-06,333.97
2018-02-07,345.0
2018-02-08,315.23
2018-02-09,310.42
2018-02-12,315.73
2018-02-13,323.66
2018-02-14,322.31
2018-02-15,334.065
2018-02-16,335.49
2018-02-20,334.77
2018-02-21,333.3
2018-02-22,346.17
2018-02-23,352.05
2018-02-26,357.42
2018-02-27,350.99
2018-02-28,343.06
2018-03-01,330.93
2018-03-02,335.12
2018-03-05,333.35
2018-03-06,328.2
2018-03-07,332.3
2018-03-08,329.1
2018-03-09,327.17
2018-03-12,345.51
2018-03-13,341.84
2018-03-14,326.63
2018-03-15,325.6
2018-03-16,321.35
2018-03-19,313.56
2018-03-20,310.55
2018-03-21,316.53
2018-03-22,309.1
2018-03-23,301.54
2018-03-26,304.18
2018-03-27,279.18
2018-03-28,257.78
2018-03-29,266.13
2018-04-02,252.48
2018-04-03,267.53
2018-04-04,286.94
2018-04-05,305.72
2018-04-06,299.3
2018-04-09,289.66
2018-04-10,304.7
2018-04-11,300.93
2018-04-12,294.08
2018-04-13,300.34
2018-04-16,291.21
2018-04-17,287.69
2018-04-18,293.35
2018-04-19,300.08
2018-04-20,290.24
2018-04-23,283.37
2018-04-24,283.46
2018-04-25,280.69
2018-04-26,285.48
2018-04-27,294.075
2018-04-30,293.9
2018-05-01,299.92
2018-05-02,301.15
2018-05-03,284.45
2018-05-04,294.09
2018-05-07,302.77
2018-05-08,301.97
2018-05-09,306.85
2018-05-10,305.02
2018-05-11,301.06
2018-05-14,291.97
2018-05-15,284.18
2018-05-16,286.48
2018-05-17,284.54
2018-05-18,276.82
2018-05-21,284.49
2018-05-22,275.01
2018-05-23,279.07
2018-05-24,277.85
2018-05-25,278.85
2018-05-29,283.76
2018-05-30,291.72
2018-05-31,284.73
2018-06-01,291.82
2018-06-04,296.74
2018-06-05,291.13
2018-06-06,319.5
2018-06-07,316.09
2018-06-08,317.66
2018-06-11,332.1
2018-06-12,342.77
2018-06-13,344.78
2018-06-14,357.72
2018-06-15,358.17
2018-06-18,370.83
2018-06-19,352.55
2018-06-20,362.22
2018-06-21,347.51
2018-06-22,333.63
2018-06-25,333.01
2018-06-26,342.0
2018-06-27,344.5
2018-06-28,349.93
2018-06-29,342.95
2018-07-02,335.07
2018-07-03,310.86
2018-07-05,309.16
2018-07-06,308.9
2018-07-09,318.51
2018-07-10,322.47
2018-07-11,318.96
2018-07-12,316.71
2018-07-13,318.87
2018-07-16,310.1
2018-07-17,322.69
2018-07-18,323.85
2018-07-19,320.23
2018-07-20,313.58
2018-07-23,303.2
2018-07-24,297.43
2018-07-25,308.74
2018-07-26,306.65
2018-07-27,297.18
2018-07-30,290.17
2018-07-31,298.14
2018-08-01,300.84
2018-08-02,349.54
2018-08-03,348.17
2018-08-06,341.99
2018-08-07,379.57
2018-08-08,370.34
2018-08-09,352.45
2018-08-10,355.49
2018-08-13,356.41
2018-08-14,347.64
2018-08-15,338.69
2018-08-16,335.45
2018-08-17,305.5
2018-08-20,308.44
2018-08-21,321.9
2018-08-22,321.64
