,2018-12-10,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-24,2018-12-26,2018-12-27,2018-12-28,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
09:40,1041.45,1050.97,1066.8339999999998,1077.86,1049.62,1035.785,1025.82,1041.904,1020.19,1010.86,983.92,998.99,1026.74,1043.25,1048.54,1021.45,1046.55,1030.774,1069.55,1078.42,1082.292,1067.88,1057.86,1049.813,1061.2,1084.59,1080.219,1091.6960000000001,1089.633,1082.33,1073.88,1085.501,1073.866,1064.81,1073.52,1099.268,1118.9,1112.7,1126.34,1137.877,1100.47,1091.317,1099.743,1109.68,1131.26,1114.198,1122.66
09:41,1044.73,1052.395,1067.05,1077.75,1048.89,1034.55,1025.48,1040.8,1020.465,1013.77,982.63,998.99,1026.31,1045.0,1048.19,1022.61,1045.36,1031.92,1072.2,1078.07,1081.47,1065.38,1057.59,1049.63,1060.0,1085.24,1081.64,1091.226,1088.76,1082.747,1072.74,1083.88,1075.14,1066.87,1072.277,1099.846,1119.388,1114.079,1123.885,1135.53,1100.62,1091.32,1101.94,1110.623,1131.79,1113.07,1122.6989999999998
09:42,1045.72,1053.14,1069.549,1077.07,1049.506,1033.06,1029.8,1039.2,1019.23,1016.21,980.31,1000.37,1026.4289999999999,1045.22,1048.41,1024.6,1047.2060000000001,1031.94,1069.103,1078.98,1079.92,1065.819,1055.925,1050.64,1060.4,1086.57,1080.515,1092.375,1088.04,1081.425,1074.54,1083.1989999999998,1075.55,1066.61,1072.915,1100.094,1119.42,1113.14,1127.76,1137.856,1101.241,1091.37,1102.348,1111.0,1131.075,1114.5,1120.5
09:43,1046.62,1055.41,1069.3,1074.76,1047.76,1031.48,1032.91,1042.2,1019.75,1015.72,978.3810000000001,1000.0,1028.6,1046.258,1048.0,1023.5,1046.694,1033.38,1070.67,1079.46,1081.9669999999999,1064.481,1055.4389999999999,1050.495,1061.36,1087.24,1082.0,1093.807,1089.0910000000001,1080.643,1075.037,1083.685,1075.06,1065.75,1072.011,1100.44,1121.5,1112.98,1131.396,1137.26,1100.34,1090.11,1101.391,1111.05,1130.873,1114.37,1119.878
09:44,1047.233,1057.98,1070.66,1074.44,1048.58,1032.463,1031.205,1041.35,1024.92,1014.01,978.0,997.48,1025.675,1047.84,1046.07,1023.79,1041.507,1034.91,1071.7,1078.0,1080.07,1065.75,1054.49,1049.98,1061.9080000000001,1087.16,1081.475,1094.98,1088.1,1080.546,1075.26,1083.224,1075.35,1066.45,1073.2060000000001,1099.87,1123.53,1112.32,1131.695,1138.08,1099.29,1089.68,1100.937,1112.21,1131.0,1113.507,1119.29
09:45,1045.924,1055.29,1069.73,1075.747,1049.72,1033.715,1031.03,1039.9460000000001,1024.526,1013.69,976.337,994.77,1025.01,1050.1,1044.864,1026.54,1040.9,1037.27,1070.98,1076.49,1079.56,1065.77,1056.132,1048.257,1061.91,1088.98,1083.0,1096.2,1086.9,1080.02,1077.94,1083.31,1075.289,1067.14,1074.88,1102.85,1124.37,1114.55,1130.035,1138.31,1099.86,1088.741,1100.44,1113.81,1130.649,1112.45,1120.067
09:46,1046.29,1053.92,1067.24,1073.58,1051.0,1032.35,1031.13,1039.86,1027.64,1012.927,975.06,993.2280000000001,1025.27,1050.88,1042.0,1024.0710000000001,1040.512,1034.37,1070.14,1077.84,1074.9,1066.85,1057.8,1046.7089999999998,1061.93,1090.9,1082.04,1095.498,1086.88,1080.589,1078.17,1083.78,1074.065,1068.997,1075.5,1103.16,1121.972,1115.94,1130.52,1138.68,1100.31,1088.5,1101.684,1112.333,1131.5,1110.77,1121.33
09:47,1045.41,1054.275,1065.6,1075.756,1051.45,1030.51,1029.69,1041.96,1025.6,1012.72,973.0,997.059,1022.5939999999999,1051.0,1043.651,1025.1989999999998,1040.89,1035.36,1072.3,1075.01,1077.567,1065.0,1057.26,1048.27,1062.82,1090.535,1080.87,1095.67,1085.36,1080.72,1078.29,1083.57,1073.329,1069.202,1075.3039999999999,1104.59,1121.683,1117.37,1130.0,1140.08,1099.638,1089.31,1099.62,1112.0,1132.0,1112.806,1121.5410000000002
09:48,1043.12,1055.1,1066.18,1074.785,1050.31,1029.93,1030.95,1043.65,1022.695,1014.48,971.313,997.42,1016.284,1048.13,1043.26,1023.7,1039.33,1035.05,1073.177,1073.85,1076.39,1066.11,1056.261,1046.45,1062.38,1089.16,1082.24,1095.826,1085.69,1080.722,1077.44,1083.93,1072.838,1068.71,1073.99,1102.54,1117.44,1117.728,1127.86,1139.788,1099.14,1088.362,1101.248,1112.25,1132.485,1112.65,1117.91
09:49,1040.795,1054.86,1067.59,1075.27,1049.338,1030.89,1029.942,1046.388,1022.02,1016.28,972.5,998.05,1017.32,1048.01,1041.7,1024.371,1038.32,1033.96,1071.46,1073.798,1076.53,1065.6019999999999,1056.21,1046.375,1063.76,1089.86,1081.78,1095.598,1085.715,1080.489,1077.11,1083.78,1070.96,1068.51,1074.81,1102.743,1114.981,1119.99,1128.945,1141.1660000000002,1098.471,1088.925,1100.89,1111.931,1133.3,1111.982,1118.146
