,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 hr,368.3080833333333,368.0218666666667,373.71885833333334,368.60378333333335,350.8053666666665,339.7366916666667,336.6082249999999,315.9323666666666,318.71706666666665,315.93420833333334,328.73446666666655,310.56819166666685,301.0425583333334,315.34733333333344,335.3674916666668,340.6140083333334,342.79899999999964,346.61780000000005,336.204725,348.71823333333333,347.9479333333335,297.9221666666666,285.89309166666675,291.44003333333336,296.56470833333344,295.98197499999986,296.67258333333325,306.01943333333327,306.90136666666666,310.5906333333333,313.69139166666685,321.2692083333333,318.1948999999999,307.0799083333333,305.9719583333335,313.67874166666667,312.6675833333335,308.4194416666668,304.78704166666654,306.97824166666675
2.5 hr,367.8002066666667,368.3619933333333,373.80444666666676,369.2232533333332,352.0230266666665,340.8889,337.9975933333333,316.1646799999999,318.2816466666665,314.6353866666665,328.6557666666666,310.6173533333335,300.87675999999993,315.1531866666668,335.17709333333335,341.0022933333334,342.3368066666664,346.37664000000007,336.9836333333333,348.8201333333333,347.77782666666667,297.89141333333333,285.91421333333335,290.8461800000001,296.74986,295.93213999999983,296.4551199999999,305.35620666666665,306.9770000000001,310.61997333333335,313.86571333333336,321.02908666666656,318.31040666666655,307.29559999999987,305.6062533333334,313.77871333333337,312.6142266666667,308.3023533333334,304.71097333333313,306.96110666666675
20 day,349.11524999999995,350.8812499999999,352.78425,353.86974999999995,353.86875,353.00475,351.97974999999997,350.37424999999996,349.45324999999997,346.93575,344.42775,342.40975000000003,339.50325000000004,337.4027500000001,334.867,333.536,332.44650000000007,331.47950000000003,329.36,328.1775000000001,328.6915,326.33299999999997,324.72400000000005,324.5299999999999,323.0775,322.09000000000003,320.2695,319.068,318.91299999999995,319.50550000000004,319.26550000000003,318.58500000000004,317.6785000000001,316.1275000000001,314.16900000000004,312.44800000000004,311.3185000000001,309.5055000000001,307.39150000000006,305.42
20 min,368.3253,367.92224999999996,376.70564999999993,365.83584999999994,346.14309999999995,337.513,331.77275,316.06365,320.0838,323.90575000000007,330.79215,309.21325,301.4327,316.8076,335.09875000000005,338.8714,344.90155,347.72055000000006,334.65039999999993,346.80009999999993,347.68225000000007,297.64739999999995,286.95349999999996,291.40794999999997,296.92410000000007,296.47709999999995,297.1308,307.23635,306.32725000000005,311.2474000000001,312.5016999999999,320.7447,318.1547999999999,307.49109999999996,305.5188,312.9478499999999,312.19485,307.91835000000003,304.38424999999995,307.448
200 day,312.40930000000003,312.48735,312.656,312.82990000000007,312.8964,312.9148,312.93865000000005,312.85405000000003,312.80740000000003,312.55140000000006,312.49505000000005,312.43890000000005,312.3729000000001,312.40860000000004,312.632,312.81695,313.0209,313.3613,313.74440000000004,314.60375000000005,315.00265,315.04525000000007,314.98670000000004,314.99595,314.95765,314.93489999999997,314.9518,314.99395,315.07300000000004,315.1956,315.29330000000004,315.39964999999995,315.53454999999997,315.65524999999997,315.76694999999995,315.92769999999996,316.05934999999994,316.1298249999999,316.17917499999993,316.21897499999994
25 min,368.58664,367.92891999999995,376.43348,366.14107999999993,346.39512,337.35720000000003,331.63447999999994,316.08088000000004,319.86684,323.29848000000004,330.42672,309.1965600000001,301.65336,316.61719999999997,335.11916,338.96992,344.8518399999999,347.71684,334.6977999999999,347.1164799999999,347.74240000000003,297.76691999999997,286.8552,291.31932,296.72768,296.5446,297.12092,307.14524,306.3286,311.14320000000004,312.52108,320.82376000000005,318.11427999999995,307.45939999999996,305.5548,313.0193999999999,312.17384,307.89684000000005,304.49315999999993,307.41784
3 hr,367.80476666666686,368.2844555555555,373.6738222222223,369.8889888888888,352.9689388888886,342.2119833333333,338.34315,316.67979999999994,317.7134166666666,313.4546444444444,328.4371222222221,310.56846111111133,300.91784444444426,315.2579055555556,335.09150000000005,341.2238500000001,342.2060833333329,346.109988888889,337.4572999999999,348.9400555555555,347.6044111111112,298.05983333333336,285.6224000000002,290.3583055555557,296.73313333333346,295.8829444444442,296.2504333333332,304.85575,307.18813333333344,310.82758888888895,313.8305111111111,320.8577388888888,318.2495999999999,307.2903333333332,305.3594000000001,314.0745944444445,312.44220000000007,308.0670277777778,304.65325555555546,306.83344444444447
3.5 hr,367.8834619047621,368.131638095238,373.47663809523823,370.3236904761905,353.6958380952377,342.9101761904761,338.6873142857143,317.29249047619055,317.2526666666666,312.52646666666664,328.19119999999987,310.50807619047634,301.13176190476185,315.13161904761904,334.99745238095244,341.3088238095239,342.23140476190434,345.94456190476205,337.71130476190456,349.01481428571424,347.3866952380951,298.34751428571434,285.39843809523825,289.9583666666668,296.6775571428574,295.7910761904759,296.11929523809505,304.54451904761896,307.2359142857144,311.00008095238104,313.8398619047619,320.9535238095237,318.2156523809523,307.1440857142856,304.97309047619063,314.3877619047619,312.64770000000004,307.8633238095239,304.6435714285713,306.7995761904763
30 day,346.9198333333333,347.9781666666666,349.54116666666664,350.48749999999995,350.62549999999993,350.31283333333334,350.0318333333333,349.17583333333334,348.22950000000003,345.54849999999993,344.5081666666666,343.2308333333333,341.43249999999995,340.23983333333337,339.7275,340.15083333333337,340.1165000000001,340.2278333333334,339.77883333333335,339.73983333333337,339.36716666666666,335.31450000000007,332.9686666666667,330.51399999999995,328.19,325.8493333333334,323.2049999999999,321.30699999999996,319.92699999999996,319.0996666666666,318.4303333333333,318.6293333333333,318.5443333333333,318.9483333333334,318.27200000000005,318.16233333333344,317.4270000000001,316.60600000000005,316.3943333333334,316.6450000000001
30 min,368.85283333333325,367.9032666666665,376.24193333333335,366.40596666666664,346.40596666666676,337.1870666666666,331.7180333333333,315.94996666666674,319.7550333333333,322.65806666666674,330.20683333333335,309.13763333333344,301.89813333333336,316.5374333333333,335.1010333333334,339.2296999999999,344.7296999999999,347.6425,334.8165333333333,347.3491,347.8052000000001,297.83873333333327,286.7409666666666,291.25309999999996,296.6160666666667,296.46883333333335,297.1528,307.05123333333336,306.3762666666666,311.11833333333345,312.55543333333327,320.99380000000014,318.1508,307.41283333333337,305.5633,313.1390999999999,312.2488333333333,307.88640000000004,304.56506666666667,307.3454666666666
