,2018-12-12,2018-12-13,2018-12-14,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-15,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-05,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14
1 hr,104.33400000000002,104.70546666666662,104.64583333333329,103.58951666666664,103.3369,102.94106666666661,103.00943333333335,103.90448333333337,103.82981666666667,104.2380666666667,105.0416166666667,105.44185,105.41895000000004,105.59795000000003,105.44564999999999,105.7704666666667,105.90898333333335,106.19926666666667,106.71023333333329,107.28169999999999,107.77408333333328,107.68704999999999,107.07378333333327,107.26573333333336,107.79095,108.86793333333337,108.98173333333334,108.1824666666667,107.68679999999993,107.43208333333338,107.8582333333333,107.91546666666666,108.19898333333335
1 min,104.3,104.63,104.6,103.56,103.3,102.99,103.06,103.94,103.87,104.33,105.13,105.55,105.46,105.67,105.51,105.75,105.885,106.22,106.7,107.28,107.78,107.68,107.18,107.3,108.013,108.87,108.93,108.2,107.75,107.46,107.87,107.92,108.17
1.5 hr,104.3402888888889,104.6974111111111,104.63573333333332,103.56478888888887,103.3718,102.9418444444444,102.98866666666669,103.88600000000004,103.81566666666669,104.21340000000001,105.04324444444448,105.44726666666665,105.42793333333334,105.61272222222227,105.4540555555555,105.77271111111115,105.90326666666671,106.1978,106.70154444444448,107.27633333333337,107.77251111111104,107.72895555555553,107.06374444444438,107.26230000000004,107.77417777777784,108.86151111111108,108.99320000000002,108.17791111111114,107.69503333333326,107.43155555555562,107.84807777777773,107.93323333333338,108.20743333333327
10 day,102.06917,102.21124,102.3729,102.61839,102.78528000000001,102.80131000000002,102.83147000000001,102.95002,102.99084,103.06454000000001,103.23086,103.46092000000002,103.71588,103.99474000000001,104.23974000000001,104.81141,105.00462,105.18987,105.46276,105.63904000000002,105.84819,106.0663,106.23460999999998,106.42383,106.6529,106.95467,107.69154999999998,107.92694000000002,107.9707,108.03826000000001,108.13686,108.16076000000001,108.131
10 min,104.3135,104.6605,104.64380000000001,103.59700000000001,103.29699999999998,102.93620000000001,103.02950000000001,103.89959999999999,103.91199999999999,104.30349999999999,105.114,105.57739999999998,105.50070000000001,105.66199999999999,105.4795,105.73420000000002,105.8844,106.20490000000002,106.73150000000001,107.2666,107.7695,107.68789999999998,107.19480000000001,107.28,107.952,108.93890000000002,108.94650000000001,108.1482,107.66509999999998,107.4568,107.8647,107.8915,108.16309999999999
100 day,103.08839400000001,103.07343400000002,103.059634,103.016331,102.967901,102.942872,102.90305599999999,102.86277299999998,102.853579,102.85244200000001,102.87097,102.898525,102.91861099999998,102.94271599999998,102.96280199999997,103.01188799999996,103.02510999999997,103.04704299999997,103.09459699999996,103.12505899999996,103.16379399999997,103.20723799999995,103.24899299999994,103.29479499999994,103.34748699999994,103.40378199999995,103.59101899999995,103.69705799999998,103.73811099999998,103.77986899999998,103.828831,103.87420299999998,103.91654899999999
125 day,103.14917680000003,103.15328000000004,103.16191440000004,103.18095680000003,103.18477760000003,103.18475920000003,103.18903440000003,103.20896400000001,103.21508080000001,103.21946400000002,103.22305360000001,103.22791680000003,103.23067920000001,103.2384224,103.2430336,103.2495112,103.2555216,103.2645544,103.29360559999998,103.31378319999997,103.33063039999996,103.34598719999994,103.35597599999996,103.36907039999996,103.38976159999996,103.42053519999997,103.51612159999995,103.57808639999999,103.60736879999999,103.64408879999998,103.68764479999999,103.72594319999996,103.76818319999997
15 min,104.3176,104.68466666666667,104.63306666666668,103.59666666666665,103.30086666666666,102.93820000000001,103.03233333333334,103.89733333333334,103.89066666666663,104.26593333333334,105.09826666666666,105.55506666666665,105.50613333333334,105.64693333333331,105.473,105.74446666666667,105.88986666666669,106.20093333333335,106.73566666666667,107.27406666666666,107.76933333333334,107.69026666666667,107.18153333333336,107.27633333333334,107.93580000000001,108.93660000000001,108.95333333333333,108.15633333333335,107.66273333333335,107.44686666666668,107.8678,107.89993333333334,108.17073333333333
150 day,103.21743600000003,103.21139933333338,103.2025646666667,103.19465600000004,103.18894133333336,103.1853946666667,103.17570466666669,103.151818,103.14566800000001,103.14263000000003,103.14770266666669,103.1582466666667,103.16851533333336,103.17895866666669,103.18967466666669,103.22863933333335,103.24711133333335,103.27014800000002,103.32344866666668,103.35665866666668,103.39351266666667,103.42823266666664,103.45720533333332,103.48293933333332,103.51685266666667,103.55716933333333,103.68231266666665,103.75858666666667,103.78739933333333,103.80863866666667,103.830618,103.85144466666667,103.87702733333333
175 day,103.53384799999999,103.51082171428573,103.48698342857142,103.44368114285713,103.39887314285713,103.37356114285711,103.32604914285713,103.275112,103.26358228571428,103.25548114285714,103.25405085714283,103.25469257142854,103.25438914285714,103.25707028571426,103.25975828571428,103.28373942857141,103.29573028571427,103.31326285714286,103.34895542857141,103.36368114285712,103.38240342857142,103.40464971428568,103.42285257142856,103.4439137142857,103.46995542857141,103.50055428571427,103.57885885714285,103.62144628571431,103.64040800000002,103.66039714285718,103.6848005714286,103.70948057142857,103.73482914285715
