,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2019-01-02,2019-01-16,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-02-04,2019-02-12
30 day,10.123333333333333,10.078333333333337,10.016666666666667,9.959333333333335,9.891333333333334,9.824333333333334,9.307666666666668,8.908,8.873666666666667,8.931666666666668,8.981666666666667,9.039,9.341000000000001,9.861999999999998
30 min,9.067766666666666,8.792499999999999,8.4861,8.4399,8.121566666666668,8.1513,8.511766666666665,9.263566666666666,10.6584,10.989666666666665,10.8864,10.783166666666666,10.568233333333334,11.073333333333336
4 hr,9.140087500000009,8.877200000000004,8.57849999999998,8.476741666666676,8.314766666666673,8.121720833333338,8.520425,9.255987499999987,10.578075000000014,10.975283333333326,10.866287500000016,10.818412499999999,10.561316666666661,11.073704166666651
4.5 hr,9.152222222222221,8.895177777777779,8.60104074074073,8.482981481481495,8.321577777777783,8.122792592592596,8.52435185185186,9.250640740740725,10.584100000000012,10.980896296296297,10.861440740740756,10.819829629629629,10.56464444444444,11.068337037037027
40 day,10.1515,10.106000000000002,10.057500000000001,10.0035,9.9425,9.888500000000002,9.58625,9.230249999999998,9.169249999999998,9.187999999999999,9.206,9.218250000000001,9.269000000000002,9.4815
45 min,9.086177777777777,8.804444444444442,8.492777777777777,8.442266666666663,8.132533333333331,8.142755555555556,8.511022222222218,9.27015555555555,10.650555555555558,10.992488888888888,10.888799999999998,10.78755555555556,10.569711111111108,11.06946666666667
5 day,9.358,9.181999999999999,8.994,8.822,8.576,8.398,8.395999999999999,9.088,9.662,10.002,10.296000000000001,10.572000000000001,10.732,10.892
5 hr,9.161459999999996,8.913049999999997,8.61859999999999,8.489440000000014,8.33568,8.126970000000004,8.528416666666681,9.244646666666647,10.58947000000001,10.98259,10.863713333333349,10.82206,10.565729999999995,11.060843333333324
5 min,9.05,8.793000000000001,8.496,8.431999999999999,8.120999999999999,8.142,8.524,9.258000000000001,10.690999999999999,11.029399999999999,10.859,10.768999999999998,10.619,11.068999999999999
5.5 hr,9.170384848484847,8.926712121212118,8.629339393939384,8.503924242424254,8.34814242424242,8.132330303030306,8.523469696969705,9.236018181818164,10.594472727272734,10.9839,10.866027272727292,10.822242424242425,10.567448484848482,11.048584848484838
50 day,10.262,10.213600000000001,10.163,10.114,10.0596,10.007800000000001,9.705,9.468599999999999,9.405999999999999,9.416599999999999,9.4248,9.4286,9.447799999999999,9.5364
50 min,9.087559999999998,8.8096,8.495699999999998,8.443139999999996,8.136779999999998,8.14004,8.511419999999994,9.271039999999994,10.645420000000003,10.993540000000001,10.88694,10.789700000000007,10.568939999999998,11.068419999999998
55 min,9.087963636363634,8.811636363636362,8.497181818181815,8.44294545454545,8.139163636363635,8.13349090909091,8.512927272727268,9.271854545454538,10.640018181818188,10.992400000000002,10.881945454545455,10.79203636363637,10.56312727272727,11.06765454545454
6 hr,9.17403055555555,8.942375000000002,8.639352777777768,8.51745000000001,8.35817499999999,8.135963888888892,8.510847222222226,9.231169444444426,10.591458333333343,10.98736388888889,10.869522222222242,10.823077777777778,10.569452777777776,11.040522222222215
6.5 hr,9.182041025641022,8.95405897435898,8.646389743589733,8.522915384615397,8.363558974358964,8.136715384615389,8.489656410256414,9.22119487179485,10.576384615384622,10.986600000000003,10.872553846153869,10.833730769230765,10.576215384615383,11.034238461538454
60 day,10.474833333333331,10.424666666666667,10.366333333333333,10.308333333333334,10.247000000000002,10.188666666666668,9.851666666666667,9.587166666666665,9.537166666666668,9.555166666666667,9.570333333333332,9.581166666666665,9.616166666666668,9.658666666666667
70 day,10.648142857142856,10.604571428571427,10.558,10.510999999999997,10.459142857142856,10.407142857142855,10.07042857142857,9.729714285714286,9.654428571428573,9.665000000000001,9.672428571428572,9.674714285714286,9.684714285714287,9.756571428571428
80 day,10.770875,10.734625,10.694875,10.656,10.614,10.571124999999999,10.275125,9.936375,9.812125000000002,9.810500000000001,9.807500000000001,9.803375,9.790125000000003,9.816500000000001
90 day,10.836666666666668,10.809555555555557,10.779111111111112,10.745111111111111,10.709222222222223,10.676,10.428222222222221,10.133222222222221,10.02111111111111,10.014111111111111,10.005444444444445,9.996222222222222,9.945000000000004,9.915111111111115
Tomorrow,8.79,8.5,8.42,8.13,8.15,8.15,8.61,9.32,11.02,10.86,10.76,10.86,10.73,11.28
