,2018-12-13,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-02-12,2019-02-15
30 day,49.74433333333333,49.288999999999994,49.12566666666665,48.847666666666655,48.58399999999999,48.446666666666665,48.447333333333326,48.498333333333335,48.432333333333325,48.37033333333333,48.336999999999996,48.36299999999999,50.09033333333334,50.72433333333333
30 min,49.40656666666664,46.859499999999976,45.9118,47.19066666666665,47.51726666666668,47.005433333333336,48.59266666666666,48.879133333333336,49.3546,49.31616666666665,49.759066666666655,49.97583333333334,53.25943333333333,53.91753333333332
4 hr,49.19760833333331,47.07639999999997,46.129074999999986,46.499991666666666,47.601783333333316,47.104512499999956,48.41466666666665,48.94294583333332,49.40862500000006,49.35775000000003,49.498104166666664,50.07906666666663,53.13102499999998,53.958012499999974
4.5 hr,49.23405555555553,47.07618518518516,46.17731111111109,46.41843703703703,47.580981481481494,47.15042962962959,48.37512592592593,48.92400370370369,49.415966666666705,49.352355555555576,49.440777777777775,50.08014074074071,53.12379999999999,53.9630259259259
40 day,49.50574999999999,49.148999999999994,49.138249999999985,49.05574999999999,48.96049999999998,48.87549999999999,48.83049999999999,48.80049999999999,48.82674999999999,48.78975,48.757999999999996,48.796,49.31025000000001,49.78975
45 min,49.383533333333304,46.96819999999998,45.958977777777775,47.08779999999998,47.535799999999995,47.00384444444444,48.57377777777777,48.88360000000002,49.359133333333325,49.32286666666665,49.72171111111112,49.97317777777778,53.245977777777775,53.91591111111111
5 day,48.564,47.218,46.79,46.434,47.646,47.538,47.686,47.948,50.16799999999999,49.972,49.800000000000004,49.68000000000001,52.08,53.364
5 hr,49.24100999999998,47.084316666666645,46.199323333333325,46.31711999999999,47.565593333333354,47.14556666666664,48.34183666666668,48.88163333333331,49.42334000000001,49.34766666666668,49.39321666666667,50.07497999999999,53.12632,53.96487666666663
5 min,49.338,46.745999999999995,45.868,47.416999999999994,47.624,46.944,48.534,48.88499999999999,49.348,49.33800000000001,49.721000000000004,49.949,53.27,54.013999999999996
5.5 hr,49.24835757575757,47.112554545454536,46.24429999999999,46.237248484848465,47.51473636363637,47.11427575757573,48.30832424242427,48.831469696969684,49.42009090909093,49.33849696969699,49.35381818181819,50.07369393939394,53.10669090909089,53.9738606060606
50 day,49.8006,49.340199999999996,49.25899999999999,49.11779999999999,48.89279999999999,48.844999999999985,48.80659999999998,48.78619999999999,49.0666,49.04980000000001,49.038800000000016,49.032800000000016,49.343600000000016,49.49840000000001
50 min,49.36749999999997,46.97607999999998,45.97747999999999,47.05621999999998,47.54352,47.00046,48.569399999999995,48.87824000000003,49.36267999999999,49.32697999999996,49.709220000000016,49.96866,53.24196,53.91971999999999
55 min,49.35403636363633,46.96116363636362,45.99856363636363,47.02565454545453,47.54983636363635,47.00114545454545,48.566909090909085,48.87205454545457,49.36534545454544,49.33270909090908,49.70256363636365,49.962690909090895,53.23432727272727,53.92519999999998
6 hr,49.26577777777777,47.13208888888886,46.303449999999984,46.181302777777766,47.476358333333344,47.1071611111111,48.26363888888892,48.789813888888894,49.430775,49.33491111111113,49.33281944444443,50.07078611111114,53.084702777777764,53.977927777777786
6.5 hr,49.27400256410254,47.133356410256404,46.34310769230767,46.13355897435898,47.426517948717944,47.12562307692305,48.214423076923076,48.7834641025641,49.46471538461542,49.3404461538462,49.32077692307692,50.08416923076928,53.049279487179454,53.96334102564108
60 day,50.25700000000001,49.73800000000001,49.64216666666667,49.47083333333333,49.17816666666666,49.09483333333333,49.049833333333325,49.00599999999999,48.98583333333333,48.97850000000001,48.986166666666676,48.97916666666667,49.42316666666669,49.5855
70 day,52.40128571428571,51.093,50.80242857142858,50.252571428571436,49.55528571428571,49.474,49.433142857142855,49.39471428571429,49.24542857142857,49.21085714285715,49.18014285714287,49.16300000000001,49.49628571428574,49.667857142857166
80 day,53.81075,52.82462499999999,52.597500000000004,52.14575,51.29337499999999,51.06037499999999,50.84349999999999,50.62325,49.621875,49.53675000000001,49.50125000000001,49.48425000000002,49.40800000000002,49.54975000000001
90 day,54.51066666666666,53.8221111111111,53.67088888888888,53.3541111111111,52.71722222222221,52.538333333333334,52.38088888888888,52.21466666666667,51.25911111111111,51.08377777777777,50.90833333333333,50.73222222222222,49.58266666666669,49.63800000000002
Tomorrow,48.04,45.9,44.94,47.82,46.89,48.56,48.83,49.63,49.32,49.74,50.06,49.64,53.41,NULL
