,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-09,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-11,2019-02-12,2019-02-14
2.5 hr,83.34606666666667,80.29084000000002,79.58374666666667,81.59586000000002,81.41920666666662,84.55846000000001,88.94186666666668,84.80160666666666,87.72830000000002,93.51494000000004,96.29688666666668,95.82489999999997,94.11151999999998,94.17315333333333,93.1656,90.3018666666667,91.39826666666674,92.40041333333335,94.72910666666667,98.77000666666667,99.70128666666663,102.35075333333327,104.62521999999996,106.22670000000001,104.71367333333333
20 day,79.819,80.024,80.18250000000002,80.77000000000001,81.8215,82.552,83.951,83.69500000000001,83.7635,84.142,85.49749999999997,86.70349999999999,87.17649999999999,88.50949999999997,89.19949999999999,89.67999999999999,90.1395,90.76549999999999,92.96549999999999,93.434,94.15899999999999,94.91350000000001,97.0675,97.68799999999999,98.70600000000002
20 min,83.099,79.86324999999998,79.67035,80.91215,81.28275,85.07255,88.4864,84.92769999999999,87.3071,93.3385,95.82874999999999,95.44325000000002,93.99830000000001,94.261,92.81275000000001,90.58285000000001,91.31640000000002,93.3859,94.92699999999999,98.35344999999998,98.99175,101.92655000000002,104.57405000000001,106.30639999999998,104.90595
200 day,71.23102500000003,71.33942500000003,71.44212500000003,71.55172500000002,71.77082500000002,71.97542500000003,72.54817500000001,72.67772500000002,72.81737500000003,72.98932500000002,73.37812500000001,73.78072500000002,73.98847500000001,74.398475,74.59702500000002,74.769825,74.947175,75.142475,76.04092500000002,76.22952500000002,76.41412500000003,76.61467500000002,77.74335000000004,77.99375000000003,78.48705000000004
25 min,83.11324,79.85211999999997,79.69864,80.85932,81.27940000000001,85.0078,88.40832,84.95215999999999,87.35636000000001,93.37531999999997,95.91495999999998,95.44588000000002,94.02424,94.25187999999999,92.80672000000003,90.63352,91.3096,93.36720000000001,94.90160000000002,98.37515999999998,99.03859999999999,101.90108000000002,104.55896000000003,106.2948,104.88076
3 hr,83.43611666666669,80.38386666666669,79.68386111111114,81.84541111111112,81.36199999999995,84.36317222222223,89.01850555555555,84.9024277777778,87.86861111111114,93.64155000000004,96.28516666666668,95.79671666666663,94.09189444444445,94.17120555555555,93.2720888888889,90.38797777777778,91.39658888888893,92.34224444444446,94.67678333333332,98.79596111111111,99.91408333333331,102.38478333333333,104.67321666666666,106.16367777777775,104.69583888888891
3.5 hr,83.5706523809524,80.52313333333336,79.71076666666673,82.03478571428573,81.29179523809518,84.18339047619047,88.89961428571428,85.0537428571429,87.94322857142858,93.82220952380959,96.26260000000003,95.7878333333333,94.02500952380954,94.16542857142858,93.36472857142866,90.56695714285709,91.44610000000002,92.27107142857145,94.67461428571427,98.84212857142862,100.11362380952383,102.4097333333333,104.75020000000004,106.1510285714286,104.71932380952383
30 day,77.97900000000001,78.08233333333334,78.17033333333335,78.38533333333335,78.84133333333334,79.3326666666667,81.37333333333332,81.65766666666667,82.25033333333333,82.99999999999999,84.50999999999999,85.85399999999997,86.28766666666665,86.94966666666664,87.06033333333332,87.22533333333332,87.43533333333333,87.87499999999999,89.69499999999998,90.31333333333333,90.97533333333334,91.67933333333335,95.10066666666668,95.71800000000002,96.78633333333337
30 min,83.12866666666667,79.84753333333332,79.72003333333333,80.81696666666667,81.31573333333333,85.01393333333333,88.33093333333333,84.99113333333331,87.39299999999999,93.42593333333333,96.00299999999999,95.46273333333335,94.04136666666666,94.24493333333331,92.8027666666667,90.64243333333333,91.33316666666668,93.33776666666667,94.87850000000003,98.40326666666667,99.06479999999998,101.90673333333334,104.54813333333338,106.27406666666666,104.85296666666665
4 hr,83.65493750000002,80.73430416666669,79.70905833333336,82.16531666666673,81.20830833333326,84.00411666666673,88.76478333333328,85.17819166666669,87.97249166666664,93.93322916666678,96.2386666666667,95.75177083333327,93.95800000000004,94.13521250000001,93.37637500000008,90.80282916666657,91.49841250000003,92.16625833333336,94.65209999999998,98.92481250000004,100.29177500000006,102.40646250000002,104.80788750000004,106.12179166666671,104.75816250000005
4.5 hr,83.74607037037039,80.84263703703704,79.6625074074074,82.20265925925933,81.2031518518518,83.74095925925931,88.71828148148141,85.32047037037037,87.93268518518512,94.02272962962975,96.1989555555556,95.69237777777772,93.94512592592595,94.11935925925927,93.33570000000009,90.90394074074065,91.55244444444443,92.12751851851853,94.6197962962963,98.99286666666674,100.39127407407413,102.35120740740746,104.86383703703704,106.06752222222228,104.77890370370373
40 day,76.47975,76.42875,76.65225000000001,76.86275,77.45775,78.07350000000002,79.57975000000002,79.77975,80.09175,80.60725,81.53399999999999,82.71049999999997,83.22799999999998,84.26674999999997,84.69099999999997,85.22499999999998,85.75549999999998,86.29349999999997,88.38099999999999,88.6925,88.92699999999999,89.33850000000001,91.88550000000001,92.43225000000001,93.60775000000004
45 min,83.22942222222223,79.92948888888887,79.68588888888887,80.6675111111111,81.36093333333332,85.0104222222222,88.27477777777776,84.89059999999998,87.4242222222222,93.44904444444447,96.15346666666665,95.55524444444448,94.0586,94.22091111111109,92.78784444444446,90.6714,91.34322222222224,93.23473333333334,94.8722888888889,98.41368888888887,99.08431111111109,101.99166666666666,104.58464444444445,106.23853333333332,104.7834222222222
5 day,83.506,82.864,82.092,81.494,80.68199999999999,81.684,87.7,87.53200000000001,87.436,88.45800000000001,90.982,94.898,95.098,94.91199999999999,94.396,93.39999999999999,92.946,92.6,94.42600000000002,95.44200000000001,96.066,97.55800000000002,103.51400000000001,104.184,105.018
5 hr,83.81409999999998,80.96089999999998,79.65833333333335,82.22075333333338,81.16665666666661,83.4262733333334,88.71485999999992,85.41215333333334,87.92299666666662,94.11400666666678,96.14606666666671,95.63752666666664,93.91555000000002,94.15670333333333,93.26159666666679,90.86305666666657,91.54671333333334,92.14493333333336,94.63027000000001,99.04124000000007,100.43876666666674,102.29795666666674,104.91253666666667,106.04677333333339,104.76942666666669
5 min,83.2368,79.80199999999999,79.3484,81.1882,81.21700000000001,85.226,88.9938,84.648,87.14200000000001,93.01,95.689,95.503,93.752,94.3134,92.8326,90.542,91.16199999999999,93.606,95.022,98.38,98.8794,102.024,104.4292,106.18299999999999,104.85340000000001
5.5 hr,83.87324848484847,81.01026363636362,79.69237272727273,82.22714848484851,81.19957878787876,83.16272121212123,88.62753939393933,85.39396363636364,87.89995757575753,94.07787878787886,96.10054242424245,95.60131515151511,93.9319272727273,94.20852424242426,93.19637878787887,91.0298818181817,91.43759393939399,92.16267272727274,94.6497757575758,99.06072121212127,100.47418787878793,102.21455454545462,104.94628484848488,106.03321212121219,104.80306969696964
50 day,77.55100000000002,77.4346,77.30980000000001,77.3092,77.37800000000001,77.45660000000002,77.95739999999999,78.24340000000001,78.5324,78.93739999999998,79.999,81.06499999999998,81.51239999999999,82.25319999999998,82.582,82.90319999999998,83.29019999999998,83.61099999999999,85.74459999999998,86.19760000000001,86.65820000000002,87.31559999999999,90.33940000000001,90.8478,91.65220000000005
50 min,83.25818,79.96553999999999,79.645,80.63007999999999,81.41633999999999,85.01091999999997,88.28785999999998,84.84675999999999,87.43450000000001,93.44686000000003,96.19594,95.57906000000003,94.05364,94.21385999999997,92.79648000000002,90.63436,91.31210000000002,93.16806000000003,94.86726000000003,98.41407999999997,99.10665999999999,102.01650000000001,104.58788,106.24121999999996,104.77257999999998
55 min,83.24325454545455,79.9924909090909,79.58421818181819,80.54767272727271,81.48576363636363,85.02118181818179,88.32510909090907,84.82596363636364,87.44300000000001,93.45076363636366,96.22465454545453,95.60996363636364,94.05289090909089,94.20441818181816,92.80738181818184,90.57487272727272,91.29845454545456,93.09414545454547,94.86932727272728,98.44405454545453,99.14514545454546,102.04245454545455,104.59180000000002,106.2345636363636,104.77552727272725
6 hr,83.88899722222222,81.01537777777779,79.72153611111109,82.20890000000003,81.20130277777776,82.94103888888888,88.54530277777769,85.42118888888892,87.84855555555548,93.9114694444445,96.04512222222226,95.58929444444446,93.89053611111117,94.33972500000002,93.2593833333334,91.24533888888875,91.23908611111113,92.28844166666669,94.65117777777782,99.08390000000007,100.41295555555558,102.11205277777786,104.96107777777782,105.99623611111116,104.85102777777774
6.5 hr,83.82513333333333,80.98952051282052,79.79274102564102,82.14008461538462,81.18718205128201,82.76408974358974,88.43368717948712,85.55981282051285,87.7665948717948,93.71759487179497,95.98846410256421,95.51045641025644,93.877976923077,94.45793076923077,93.28953076923088,91.68867692307686,91.02778205128207,92.30531282051288,94.68721794871794,98.97088974358981,100.27148461538465,101.95356666666677,104.97469999999997,105.91329743589752,104.8328179487179
60 day,80.24866666666667,80.05750000000002,79.8646666666667,79.67450000000002,79.25350000000002,78.78600000000002,78.54083333333331,78.52616666666667,78.62616666666666,78.81649999999999,79.37716666666668,79.87150000000001,80.05266666666668,80.45566666666667,80.83466666666666,81.13516666666665,81.45149999999998,81.89366666666665,83.83699999999996,84.19783333333332,84.57283333333334,85.03233333333333,87.49616666666667,88.048,89.07983333333337
70 day,81.68114285714286,81.58357142857143,81.47085714285716,81.37228571428572,81.13385714285714,80.79642857142858,80.63099999999999,80.54228571428571,80.46542857142857,80.443,80.4484285714286,80.43828571428571,80.43985714285714,80.59885714285714,80.70685714285715,80.84371428571428,80.98871428571428,81.203,82.14342857142856,82.37928571428571,82.79071428571429,83.21271428571428,85.63714285714285,86.13399999999999,86.95400000000001
80 day,82.362,82.359375,82.31550000000001,82.252375,82.117125,81.93237500000001,81.89462499999999,81.86299999999999,81.85212499999999,81.879875,81.97525,82.0485,82.064875,82.1705,82.19837500000001,82.17587499999999,82.140375,82.1315,82.10499999999999,82.264125,82.43437500000002,82.69800000000001,84.17050000000002,84.46150000000002,85.01825000000002
90 day,81.88577777777779,81.92666666666668,81.93566666666669,81.96888888888891,82.04044444444446,82.132,82.54966666666665,82.57022222222221,82.5811111111111,82.64966666666666,82.79966666666667,82.93133333333333,82.95144444444445,83.12266666666666,83.18833333333333,83.21844444444443,83.229,83.27422222222222,83.39744444444443,83.47611111111111,83.56822222222223,83.67611111111111,84.13366666666667,84.27277777777778,84.62266666666669
Tomorrow,79.85,79.12,81.06,82.25,78.66,87.57,84.48,87.09,92.71,94.82,95.5,93.71,95.38,92.92,90.67,91.44,93.65,93.32,98.4,98.98,102.18,102.77,106.12,105.25,104.9
