,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-18,2019-01-22,2019-01-24,2019-01-25,2019-01-28,2019-01-30,2019-01-31,2019-02-05,2019-02-07,2019-02-08,2019-02-12
2 day,1839.1799999999998,1854.25,1844.6100000000001,1820.105,1773.33,1754.47,1669.285,1660.04,1719.125,1692.4099999999999,1690.335,1714.685,1699.37,1668.205,1663.4099999999999,1671.6100000000001,1742.385,1734.62,1769.99,1798.935,1807.9,1813.75,1825.755,1881.625,1891.995,1874.0749999999998,1880.145
2 hr,1857.558925,1854.4940083333336,1832.944225,1807.1275833333339,1738.75105,1778.473658333333,1642.7197166666676,1690.3755333333334,1720.3161000000005,1664.29985,1725.8919249999997,1715.2861916666666,1700.4688499999997,1656.3785666666663,1678.0327499999996,1667.9233083333334,1759.824166666667,1698.5992833333326,1800.9583916666656,1808.1877333333327,1821.9367999999995,1825.3130416666677,1833.594399999999,1909.0688,1870.4215583333337,1869.8106749999995,1893.7042416666661
2.5 hr,1855.2589733333332,1857.7381133333333,1832.8105066666672,1807.666900000001,1742.6978866666664,1781.56648,1644.595273333334,1688.548866666667,1721.4712866666673,1665.843993333333,1727.5516866666658,1716.0990399999998,1700.24652,1660.1682933333327,1675.530133333333,1667.3496666666663,1760.5321266666672,1699.5070533333326,1799.7542066666658,1810.411213333333,1823.005039999999,1824.0662533333334,1832.328139999999,1907.4713399999996,1870.5434533333332,1870.4279399999991,1892.932893333333
20 day,1846.7655,1844.2590000000005,1840.4085000000002,1836.3470000000004,1828.8795000000002,1824.5845000000002,1813.8030000000003,1801.4810000000002,1781.3229999999996,1759.985,1752.7054999999996,1744.1845,1736.8050000000003,1727.9790000000005,1719.2279999999998,1709.7150000000001,1693.2524999999998,1693.4424999999999,1707.9305,1712.8780000000002,1717.6680000000003,1727.1305,1732.6860000000004,1758.0719999999997,1780.4510000000002,1790.139,1810.2149999999997
20 min,1857.7489,1861.012,1833.6794000000002,1805.1917500000004,1725.7441,1777.2051000000004,1631.3118499999998,1699.658,1716.88715,1663.90015,1718.2095500000003,1716.3202500000002,1689.8888499999998,1649.7777,1680.91815,1671.4136999999998,1757.3649499999997,1702.4227000000003,1798.44945,1803.8837499999997,1812.3215,1823.6363500000002,1832.9777,1907.81705,1873.6245,1867.977,1894.91035
200 day,2001.3064000000006,2001.0621000000006,2000.0572500000007,1998.9511000000007,1997.4797500000009,1995.963550000001,1989.5469500000006,1984.2638500000003,1977.3107499999999,1972.64295,1970.5351499999995,1968.36935,1966.2349500000003,1964.04735,1961.76545,1959.7070999999999,1950.96715,1949.0565999999997,1946.3457499999997,1944.9688,1943.6335499999998,1940.9126999999999,1939.5937999999994,1935.0855499999993,1932.6801999999996,1931.6991999999996,1929.5535999999993
25 min,1859.18524,1858.12656,1833.50152,1805.9794,1723.7417599999999,1776.9920400000005,1630.7135200000002,1699.3395999999996,1717.9935200000002,1664.40652,1717.5564400000003,1716.4238800000007,1690.8385199999998,1650.8562399999998,1681.6071199999997,1671.5137599999998,1757.9765199999997,1701.4833600000002,1798.4448000000002,1803.6391199999998,1812.8942000000002,1823.8654400000003,1833.3151599999997,1908.37904,1873.1430399999997,1868.34392,1894.4192800000005
3 hr,1854.7826833333331,1860.6376555555557,1831.8506555555564,1808.4301,1746.0255166666657,1783.8518944444445,1646.955466666667,1686.52615,1723.2430166666677,1666.8138611111115,1728.0677444444436,1717.261838888889,1699.3442166666666,1663.1003222222214,1674.1090222222213,1667.1007055555544,1761.5986222222225,1700.2788666666663,1797.8173555555547,1812.2396611111099,1822.2061777777767,1823.3940722222223,1831.6276888888883,1906.0829222222212,1870.2129666666663,1871.5289944444444,1893.0982000000001
3.5 hr,1854.4531238095233,1863.0932523809527,1831.8908047619052,1809.608038095238,1748.7412952380946,1784.8465999999999,1648.2546380952383,1684.7063333333333,1724.3864952380964,1668.1881904761915,1727.712447619047,1718.1304571428577,1698.1377999999995,1664.4337952380934,1674.17268095238,1666.5779142857136,1762.7071285714287,1702.6434285714283,1796.245142857142,1813.6785285714268,1821.4907857142848,1822.8178190476192,1831.8881666666664,1905.3500999999992,1869.5904857142853,1872.1804809523808,1892.87699047619
30 day,1864.6339999999998,1866.9046666666668,1866.8070000000002,1864.5590000000004,1859.3400000000004,1855.8203333333336,1831.0353333333337,1811.1963333333338,1792.907,1780.9279999999999,1778.8463333333332,1777.5593333333334,1775.1100000000001,1771.2903333333336,1767.1199999999997,1761.8293333333334,1733.4029999999996,1727.6276666666665,1723.6096666666665,1721.9379999999999,1720.5196666666668,1720.096,1723.205666666667,1736.1716666666666,1753.9640000000002,1759.5586666666668,1770.447333333333
30 min,1860.8182,1855.9876333333334,1833.6552666666664,1806.4164999999998,1721.9760999999999,1776.6542000000004,1631.2086000000004,1699.1273333333331,1718.8052,1664.8591000000001,1717.367066666667,1716.7064666666672,1691.5045999999998,1651.6815333333332,1682.0539999999996,1671.2353666666668,1758.3609333333332,1700.477866666667,1798.2453333333333,1803.406533333333,1813.4771666666666,1824.5223333333338,1833.5311333333332,1908.904,1872.6372666666662,1868.7246,1893.822466666667
4 hr,1853.7309541666657,1865.4228333333328,1830.7314041666675,1810.2919000000002,1752.094987499999,1784.9376333333335,1649.4196583333332,1682.7406583333332,1725.1166041666684,1668.1682458333341,1727.1285291666654,1718.811933333334,1698.3550208333327,1664.2638291666651,1674.2568458333321,1666.0430374999992,1763.7738500000003,1705.926204166666,1795.1779374999994,1814.8272041666653,1820.7047374999995,1822.1905708333334,1833.0963958333336,1905.021262499999,1869.1151833333338,1872.8889375000006,1892.3632999999995
4.5 hr,1854.0366148148144,1867.4884481481474,1831.2179777777787,1811.4367185185188,1754.0670629629622,1783.7662074074071,1651.245344444444,1680.0033666666666,1724.9875777777797,1668.4993851851857,1726.640514814814,1719.2391111111124,1698.176807407406,1663.511740740739,1674.473103703703,1665.627292592592,1764.237081481482,1709.2303814814804,1794.1102481481478,1815.8127962962947,1820.2641555555551,1821.2178407407403,1834.7871592592599,1905.0149629629616,1868.9759037037036,1873.6193074074072,1891.9148259259257
40 day,1850.8697500000003,1851.9902500000003,1852.06025,1850.976,1849.17125,1848.26325,1839.8715,1833.4900000000002,1824.926,1815.2689999999998,1811.42975,1805.48875,1797.7075,1789.5045000000002,1782.9967499999998,1776.9869999999999,1757.8342499999992,1756.7979999999995,1757.1855,1757.1794999999997,1756.90425,1754.2267500000003,1752.75,1751.1282499999998,1754.2150000000001,1754.6834999999999,1756.46025
45 min,1862.5418444444445,1854.1628444444443,1834.1016666666667,1806.0260000000005,1720.9041333333334,1774.0185333333334,1633.4658666666671,1697.8636,1719.4854222222218,1663.6356222222223,1718.9005555555561,1717.1973111111115,1692.9722666666669,1653.4214444444444,1682.4947555555555,1670.3339111111106,1758.9673333333333,1699.1199777777779,1798.9873111111108,1804.3685999999996,1815.541777777778,1826.2823333333342,1832.630333333333,1909.078288888889,1871.0331555555556,1869.1034666666671,1892.7673999999995
