,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-14,2019-01-15,2019-01-16,2019-01-22,2019-02-11,2019-02-12
3 hr,14.142811111111106,13.628016666666655,12.787349999999979,12.312533333333322,11.54755,11.351405555555562,10.416816666666653,10.274349999999984,10.767905555555574,10.882344444444445,11.265311111111114,11.798172222222211,12.584455555555557,12.804505555555554,13.182872222222235,13.379666666666658,13.3598111111111,13.798383333333327,13.328050000000005,12.296477777777776,12.405116666666661
3.5 hr,14.16679523809524,13.62979999999999,12.794485714285699,12.34979523809523,11.574471428571426,11.389857142857144,10.425342857142851,10.295109523809508,10.759914285714299,10.880171428571423,11.265919047619063,11.78105238095237,12.575795238095246,12.788709523809528,13.17529523809525,13.378604761904747,13.360457142857134,13.778447619047611,13.356961904761917,12.298819047619048,12.41681428571428
30 day,16.953333333333333,16.78466666666667,16.57,16.326333333333334,16.05466666666667,15.753333333333336,15.43866666666667,15.118666666666671,14.587666666666669,14.025000000000002,13.831,13.43333333333333,13.312333333333331,13.189666666666664,13.096000000000002,12.834000000000001,12.750000000000004,12.691333333333338,12.49066666666667,12.798333333333328,12.847999999999995
30 min,13.925833333333335,13.698499999999996,12.719333333333333,12.181733333333332,11.439633333333331,11.107533333333333,10.4836,10.188333333333334,10.937833333333334,11.026799999999996,11.187766666666663,11.795100000000001,12.654999999999998,12.873999999999999,13.200299999999999,13.2905,13.480333333333334,13.790666666666668,13.1911,12.2834,12.319166666666668
4 hr,14.183491666666674,13.635720833333325,12.795699999999986,12.395212499999992,11.594412499999995,11.417187500000004,10.432187499999998,10.337970833333312,10.73273333333335,10.88691666666666,11.266670833333352,11.755024999999995,12.557000000000006,12.785441666666674,13.171545833333345,13.37314999999999,13.367774999999991,13.755558333333328,13.381604166666683,12.294637500000002,12.426749999999995
4.5 hr,14.207911111111116,13.64284444444443,12.80362222222221,12.440692592592589,11.609514814814808,11.435648148148147,10.450129629629629,10.392992592592575,10.697448148148162,10.889562962962955,11.261707407407421,11.719029629629622,12.530459259259265,12.769096296296304,13.16434444444445,13.362385185185184,13.367859259259248,13.733755555555547,13.401237037037054,12.275600000000004,12.429233333333325
40 day,17.657249999999998,17.46275,17.2545,17.0405,16.815250000000002,16.5805,16.35275,16.1465,15.739749999999997,15.162249999999997,14.956999999999999,14.541,14.359750000000002,14.1865,14.055750000000003,13.74625,13.67425,13.590250000000001,13.339500000000005,12.446749999999998,12.413249999999996
45 min,13.932711111111116,13.69375555555555,12.73904444444444,12.205933333333329,11.450422222222223,11.11257777777778,10.49477777777778,10.201444444444446,10.912866666666664,11.009355555555555,11.198844444444443,11.807088888888888,12.668333333333335,12.863799999999998,13.207200000000004,13.285799999999995,13.460999999999997,13.80400000000001,13.214955555555555,12.271622222222224,12.331311111111111
5 day,14.539999999999997,14.266,13.766,13.284,12.772,12.225999999999999,11.59,11.09,10.582,10.787999999999998,11.039999999999997,11.25,11.618,11.992,12.376000000000001,13.13,13.252,13.360000000000003,13.712,12.562,12.448
5 hr,14.226240000000004,13.659276666666656,12.815173333333318,12.47133,11.6298,11.459299999999997,10.482270000000002,10.428643333333317,10.652310000000016,10.88257333333333,11.252516666666681,11.697029999999994,12.509563333333341,12.751926666666675,13.13329333333334,13.34686333333333,13.375096666666646,13.710216666666659,13.42336333333335,12.25346333333334,12.441913333333325
5 min,13.878,13.678999999999998,12.734,12.197,11.416,11.125,10.475,10.233999999999998,10.988000000000001,10.998999999999999,11.254999999999999,11.807,12.656,12.863,13.208000000000002,13.318000000000001,13.49,13.780000000000001,13.204999999999998,12.293,12.309999999999999
5.5 hr,14.212339393939406,13.675978787878787,12.821015151515148,12.479087878787881,11.64839393939394,11.467054545454543,10.527975757575758,10.461857575757563,10.60465454545456,10.881178787878785,11.227060606060618,11.701812121212116,12.48162727272728,12.735315151515152,13.1104696969697,13.331493939393932,13.379993939393914,13.68143939393939,13.44613636363637,12.233381818181828,12.462069696969683
50 day,18.468000000000004,18.302400000000002,18.1018,17.899,17.683000000000003,17.471,17.2362,17.0154,16.604199999999995,15.991399999999997,15.802199999999997,15.445199999999998,15.306799999999999,15.195199999999998,15.0866,14.767399999999999,14.654199999999998,14.5392,14.172000000000002,13.003399999999997,12.934399999999997
50 min,13.941440000000002,13.686379999999994,12.746239999999995,12.215899999999998,11.452480000000003,11.115180000000002,10.494400000000002,10.211400000000003,10.901739999999995,11.003520000000002,11.202759999999998,11.80948,12.672000000000004,12.858519999999993,13.206420000000007,13.286919999999991,13.459900000000003,13.80550000000001,13.217260000000001,12.269960000000001,12.336279999999999
55 min,13.947854545454547,13.681618181818177,12.751127272727265,12.226181818181814,11.450800000000001,11.114800000000004,10.489909090909093,10.221709090909092,10.894309090909086,11.000654545454548,11.207599999999998,11.810618181818187,12.672090909090912,12.854381818181812,13.204745454545462,13.289927272727267,13.455872727272727,13.807363636363647,13.219509090909092,12.267145454545457,12.342981818181814
6 hr,14.203244444444449,13.695574999999995,12.834777777777774,12.484588888888895,11.661855555555556,11.465052777777773,10.573380555555561,10.47338333333332,10.555425000000008,10.892213888888884,11.1899638888889,11.702177777777772,12.445930555555558,12.73718055555556,13.100316666666668,13.32613333333333,13.382022222222195,13.662441666666664,13.466986111111114,12.222311111111122,12.481258333333326
6.5 hr,14.194074358974362,13.701697435897424,12.858548717948713,12.486020512820522,11.684520512820523,11.462807692307685,10.605384615384617,10.47104102564101,10.515753846153853,10.902402564102564,11.148956410256417,11.696335897435883,12.39528717948718,12.736602564102569,13.088471794871795,13.303546153846158,13.383664102564072,13.63438461538462,13.498448717948724,12.211758974358984,12.492628205128192
60 day,18.947833333333335,18.825333333333337,18.6835,18.5455,18.388333333333335,18.216166666666666,18.031166666666667,17.844833333333334,17.46966666666667,16.907999999999998,16.724,16.376499999999997,16.217333333333332,16.07783333333333,15.953166666666666,15.555666666666664,15.429833333333331,15.313166666666664,14.9925,13.59183333333333,13.52583333333333
70 day,19.10557142857143,19.027857142857147,18.936285714285713,18.84,18.728285714285715,18.606714285714283,18.467571428571425,18.313285714285712,18.011714285714284,17.57714285714286,17.446,17.171571428571426,17.044285714285714,16.922714285714285,16.80128571428571,16.42785714285714,16.295714285714283,16.173142857142857,15.817857142857143,14.378142857142853,14.28671428571428
80 day,19.048125000000002,18.999500000000005,18.932375,18.85725,18.769750000000002,18.674,18.568875,18.461875,18.2445,17.936625,17.841124999999998,17.643874999999994,17.549499999999995,17.447874999999996,17.349999999999998,17.054375,16.957749999999997,16.873749999999998,16.591375000000003,15.051999999999998,14.937999999999997
90 day,18.93711111111111,18.891222222222225,18.82811111111111,18.759333333333334,18.68122222222222,18.59933333333333,18.516,18.426,18.272444444444446,18.044222222222224,17.967444444444446,17.810666666666666,17.741555555555554,17.67611111111111,17.611333333333334,17.408666666666665,17.34611111111111,17.288555555555554,17.090777777777777,15.791888888888888,15.684999999999999
Tomorrow,13.67,12.72,12.2,11.4,11.14,10.49,10.22,10.04,11.02,11.3,11.28,12.68,12.89,13.22,13.21,13.5,13.76,13.91,12.94,12.33,12.3
