,2018-12-11,2018-12-12,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-13,2019-02-14
1 hr,21.761066666666657,21.990533333333342,20.84270000000001,20.510949999999994,20.572416666666662,20.363500000000005,20.30591666666667,19.941683333333327,20.006949999999996,20.272483333333334,20.64451666666667,20.382683333333336,21.075266666666664,21.09703333333334,21.558449999999993,21.643083333333326,21.267333333333326,22.018616666666652,19.456666666666663,20.585766666666686,20.065133333333335,20.212100000000014,20.576799999999995,20.539566666666666,20.864616666666674,21.045400000000008,21.120883333333346,21.0255,21.044799999999984,20.457783333333346,18.687850000000008,18.632583333333333,18.515849999999993
1 min,21.72,21.89,20.78,20.57,20.61,20.41,20.35,19.88,20.23,20.42,20.68,20.3,21.0,21.05,21.55,21.51,21.27,21.88,19.525,20.58,20.095,20.2,20.53,20.54,20.87,21.13,21.19,21.03,21.02,20.55,18.675,18.64,18.47
1.5 hr,21.767333333333326,22.005077777777778,20.841933333333326,20.54885555555555,20.618366666666667,20.480455555555565,20.30933333333332,19.993055555555543,19.916499999999992,20.224566666666668,20.692244444444437,20.399800000000006,21.085955555555557,21.109344444444446,21.580488888888876,21.64737777777778,21.322177777777785,22.022099999999984,19.5017111111111,20.591077777777784,20.042688888888886,20.20700000000002,20.586044444444422,20.529177777777797,20.890077777777783,21.023199999999996,21.12613333333335,21.009944444444443,21.044522222222206,20.441555555555574,18.700666666666677,18.640066666666684,18.5450111111111
10 day,22.563739999999996,22.449619999999996,22.02883,21.771800000000002,21.45721,21.200170000000004,20.97687,20.753580000000003,20.379440000000002,20.07873,20.08865,20.058870000000002,20.19979,20.317879999999995,20.54117,20.6692,20.772420000000004,20.92228,20.66921,20.6057,20.45882,20.32485,20.2266,20.15514,20.05788,20.26827,20.44907,20.670530000000003,20.775769999999998,20.826069999999998,20.657619999999998,20.031,19.758000000000003
10 min,21.7145,21.933500000000002,20.776,20.505999999999997,20.624000000000002,20.3965,20.269299999999998,19.9051,20.197,20.356,20.666999999999998,20.325400000000002,21.018499999999996,21.075,21.5285,21.586999999999996,21.238000000000003,21.913999999999998,19.521499999999996,20.537000000000003,20.084500000000002,20.208499999999994,20.522399999999998,20.549,20.8645,21.110000000000003,21.1715,21.043,21.025000000000002,20.534,18.6921,18.628500000000003,18.489399999999996
100 day,22.489905,22.495412,22.490048000000005,22.482259000000003,22.479666,22.455600000000004,22.421239999999997,22.379949999999997,22.297748000000002,22.167871,22.129595000000005,22.087155000000003,22.034602000000003,22.011524000000005,21.995181,21.975191999999996,21.949766999999998,21.925862,21.831470999999993,21.772318,21.695217,21.658285999999997,21.628275000000002,21.608706,21.595663000000005,21.574560000000005,21.555166000000014,21.496221000000002,21.479953000000005,21.455342,21.409372000000005,21.255071,21.19695100000001
125 day,22.651823200000006,22.6289632,22.56982880000001,22.53703760000001,22.504720800000005,22.474342400000005,22.442858400000002,22.4078,22.339619200000005,22.272899200000005,22.254691200000003,22.2297072,22.1891472,22.1695688,22.157641599999998,22.1464168,22.1375952,22.1354152,22.096040799999994,22.0790032,22.062484799999996,22.053315999999995,22.050606399999996,22.032385599999998,22.009105599999998,21.985997599999997,21.967172800000004,21.889597599999995,21.860506399999995,21.830178399999998,21.784497599999995,21.6683064,21.631818399999997
15 min,21.726333333333333,21.9468,20.766333333333332,20.481733333333327,20.617,20.361666666666668,20.2754,19.904066666666665,20.18566666666667,20.36,20.67273333333333,20.332933333333337,21.03873333333333,21.077,21.522333333333336,21.602333333333327,21.227333333333334,21.935,19.513333333333332,20.537400000000005,20.077,20.20666666666666,20.52026666666666,20.552333333333333,20.862333333333336,21.11366666666667,21.15206666666667,21.045333333333335,21.036,20.511266666666664,18.687733333333334,18.630200000000002,18.49693333333333
150 day,23.00591133333334,22.986274,22.930205333333344,22.899941333333334,22.868114000000006,22.83085066666667,22.793580000000002,22.75431,22.677906,22.587310666666667,22.56351866666667,22.537214000000002,22.497211333333336,22.475868666666667,22.458029333333332,22.437054,22.412662000000005,22.391976666666665,22.316921999999998,22.259697333333335,22.200229333333333,22.170455333333333,22.142995333333335,22.11854,22.09581,22.07486466666667,22.05649733333334,22.011838666666662,21.999257333333333,21.984327999999998,21.953733999999994,21.85721333333333,21.827762666666665
175 day,23.41912857142857,23.391605714285713,23.326866857142864,23.292581714285717,23.25473885714286,23.216653142857147,23.177612571428572,23.13535028571429,23.047686285714285,22.941357142857143,22.908250857142864,22.873882285714288,22.829742285714293,22.807251428571433,22.788938857142863,22.768833142857147,22.747701714285718,22.731258285714286,22.667485714285714,22.618716000000003,22.561923428571426,22.533884571428572,22.506150285714284,22.474947428571426,22.446006857142855,22.41943542857143,22.394794285714287,22.328757714285707,22.307844571428568,22.287660571428567,22.256735999999997,22.16437828571428,22.132363428571423
2 day,21.485950000000003,21.63485,20.90045,20.5184,20.43405,20.3596,20.2256,19.9527,19.61525,20.22065,20.3844,20.33475,20.9302,20.87065,21.14355,21.371850000000002,21.23295,21.3967,19.11905,20.270249999999997,20.13625,20.002299999999998,20.21075,20.3844,20.5531,20.83595,21.075000000000003,21.025,21.03,20.78,19.62,18.575,18.545
2 hr,21.74522499999999,22.03287499999999,20.864341666666654,20.56996666666667,20.655716666666667,20.558091666666662,20.26808333333333,20.02199999999999,19.857691666666657,20.216533333333334,20.72345833333333,20.414483333333333,21.10688333333333,21.138666666666676,21.593349999999997,21.65126666666666,21.35605,21.99682499999998,19.536974999999995,20.557774999999992,20.021933333333322,20.210033333333342,20.608724999999975,20.52350833333335,20.894466666666688,21.010424999999984,21.13090833333335,20.997158333333335,21.0431,20.44458333333334,18.698800000000016,18.640891666666697,18.531474999999993
2.5 hr,21.72105333333333,22.055979999999987,20.888773333333315,20.59024,20.67638000000001,20.660560000000004,20.271600000000017,20.05461333333332,19.798859999999987,20.243086666666663,20.748546666666662,20.430000000000007,21.131706666666663,21.155006666666672,21.59662666666667,21.643513333333335,21.371586666666673,22.01594666666665,19.53527333333334,20.52977999999998,20.00261333333332,20.20588666666666,20.63719999999998,20.521666666666686,20.89876000000002,20.97469999999999,21.130060000000004,20.97842666666666,21.04463333333334,20.450200000000002,18.69434666666668,18.643353333333362,18.526906666666665
20 day,22.45507999999999,22.447144999999992,22.287364999999998,22.20549,22.119149999999998,22.02338,21.921655000000005,21.782715000000003,21.471590000000003,21.053780000000003,20.930225,20.75804,20.588329999999996,20.535729999999994,20.533744999999996,20.524319999999996,20.493554999999997,20.518864999999998,20.37893,20.369995,20.38835,20.43301,20.447899999999997,20.463779999999996,20.49008,20.525309999999998,20.559139999999996,20.611815,20.617295000000002,20.575460000000003,20.442110000000003,20.149635000000004,20.103535000000004
