,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-12,2019-02-13,2019-02-14
200 day,103.85562349999992,103.76510799999993,103.66905899999995,103.56143149999993,103.45518149999994,103.32275199999995,103.17845149999995,103.03519599999994,102.68216149999996,102.24696949999996,101.97453549999996,101.85831099999996,101.74431299999995,101.64799699999996,101.50074149999996,101.25397549999997,101.19254849999996,101.13690899999996,101.07138149999997,101.02165199999997,101.00525949999995,100.98102799999995,100.96761649999996,100.93872599999995,100.94204749999996,100.94217499999995,100.93563649999996,100.97406499999995,101.01621749999995,101.04908449999995,101.08954599999994,101.17676199999994,101.21581049999993,101.25704749999994
25 min,93.68540000000002,92.74324,89.723,88.60987999999999,90.17244000000001,86.85804000000002,86.13336000000001,85.00699999999999,85.10931999999998,89.23011999999999,85.93920000000001,90.97384,92.55467999999999,91.16616000000002,93.77775999999996,91.26879999999997,92.71888000000003,95.70075999999999,93.01135999999998,91.80884,98.12028000000001,101.37943999999999,101.83411999999998,101.40307999999999,105.85379999999995,106.71660000000003,106.63959999999999,106.94812,107.9254,105.51539999999999,105.25940000000003,107.11699999999998,107.83859999999999,107.46039999999998
3 hr,94.02596111111109,92.62333333333332,90.42058888888884,89.23904444444443,90.8464944444445,88.95587777777777,85.96172222222222,85.96955555555552,83.90787222222222,88.91275000000002,86.15069444444445,90.74347777777777,92.86220000000004,91.01943888888887,93.21812222222226,91.77579999999998,91.66391111111112,95.91356111111108,93.14117222222227,91.74436666666665,97.70017222222228,101.75184444444442,101.63081111111106,101.01008333333328,105.24577222222227,107.27337777777775,106.6300833333334,106.92406111111114,108.11648333333336,105.2407166666667,105.09158888888884,107.30804999999998,108.13958333333332,107.37332777777772
3.5 hr,94.02769523809522,92.65558571428572,90.42568571428565,89.36892857142857,90.986380952381,89.2420142857143,85.98147619047623,86.05209047619043,83.81413809523809,88.92812380952387,86.21876666666664,90.63941904761904,92.88385238095248,90.95268095238097,93.22368571428578,91.79749047619046,91.63676666666669,95.98849999999997,93.14545238095245,91.73921428571431,97.70129523809531,101.77695238095238,101.61448571428565,100.99231904761899,105.1005666666667,107.36306666666668,106.64003333333335,106.84696666666667,108.16091904761907,105.23226190476194,104.98298571428568,107.28757619047616,108.12893333333332,107.38986666666666
30 day,93.7882266666667,93.84861000000002,93.80603000000002,93.63361000000003,93.55045666666668,93.39096,93.11364,92.78077,92.00329666666666,91.69375333333332,91.20980333333331,91.17570999999998,91.11347666666666,90.99397999999998,90.89632666666668,90.22204666666669,89.94962000000001,89.94333000000002,89.86554000000001,89.85428666666668,90.05322666666669,90.33988666666667,90.60933333333334,90.88440666666665,91.42958999999999,92.01316999999999,92.57391,93.93008333333334,94.66328333333334,95.46599666666667,96.11313333333334,97.30115000000002,97.90988666666667,98.47195333333335
30 min,93.66650000000001,92.71033333333335,89.7505,88.60626666666667,90.15053333333334,86.85736666666669,86.18300000000002,85.03933333333332,85.02376666666667,89.22976666666666,85.93760000000002,90.93953333333333,92.55983333333332,91.19896666666668,93.77546666666665,91.31616666666666,92.73306666666667,95.71159999999999,92.96946666666665,91.78636666666668,98.09273333333333,101.382,101.84576666666663,101.42563333333334,105.87266666666663,106.7302666666667,106.62599999999999,106.98596666666666,107.91483333333332,105.47516666666665,105.26550000000002,107.14183333333331,107.88616666666665,107.45386666666666
4 hr,94.01780416666662,92.67850416666666,90.43727916666663,89.56685416666667,91.07177083333337,89.43455000000003,86.01232083333338,86.11447499999991,83.69429583333333,88.92845000000005,86.30083333333332,90.51797083333334,92.85301666666672,90.87975833333336,93.19402083333338,91.83285833333329,91.62924166666669,96.06109166666666,93.15952500000006,91.68766249999997,97.74742916666672,101.7585875,101.59390833333326,100.96904583333325,104.98347500000004,107.49713333333334,106.68652916666669,106.81700416666668,108.20725416666669,105.23970416666673,104.87936249999998,107.28325833333332,108.11834583333335,107.40193333333336
4.5 hr,94.01227777777773,92.77635925925927,90.50529259259254,89.70245925925923,91.10142962962965,89.56253333333338,86.04190370370372,86.21563333333324,83.5201925925926,88.91330370370376,86.40422592592593,90.35154074074076,92.77880740740747,90.75578148148153,93.1960703703704,91.87957777777771,91.60255555555558,96.09561851851849,93.21290000000006,91.69051111111108,97.78860740740744,101.73684444444444,101.60822222222215,100.95469259259252,104.84245555555557,107.57622592592593,106.7304777777778,106.79781111111109,108.24637407407407,105.27147777777786,104.77791481481482,107.25728518518515,108.08634074074077,107.40953333333333
40 day,92.43108000000001,92.44287750000001,92.35479750000002,92.31363750000001,92.31234,92.24763,92.1519275,92.16108,91.974185,91.9823625,91.73506999999998,91.72368999999999,91.68203499999998,91.56793499999998,91.4791175,91.47238,91.37357,91.45798,91.42645000000002,91.35470250000002,91.45351000000002,91.59154250000003,91.72436250000003,91.78047000000001,92.01110500000001,92.2099625,92.35420250000001,92.90857000000003,93.2966025,93.62430750000001,93.94382250000001,94.60419750000001,95.06025500000001,95.5307125
45 min,93.65622222222221,92.63315555555556,89.8840888888889,88.69806666666666,90.04822222222222,86.89991111111112,86.31133333333334,85.14135555555555,84.82200000000002,89.15740000000001,85.92893333333335,90.87279999999997,92.64855555555556,91.20920000000001,93.7698888888889,91.44084444444444,92.6414,95.74533333333333,92.98175555555554,91.81102222222222,98.11028888888889,101.45502222222221,101.87015555555551,101.39082222222223,105.92322222222218,106.68833333333335,106.55666666666667,107.01375555555556,107.91053333333333,105.37735555555552,105.31697777777778,107.19766666666666,107.99277777777776,107.39524444444443
