,2018-12-11,2018-12-13,2018-12-14,2018-12-17,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-22,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-07,2019-02-11,2019-02-13,2019-02-14
2 day,102.3225,101.94405,102.0536,102.28265,102.86375000000001,102.9785,102.9585,103.0184,103.7868,104.09115,104.61505,104.6051,104.0363,103.76185,103.66205,103.66705,103.92155,103.8417,103.76185,103.6371,103.39259999999999,103.68705,103.73195,103.62715,103.7918,104.06125,104.4205,104.38,104.3,104.53,104.18,104.295
2 hr,102.59738333333338,102.42353333333331,102.61542500000002,102.86485000000003,103.21006666666663,103.19960000000005,103.15461666666664,103.09669166666663,104.15202499999994,104.32217500000004,105.15532499999999,104.3838166666666,104.1668,103.91675833333323,103.8736583333333,103.85091666666666,104.09030833333334,104.06596666666665,103.92270833333332,103.81850833333337,103.85409999999996,104.07754166666665,103.80018333333334,103.87487499999993,104.12290000000006,104.27989166666673,104.8605333333334,104.13449999999999,104.50708333333328,104.45050833333336,104.07519166666661,104.47708333333331
2.5 hr,102.6140133333334,102.42539333333332,102.60647333333333,102.85940000000002,103.15394666666663,103.21666000000003,103.1530133333333,103.11514666666662,104.1400866666666,104.30798666666671,105.13500666666668,104.37967333333327,104.17414666666664,103.92941333333324,103.88074,103.87176000000001,104.09018666666668,104.05924666666672,103.93311999999999,103.83607333333339,103.85677999999994,104.08604000000001,103.79716000000003,103.88709999999996,104.11422000000003,104.22778666666674,104.85782666666672,104.12951333333332,104.49981333333326,104.44536,104.08015333333324,104.47403999999995
20 day,100.9804,101.18650000000001,101.28659000000002,101.39814000000003,101.62615000000002,101.73991500000001,101.859165,102.09718000000001,102.51092000000001,102.66371,102.84684499999999,102.96417000000001,103.05408,103.116075,103.178075,103.25053,103.44828,103.531205,103.59620000000002,103.63911,103.68051999999997,103.73590999999999,103.77782499999998,103.80825999999998,103.82572499999999,103.83570499999999,103.85865999999999,103.81219999999999,103.868365,103.941685,103.975515,104.01592000000001
20 min,102.59615,102.3876,102.58924999999999,102.90320000000001,103.3205,103.1283,103.17285000000001,102.99555000000001,104.15045000000002,104.41135000000001,105.19365000000002,104.36854999999996,104.0865,103.86994999999999,103.8991,103.82300000000001,104.10579999999997,104.02040000000002,103.93805,103.7734,103.80425000000002,104.06175,103.82360000000001,103.86695000000002,104.13809999999998,104.38650000000003,104.87370000000001,104.13125000000002,104.49475,104.46744999999999,104.06475,104.4793
200 day,100.27816399999996,100.30067399999994,100.31013999999996,100.32295849999996,100.35423399999996,100.37014549999996,100.38547849999998,100.41727349999998,100.466707,100.4869025,100.51172850000003,100.53329200000003,100.55306600000006,100.56948800000004,100.58552450000005,100.60268150000003,100.63421250000003,100.64835100000002,100.66167550000002,100.67566900000001,100.70402100000001,100.73208350000004,100.74657350000005,100.76072300000006,100.77818250000006,100.79639850000007,100.81725450000005,100.83501650000005,100.92244400000006,100.97549900000008,101.02245700000007,101.04678050000008
25 min,102.58624,102.39348000000001,102.5926,102.90120000000003,103.33239999999999,103.12283999999998,103.17296000000002,102.99691999999999,104.15076000000003,104.40848000000001,105.18951999999999,104.36159999999997,104.08584,103.86855999999997,103.88752000000001,103.82276,104.10027999999997,104.02332000000003,103.93804,103.76751999999996,103.81039999999999,104.06079999999999,103.82188000000002,103.86668000000002,104.13803999999999,104.38320000000002,104.87796,104.12900000000003,104.4992,104.47179999999997,104.06468000000001,104.47463999999998
3 hr,102.63188333333342,102.42537222222215,102.60095000000001,102.85174444444449,103.12296666666664,103.2285611111111,103.15445555555549,103.13375555555558,104.12387777777775,104.29608888888896,105.11506111111109,104.3684777777777,104.1756722222222,103.93556111111104,103.87739444444439,103.88287777777782,104.09236666666662,104.05165000000005,103.93723888888891,103.8451055555556,103.85939444444442,104.09761666666662,103.79230000000003,103.89822222222212,104.10840555555559,104.19115000000008,104.84984444444447,104.12617777777784,104.48479444444442,104.43681111111111,104.0859,104.47272777777772
3.5 hr,102.65214285714289,102.41982380952376,102.60358571428571,102.84635714285727,103.09551428571427,103.23374761904756,103.15174285714279,103.16458571428576,104.1080238095238,104.2926333333334,105.09445238095238,104.36386190476188,104.18269523809525,103.94723333333326,103.86592380952378,103.89718095238098,104.09371904761898,104.04743333333334,103.93854761904765,103.8500380952381,103.8497714285714,104.10251428571428,103.78665238095242,103.89927619047607,104.09827619047617,104.16592857142861,104.83706190476192,104.12985714285715,104.47225238095233,104.43174761904758,104.09153809523809,104.47085238095235
30 day,100.52417666666665,100.64216,100.71936,100.80366333333332,101.03616666666667,101.15672999999998,101.28028666666665,101.52475666666666,101.88173666666668,102.01506666666667,102.16573666666666,102.28316333333335,102.39160666666668,102.49206333333336,102.59253000000004,102.69398333333336,102.90922333333336,103.00407333333335,103.09030000000004,103.16282666666667,103.25806999999999,103.3424,103.38970666666665,103.44730333333331,103.51288999999998,103.58114666666665,103.65541333333333,103.70260999999999,103.84583333333332,103.95425666666667,103.98046999999998,103.99177333333333
30 min,102.57503333333334,102.39606666666668,102.5933,102.9006666666667,103.3357,103.12163333333334,103.17116666666668,103.00216666666667,104.15100000000005,104.40483333333336,105.18826666666668,104.35749999999999,104.08736666666667,103.86833333333331,103.87643333333332,103.82196666666667,104.0949,104.02506666666667,103.94049999999999,103.76243333333329,103.81616666666665,104.06049999999999,103.82063333333335,103.86586666666669,104.13536666666664,104.37783333333336,104.88096666666667,104.12870000000004,104.50333333333334,104.4744333333333,104.06446666666668,104.47159999999998
4 hr,102.67291666666672,102.41648333333328,102.6102958333333,102.83797916666678,103.08301666666665,103.24209999999997,103.14897083333328,103.19567916666668,104.08798749999997,104.2911291666667,105.08428749999999,104.37428749999998,104.18557916666667,103.95335416666666,103.85791666666665,103.91079583333338,104.09193333333327,104.0412166666667,103.93531249999995,103.85407083333342,103.84123749999996,104.10001666666673,103.79384166666674,103.90342083333323,104.08967500000004,104.1426208333334,104.82841250000003,104.13539583333333,104.46717916666661,104.43089166666661,104.0976791666667,104.46623749999996
4.5 hr,102.68396296296304,102.41005555555549,102.61566666666663,102.83138148148156,103.07565185185179,103.25148518518515,103.14251481481477,103.2283444444445,104.06973703703697,104.28491111111117,105.07698148148145,104.38322592592587,104.19232222222219,103.96330370370367,103.85386666666668,103.91660000000005,104.09029999999997,104.04121851851859,103.93254444444435,103.85473703703713,103.82977777777775,104.09605925925935,103.80266666666668,103.90567037037029,104.0837888888889,104.12750000000008,104.82040740740744,104.1370185185185,104.46453703703695,104.43588148148147,104.10410740740744,104.46531111111103
40 day,100.29193249999997,100.41388749999997,100.48690999999998,100.56293749999998,100.74203249999998,100.82613249999997,100.89908999999997,101.04649999999998,101.30752749999999,101.41497749999999,101.55704749999998,101.6764225,101.791295,101.89968000000002,102.01304000000002,102.11546500000001,102.31739000000002,102.40889750000001,102.49717000000003,102.57300000000002,102.7102175,102.86216000000002,102.93750250000001,103.01110750000001,103.092445,103.17331250000002,103.261185,103.32952250000001,103.52322,103.64703999999999,103.75336,103.80606
45 min,102.55775555555556,102.39695555555558,102.59502222222221,102.88682222222225,103.34233333333333,103.12686666666669,103.16875555555553,103.0212,104.16131111111115,104.3931111111111,105.20184444444443,104.35817777777774,104.09286666666667,103.87315555555553,103.8504222222222,103.82806666666664,104.08742222222223,104.03355555555558,103.93119999999998,103.76264444444442,103.8261333333333,104.0557777777778,103.80608888888892,103.86406666666669,104.13168888888887,104.35586666666669,104.88713333333334,104.1262888888889,104.51253333333334,104.47702222222217,104.06544444444442,104.4694444444444
5 day,102.19301999999999,102.18506,102.13327999999998,102.12928,102.45334,102.64128000000001,102.81530000000001,102.99944,103.32876000000002,103.51636,103.96741999999999,104.19694,104.25681999999999,104.18696,104.08518,103.80776,103.76186,103.7938,103.80178000000001,103.78182,103.57023999999998,103.54032,103.55430000000001,103.64012,103.71397999999999,103.8457,104.00736000000002,104.10491999999999,104.124,104.34199999999998,104.378,104.39199999999998
5 hr,102.69435333333341,102.41044666666657,102.61464666666663,102.82394000000005,103.06634333333332,103.25257999999997,103.13993666666666,103.25927333333337,104.05250666666656,104.27749000000007,105.06988666666665,104.38317666666663,104.20498666666666,103.97136666666664,103.85531000000005,103.92029666666672,104.09250999999998,104.04324333333342,103.93342999999992,103.85603000000005,103.81985000000002,104.0940500000001,103.80587666666668,103.9012366666666,104.08050333333335,104.1150333333334,104.81029666666669,104.14596333333336,104.46141666666655,104.44343666666667,104.10535000000002,104.46793999999993
5 min,102.624,102.383,102.56500000000001,102.89299999999999,103.25899999999999,103.13900000000001,103.19099999999999,102.982,104.171,104.418,105.228,104.393,104.10499999999999,103.86280000000002,103.91100000000002,103.83999999999999,104.1102,104.0166,103.93499999999999,103.78099999999999,103.80500000000002,104.059,103.83,103.85799999999999,104.155,104.364,104.859,104.11299999999999,104.48899999999999,104.451,104.064,104.506
5.5 hr,102.69772727272732,102.41112424242418,102.61007272727271,102.82153030303033,103.0520606060606,103.25482424242419,103.13529696969692,103.28750303030304,104.02989999999991,104.27420909090914,105.06253939393928,104.38520909090907,104.2181212121212,103.97907575757576,103.86373333333337,103.92594848484856,104.09769393939399,104.04532121212134,103.93164545454535,103.85868484848487,103.80886666666669,104.08634848484859,103.80531212121211,103.89624545454538,104.07296060606069,104.10718181818184,104.7991727272727,104.15166666666671,104.45572424242414,104.44874242424235,104.10299393939403,104.47009999999995
50 day,100.10557999999999,100.18350999999997,100.23855599999997,100.30473199999999,100.463082,100.53908799999999,100.6159,100.75623999999999,101.00393400000002,101.100134,101.21528,101.31306400000003,101.39990400000002,101.47084400000001,101.54774200000001,101.61471800000002,101.76460800000002,101.84409800000002,101.92067800000002,102.00459600000003,102.16624600000002,102.34464200000004,102.42598400000003,102.50196000000001,102.582334,102.66332400000002,102.75250399999999,102.824322,103.102864,103.258136,103.39265000000002,103.46054800000002
50 min,102.55428000000002,102.39764000000001,102.59582,102.88240000000003,103.34277999999999,103.12788000000002,103.16725999999997,103.02486,104.16318000000007,104.3889,105.21058000000001,104.35991999999995,104.09638000000001,103.87433999999998,103.84621999999997,103.82946,104.08599999999998,104.03726,103.93071999999998,103.76529999999997,103.82861999999997,104.05552000000006,103.80106000000004,103.86456,104.1317,104.35190000000003,104.88752000000001,104.12774000000003,104.51498,104.47705999999995,104.06609999999995,104.46994
55 min,102.55596363636366,102.39825454545453,102.59765454545453,102.88009090909094,103.35081818181818,103.13189090909093,103.16543636363635,103.02905454545454,104.16480000000008,104.38496363636366,105.21307272727273,104.36252727272725,104.1002363636364,103.87814545454543,103.84285454545453,103.83023636363637,104.08392727272724,104.04034545454545,103.92792727272727,103.76719999999995,103.83198181818179,104.0573454545455,103.79687272727277,103.86514545454544,104.13209090909093,104.34934545454549,104.88527272727272,104.13045454545457,104.51756363636365,104.47461818181812,104.06729090909086,104.47090909090907
6 hr,102.69816944444453,102.41176944444445,102.6049472222222,102.81971944444449,103.04391666666668,103.26214722222215,103.13403333333329,103.30905833333337,104.00862222222212,104.2725222222223,105.03714444444435,104.39523333333331,104.231875,103.98158611111108,103.86214722222226,103.93428888888891,104.10536666666671,104.05283888888896,103.9235583333332,103.85961111111115,103.80340555555556,104.08136388888903,103.80838333333328,103.89477777777772,104.06627222222227,104.10361666666668,104.7885138888889,104.15796111111119,104.45059166666654,104.4507555555555,104.09996944444453,104.47519999999992
6.5 hr,102.69827435897444,102.41575897435898,102.6020538461538,102.81420512820515,103.03958461538463,103.27326923076917,103.13902564102557,103.32069230769237,103.98482564102554,104.27414615384629,104.99553333333328,104.40567179487175,104.25318461538463,103.98084871794867,103.85940256410257,103.9462743589744,104.11598717948722,104.06446923076929,103.91754615384598,103.860417948718,103.79915897435903,104.08026923076932,103.81572051282048,103.89095641025635,104.05788461538467,104.09864615384618,104.77816666666664,104.18018461538466,104.44986666666645,104.45178717948714,104.09388717948723,104.48327948717942
60 day,100.09082999999997,100.14633666666663,100.18359499999997,100.22558333333332,100.32444666666666,100.37726666666666,100.42614,100.52356166666667,100.71080166666667,100.79543,100.89783000000001,100.98543333333336,101.0650716666667,101.13956000000003,101.20827000000003,101.27813166666671,101.42535166666671,101.50167500000002,101.57402500000003,101.64519833333338,101.77759500000002,101.9016266666667,101.95694166666668,102.01292,102.07752500000001,102.15025333333337,102.22953833333332,102.308765,102.63148166666669,102.792675,102.93110333333334,103.00342
70 day,100.20582428571426,100.22633857142853,100.24109714285711,100.25715428571426,100.31376142857141,100.34758428571426,100.38099285714286,100.45120714285713,100.59622857142857,100.65748857142857,100.73001571428571,100.79198142857145,100.85122714285717,100.90210000000002,100.9538285714286,101.00413714285719,101.11630142857146,101.17931285714288,101.24515142857146,101.31168142857148,101.43664000000003,101.56009571428575,101.61955000000003,101.67858142857145,101.74203142857147,101.81301142857146,101.88828428571429,101.95725714285716,102.21077714285715,102.33196714285714,102.4530742857143,102.51931857142858
80 day,100.35524874999996,100.36906624999995,100.37809374999996,100.38850999999997,100.42001124999997,100.43903999999996,100.46202999999998,100.50677999999998,100.59496374999999,100.63112499999998,100.68333,100.72419000000001,100.76601000000002,100.80310125000001,100.84106500000001,100.88075500000002,100.97182250000002,101.0204975,101.06823750000002,101.11311250000003,101.20308000000003,101.29348125000004,101.33712750000004,101.38431750000002,101.43202750000003,101.49202750000003,101.5612375,101.62642250000002,101.87329375000002,101.99954000000001,102.12013500000002,102.18449875000002
90 day,100.40375777777776,100.43612222222218,100.45643777777777,100.47908444444444,100.52299777777775,100.54342333333332,100.56594444444444,100.6061622222222,100.67742,100.70633333333333,100.74455888888889,100.77303111111111,100.80081222222226,100.82823333333337,100.85664888888896,100.88242555555563,100.9423255555556,100.97223222222225,100.99916444444447,101.0290477777778,101.08823666666669,101.15550777777781,101.19045555555559,101.2255155555556,101.26852111111117,101.31611222222229,101.36886000000001,101.41494555555558,101.6015033333334,101.70231000000004,101.80069111111114,101.86087777777782
Tomorrow,101.9142,102.1333,102.432,102.6841,102.9136,103.0034,103.2629,103.0334,104.2009,105.0292,104.181,103.8916,103.6321,103.69200000000001,103.6421,103.9515,103.7918,103.7319,103.5423,103.213,103.5224,103.6122,103.6421,103.9415,104.181,104.66,104.1,103.87,104.61,104.31,104.54,104.44
