,2018-12-11,2018-12-12,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-30,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-13,2019-02-14,2019-02-15
25 min,61.88419999999999,62.841199999999986,58.0792,56.679399999999994,55.0956,52.46576,53.45139999999999,53.7204,54.10440000000001,51.228599999999986,53.90548,55.256799999999984,57.03499999999998,57.78003999999998,57.62608000000002,56.05640000000001,55.828479999999985,56.89508000000001,58.903400000000005,55.222319999999996,55.35103999999999,56.57699999999998,57.036120000000004,60.0142,59.42576000000001,58.474400000000024,59.34788,59.60036,57.08892000000001,58.01144,56.792840000000005
3 hr,61.95331111111108,63.00971111111116,57.96390555555553,57.77194444444446,55.05103333333332,53.00773333333332,52.586050000000014,53.81184999999997,53.98688333333329,51.31615000000001,53.949100000000016,55.24682777777776,57.099627777777805,57.7016,57.45652777777775,56.283766666666665,55.87944999999997,56.88332222222219,58.88444444444446,55.391972222222236,55.18412222222222,56.70150555555558,56.777444444444455,60.03461666666673,59.48393888888889,58.511588888888916,59.374644444444456,59.60648888888887,56.85108333333334,58.0973777777777,56.69458333333331
3.5 hr,61.96995238095236,63.07600476190479,58.04192857142855,57.94449047619051,55.04683333333332,53.033642857142844,52.56611428571426,53.84449999999996,53.91824761904756,51.360728571428574,53.96831428571431,55.25346666666666,57.08060952380956,57.6534523809524,57.455642857142834,56.3153,55.87139047619047,56.8584952380952,58.91555714285716,55.522147619047615,55.14848095238097,56.6984761904762,56.70781904761906,60.06981904761911,59.458495238095246,58.499733333333346,59.32099523809523,59.62130476190472,56.78367142857144,58.152942857142776,56.69449999999998
30 day,59.96900000000001,60.42300000000001,61.35800000000001,61.47233333333334,61.406,61.21966666666667,60.388333333333335,59.538000000000004,59.238666666666674,58.817666666666675,58.58600000000001,58.46866666666667,58.394666666666666,58.367666666666665,58.245999999999995,58.05033333333333,57.798333333333325,57.333333333333336,56.98933333333333,56.703666666666656,56.502666666666656,56.355999999999995,55.72366666666667,55.897000000000006,56.12166666666667,56.357,56.54099999999999,56.72166666666668,57.049666666666674,57.167666666666676,57.36
30 min,61.920833333333334,62.84133333333331,58.062000000000005,56.69516666666666,55.13373333333332,52.46606666666667,53.39416666666666,53.734666666666655,54.07233333333336,51.24083333333332,53.89806666666666,55.25433333333332,57.032499999999985,57.80169999999998,57.63223333333335,56.04380000000001,55.83109999999998,56.887233333333334,58.90373333333334,55.212266666666665,55.34593333333331,56.58016666666665,57.035999999999994,60.04416666666667,59.43596666666667,58.47033333333336,59.3684,59.58883333333333,57.08360000000001,58.03753333333334,56.79196666666667
4 hr,62.021029166666644,63.14677083333334,58.09026249999998,58.084195833333375,55.05783333333332,53.03931249999999,52.53320416666665,53.879395833333305,53.843041666666615,51.36867500000001,53.97032500000003,55.25287916666664,57.07478333333336,57.597741666666685,57.47489166666664,56.28948749999998,55.84733750000001,56.801929166666646,58.96286666666666,55.64472083333331,55.11025000000002,56.73819166666667,56.64680416666668,60.129154166666716,59.43122499999999,58.459670833333334,59.275666666666645,59.635999999999974,56.67409166666667,58.17783749999993,56.68854166666664
4.5 hr,62.09201481481479,63.20177407407409,58.09893703703701,58.161422222222264,55.065485185185175,53.13618148148147,52.480211111111075,53.897759259259246,53.82571111111107,51.41045185185186,53.92445185185189,55.24713333333333,57.02313703703704,57.57620740740744,57.48152962962962,56.268311111111096,55.83015185185185,56.78675185185182,58.98523333333333,55.79684814814813,55.09563703703704,56.78005555555555,56.60050000000001,60.1919703703704,59.39034444444446,58.40485555555556,59.23698518518517,59.649370370370356,56.59504814814815,58.170955555555516,56.698777777777735
40 day,56.74300000000001,57.182,58.43150000000001,58.666500000000006,58.85,58.99400000000001,59.22149999999999,59.467999999999996,59.49125,59.4265,59.443500000000014,59.39950000000001,59.376999999999995,59.14975,59.00624999999999,58.839999999999996,58.656499999999994,58.384,58.20775,58.12149999999999,58.02624999999999,57.97724999999999,57.415,56.83550000000001,56.77575,56.71524999999999,56.65049999999999,56.575,56.456,56.45725000000001,56.42800000000001
45 min,61.96651111111112,62.83395555555555,57.96622222222222,56.75653333333332,55.24499999999998,52.520222222222216,53.23937777777779,53.71193333333334,54.065733333333355,51.20544444444443,53.8891111111111,55.25646666666666,57.025088888888895,57.80557777777776,57.62477777777778,56.01986666666668,55.84299999999999,56.88955555555557,58.92964444444445,55.190666666666665,55.33079999999999,56.61477777777777,57.04724444444445,60.054222222222215,59.436755555555564,58.46933333333335,59.467622222222246,59.546400000000006,57.03917777777779,58.08746666666664,56.772333333333314
5 day,62.318000000000005,62.186,60.068,58.89,57.614,55.96999999999999,53.89,53.379999999999995,53.902,53.374,53.334,53.672000000000004,54.318,55.04200000000001,56.346000000000004,56.766000000000005,56.870000000000005,56.598,57.38000000000001,57.290000000000006,57.056,57.013999999999996,56.831999999999994,57.936,58.358000000000004,58.616,58.932,59.31600000000001,58.948,58.766,58.288
