,2018-12-11,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-07,2019-01-08,2019-01-11,2019-01-18,2019-01-22,2019-01-28,2019-02-01,2019-02-12,2019-02-13
1 hr,32.70135,32.93275,31.913133333333338,32.47958333333333,31.990066666666667,31.454883333333328,29.612916666666656,30.672783333333335,30.557216666666665,31.505566666666667,32.88723333333334,32.65174999999999,33.52291666666668,36.311083333333336,35.57209999999999,37.29324999999997,37.348650000000006,40.391516666666675,41.31298333333335
1 min,32.42,33.05,31.92,32.42,31.96,31.32,29.7,31.14,30.48,31.3,32.63,32.74,33.56,36.42,35.62,37.27,37.43,40.69,41.36
1.5 hr,32.742933333333326,32.884977777777785,31.844922222222223,32.55734444444443,32.21767777777778,31.447600000000005,29.68547777777778,30.522333333333336,30.53288888888888,31.532400000000013,32.88443333333333,32.64723333333332,33.52165555555557,36.312422222222246,35.563888888888876,37.286644444444434,37.35103333333336,40.289722222222245,41.22777777777779
10 day,37.54,36.183,35.372,33.721000000000004,33.035,32.585,32.108000000000004,31.579999999999995,31.081,30.936999999999994,31.153999999999996,31.458000000000006,32.32800000000001,34.089,34.384,35.757,36.732,37.127,37.56
10 min,32.499900000000004,33.048,31.926499999999994,32.532500000000006,31.973999999999997,31.267000000000003,29.666000000000004,31.067500000000003,30.479499999999994,31.377,32.724500000000006,32.7085,33.5545,36.3385,35.5041,37.236,37.415499999999994,40.6029,41.331
100 day,41.64810000000001,41.477999999999994,41.37179999999999,41.17,41.067,40.9505,40.8132,40.549800000000005,40.166799999999995,39.934999999999995,39.7923,39.7088,39.47499999999999,39.14599999999998,39.081499999999984,38.87759999999998,38.736499999999985,38.447499999999984,38.41839999999999
125 day,41.806719999999984,41.61415999999998,41.501439999999974,41.286879999999975,41.18239999999997,41.07703999999997,40.96879999999998,40.78871999999999,40.565839999999994,40.41375999999999,40.25728,40.182159999999996,40.002720000000004,39.75567999999999,39.70272,39.52288,39.32616,39.022639999999996,39.02495999999999
15 min,32.55126666666666,33.047000000000004,31.910333333333327,32.537266666666675,31.961333333333325,31.296666666666667,29.640666666666668,31.016333333333332,30.538999999999994,31.423866666666672,32.776,32.70066666666666,33.577,36.33566666666666,35.5134,37.24193333333333,37.418,40.597933333333344,41.359
150 day,42.75633333333332,42.546733333333314,42.438866666666655,42.22046666666665,42.116266666666654,42.00526666666665,41.88873333333332,41.65479999999999,41.31133333333332,41.100399999999986,40.907399999999996,40.813066666666664,40.54779999999999,40.17519999999998,40.11206666666665,39.876399999999975,39.72919999999999,39.538399999999996,39.53339999999999
175 day,43.889599999999994,43.681885714285706,43.577257142857135,43.36714285714285,43.26445714285714,43.15451428571428,43.037371428571426,42.802,42.44879999999999,42.22028571428571,42.00537142857143,41.896228571428566,41.61411428571428,41.20079999999999,41.12599999999999,40.86342857142856,40.62291428571427,40.198342857142855,40.16685714285714
2 day,32.739999999999995,33.12,32.489999999999995,32.230000000000004,32.185,31.634999999999998,30.509999999999998,30.1,30.795,31.509999999999998,32.72,32.685,33.545,35.975,36.004999999999995,37.475,37.385000000000005,38.19,41.03
2 hr,32.744833333333325,32.85913333333335,31.79268333333332,32.62849999999999,32.30901666666668,31.347591666666666,29.74844999999999,30.449491666666674,30.51224166666665,31.55162500000001,32.913666666666664,32.658491666666656,33.53403333333336,36.325875000000025,35.58989166666666,37.29403333333332,37.369000000000014,40.26283333333334,41.165991666666706
2.5 hr,32.79166666666666,32.86952000000001,31.738759999999996,32.65229999999998,32.43826666666667,31.328226666666662,29.83025333333333,30.37077333333332,30.538833333333315,31.582866666666675,32.94428666666666,32.65585333333332,33.550633333333344,36.310620000000014,35.60535333333332,37.30695333333334,37.41294666666668,40.25783333333334,41.097873333333375
20 day,38.6135,37.8145,37.378,36.599000000000004,36.217,35.8695,35.42550000000001,34.56,33.22650000000001,32.32900000000001,31.8695,31.782999999999998,31.873999999999995,32.55600000000001,32.76900000000001,34.042500000000004,35.229499999999994,36.578,36.934999999999995
20 min,32.584450000000004,33.03,31.918249999999993,32.5182,31.934499999999996,31.35205,29.612000000000002,31.00025,30.57425,31.452050000000003,32.79050000000001,32.687999999999995,33.58,36.33500000000001,35.54855,37.25194999999999,37.4115,40.59670000000001,41.41075
200 day,44.98350000000001,44.765299999999996,44.6576,44.45645,44.351899999999986,44.2466,44.13585,43.898649999999996,43.5713,43.34674999999999,43.134499999999996,43.0362,42.771150000000006,42.37854999999999,42.29684999999999,42.02469999999998,41.7557,41.247699999999995,41.1954
25 min,32.61944,33.0012,31.915399999999998,32.50616,31.936400000000003,31.404439999999994,29.5656,30.9786,30.589000000000002,31.477760000000007,32.811960000000006,32.68583999999999,33.57752000000001,36.33620000000001,35.54884,37.25935999999999,37.404199999999996,40.58176000000001,41.422799999999995
3 hr,32.82314444444445,32.86466111111112,31.741655555555543,32.69185,32.531438888888886,31.344844444444433,29.863322222222223,30.295905555555557,30.567161111111094,31.614361111111112,32.97145,32.64405555555556,33.564416666666666,36.30611666666668,35.59143333333331,37.314350000000005,37.4419777777778,40.266566666666684,41.04588888888894
3.5 hr,32.858966666666674,32.87421428571429,31.77072857142856,32.76110000000001,32.61437142857143,31.364895238095237,29.904504761904757,30.251557142857145,30.601799999999994,31.65614285714286,32.98016666666667,32.626095238095246,33.59351904761904,36.29440476190477,35.61675238095235,37.31960952380952,37.450709523809536,40.29760476190478,41.00798571428576
