,2018-12-11,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-07,2019-01-08,2019-01-11,2019-01-18,2019-01-22,2019-01-28,2019-02-01,2019-02-12,2019-02-13
30 day,39.50866666666668,39.14666666666667,38.89,38.32233333333333,37.967000000000006,37.54333333333333,37.093666666666664,36.269000000000005,35.27900000000001,34.71166666666667,34.29766666666667,34.103,33.557333333333325,32.71566666666667,32.70766666666667,33.16833333333334,33.79866666666667,35.251333333333335,35.61466666666666
30 min,32.66086666666667,32.98466666666666,31.902499999999996,32.495466666666665,31.938,31.43093333333333,29.551266666666667,30.932666666666663,30.600066666666667,31.503200000000003,32.822300000000006,32.68303333333333,33.564933333333336,36.32650000000001,35.55303333333333,37.26966666666665,37.4005,40.55180000000003,41.42000000000001
4 hr,32.89882500000001,32.87215833333333,31.786870833333317,32.816787500000004,32.67655416666667,31.371924999999994,29.96285,30.197516666666672,30.643525000000004,31.681745833333334,32.976058333333334,32.631133333333345,33.60298333333331,36.299737500000006,35.62986666666665,37.299558333333344,37.455391666666664,40.28911250000001,40.962945833333386
4.5 hr,32.961596296296314,32.884888888888895,31.792796296296277,32.857833333333346,32.70810740740741,31.39844444444443,30.03372222222221,30.12338148148148,30.67573703703703,31.69342962962963,32.97068148148149,32.60485925925928,33.62177037037035,36.29805925925926,35.64717777777775,37.28343703703702,37.46259629629629,40.258440740740745,40.91815555555561
40 day,39.995250000000006,39.466750000000005,39.163500000000006,38.68300000000001,38.45525000000001,38.22425,37.9855,37.526500000000006,36.93775000000001,36.476,35.946,35.684749999999994,35.04774999999999,34.3865,34.31925,34.10725,33.779250000000005,34.245,34.481249999999996
45 min,32.69957777777778,32.960666666666675,31.910222222222234,32.45782222222222,31.977888888888888,31.47284444444444,29.557133333333326,30.783444444444452,30.5662888888889,31.516311111111104,32.873266666666666,32.66955555555556,33.53555555555556,36.318777777777775,35.57908888888889,37.29353333333331,37.37953333333333,40.460755555555565,41.369622222222226
5 day,34.916,33.23799999999999,32.73,32.525999999999996,32.278,31.932,31.486,30.633999999999997,30.676,31.24,31.787999999999993,32.24,33.172000000000004,35.006,35.36,36.507999999999996,37.126000000000005,36.97,37.775999999999996
5 hr,33.01851000000001,32.89477666666667,31.830053333333296,32.898966666666674,32.75053,31.45405333333331,30.08801666666666,30.02182999999999,30.71651999999999,31.67771333333333,32.96067333333335,32.57904000000001,33.61110333333332,36.284756666666674,35.66546333333332,37.28652666666665,37.45838333333333,40.21233333333335,40.87943333333338
5 min,32.444,33.052,31.956,32.457,31.98,31.259999999999998,29.71,31.106,30.435000000000002,31.322999999999997,32.658,32.74300000000001,33.543,36.38099999999999,35.507,37.278999999999996,37.415,40.589999999999996,41.361000000000004
5.5 hr,33.07568181818183,32.92268787878787,31.876721212121176,32.93406666666668,32.80449696969697,31.521784848484835,30.160642424242422,29.90626666666665,30.76120909090908,31.63639393939393,32.93366969696969,32.5577575757576,33.58892727272726,36.2625,35.67625151515149,37.29052121212121,37.453839393939376,40.19369696969697,40.84546363636367
50 day,40.985,40.5404,40.272400000000005,39.71340000000001,39.42600000000001,39.137,38.832,38.312200000000004,37.547000000000004,37.1338,36.8102,36.68,36.35479999999999,35.80259999999999,35.633599999999994,35.1896,34.9188,34.6326,34.6594
50 min,32.719120000000004,32.94920000000001,31.92206000000001,32.462039999999995,31.9871,31.475159999999995,29.571919999999995,30.743740000000013,30.55706000000001,31.512479999999996,32.880340000000004,32.661699999999996,33.53150000000001,36.31749999999999,35.576119999999996,37.29321999999997,37.36738,40.43492000000001,41.34796
55 min,32.71194545454546,32.94054545454546,31.920145454545466,32.471545454545456,31.982818181818182,31.46314545454545,29.592745454545447,30.708309090909097,30.55514545454546,31.509345454545453,32.88589090909092,32.65372727272727,33.52754545454547,36.31372727272726,35.57174545454545,37.290454545454516,37.35634545454545,40.4101090909091,41.328145454545464
6 hr,33.11755555555557,32.91818055555555,31.94093611111108,32.94958333333335,32.85266944444443,31.579405555555542,30.235552777777777,29.814716666666662,30.792547222222204,31.609624999999994,32.90210833333333,32.57250000000002,33.565941666666646,36.23319999999999,35.692033333333306,37.301727777777785,37.445947222222195,40.17016111111112,40.828827777777796
6.5 hr,33.1623435897436,32.91438974358973,32.00875128205126,32.93939487179489,32.84908461538461,31.61038717948717,30.304294871794866,29.754248717948716,30.822448717948706,31.60098461538462,32.85867948717948,32.61170512820513,33.533623076923064,36.2020282051282,35.71778205128202,37.32452307692309,37.444412820512795,40.07482820512823,40.85002051282052
60 day,41.55933333333333,41.249166666666646,41.04316666666666,40.57266666666666,40.3525,40.12733333333333,39.88783333333333,39.41750000000001,38.740500000000004,38.25066666666666,37.80649999999999,37.602999999999994,37.11666666666666,36.488833333333325,36.405833333333334,36.25516666666666,36.060500000000005,35.43483333333332,35.44683333333332
70 day,41.44328571428571,41.214428571428556,41.079714285714275,40.85271428571427,40.737714285714276,40.60599999999999,40.455999999999996,40.13371428571429,39.61999999999999,39.196142857142846,38.84542857142856,38.68357142857142,38.2232857142857,37.46314285714284,37.31757142857142,36.92242857142856,36.58971428571429,36.34571428571429,36.37071428571429
80 day,41.478874999999995,41.27112499999999,41.14312499999999,40.91124999999999,40.793499999999995,40.65962499999999,40.50124999999999,40.210375,39.82987499999999,39.61324999999998,39.42449999999998,39.33124999999999,39.03299999999998,38.40337499999998,38.28774999999999,37.914999999999985,37.495374999999996,36.855875,36.822375
90 day,41.54644444444444,41.305,41.17633333333333,40.93477777777778,40.84577777777778,40.75211111111111,40.62555555555556,40.379000000000005,40.0251111111111,39.80299999999998,39.60344444444443,39.496444444444435,39.22433333333331,38.91955555555553,38.86444444444442,38.66899999999998,38.31466666666666,37.742444444444445,37.69855555555556
Tomorrow,33.19,31.93,32.04,31.95,31.32,29.7,29.07,31.59,31.72,32.81,32.74,33.4,33.81,35.58,35.58,36.53,37.12,41.38,40.94
