,2018-12-11,2018-12-13,2018-12-14,2018-12-17,2018-12-19,2018-12-21,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-29,2019-01-30,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-13,2019-02-14,2019-02-15
1 hr,109.05191666666668,109.27348333333335,106.24829999999997,102.29619999999998,102.92320000000001,98.27930000000002,101.2715,97.79493333333333,101.75278333333333,102.20896666666664,102.82165000000003,103.39798333333333,102.58385,105.46693333333334,105.85226666666667,107.45133333333332,106.31678333333339,106.04903333333333,107.00489999999999,102.81188333333333,106.05676666666665,107.07858333333336,106.0754166666667,105.09321666666666,105.14499999999997,105.25668333333334,107.09681666666665,107.0477833333333,107.9525
1 min,108.6,109.41,106.02,102.93,103.69,98.18,101.66,97.36,101.93,102.06,102.82,103.58,102.769,105.38,106.15,107.707,106.79,106.19,107.17,102.94,106.38,107.23,106.09,105.32,105.75,105.28,106.783,106.875,108.21
1.5 hr,108.95982222222226,109.16955555555553,106.15814444444439,102.35874444444443,103.55144444444446,98.5362,101.29327777777779,97.93758888888888,101.8566666666667,102.22768888888888,102.86396666666668,103.27688888888886,102.50003333333332,105.47566666666668,105.88259999999997,107.36755555555554,106.18692222222226,105.9709888888889,107.00114444444444,102.80482222222223,106.0572222222222,107.07206666666666,105.98751111111116,105.07454444444447,105.15435555555554,105.2302888888889,107.12612222222221,107.02968888888891,107.95167777777777
10 day,109.01400000000001,109.04100000000001,108.625,107.825,106.53000000000002,105.103,100.812,99.978,99.802,99.857,100.314,101.63199999999999,101.794,102.73000000000002,103.602,104.17999999999999,104.93299999999999,105.126,105.48299999999999,105.8,105.93700000000001,105.465,105.397,105.304,105.154,105.171,105.609,105.856,106.39999999999998
10 min,108.8401,109.46470000000002,106.10170000000001,102.4171,103.74849999999999,98.01849999999999,100.98330000000001,97.5913,101.7979,102.1254,102.7707,103.5845,102.78120000000001,105.44569999999999,105.9227,107.41690000000001,106.4926,106.203,106.96959999999999,102.816,106.1122,107.0536,106.1095,105.25549999999998,105.27380000000001,105.32809999999999,106.82740000000001,106.9805,108.05800000000002
100 day,108.63517700000003,108.69547100000005,108.68791100000006,108.61750900000004,108.53875100000006,108.43881700000003,108.07186700000007,107.88326000000006,107.82140900000006,107.76869400000007,107.70998900000006,107.64494900000004,107.60177600000004,107.540835,107.53106100000001,107.52882299999999,107.463579,107.41019699999998,107.36721199999998,107.21664799999996,107.20021399999996,107.04503299999996,106.99303799999998,106.92149399999995,106.84936999999998,106.78529299999997,106.68286599999996,106.62105099999995,106.56556499999995
125 day,107.02246640000004,107.17139680000005,107.21930720000007,107.24209760000006,107.29248240000008,107.31291440000005,107.37667040000008,107.38726240000007,107.39999280000006,107.40828800000007,107.42036080000007,107.44735120000004,107.43315840000005,107.42536080000002,107.44590160000003,107.46432400000002,107.45240880000001,107.42256720000002,107.41008720000002,107.383684,107.39297359999999,107.34210240000002,107.32637360000003,107.29972479999999,107.27484800000003,107.25192720000001,107.2335112,107.23113519999998,107.23947919999999
15 min,108.8834,109.46113333333334,106.01266666666668,102.2636,103.54033333333332,98.06453333333336,101.03933333333335,97.66900000000001,101.79220000000001,102.16813333333332,102.74180000000003,103.55866666666667,102.73773333333335,105.44873333333335,105.89746666666666,107.41393333333333,106.49473333333334,106.1784,106.98313333333333,102.81566666666667,106.1022,107.05046666666665,106.13273333333333,105.26966666666664,105.22406666666667,105.32546666666669,106.86733333333335,107.00199999999998,108.07133333333334
150 day,105.54861800000002,105.72259133333338,105.78620066666672,105.82670400000003,105.92794000000004,105.9863606666667,106.06223800000006,106.08329800000006,106.1092473333334,106.12316933333341,106.1362053333334,106.16855000000004,106.18681000000005,106.25959666666671,106.30018866666671,106.34761133333338,106.43448933333337,106.47554800000005,106.51639466666671,106.5704366666667,106.62902866666668,106.82574600000002,106.87129200000003,106.91811933333334,106.9629186666667,106.9956606666667,107.07156733333335,107.10988666666668,107.14239266666668
175 day,103.72694800000004,103.93329257142864,104.0299714285715,104.10566000000009,104.24972114285724,104.33768914285724,104.48605657142869,104.55683885714295,104.61835085714296,104.66960114285726,104.71627600000011,104.84020457142866,104.89991600000009,105.07436971428578,105.14007257142863,105.20848400000007,105.31822914285718,105.37186057142861,105.43504171428576,105.52795314285719,105.5896805714286,105.76844114285716,105.81683257142858,105.86286514285715,105.90585542857144,105.94706914285716,106.02069028571431,106.05234514285715,106.08984285714286
