,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-24,2019-01-28,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-13,2019-02-14,2019-02-15
2 day,91.88,90.6,86.6,86.1,84.47,81.625,83.32499999999999,81.45500000000001,81.51,82.945,83.525,84.06,84.64500000000001,84.99000000000001,85.61,86.43,87.03999999999999,87.815,88.99000000000001,89.42,88.305,89.35499999999999,89.76,87.51,86.185,87.91499999999999,89.225,90.31,90.89,91.535,95.695,95.805,96.68
2 hr,91.82144166666669,89.0597416666667,86.63505833333332,86.83908333333328,82.93538333333335,81.05185000000002,83.25740833333336,80.96676666666664,82.45131666666667,83.45315833333333,83.8987916666667,85.13001666666665,84.07984166666667,85.34805833333331,86.15260833333335,86.90256666666667,87.09926666666668,88.05229166666662,89.43121666666663,89.17823333333332,87.41326666666663,88.74361666666664,89.89684999999999,84.83183333333334,86.7138333333333,88.5169083333333,89.39603333333329,90.9398083333333,90.17389166666672,92.39235833333332,95.43505833333334,95.93630000000005,97.24363333333332
2.5 hr,91.83244666666666,89.07467333333332,86.77220666666663,87.12255999999995,82.87159333333337,81.12677333333335,83.30975333333336,80.96229999999994,82.4864133333333,83.58563333333332,83.85723333333334,85.15722666666663,84.03307333333332,85.39409333333336,86.22154666666668,86.98206,87.08929333333337,88.06231333333328,89.40230666666663,89.22563333333335,87.26930666666662,88.6580533333333,89.85758666666666,84.90520666666663,86.70009999999996,88.48349999999996,89.32567999999999,90.95714000000002,90.1519466666667,92.40638666666668,95.38030000000002,95.92798666666667,97.21498666666665
20 day,91.75685499999999,91.52325999999998,90.917645,90.62171,90.39349999999999,89.97549999999998,87.6405,86.24249999999998,85.71,85.269,85.00450000000001,84.7295,84.44650000000001,84.12450000000001,83.8195,83.70750000000001,83.71300000000002,83.82900000000002,84.002,84.324,85.20250000000001,85.81,86.45349999999999,86.612,86.9265,87.2525,87.5545,87.931,88.2375,88.62,89.99049999999997,90.42299999999999,90.87699999999998
20 min,92.1594,88.94570000000002,86.55015000000002,86.1154,82.96020000000001,80.51174999999998,83.20779999999999,80.81674999999997,82.36625,83.50140000000002,83.75565,84.7925,84.32794999999999,85.28115000000001,85.9976,86.99989999999998,87.08155,88.33534999999999,89.35025,89.24695,87.56184999999996,88.8905,89.57275000000001,85.45150000000001,86.70790000000002,88.6495,89.3989,91.07624999999999,90.46425,92.2687,95.73219999999999,95.88625,97.30640000000001
200 day,78.18352499999997,78.31372149999997,78.54366599999997,78.65346399999997,78.75270649999997,78.83588399999996,79.32546949999995,79.50920499999997,79.61029399999997,79.72212999999996,79.84286349999996,79.97236149999996,80.09820349999997,80.23085449999996,80.36373699999996,80.48688699999997,80.62394099999997,80.76576849999996,80.90720499999996,81.05061299999996,81.34477749999996,81.63119749999996,81.94277999999994,82.07424949999994,82.21910699999995,82.36347599999993,82.51535149999994,82.67220199999996,82.82117549999994,82.98022399999996,83.43268049999998,83.57535699999995,83.72822049999995
25 min,92.11991999999998,88.97476,86.53236000000001,86.10356,83.08216,80.493,83.24503999999999,80.80999999999997,82.37207999999998,83.51576000000001,83.78656000000001,84.8426,84.29696,85.27384000000002,85.99348000000002,86.99264,87.07444,88.34603999999999,89.34056000000002,89.21812,87.56579999999997,88.89967999999999,89.6102,85.42720000000001,86.71968000000003,88.61399999999999,89.40271999999999,91.05199999999999,90.40628000000001,92.29231999999998,95.73151999999999,95.92488000000003,97.27752000000001
3 hr,91.7977722222222,89.18660555555553,86.90021666666664,87.27512777777773,82.91584444444445,81.17102222222222,83.33707777777781,80.9751222222222,82.58220555555555,83.68908888888888,83.81477222222223,85.16496111111108,84.04207222222217,85.44133333333336,86.27363888888888,87.0302611111111,87.08590555555557,88.05801666666662,89.41948888888885,89.24405000000002,87.1577944444444,88.57171666666666,89.83133333333333,84.89191111111109,86.66529999999996,88.45588888888886,89.23860555555555,90.95086111111112,90.12138888888893,92.38346111111113,95.32322777777782,95.92099999999999,97.18367777777773
3.5 hr,91.86138571428573,89.27208095238092,86.99012380952375,87.39694761904764,83.03627619047617,81.20880476190477,83.31842857142858,81.01656190476189,82.61889047619047,83.73259523809517,83.74612857142859,85.16091904761902,84.05839999999996,85.50727142857147,86.32287142857143,87.06265714285713,87.08921428571428,88.03613333333327,89.46793809523804,89.32829523809528,87.09376666666664,88.56982380952378,89.86813333333329,84.97246666666665,86.60186666666661,88.39875714285712,89.16562380952381,90.93103333333332,90.11324285714286,92.3225285714286,95.25790476190481,95.91625238095237,97.16499047619041
30 day,92.61500333333332,92.53567333333332,92.12295999999999,91.87285666666666,91.54167333333334,91.03879,88.82850666666668,88.08176333333334,87.76180666666667,87.63066666666668,87.45766666666668,87.30166666666666,87.16233333333334,86.981,86.67633333333332,86.419,86.15233333333332,85.911,85.794,85.69366666666666,85.617,85.50466666666668,85.44866666666667,85.39466666666667,85.421,85.51566666666666,85.738,86.09466666666665,86.496,86.81066666666668,87.98566666666666,88.43733333333333,89.00066666666665
