,2018-12-12,2018-12-14,2018-12-17,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-11,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-31,2019-02-01,2019-02-05,2019-02-13,2019-02-14,2019-02-15
5 day,28.715999999999998,28.502,28.252,27.424,27.026,26.688,26.78,27.762,27.558,27.582000000000004,27.868000000000002,28.351999999999997,28.869999999999997,29.748,30.052,30.234,30.54,31.056,31.318,31.27,31.389999999999997,31.53,32.324,32.568,33.436,33.006,33.333999999999996,33.522000000000006
5 hr,29.19325333333331,28.267443333333347,27.608543333333316,26.84550999999997,26.432616666666654,26.533956666666654,27.314740000000008,27.649516666666667,27.12808333333332,28.608383333333318,29.318119999999993,29.210159999999966,30.194639999999993,29.964580000000016,30.333186666666663,31.009290000000014,31.549156666666647,32.56258333333332,31.188223333333347,30.444663333333324,31.538886666666663,32.17825333333332,33.24550000000001,33.536073333333356,34.38977666666664,33.9329533333333,33.61835999999998,33.373106666666686
5 min,29.026000000000003,28.093,27.274399999999996,26.314,26.294999999999998,26.406,27.984200000000005,27.608999999999998,26.953999999999997,28.563,29.193,29.481,30.172000000000004,29.873,30.516000000000002,31.0644,31.636000000000003,32.431000000000004,30.841,30.261000000000003,31.698,32.313,33.339999999999996,33.561,34.265,33.902,33.821000000000005,33.307
5.5 hr,29.185345454545445,28.236148484848496,27.603918181818177,26.869542424242393,26.466378787878774,26.56105757575756,27.257551515151498,27.622136363636365,27.108006060606048,28.5668606060606,29.288072727272734,29.15878787878785,30.17678484848485,29.95405454545457,30.30548787878788,30.975324242424254,31.530260606060587,32.543033333333334,31.218215151515174,30.48831212121212,31.536069696969708,32.1595818181818,33.26956666666668,33.52702121212123,34.41015454545452,33.93026060606059,33.61157878787878,33.37288181818184
50 day,31.089200000000005,30.708600000000004,30.5254,30.193400000000008,30.025400000000005,29.876200000000004,29.496599999999997,28.9458,28.832399999999993,28.734399999999997,28.6658,28.646000000000004,28.632800000000003,28.597600000000003,28.512000000000004,28.4362,28.368999999999996,28.335200000000004,28.2832,28.2002,28.276199999999996,28.399799999999992,28.916799999999988,29.059399999999993,29.38639999999999,30.042399999999994,30.1402,30.2062
50 min,29.068720000000003,28.0259,27.31658,26.25912,26.36966,26.277400000000007,27.78154000000001,27.578559999999992,26.99266,28.59289999999999,29.33511999999999,29.468820000000004,30.2659,29.95328,30.46894000000002,31.042780000000004,31.664200000000005,32.45746000000001,30.82946000000001,30.315240000000003,31.65508000000001,32.21848000000001,33.213300000000004,33.51348000000001,34.28185999999999,33.941659999999985,33.841019999999986,33.31807999999999
55 min,29.074145454545462,28.03745454545455,27.33634545454545,26.245654545454546,26.36132727272727,26.304454545454547,27.7601090909091,27.572327272727264,26.99505454545455,28.592363636363626,29.335927272727258,29.45692727272727,30.26672727272727,29.954800000000002,30.46385454545457,31.04189090909091,31.658745454545464,32.45956363636365,30.834781818181835,30.316399999999998,31.658054545454554,32.215709090909094,33.21054545454546,33.513072727272736,34.28630909090908,33.94096363636362,33.83283636363635,33.31887272727272
6 hr,29.172563888888888,28.208102777777786,27.59649444444444,26.905466666666644,26.48866388888888,26.58783055555555,27.216272222222223,27.595766666666673,27.095133333333337,28.506205555555557,29.230719444444443,29.149513888888862,30.161066666666663,29.950430555555577,30.28839722222223,30.94682222222223,31.522066666666664,32.52115277777778,31.242266666666687,30.537991666666677,31.533649999999994,32.14932777777776,33.28323055555556,33.52348333333333,34.400377777777756,33.93011388888888,33.613961111111095,33.38155833333334
6.5 hr,29.160497435897437,28.18255384615386,27.576110256410246,26.938930769230733,26.48652307692305,26.603128205128204,27.198348717948736,27.538058974358982,27.097548717948712,28.45498205128206,29.16786923076922,29.17442051282048,30.15265128205128,29.9463307692308,30.273843589743592,30.914041025641044,31.498305128205125,32.49121794871797,31.27349743589745,30.599992307692315,31.50030256410255,32.13415384615384,33.27556153846156,33.53021538461538,34.37653589743587,33.936146153846146,33.61541025641024,33.41039743589744
60 day,32.26200000000001,31.93366666666667,31.730833333333333,31.325,31.1365,30.947166666666668,30.606,29.967500000000005,29.827333333333335,29.727166666666673,29.635000000000005,29.560500000000008,29.47766666666667,29.229,29.074666666666666,29.046833333333332,29.02983333333333,29.012333333333334,28.98483333333333,28.98183333333333,28.995999999999995,29.016,29.006333333333323,28.982333333333326,28.98683333333333,29.54233333333333,29.666,29.781333333333333
70 day,33.01842857142857,32.74771428571429,32.580999999999996,32.27985714285714,32.127285714285705,31.978857142857137,31.679999999999993,31.080428571428573,30.902571428571427,30.763714285714286,30.643142857142855,30.523571428571437,30.41014285714286,30.204000000000004,29.985000000000003,29.90814285714286,29.85442857142857,29.823571428571437,29.77,29.71771428571429,29.668285714285712,29.57771428571428,29.448285714285703,29.461142857142846,29.487714285714276,29.651999999999997,29.635714285714286,29.612142857142857
80 day,33.8135,33.537,33.391,33.077374999999996,32.90437499999999,32.73899999999999,32.43974999999999,31.905624999999993,31.773124999999986,31.66937499999999,31.57174999999999,31.479249999999997,31.385249999999992,31.194249999999993,30.994249999999994,30.88937499999999,30.791874999999987,30.718499999999995,30.635249999999992,30.540749999999992,30.46037499999999,30.399624999999986,30.151749999999986,30.12874999999999,30.11187499999999,29.931500000000007,29.943750000000005,29.952375
90 day,34.46488888888889,34.184888888888885,34.04044444444444,33.73955555555555,33.590999999999994,33.44522222222221,33.20299999999998,32.70066666666666,32.56599999999999,32.4461111111111,32.32422222222221,32.21044444444444,32.10566666666666,31.90122222222221,31.731777777777765,31.644111111111094,31.577999999999978,31.528555555555542,31.46155555555554,31.388333333333318,31.321555555555538,31.257888888888868,30.996888888888865,30.931555555555537,30.842999999999982,30.54433333333333,30.514000000000003,30.491222222222223
Tomorrow,28.3,27.31,27.05,26.31,26.49,26.84,28.43,26.96,28.55,29.18,29.48,30.18,30.08,29.65,31.09,31.61,32.4,30.96,30.29,31.69,32.31,31.89,33.53,33.66,33.9,33.74,33.32,NULL
