,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-03,2019-01-04,2019-01-09,2019-01-22,2019-01-30,2019-01-31,2019-02-04,2019-02-12
2 day,26.155,25.98,26.02,26.005,25.825,25.369999999999997,25.13,24.7,23.869999999999997,23.27,23.86,24.12,25.259999999999998,25.405,25.369999999999997,25.905,26.605,26.66
2 hr,25.930766666666667,26.236308333333323,25.90007500000001,26.044708333333322,25.74308333333332,25.059041666666676,25.244791666666664,24.194966666666662,23.656841666666665,23.234191666666682,23.933075000000013,24.350225000000002,25.46435833333334,24.89505,25.000041666666643,26.43239999999999,26.66174166666666,26.56820000000001
2.5 hr,25.92041333333333,26.292740000000002,25.91082666666667,26.055999999999987,25.770873333333316,25.094400000000018,25.30605333333333,24.20483333333333,23.69608666666666,23.185800000000008,23.907706666666677,24.356039999999997,25.472586666666682,24.911559999999998,24.983013333333314,26.43902,26.674686666666652,26.576173333333347
20 day,27.564999999999998,27.407,27.262,27.115499999999997,26.960999999999995,26.7885,26.654000000000003,26.5255,26.317500000000003,25.9005,24.836499999999997,24.7655,24.512,24.397499999999994,25.089,25.229999999999997,25.4785,26.051500000000004
20 min,25.868500000000004,26.119399999999995,25.93275,25.972799999999996,25.5805,25.06315,25.0715,24.18125,23.538999999999994,23.58775,23.935749999999995,24.316649999999996,25.364550000000005,24.873699999999996,25.044,26.499000000000002,26.564999999999998,26.51149999999999
200 day,25.001800000000006,25.00830000000001,25.023350000000008,25.03995000000001,25.05235000000001,25.062850000000008,25.07430000000001,25.08360000000001,25.088750000000005,25.095900000000007,25.13290000000001,25.153100000000006,25.230200000000004,25.441600000000008,25.57985000000001,25.605650000000015,25.653200000000016,25.798750000000013
25 min,25.872400000000003,26.126719999999995,25.918320000000005,25.976519999999997,25.586000000000002,25.038920000000005,25.0596,24.193120000000004,23.522800000000004,23.562800000000003,23.9422,24.311320000000002,25.379240000000003,24.866759999999996,25.032000000000004,26.483439999999995,26.581599999999995,26.529239999999994
3 hr,25.916955555555553,26.334377777777803,25.877266666666667,26.06833333333332,25.784672222222213,25.120472222222233,25.352572222222225,24.22544444444445,23.71751666666666,23.142388888888895,23.879305555555565,24.363005555555553,25.475900000000006,24.904466666666668,24.952711111111096,26.435133333333326,26.681283333333305,26.582966666666678
3.5 hr,25.898495238095226,26.35676190476192,25.856238095238087,26.086290476190452,25.792161904761894,25.14139047619049,25.389957142857153,24.254366666666677,23.737347619047622,23.132404761904773,23.850500000000004,24.358276190476193,25.48413333333334,24.901557142857143,24.89649523809522,26.432547619047607,26.68372857142855,26.594100000000008
30 day,28.181666666666665,28.130333333333333,28.051,27.941333333333333,27.803,27.66866666666667,27.507666666666672,27.315666666666672,27.103666666666673,26.651000000000003,25.72433333333333,25.608,25.381999999999998,24.845333333333322,24.692000000000004,24.726000000000003,24.82433333333334,25.55366666666668
30 min,25.887466666666676,26.130933333333324,25.91693333333333,25.982399999999995,25.58883333333334,25.030766666666672,25.05516666666666,24.201933333333336,23.523999999999997,23.529333333333337,23.943500000000004,24.312766666666672,25.39370000000001,24.86763333333333,25.029000000000003,26.480366666666665,26.593333333333323,26.544866666666664
4 hr,25.873787499999988,26.378812500000034,25.829541666666657,26.090295833333318,25.821416666666657,25.153887500000014,25.420987500000013,24.28675833333335,23.756470833333335,23.129729166666674,23.829895833333328,24.347262500000003,25.48932083333334,24.88972083333333,24.847716666666656,26.417674999999992,26.685174999999962,26.615775000000003
4.5 hr,25.87095185185184,26.390107407407445,25.8114074074074,26.095277777777763,25.842470370370364,25.154862962962977,25.425325925925943,24.31797037037039,23.79325185185186,23.11274074074075,23.82397777777777,24.343362962962967,25.49074444444445,24.892925925925926,24.795644444444438,26.412692592592588,26.688822222222193,26.634685185185194
40 day,28.446999999999996,28.362749999999995,28.260499999999997,28.158499999999997,28.046999999999997,27.919499999999992,27.795500000000004,27.658500000000004,27.568750000000005,27.341999999999995,26.6505,26.509750000000004,26.133499999999998,25.46149999999999,25.114749999999997,25.082749999999997,25.122,25.21325000000001
45 min,25.900311111111115,26.15762222222222,25.92924444444445,26.0055111111111,25.622622222222223,25.011400000000002,25.065555555555548,24.22557777777778,23.54237777777778,23.434733333333334,23.933444444444447,24.319177777777778,25.42602222222223,24.85728888888889,25.028399999999994,26.441777777777784,26.613022222222224,26.570199999999996
5 day,26.394,26.45,26.25,26.074,25.919999999999998,25.759999999999998,25.58,25.231999999999996,24.725999999999996,23.886000000000003,23.306,23.595999999999997,24.692,25.322,25.576,25.814,26.119999999999997,26.951999999999998
5 hr,25.901099999999985,26.39561333333336,25.804433333333318,26.107996666666654,25.866153333333326,25.161296666666672,25.413743333333354,24.362223333333354,23.835076666666662,23.083800000000007,23.79267666666666,24.351336666666665,25.481720000000006,24.90334,24.722833333333327,26.40119,26.68693999999997,26.66194666666667
5 min,25.907,26.048000000000002,25.993000000000002,26.041999999999994,25.606,25.117,25.19,24.238,23.499999999999996,23.693,23.918,24.346,25.323,24.842999999999996,25.131999999999998,26.643,26.519,26.458999999999996
5.5 hr,25.94499999999998,26.39467878787881,25.79763636363635,26.119287878787862,25.858048484848478,25.19129090909091,25.404266666666693,24.405657575757594,23.903130303030302,23.049106060606064,23.748993939393948,24.355448484848477,25.469109090909097,24.910778787878783,24.633027272727265,26.367136363636366,26.688842424242395,26.674451515151496
50 day,28.728399999999986,28.65199999999999,28.564399999999992,28.472399999999993,28.373199999999994,28.27059999999999,28.168999999999997,28.058399999999995,27.941399999999998,27.722199999999994,27.054799999999997,26.9396,26.743999999999996,26.14839999999999,25.6614,25.62,25.556200000000004,25.500000000000014
50 min,25.910080000000004,26.169859999999993,25.926320000000015,26.012559999999986,25.6347,25.007260000000006,25.067999999999987,24.236619999999995,23.55480000000001,23.410860000000007,23.934000000000005,24.324860000000005,25.432520000000007,24.847760000000005,25.03035999999999,26.4307,26.618220000000004,26.572579999999995
55 min,25.906981818181823,26.17578181818181,25.92120000000001,26.01214545454544,25.64454545454545,25.001418181818188,25.067818181818165,24.24147272727272,23.570727272727282,23.390054545454557,23.937818181818187,24.32896363636364,25.437927272727283,24.838418181818184,25.033563636363624,26.420454545454547,26.62401818181819,26.573799999999995
6 hr,26.00469444444442,26.39444166666669,25.810597222222228,26.12406666666665,25.839863888888882,25.232605555555555,25.394186111111136,24.44756111111113,23.97014722222222,23.022986111111116,23.707591666666666,24.35950833333332,25.46945555555555,24.921380555555547,24.55364999999999,26.334291666666676,26.689966666666624,26.705108333333317
6.5 hr,26.072935897435894,26.38986153846156,25.830410256410268,26.121676923076908,25.830528205128196,25.26642307692308,25.37896410256411,24.48313333333335,24.008589743589752,23.021330769230786,23.68208461538462,24.358728205128198,25.465474358974358,24.95353589743588,24.504023076923062,26.299487179487187,26.689648717948693,26.74283333333333
60 day,28.81433333333332,28.760166666666652,28.710666666666654,28.653833333333317,28.58733333333332,28.521333333333317,28.45516666666666,28.377166666666657,28.285166666666658,28.077499999999986,27.49149999999999,27.393499999999996,27.187666666666658,26.571499999999993,26.31666666666667,26.264500000000005,26.166000000000004,25.896166666666677
70 day,28.517714285714277,28.523571428571415,28.533142857142845,28.54142857142856,28.5442857142857,28.53514285714284,28.51999999999999,28.48842857142856,28.41885714285713,28.244142857142844,27.817714285714274,27.749571428571418,27.576142857142845,27.01242857142856,26.67285714285714,26.623714285714286,26.52214285714286,26.429428571428584
80 day,28.235374999999998,28.249499999999994,28.251624999999997,28.235499999999995,28.22062499999999,28.202249999999992,28.18762499999999,28.159249999999993,28.127249999999986,28.055874999999986,27.91774999999999,27.894499999999994,27.784249999999993,27.38224999999999,27.054749999999995,27.0055,26.914750000000005,26.73687500000001
90 day,27.802555555555557,27.814888888888884,27.828,27.852666666666664,27.871222222222215,27.880111111111106,27.890999999999995,27.892333333333326,27.880444444444436,27.856222222222218,27.690444444444438,27.66855555555555,27.629999999999992,27.57933333333332,27.333222222222215,27.30022222222222,27.244888888888887,27.07500000000001
Tomorrow,26.05,25.99,26.02,25.63,25.11,25.15,24.25,23.49,22.82,22.9,24.35,24.7,24.94,24.79,26.65,26.68,27.13,26.72
