,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,18.215,18.355,18.0,17.134999999999998,16.455,15.975,15.594999999999999,15.26,15.365,15.12,15.045,15.010000000000002,15.52,16.729999999999997,17.1,17.134999999999998,17.990000000000002,17.265,16.89,17.295,18.03,18.115000000000002,18.009999999999998,18.63,19.46,19.705,19.3,19.259999999999998,20.12,20.305,20.86,21.259999999999998,20.645,20.314999999999998,20.729999999999997,21.04,21.425,21.8,21.9
2 hr,18.492625000000007,18.274549999999994,17.647566666666663,16.61245,16.388016666666662,15.747108333333337,15.506916666666664,14.750533333333339,15.395349999999983,14.865550000000006,15.28214166666666,14.865241666666675,16.205016666666676,17.291966666666664,17.066866666666666,17.353999999999992,17.92705833333334,16.73035833333334,17.159141666666677,17.650183333333338,18.440508333333348,17.69644166666667,18.30233333333332,18.990624999999987,19.719275,19.50399166666667,19.077574999999985,19.436399999999995,20.109866666666676,20.569024999999993,21.305758333333326,21.335574999999984,20.041225000000004,20.750675000000005,20.864383333333333,21.189725000000013,21.592724999999994,22.002616666666675,21.848066666666643
2.5 hr,18.507286666666676,18.279586666666678,17.68245333333334,16.66647333333333,16.39230666666666,15.816306666666673,15.490273333333334,14.748546666666671,15.359293333333314,14.885340000000003,15.316506666666662,14.893706666666679,16.194086666666667,17.285533333333337,17.079959999999996,17.346546666666665,17.92881333333333,16.743360000000006,17.15453333333334,17.667339999999996,18.43663333333334,17.721646666666672,18.298299999999994,18.972633333333324,19.70189333333333,19.491,19.07886666666666,19.405886666666675,20.111433333333338,20.58246666666665,21.29030666666666,21.343666666666657,20.059393333333333,20.731239999999996,20.878986666666663,21.182680000000005,21.596580000000007,21.986773333333325,21.857439999999986
20 day,19.691499999999998,19.5905,19.4555,19.229999999999997,19.006999999999998,18.811,18.6355,18.3645,17.9095,17.243999999999996,16.9895,16.692999999999994,16.525999999999996,16.395,16.317999999999998,16.282000000000004,16.259499999999996,16.18,16.155499999999996,16.216500000000003,16.361,16.4685,16.636000000000003,16.8295,17.0455,17.246000000000002,17.434500000000007,17.660000000000004,18.171000000000003,18.383500000000005,18.584,18.799500000000002,18.935,19.0585,19.209,19.436,19.678499999999996,19.927,20.139000000000003
20 min,18.47345,18.290100000000002,17.620650000000005,16.485300000000002,16.371050000000004,15.565549999999998,15.554999999999998,14.8005,15.56345,14.828550000000002,15.171149999999997,14.843650000000002,16.297400000000003,17.2783,17.032500000000002,17.3503,17.8387,16.703749999999996,17.041600000000003,17.551099999999998,18.458700000000004,17.656600000000005,18.257299999999997,18.996499999999997,19.853249999999996,19.458250000000003,19.1086,19.3718,20.102300000000007,20.50385,21.24835,21.299500000000002,19.997899999999998,20.6252,20.83075,21.206999999999994,21.5906,22.016149999999993,21.80565
200 day,24.970550000000006,24.974250000000005,24.970250000000007,24.96445000000001,24.954700000000013,24.937900000000013,24.916050000000013,24.893450000000012,24.854500000000016,24.779300000000017,24.74925000000002,24.71680000000002,24.69800000000002,24.68095000000002,24.661700000000025,24.641900000000017,24.603800000000014,24.578350000000015,24.59100000000001,24.598800000000015,24.612950000000016,24.621400000000012,24.63275000000001,24.64555000000001,24.658250000000017,24.665200000000013,24.665700000000015,24.66590000000001,24.670250000000014,24.67795000000002,24.692400000000017,24.709800000000016,24.718600000000016,24.72910000000002,24.74320000000002,24.75570000000002,24.773750000000017,24.79360000000002,24.81460000000002
25 min,18.47264,18.27512,17.634240000000002,16.45656,16.368640000000003,15.575560000000001,15.57588,14.78,15.543800000000003,14.830039999999999,15.167519999999998,14.845880000000005,16.297840000000004,17.28536,17.0496,17.379800000000003,17.83956,16.716679999999993,17.056240000000003,17.55048,18.453560000000003,17.64244,18.277999999999995,18.99568,19.820479999999996,19.466560000000005,19.10664,19.36928,20.10376000000001,20.507759999999998,21.26088,21.305279999999996,19.987359999999995,20.633760000000002,20.819359999999996,21.205479999999994,21.60616,22.016159999999996,21.81232
3 hr,18.527838888888898,18.27887222222224,17.70042222222223,16.71299999999998,16.40049444444444,15.86371111111112,15.487199999999984,14.72889444444445,15.34155555555553,14.90401111111111,15.325933333333332,14.930894444444458,16.208800000000004,17.289527777777778,17.06029999999999,17.346500000000006,17.92998888888889,16.772283333333338,17.1568,17.669716666666652,18.431522222222227,17.73941111111112,18.300616666666667,18.95779999999999,19.691277777777767,19.46625555555556,19.080494444444437,19.38639444444446,20.11496111111112,20.58478888888887,21.26760555555555,21.354972222222212,20.070799999999995,20.717661111111106,20.90137222222222,21.180805555555555,21.602161111111116,21.97538333333332,21.859461111111102
3.5 hr,18.54099523809525,18.28832857142859,17.709785714285726,16.758680952380942,16.39765238095238,15.912409523809524,15.491376190476176,14.749914285714297,15.322219047619024,14.920714285714288,15.311452380952375,14.962652380952388,16.22497619047619,17.292223809523804,17.03805714285713,17.339404761904774,17.9452619047619,16.769090476190478,17.155547619047613,17.639928571428552,18.435019047619054,17.771476190476193,18.302276190476192,18.948976190476184,19.68399523809523,19.456623809523805,19.093185714285703,19.364290476190494,20.10815714285716,20.600128571428545,21.256833333333322,21.34874285714285,20.065933333333327,20.696804761904765,20.93013333333333,21.195709523809526,21.607604761904756,21.97532380952379,21.866119047619044
30 day,20.136666666666667,20.00666666666666,19.942,19.752,19.592333333333332,19.407333333333334,19.21066666666667,18.976999999999997,18.639000000000003,18.15233333333333,17.956999999999997,17.756999999999998,17.647333333333332,17.584999999999997,17.47233333333333,17.392,17.257999999999996,17.151,16.959666666666664,16.854,16.817999999999998,16.747666666666664,16.74,16.772,16.836333333333336,16.871333333333332,16.899333333333335,16.955333333333336,17.19966666666667,17.362333333333336,17.550666666666668,17.762333333333338,17.925666666666668,18.092333333333336,18.27166666666667,18.46766666666667,18.692,18.918,19.151333333333337
