,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-25,2019-01-30,2019-02-01,2019-02-04,2019-02-13,2019-02-14,2019-02-15
2 hr,25.35701666666667,25.974333333333355,25.285925000000013,24.581683333333334,24.539499999999997,24.491416666666662,23.769566666666663,23.793099999999978,24.34791666666668,23.510541666666676,23.076250000000005,23.877216666666648,24.227741666666695,25.60370833333333,25.99100833333332,26.27133333333335,26.714216666666644,26.90074166666668,27.043525000000027,26.17473333333335,25.9109,26.126408333333348,26.545583333333337,26.405649999999994,26.969800000000003,26.732608333333342,26.524758333333345,27.047466666666647
2.5 hr,25.334806666666665,26.006926666666686,25.31962,24.598219999999994,24.551186666666666,24.531399999999987,23.743519999999986,23.823333333333313,24.282106666666664,23.52133333333334,23.081133333333334,23.89325999999998,24.23975333333337,25.554739999999992,25.957706666666663,26.268513333333342,26.70147999999999,26.89528666666668,27.036193333333355,26.16101333333335,25.91291333333333,26.13853333333334,26.50702000000001,26.41352666666666,26.936673333333342,26.721966666666667,26.528040000000015,27.046726666666657
20 day,27.2095,27.139499999999998,27.048000000000002,26.892499999999995,26.729999999999997,26.5375,26.223999999999997,26.038,25.714,25.131500000000003,24.656500000000005,24.515000000000004,24.4055,24.3725,24.416499999999996,24.441,24.511999999999993,24.728499999999993,24.845999999999997,24.941999999999997,25.044999999999998,25.3405,25.708500000000004,26.0105,26.1775,26.4755,26.4575,26.47
20 min,25.340250000000005,25.93100000000001,25.28325,24.5405,24.447899999999997,24.5445,23.849,23.629799999999996,24.63975,23.67275,22.9319,23.826249999999998,24.217000000000002,25.73305,26.102449999999997,26.259000000000004,26.681249999999995,26.832899999999995,26.961550000000006,26.246250000000003,25.883499999999998,26.07174999999999,26.551,26.40299999999999,27.113,26.8174,26.490550000000002,27.113750000000003
200 day,32.58999999999999,32.52249999999999,32.45124999999999,32.377349999999986,32.30514999999998,32.233299999999986,32.08139999999999,32.00529999999999,31.853699999999986,31.62509999999999,31.464149999999986,31.386299999999988,31.309649999999984,31.18724999999999,31.12889999999999,31.07254999999999,31.018299999999986,30.910199999999985,30.855749999999986,30.795849999999987,30.731699999999993,30.550249999999988,30.37329999999999,30.248249999999988,30.18794999999999,29.85879999999999,29.835999999999995,29.820399999999992
25 min,25.351799999999997,25.934000000000005,25.2738,24.546000000000003,24.444319999999994,24.525200000000005,23.8744,23.618840000000006,24.61708,23.66812,22.942719999999998,23.8272,24.222199999999997,25.722239999999996,26.083759999999998,26.25916,26.691399999999998,26.845519999999993,26.984040000000014,26.240000000000006,25.881800000000002,26.068319999999986,26.547399999999993,26.404319999999988,27.107400000000005,26.820720000000005,26.503199999999993,27.10840000000001
3 hr,25.34302777777777,26.026994444444473,25.35000000000001,24.624905555555546,24.562966666666657,24.565272222222195,23.735638888888868,23.817033333333328,24.230433333333334,23.53784444444446,23.083694444444443,23.92221666666665,24.250572222222264,25.520088888888885,25.94681666666666,26.28465000000001,26.695155555555548,26.888422222222225,27.01715000000002,26.15436666666667,25.896172222222212,26.152822222222227,26.483377777777783,26.42182777777777,26.900122222222222,26.71472777777776,26.53567777777778,27.042822222222224
3.5 hr,25.355123809523807,26.02166666666668,25.383623809523826,24.648847619047626,24.578095238095226,24.589195238095197,23.746890476190462,23.819119047619026,24.203457142857157,23.550538095238114,23.098980952380945,23.943990476190468,24.258609523809557,25.49051904761905,25.949590476190444,26.305047619047624,26.683785714285715,26.882980952380958,26.98201428571431,26.141480952380952,25.901671428571415,26.168619047619046,26.459561904761912,26.422576190476185,26.85791904761905,26.702985714285713,26.54680000000001,27.041490476190468
30 day,27.35366666666666,27.32733333333333,27.278999999999996,27.189999999999994,27.085999999999995,26.978666666666662,26.729999999999997,26.56933333333333,26.31133333333333,25.970666666666666,25.651000000000003,25.529,25.43633333333333,25.302,25.24866666666666,25.20533333333333,25.15933333333333,25.087999999999997,25.04233333333333,25.028666666666663,25.013333333333332,25.065333333333335,25.18133333333334,25.299666666666674,25.39433333333334,26.018000000000004,26.110000000000003,26.251333333333335
30 min,25.36966666666667,25.932333333333336,25.272666666666666,24.555000000000007,24.443599999999996,24.50916666666667,23.881999999999998,23.627100000000002,24.595733333333335,23.664266666666663,22.954466666666665,23.82753333333334,24.218833333333336,25.708199999999998,26.069133333333333,26.25546666666667,26.701999999999998,26.855433333333323,26.99986666666668,26.231166666666674,25.88116666666667,26.06376666666665,26.547533333333323,26.40626666666665,27.098000000000003,26.819900000000008,26.50726666666666,27.09866666666667
