,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-15,2019-01-17,2019-01-18,2019-01-22,2019-01-29,2019-01-30,2019-02-01,2019-02-04,2019-02-06,2019-02-12,2019-02-13
25 min,176.37012000000001,173.32504000000006,165.57376,163.27771999999996,158.25668,161.51288,157.06152000000003,160.40968,165.19168,163.51764,164.42184,172.18436000000003,175.96244000000002,178.14719999999997,182.14631999999997,185.87171999999998,188.04447999999996,185.99304,190.57844,194.29823999999996,193.46836,186.00519999999997,187.05684000000002,191.5468,187.41431999999998,182.90788,183.84527999999997,185.34948000000003
3 hr,176.8206833333334,172.53326111111107,167.35231666666667,163.83155000000002,160.6535833333333,162.03102777777778,157.9723555555556,158.75499999999997,164.90905000000006,164.01953333333324,165.2469833333333,172.44053888888897,175.82841111111117,177.49787222222218,181.7206277777778,185.12618333333327,187.78557777777766,186.11978888888888,189.5606944444445,193.81136111111107,193.4562944444445,186.07432777777785,186.93245555555558,191.33434444444444,187.34673333333336,184.17536111111104,183.51257777777784,185.65557222222233
3.5 hr,176.8763476190477,172.49050000000003,167.59387619047615,164.11477142857146,161.08614285714282,162.11927619047623,158.01840000000004,158.7402238095238,164.9301761904763,164.0578095238094,165.4166999999999,172.39715714285725,175.72837619047627,177.32650952380948,181.6777666666668,185.13900476190474,187.6706095238094,186.1049095238096,189.54701904761902,193.79997142857135,193.5158952380954,186.09447619047626,186.83288095238098,191.42891904761908,187.2616761904763,184.2623619047618,183.4736285714286,185.6685666666667
30 day,172.77533333333332,172.83966666666666,172.55900000000003,172.2303333333334,171.69933333333336,171.23500000000004,170.32233333333338,168.75366666666665,168.14566666666667,168.0593333333333,168.01333333333335,168.40099999999998,168.93733333333333,169.53533333333334,170.26566666666665,170.88666666666666,171.31033333333332,171.73566666666662,172.10999999999999,172.66899999999995,173.14466666666664,175.55633333333336,176.12266666666667,177.88366666666667,178.861,180.58133333333333,183.5653333333333,184.21666666666664
30 min,176.39643333333336,173.29786666666672,165.6036666666666,163.09573333333327,158.233,161.67373333333327,157.01323333333337,160.27606666666665,165.25639999999996,163.43286666666665,164.48880000000003,172.19006666666667,175.9191666666667,178.15099999999995,182.16676666666666,185.85876666666667,188.00646666666665,185.9786,190.57650000000004,194.2547333333333,193.41196666666667,186.02649999999997,187.03769999999997,191.55686666666668,187.38599999999997,183.0002333333333,183.80406666666664,185.45953333333333
4 hr,176.96497916666672,172.4508958333334,167.96513333333334,164.3910875,161.38379999999995,162.0057208333334,158.1029708333335,158.6485958333333,164.9503875000001,164.02582499999986,165.5455291666665,172.2858208333335,175.6408625000001,177.20275833333332,181.6239333333334,185.02011249999998,187.53302083333318,185.9968916666667,189.55833333333328,193.754175,193.59436666666684,186.03620833333343,186.72150000000005,191.5831625,187.19993333333346,184.3199124999999,183.49342083333335,185.66810416666675
4.5 hr,177.01281481481493,172.5260666666667,168.221725925926,164.6299222222222,161.52679259259253,161.88231851851856,158.26455925925944,158.4663185185185,164.95361851851857,164.02515925925917,165.82679629629612,172.13204074074093,175.51567777777785,177.02186296296296,181.5595777777778,184.9465851851852,187.44391111111094,185.79101851851848,189.65527777777774,193.64765925925923,193.6636703703706,185.96735555555566,186.60300370370373,191.70024814814818,187.16037037037052,184.36736296296283,183.47651481481483,185.60447407407415
40 day,173.22174999999993,172.92099999999994,172.21724999999998,171.91075,171.44225,171.1205,170.95575,170.42225,169.8775,169.59975000000003,169.36075000000002,169.3135,169.329,169.18675000000002,169.23775,169.37475,169.7575,170.64999999999995,171.77224999999996,172.61299999999997,173.46599999999995,175.93024999999997,176.12025,176.54500000000002,176.79625,177.236,178.0155,178.39524999999998
45 min,176.43802222222226,173.17284444444448,165.83724444444442,162.68695555555553,158.29928888888887,161.97028888888883,156.97719999999995,159.96028888888884,165.24048888888882,163.39368888888885,164.5059111111111,172.21893333333333,175.9275111111112,178.14586666666665,182.19211111111113,185.7969111111111,187.94497777777772,186.00444444444446,190.32320000000004,194.19337777777773,193.35402222222223,186.04988888888892,187.04208888888886,191.48886666666667,187.37246666666658,183.36293333333333,183.73608888888884,185.62168888888894
5 day,174.856,173.618,171.666,169.706,166.34799999999998,163.92400000000004,161.21200000000002,158.04199999999997,160.65,163.084,163.462,165.528,168.41400000000002,170.91000000000003,174.554,179.01399999999998,182.10600000000002,185.416,187.084,188.392,190.38600000000002,188.08800000000002,187.52,188.79000000000002,188.768,187.964,181.89,182.462
5 hr,177.09559666666672,172.54240000000001,168.3789233333334,165.01180666666676,161.63150999999993,161.92523,158.4965266666668,158.16324999999998,164.93287000000004,164.0085533333333,165.96836333333314,171.97387333333353,175.3980833333335,176.9212933333333,181.47033000000005,184.87252999999998,187.30998333333324,185.67348999999996,189.7459466666666,193.5751666666667,193.7628366666668,185.9190400000001,186.4815133333333,191.72618666666662,187.11428000000015,184.42229999999992,183.51122333333333,185.56648
5 min,175.69199999999998,173.554,165.99,163.6978,158.965,161.078,156.8092,161.3646,164.89319999999998,164.096,163.798,172.535,176.0054,178.20800000000003,182.1,185.76899999999998,188.03,186.296,190.52100000000002,194.458,193.32020000000003,186.09,187.192,191.512,187.86400000000003,182.46200000000002,184.10399999999998,185.29
5.5 hr,177.14375151515156,172.61182121212124,168.28380909090916,165.3046090909092,161.76446060606054,161.96016969696967,158.77357575757586,157.8100393939394,164.91226969696973,163.84723030303024,165.93986666666657,171.73726666666687,175.24814242424253,176.80853636363636,181.33025151515162,184.80546666666663,187.20813636363627,185.58654848484844,189.74769090909078,193.5363515151515,193.84297878787896,185.93356666666676,186.36475757575758,191.73158787878785,187.03444545454556,184.46673939393932,183.4724696969697,185.57121212121208
50 day,175.4347999999999,175.06459999999993,174.17259999999996,173.68019999999996,173.14659999999995,172.65939999999995,172.26079999999993,171.39619999999996,170.2146,169.91819999999998,169.67899999999997,169.58499999999995,169.61860000000001,169.9206,170.25439999999998,170.58540000000002,170.94179999999997,171.53459999999998,172.09839999999997,172.50059999999993,172.87359999999998,173.9254,174.3748,175.3878,175.926,176.914,177.8228,177.93880000000001
50 min,176.50302000000002,173.08545999999998,165.95641999999995,162.59435999999997,158.30816,161.96535999999998,157.03727999999998,159.86953999999997,165.22983999999994,163.35647999999995,164.48732,172.22874000000004,175.87056000000007,178.14218,182.1694,185.76701999999995,188.02131999999995,186.00840000000005,190.23738000000006,194.20768,193.32542000000004,186.0548,187.06787999999995,191.4675,187.3832599999999,183.44594,183.71929999999998,185.66351999999998
55 min,176.52547272727273,173.02094545454545,166.05201818181814,162.51863636363632,158.20067272727275,161.8976909090909,157.1306727272727,159.79218181818177,165.21167272727266,163.32290909090904,164.47909090909087,172.24049090909094,175.80587272727277,178.11998181818186,182.14130909090906,185.73339999999996,188.08865454545446,186.01018181818188,190.17834545454548,194.18570909090906,193.30056363636365,186.06159999999997,187.12819999999996,191.44663636363637,187.3800545454544,183.51545454545453,183.6924545454545,185.68001818181818
6 hr,177.1422388888889,172.7786805555556,168.20457222222225,165.54850555555566,161.88259722222213,161.8698916666666,158.97155555555563,157.51801666666665,164.94571111111114,163.73679999999993,166.04171388888878,171.43014444444464,175.15477222222233,176.8084611111111,181.2041722222223,184.7280972222222,187.18994166666658,185.53468611111109,189.63246944444435,193.29726944444445,193.82147500000013,186.022263888889,186.27979999999997,191.7485138888889,186.96412500000014,184.47958333333324,183.4536527777778,185.56916388888885
6.5 hr,177.0641743589744,173.01495641025656,168.1032512820513,165.7776871794873,161.99012564102557,161.6251102564102,159.15835128205134,157.32476666666668,164.95652820512828,163.64354871794865,166.18275128205124,171.09968974358992,175.03211794871797,176.8761179487179,181.0442538461539,184.58767179487174,187.0540846153845,185.45122051282047,189.43181794871788,193.09260769230764,193.77422564102577,186.16038717948726,186.2335282051282,191.6678948717948,186.95297179487187,184.7369923076923,183.42210769230758,185.54788205128202
60 day,176.8596666666666,176.79799999999992,176.44983333333326,176.17233333333328,175.78049999999993,175.4246666666666,174.9221666666666,173.7766666666666,172.33983333333333,171.9308333333333,171.5255,171.3148333333333,171.15133333333333,171.18066666666667,171.2913333333333,171.36983333333333,171.545,171.5393333333333,171.9073333333333,172.19566666666663,172.52416666666664,174.19799999999998,174.49116666666666,175.05699999999996,175.28016666666662,175.45183333333333,175.83666666666664,176.18116666666668
70 day,177.26457142857134,177.12328571428566,176.73714285714283,176.50799999999998,176.21342857142855,175.9661428571428,175.65414285714283,175.00957142857138,174.4378571428571,174.20299999999997,173.96942857142852,173.8341428571428,173.73699999999997,173.61614285714285,173.50985714285713,173.414,173.36528571428568,173.17171428571427,173.17171428571427,173.30542857142854,173.4228571428571,174.05042857142857,174.07285714285712,174.47057142857142,174.62171428571426,175.081,175.7972857142857,176.02285714285713
80 day,177.58937499999996,177.56074999999996,177.33137499999998,177.17399999999998,176.94674999999998,176.72149999999996,176.41687499999995,175.70262499999995,174.93487499999998,174.73525,174.5385,174.45624999999998,174.42175,174.419875,174.45037499999998,174.53812499999998,174.69262499999996,174.90349999999995,175.10437499999995,175.26099999999994,175.40137499999997,175.24899999999997,175.18449999999999,175.2565,175.28949999999998,175.38099999999997,175.46824999999995,175.465375
90 day,177.3306666666666,177.31411111111103,177.12988888888884,177.00077777777773,176.8212222222222,176.6684444444444,176.4525555555555,176.07244444444441,175.63744444444444,175.4858888888889,175.3493333333333,175.3033333333333,175.26477777777777,175.23499999999999,175.20655555555552,175.20655555555552,175.2483333333333,175.29355555555554,175.4841111111111,175.6554444444444,175.82511111111108,176.38411111111108,176.5002222222222,176.74277777777775,176.8073333333333,176.80855555555553,176.37611111111107,176.29877777777776
Tomorrow,173.42,170.06,163.43,158.66,161.3,156.5,151.91,162.37,164.08,163.73,172.7,175.85,178.19,182.3,186.03,188.16,183.91,186.15,194.7,193.88,189.89,187.05,190.91,187.98,187.02,180.18,185.25,185.72
