,2018-12-12,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,104.69631666666666,102.18580000000001,103.21500000000005,103.16895000000002,102.40378333333334,100.64793333333333,103.4471166666667,103.51159999999997,99.66975,101.93343333333334,104.72331666666669,107.84525000000001,107.82099999999997,110.13036666666666,108.96085,105.11640000000001,106.46601666666669,107.76788333333336,107.06624999999998,99.98751666666665,101.36761666666663,103.90455000000001,102.30956666666664,100.9379833333333,102.65576666666671,105.42869999999996,104.42508333333332,106.51558333333332,107.63674999999999,95.85613333333335,96.59683333333334,93.44196666666663,89.92263333333335,92.13766666666669,93.30258333333332,93.27950000000001
1 min,104.22,102.24,103.43,103.05,102.14,101.34,104.63,104.005,99.15,101.79,104.41,107.94,107.49,110.0,109.03,104.96,105.93,108.26,107.39,99.83,101.48,103.68,102.39,100.81,102.6,105.54,104.95,106.305,107.32,96.39,97.14,93.44,89.19,92.14,93.29,93.31
1.5 hr,104.58726666666666,102.45634444444444,103.16552222222225,103.78978888888894,102.41638888888893,100.7024222222222,103.22573333333338,103.7365888888889,99.81899999999997,102.12168888888893,104.63878888888888,108.02163333333336,108.0112666666666,109.97998888888887,108.94758888888889,105.05158888888884,106.59940000000002,107.73464444444443,107.14443333333332,100.14062222222219,101.27234444444444,103.98574444444445,102.35321111111108,100.83477777777769,102.6992111111112,105.46206666666664,104.32593333333337,106.55204444444443,107.6980777777778,95.74924444444447,96.66558888888888,93.43608888888889,89.90146666666668,92.0313888888889,93.36165555555554,93.29661111111113
10 day,106.10799999999999,104.042,104.03900000000002,104.175,103.76499999999999,103.63499999999999,102.90799999999999,103.101,102.673,102.53799999999998,102.769,103.42399999999998,104.29399999999998,104.83099999999999,105.119,105.16,105.70700000000002,106.98499999999999,107.277,106.46600000000001,105.869,105.239,104.575,104.15799999999999,103.769,103.731,103.68900000000004,103.49300000000001,103.489,102.251,101.595,100.7,99.544,98.49799999999999,97.27099999999999,96.10599999999998
10 min,104.521,101.93640000000002,103.696,103.27950000000001,101.86300000000001,100.99000000000001,104.27680000000002,103.725,99.44,101.65549999999999,104.5868,107.915,107.42049999999999,110.01469999999999,108.9719,104.978,106.05110000000002,108.04550000000002,107.0415,99.80439999999999,101.4448,103.718,102.20649999999999,100.8545,102.526,105.54749999999999,104.7612,106.59380000000002,107.6063,96.601,96.89750000000001,93.4007,89.38899999999998,92.13759999999999,93.31289999999998,93.30879999999999
100 day,123.19089999999997,122.50839999999998,122.28939999999999,122.0941,121.984,121.8675,121.64660000000002,120.90440000000001,120.64390000000002,120.37290000000002,120.13600000000001,119.9243,119.73939999999999,119.58,119.42730000000002,119.22830000000002,118.79600000000002,118.28540000000001,118.025,117.6865,117.3405,117.03110000000001,116.71940000000002,116.38220000000001,116.11920000000002,115.8712,115.6153,115.3867,115.12039999999999,114.31219999999999,113.9425,113.56210000000002,113.12740000000002,112.74310000000001,112.36640000000001,111.9787
125 day,122.78191999999996,122.39407999999996,122.27743999999996,122.16983999999997,122.05095999999998,121.92808,121.71624,121.26207999999998,121.08872,120.91479999999999,120.77431999999999,120.66848,120.54624,120.41632000000001,120.27776000000001,120.11048000000001,119.78192000000001,119.4588,119.30304000000001,119.10024,118.88944000000002,118.71640000000001,118.55488000000003,118.45648000000001,118.37312000000001,118.31960000000001,118.25328000000002,118.11640000000001,118.00416,117.53824,117.31376000000002,117.03088000000002,116.72008000000001,116.42448000000002,116.16312,115.902
15 min,104.60586666666667,101.81953333333335,103.7206,103.22233333333334,101.92933333333333,100.902,104.0982,103.64733333333334,99.46900000000001,101.70299999999999,104.66686666666666,107.96666666666668,107.41460000000001,110.05653333333333,108.97833333333332,105.01466666666666,106.11140000000002,108.04593333333334,107.08413333333336,99.83626666666667,101.4202,103.76066666666667,102.22833333333331,100.90866666666669,102.54366666666665,105.51699999999998,104.73993333333334,106.60686666666668,107.63886666666667,96.59106666666666,96.80566666666665,93.47180000000002,89.54299999999999,92.11539999999998,93.32473333333331,93.2986
150 day,121.33453333333334,121.09453333333332,121.02759999999998,120.96079999999996,120.88226666666664,120.78599999999996,120.61393333333329,120.41526666666662,120.3387333333333,120.26953333333326,120.2016666666666,120.1632666666666,120.12459999999994,120.10733333333327,120.07806666666664,120.02179999999998,119.91779999999996,119.73999999999998,119.64546666666664,119.50626666666666,119.39733333333332,119.30193333333334,119.20786666666669,119.10020000000004,119.00600000000003,118.93693333333336,118.87686666666671,118.7984666666667,118.72466666666669,118.39733333333335,118.2394666666667,118.03946666666673,117.82133333333338,117.62793333333337,117.43153333333335,117.21193333333333
175 day,118.45914285714285,118.58359999999999,118.61668571428571,118.65342857142856,118.67777142857143,118.70165714285714,118.71714285714286,118.81942857142856,118.83525714285713,118.86657142857139,118.89639999999997,118.94948571428569,118.9937714285714,119.02634285714284,119.05005714285713,119.04937142857142,119.01199999999999,118.93394285714285,118.87834285714283,118.78531428571426,118.71154285714285,118.65571428571427,118.59468571428572,118.52,118.44451428571428,118.38502857142856,118.33765714285713,118.30165714285712,118.27434285714284,118.08074285714284,118.00365714285714,117.89714285714285,117.75234285714285,117.62925714285714,117.51508571428572,117.40485714285714
