,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-09,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-14,2019-02-15
2 day,109.78999999999999,110.28999999999999,109.7,107.88499999999999,106.58,106.245,104.58,101.98,100.435,102.335,101.475,101.69,104.335,105.995,106.07,107.235,107.06,108.495,108.455,105.25999999999999,102.255,102.315,101.58500000000001,101.375,102.05000000000001,103.165,104.345,105.49000000000001,105.84,105.36,105.275,105.23500000000001,105.24000000000001,105.605,106.345
2 hr,110.63870833333334,110.10714999999999,108.47549166666668,106.44876666666671,106.53101666666663,106.50888333333327,102.59011666666665,101.48268333333327,100.4456333333333,101.95986666666664,100.92742500000003,102.73990000000003,104.998675,106.02249166666667,106.13311666666671,107.26954166666665,106.95090833333337,107.9483,108.1447333333333,102.22205833333338,102.61050833333334,101.83534166666668,101.19591666666665,101.28615833333338,102.12694166666665,103.70812500000001,105.06827500000004,105.78715000000003,105.553975,104.91824999999999,105.25185833333333,104.89975000000005,105.43710833333331,106.25272499999997,106.2163416666667
2.5 hr,110.77330666666673,110.11049333333334,108.49508,106.46986666666669,106.6452733333333,106.84382666666662,102.53367999999998,101.6084466666666,100.37021333333333,102.03661999999998,100.89731333333337,102.74912000000003,105.07958666666669,105.98569333333333,106.12674000000003,107.23997333333334,106.9178266666667,107.93931333333335,108.10696666666664,102.09378666666669,102.58915999999999,101.84892000000002,101.30261999999999,101.19914666666672,102.10995333333337,103.62037333333335,105.10920000000004,105.77159333333339,105.60094666666669,104.92801999999993,105.18577333333332,104.9230666666667,105.42601333333332,106.25694666666662,106.17102
20 day,108.04537,108.274415,108.45992000000001,108.426225,108.33270499999999,108.29342000000001,108.16448,107.875165,107.22914499999999,105.76227000000002,105.30250000000001,105.0085,104.33250000000001,103.95300000000002,103.74000000000001,103.67500000000003,103.70200000000003,104.09350000000002,104.4885,104.60799999999999,104.67049999999999,104.66199999999999,104.6315,104.5865,104.603,104.75549999999998,104.8685,105.02000000000001,105.1075,105.12250000000002,105.10150000000002,105.04650000000001,105.01849999999999,104.8555,104.82649999999998
20 min,110.52675000000002,110.25174999999999,108.61425000000001,106.5326,106.59519999999998,106.02349999999998,103.34049999999999,101.02450000000002,101.1126,102.02675,100.936,102.63999999999999,104.74965,106.09430000000002,105.94935000000001,107.14170000000004,107.05094999999999,108.03299999999999,108.54825000000001,102.08914999999999,102.60499999999998,101.90489999999997,101.26624999999999,101.33399999999997,102.32300000000001,103.82799999999997,104.72575000000002,105.80539999999999,105.53755000000001,105.07475,105.27065,105.02855,105.46370000000002,106.31015,106.4154
200 day,104.79308349999998,104.88586249999997,104.97897249999998,105.05370099999996,105.12429149999998,105.18739699999998,105.23311399999997,105.26558399999998,105.31606099999999,105.45794350000001,105.49051300000002,105.53248300000003,105.69872400000003,105.83041800000005,105.90339200000004,106.05805200000003,106.13552900000002,106.29645950000003,106.38233500000004,106.43181800000002,106.47956950000004,106.52282450000004,106.55754450000003,106.59237000000006,106.62676250000008,106.65968000000004,106.69465900000004,106.74052200000006,106.78722450000005,106.82923450000003,106.87493750000002,106.91879000000003,106.94176650000003,106.97023100000004,106.98081400000002
25 min,110.56380000000001,110.23296,108.60860000000002,106.53188,106.54776,105.97540000000001,103.50748,101.01080000000002,101.05391999999998,102.0026,100.96520000000001,102.64839999999997,104.76572,106.09724,105.96428000000002,107.14676000000003,107.07115999999998,108.02639999999998,108.5068,102.07835999999999,102.59719999999997,101.89967999999999,101.25931999999999,101.32879999999999,102.294,103.83239999999998,104.74208000000003,105.80892,105.52672000000001,105.05619999999999,105.26720000000002,105.00988,105.44924000000003,106.31112000000002,106.38872
3 hr,110.86807777777788,110.08361666666666,108.5284,106.56115000000005,106.78335,107.07576111111106,102.59908333333328,101.6770666666666,100.26042222222216,102.04066111111106,100.8777444444445,102.73906666666666,105.1203333333333,105.99914444444451,106.13222777777777,107.23523888888892,106.88121111111109,107.90576111111112,108.08794444444446,101.92627777777776,102.52145555555555,101.8241944444444,101.35976666666662,101.14225000000003,102.10990555555556,103.54884444444447,105.11840000000005,105.74497777777779,105.65075555555555,104.9287055555555,105.14835555555554,104.96094444444451,105.40563888888886,106.26202777777775,106.14653333333338
3.5 hr,110.90587619047629,110.07139523809518,108.56215714285713,106.68358095238095,106.88012380952381,107.26568571428562,102.66902857142853,101.67208095238091,100.25327142857138,101.96329523809523,100.90944761904765,102.70972857142856,105.16031904761907,106.03650476190487,106.11845238095242,107.24014761904759,106.85884761904761,107.91905238095237,108.04415238095237,101.81395238095236,102.50498095238093,101.79316190476187,101.37060476190474,101.12391904761904,102.1048714285714,103.4787285714286,105.12334285714296,105.7264333333334,105.68819047619044,104.88645714285713,105.11346666666662,104.99264285714288,105.40581904761899,106.28145714285718,106.13640000000005
30 day,106.69809666666669,106.99931333333335,107.23262666666669,107.35934999999999,107.49602999999999,107.59178000000001,107.56363333333334,107.39932999999999,106.98226999999999,106.48215,106.22680333333332,106.08994666666666,105.85854333333333,105.73739333333336,105.5686666666667,105.4268466666667,105.33133333333338,105.30300000000004,105.34600000000003,105.12300000000002,104.90266666666668,104.62466666666667,104.32233333333335,104.06966666666669,103.93333333333335,103.842,103.80666666666666,103.90266666666668,104.06400000000001,104.25233333333335,104.38666666666668,104.483,104.60433333333332,104.82233333333333,105.014
