,2018-12-11,2018-12-12,2018-12-19,2018-12-21,2018-12-26,2019-01-02,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-07,2019-02-12,2019-02-13,2019-02-14,2019-02-15
5 hr,22.734333333333318,23.08780333333334,21.655423333333342,19.31086000000001,20.261526666666658,20.645699999999994,21.96625666666665,22.01815333333336,22.514646666666657,22.297490000000014,22.062776666666686,22.479213333333316,22.621813333333332,23.598889999999994,23.22951333333331,23.347489999999997,23.980963333333328,23.909289999999995,23.198089999999976,23.69441666666668,24.79227333333334,24.06005666666667,24.664393333333315,25.16594999999999,24.671293333333338,25.483776666666643,25.496779999999998,25.814153333333326,25.820670000000003
5 min,22.563,22.81,21.569799999999997,19.3852,20.729999999999997,20.613,21.756,22.04,22.488999999999997,22.372,21.984,22.485999999999997,22.591,23.547,23.328000000000003,23.389,23.884,24.093,23.217000000000002,23.887999999999998,24.7,24.235999999999997,24.5628,25.175800000000002,24.7592,25.425,25.446,25.835,25.531
5.5 hr,22.754109090909072,23.09788181818183,21.667909090909102,19.363903030303035,20.225257575757563,20.643209090909078,21.971027272727266,21.998596969696997,22.519618181818174,22.30025454545456,22.06716666666669,22.467790909090894,22.610996969696973,23.564351515151515,23.246690909090894,23.33730909090908,23.973221212121206,23.890384848484835,23.215909090909065,23.689284848484856,24.79785151515152,24.024996969696968,24.648293939393916,25.151848484848472,24.694378787878794,25.483003030302996,25.50013939393941,25.809378787878785,25.831930303030305
50 day,23.522399999999994,23.454199999999997,23.184999999999995,23.069399999999995,22.9438,22.640599999999996,22.499999999999996,22.501599999999993,22.516199999999994,22.523799999999998,22.507999999999996,22.465399999999995,22.436799999999995,22.4274,22.370399999999997,22.343399999999995,22.310399999999994,22.3064,22.2978,22.305199999999996,22.307399999999998,22.3268,22.387199999999996,22.4622,22.5808,22.683000000000003,22.702800000000003,22.7506,22.785999999999998
50 min,22.780340000000002,22.928200000000007,21.472820000000006,19.22342000000001,20.58372,20.561720000000005,21.864799999999995,22.066239999999997,22.49598000000001,22.34537999999999,22.05212000000001,22.51381999999999,22.679800000000014,23.705220000000004,23.2724,23.336719999999996,23.933760000000003,24.094599999999996,23.215040000000013,23.858260000000005,24.66736,24.219580000000015,24.569060000000004,25.19110000000002,24.803060000000002,25.429359999999992,25.536059999999985,25.861000000000004,25.60864
55 min,22.77376363636364,22.93121818181819,21.46420000000001,19.236836363636375,20.570290909090915,20.5604,21.87536363636363,22.06203636363636,22.49125454545456,22.344709090909074,22.054836363636365,22.516290909090895,22.676545454545472,23.702309090909097,23.26376363636364,23.33719999999999,23.93887272727273,24.088272727272724,23.211254545454565,23.862272727272735,24.67136363636364,24.215600000000013,24.570654545454545,25.191527272727296,24.799872727272724,25.429636363636362,25.5423818181818,25.858909090909087,25.631672727272726
6 hr,22.771116666666654,23.10613611111112,21.67249166666668,19.41582500000001,20.197661111111096,20.627211111111098,21.951680555555544,21.9822416666667,22.520211111111106,22.310897222222234,22.06906111111113,22.480069444444425,22.593822222222215,23.511974999999993,23.26606944444443,23.335372222222208,23.952036111111106,23.870783333333314,23.248747222222196,23.67768611111113,24.794422222222217,24.01099166666667,24.63754166666665,25.131908333333296,24.72004722222221,25.47867499999997,25.495763888888906,25.807727777777785,25.83904444444443
6.5 hr,22.779099999999985,23.105156410256427,21.66681794871796,19.483015384615396,20.181074358974342,20.58484358974358,21.9089564102564,21.976164102564134,22.497258974358974,22.307425641025652,22.072912820512837,22.487084615384596,22.582261538461527,23.46315897435898,23.275074358974337,23.33387692307689,23.936933333333336,23.834089743589725,23.29101282051278,23.661082051282065,24.769548717948712,23.993161538461536,24.628394871794868,25.1081051282051,24.728728205128196,25.47040512820509,25.493528205128225,25.78416666666668,25.843617948717927
60 day,24.027666666666658,23.971166666666658,23.627166666666657,23.38549999999999,23.162666666666663,22.819833333333328,22.71083333333333,22.698999999999998,22.665666666666663,22.639333333333333,22.591166666666663,22.524666666666665,22.51166666666666,22.514499999999995,22.528833333333328,22.54616666666666,22.58266666666666,22.61816666666666,22.625499999999995,22.63316666666666,22.649666666666658,22.65316666666666,22.661666666666658,22.68083333333333,22.685499999999994,22.726166666666664,22.75766666666667,22.777333333333335,22.815166666666666
70 day,24.37671428571428,24.318999999999996,23.999428571428563,23.80857142857142,23.64714285714285,23.33342857142856,23.094857142857133,23.022857142857134,22.892999999999994,22.838285714285707,22.77671428571428,22.69485714285714,22.673857142857138,22.68442857142857,22.694142857142854,22.701571428571427,22.70128571428571,22.703714285714284,22.679999999999996,22.66671428571428,22.67414285714285,22.686428571428564,22.702857142857134,22.72914285714285,22.810428571428567,22.94585714285714,22.974142857142855,23.003571428571426,23.025142857142853
80 day,24.768374999999992,24.709624999999996,24.349999999999994,24.165124999999993,24.000124999999993,23.707749999999994,23.48924999999999,23.43837499999999,23.35062499999999,23.30299999999999,23.248624999999993,23.159874999999992,23.112874999999992,23.078624999999995,22.97812499999999,22.932374999999993,22.895749999999992,22.869749999999993,22.831249999999994,22.802249999999994,22.804374999999993,22.806499999999993,22.827999999999996,22.858624999999996,22.913374999999995,22.9535,22.960874999999998,22.980749999999997,23.007749999999994
90 day,25.39555555555555,25.315999999999995,24.779777777777767,24.575555555555546,24.390111111111114,24.070999999999998,23.852999999999994,23.796444444444436,23.697333333333326,23.64777777777777,23.592777777777773,23.511888888888887,23.465666666666657,23.4291111111111,23.352444444444433,23.326444444444437,23.30222222222221,23.279333333333327,23.244666666666657,23.225444444444435,23.205555555555552,23.18199999999999,23.162444444444432,23.14088888888888,23.09499999999999,23.057555555555552,23.048666666666662,23.062444444444445,23.078777777777773
Tomorrow,22.81,23.19,20.37,19.75,20.87,20.09,22.07,22.3,22.39,22.01,22.58,22.6,23.59,22.9,23.39,23.9,24.14,23.24,23.93,24.71,24.24,24.57,25.2,25.24,25.42,25.45,25.78,25.54,NULL
