,2018-12-11,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-17,2019-01-18,2019-01-22,2019-01-24,2019-01-25,2019-01-29,2019-01-30,2019-01-31,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,1642.135,1653.3899999999999,1660.96,1556.41,1536.1950000000002,1523.28,1477.955,1407.43,1520.5500000000002,1519.705,1537.835,1602.45,1643.045,1658.0,1657.8200000000002,1648.3899999999999,1628.885,1688.5,1694.71,1664.185,1647.475,1662.75,1615.8850000000002,1632.1550000000002,1694.58,1646.06,1649.5349999999999,1627.315,1601.295,1589.6100000000001,1614.505,1639.005,1631.325,1615.3000000000002
2 hr,1643.4850333333322,1678.007399999999,1649.366558333334,1522.4806749999993,1544.5125999999998,1520.7479166666665,1459.84,1444.498725,1542.1733916666674,1507.7330500000003,1578.2021583333335,1625.768100000001,1657.9044166666667,1661.1854083333333,1654.1124916666674,1641.5360666666675,1625.9995750000012,1691.6805249999998,1697.9739416666664,1626.525441666667,1648.0629499999998,1671.9272166666674,1597.0007499999995,1667.4277083333332,1720.3060249999992,1658.139416666666,1637.8152999999998,1608.3300833333337,1584.7406583333338,1589.9961083333335,1634.7605500000004,1646.8140749999998,1625.2863166666664,1608.2321500000003
2.5 hr,1641.108059999999,1682.0070799999996,1649.7945933333335,1524.6576733333325,1546.39164,1531.5096933333334,1457.8999999999996,1442.1735666666666,1543.5974400000005,1508.634866666667,1579.6360066666666,1626.3718866666675,1657.0417133333335,1660.958093333333,1652.5823266666675,1641.173693333334,1627.8566266666678,1690.9653199999996,1699.5953866666662,1628.7938000000001,1647.2533866666668,1672.2032266666672,1598.0627866666666,1664.3322599999997,1720.4097333333325,1657.3169733333334,1638.3719200000003,1607.6315866666669,1583.8685333333342,1590.270486666667,1633.974353333334,1647.430766666667,1625.739433333333,1608.3823133333335
20 day,1618.2005000000001,1619.5349999999999,1620.8955,1615.614,1613.5175000000004,1612.657,1610.9255,1590.5350000000003,1558.4275000000002,1544.8235000000002,1540.1730000000002,1536.689,1538.0615000000003,1538.9810000000002,1539.6300000000003,1538.4810000000002,1536.4225000000001,1555.7855000000004,1565.8415,1574.4085,1603.0855000000001,1613.069,1627.6745000000003,1636.0975000000003,1645.0775,1655.7360000000003,1654.92,1652.6675,1649.2675,1646.7895,1647.8295000000003,1646.1015000000002,1643.045,1638.7814999999998
20 min,1647.8058000000005,1672.6656499999997,1655.6200500000002,1513.37465,1552.94115,1499.4558499999998,1458.8371000000002,1463.1464500000002,1537.4323500000003,1501.8207,1572.61335,1631.9900500000003,1655.8349000000003,1656.2996499999997,1657.9394500000003,1641.4853500000002,1619.251,1693.19915,1695.014,1628.50705,1652.49225,1669.6166500000004,1593.6296,1668.1554,1714.51855,1658.3714999999997,1639.6343999999997,1612.1248499999997,1584.4046500000002,1591.6707,1636.7664500000003,1640.9106499999998,1622.2738499999998,1606.1616
200 day,1703.1374999999994,1703.8952999999995,1704.6249499999994,1705.220549999999,1705.3598999999992,1705.1470999999992,1704.7262499999995,1702.0420999999994,1700.2799999999997,1700.05675,1700.0011499999996,1700.2393999999997,1700.7976999999998,1701.6169999999997,1702.1188,1702.83635,1703.7653,1707.9661999999998,1709.3943499999996,1710.2964499999996,1712.7146499999997,1713.8863999999999,1715.6674999999998,1716.8657,1718.2518500000003,1719.9007000000004,1720.4645500000004,1720.9471000000005,1721.5877500000001,1722.2419000000002,1722.8421500000002,1723.1790500000002,1723.4616500000004,1723.5901000000003
25 min,1648.6574400000006,1673.10448,1654.5811199999998,1512.8469599999999,1551.2980400000001,1498.3998399999996,1460.6999600000001,1461.4338000000002,1537.05168,1502.2471600000001,1572.5548800000001,1631.4852400000004,1656.5638399999998,1656.9146799999996,1657.9238,1641.85168,1620.33796,1693.632,1695.2820399999996,1627.2460800000001,1651.68628,1669.7845200000004,1593.81196,1667.90244,1714.5495999999998,1658.6585999999995,1639.2924799999996,1611.3591599999997,1584.38296,1591.3194399999995,1636.48796,1641.6868399999998,1622.6016399999994,1606.04164
3 hr,1640.9982499999987,1685.3619055555555,1649.305588888889,1527.097222222221,1549.273883333334,1538.0209666666665,1456.9843499999997,1439.3326222222217,1543.6102888888893,1509.684888888889,1580.8065833333333,1625.9323555555561,1656.5631333333342,1660.6377944444448,1652.2232000000015,1641.1775666666674,1628.8674666666682,1690.6043388888886,1701.311249999999,1630.9968722222225,1646.1036222222222,1672.081466666667,1598.4668277777778,1662.3576222222218,1721.4496388888886,1656.0790500000003,1638.816477777778,1606.9354388888887,1583.2173222222223,1590.8608388888895,1632.9079166666672,1647.8159333333335,1626.7128944444435,1608.456944444445
3.5 hr,1641.1178428571418,1687.439409523809,1649.4261666666675,1530.270419047618,1550.4905476190486,1543.4191571428569,1456.562161904762,1437.3399999999995,1541.6632333333334,1511.599295238096,1580.6631428571434,1625.695971428572,1655.9996571428576,1660.603457142857,1652.7034904761922,1641.8607142857145,1629.7596095238105,1690.1531571428568,1703.0915333333328,1634.4386095238096,1645.7685666666669,1671.8432904761914,1599.062752380952,1660.9044714285717,1722.911557142857,1655.6090285714279,1639.1236333333327,1606.1224619047623,1582.3083380952382,1591.29769047619,1631.9493047619055,1647.828057142857,1627.451038095238,1608.7456333333341
30 day,1628.5273333333332,1632.6826666666666,1636.948,1631.924,1628.1223333333337,1623.6983333333335,1617.6323333333337,1583.281666666667,1566.424666666667,1563.3203333333336,1565.4236666666666,1569.892,1574.553666666667,1579.7990000000002,1582.2953333333337,1584.2666666666667,1582.2486666666666,1579.4306666666669,1580.3573333333336,1578.1233333333334,1578.949666666667,1579.860666666667,1576.855666666667,1579.4730000000004,1586.067,1599.7656666666667,1608.526,1617.5396666666666,1621.4503333333332,1625.7623333333331,1631.0953333333334,1635.6963333333333,1638.4803333333332,1642.0693333333331
