,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-15,2019-01-16,2019-01-18,2019-01-23,2019-01-25,2019-01-31,2019-02-04,2019-02-05,2019-02-11,2019-02-12
20 min,109.79924999999999,115.96349999999998,114.62799999999997,112.12015,116.4598,147.4334,146.59679999999997,149.536,146.29084999999998,144.82800000000003,140.99949999999998,144.06535000000002,148.74960000000002,151.37875000000003,152.1243
200 day,108.0529,108.79459999999997,109.84905,110.08475000000003,110.33800000000001,112.74880000000003,113.11140000000002,113.87225000000004,114.64690000000004,115.38405000000006,116.76875000000004,117.46550000000005,117.84550000000003,119.30525000000002,119.69645
25 min,110.00887999999998,115.84019999999998,114.58159999999997,112.12667999999996,116.47484,147.45992,146.47583999999998,149.5664,146.25815999999998,144.83,140.97976,144.02736000000002,148.74024,151.41092000000003,152.06744
3 hr,109.7324777777778,113.95915555555553,114.91741666666675,111.85379444444449,116.67906111111112,147.42974444444445,146.10892777777786,149.95981111111118,146.47575000000006,144.92923333333334,140.91981111111107,143.8739666666666,148.4280833333333,151.51948888888884,153.3480055555556
3.5 hr,109.74256666666666,113.73490952380946,114.97043809523815,112.0205047619048,116.70387619047622,147.38125238095242,146.14225238095244,150.07310000000007,146.2922761904763,144.9478095238095,141.09629999999996,143.7867,148.30736666666664,151.56354285714283,153.4745285714286
30 day,128.09866666666667,124.43999999999998,121.50933333333333,120.64633333333332,120.4773333333333,123.89899999999999,124.48099999999998,125.63166666666665,127.181,128.60133333333334,131.40633333333332,133.34566666666666,134.635,139.141,140.28933333333333
30 min,110.11799999999995,115.72783333333331,114.56399999999998,112.15616666666662,116.46263333333332,147.4744666666667,146.36156666666665,149.61216666666667,146.2237,144.88833333333335,140.97413333333333,143.97756666666666,148.74746666666664,151.44276666666667,152.0283
4 hr,109.67335416666668,113.53242916666662,114.99387083333339,112.22889583333341,116.57849166666672,147.2721500000001,146.22647916666665,150.25898750000005,145.95909583333346,145.0990125,141.41204583333328,143.73121250000005,148.25307083333337,151.54512499999998,153.60530416666668
4.5 hr,109.62821111111111,113.27017407407403,115.0288888888889,112.44296296296304,116.37331111111114,147.06435555555566,146.33388888888882,150.45974074074076,145.70222592592606,145.27987777777773,141.74037037037036,143.61794444444456,148.2429666666667,151.36734444444434,153.70201111111106
40 day,128.35200000000003,127.27425000000001,126.08349999999999,125.5735,125.20849999999999,124.56349999999998,124.84599999999996,125.83499999999995,127.23299999999998,128.20350000000002,129.64875,130.19299999999998,130.67474999999996,133.01149999999998,133.75424999999998
45 min,110.18275555555554,115.48644444444442,114.68208888888888,112.13013333333326,116.41484444444441,147.39888888888893,146.2164222222222,149.66902222222222,146.17464444444445,145.04824444444446,140.8605333333333,143.9785111111111,148.80768888888886,151.47497777777775,152.08204444444445
5 day,114.502,111.25999999999999,117.53399999999999,116.69200000000001,116.352,142.308,143.96800000000002,147.172,148.686,147.19400000000002,142.212,142.192,143.93,146.924,147.722
5 hr,109.72782000000002,112.9772933333333,115.15249333333338,112.5522166666668,116.23295666666665,146.86897000000008,146.4177666666666,150.55307000000002,145.67691000000016,145.30784,142.06527666666665,143.48821333333342,148.24154000000001,151.14809333333332,153.80001999999993
5 min,109.73499999999999,116.5196,115.224,112.5,116.44500000000001,146.952,146.56,149.62199999999999,146.61999999999998,144.83399999999997,141.062,144.352,148.84,151.324,152.734
5.5 hr,109.84778484848488,112.77001212121203,115.30036363636368,112.50614242424257,116.1995757575758,146.6931424242425,146.44456969696964,150.6456666666667,145.6585757575759,145.36169696969694,142.4043636363636,143.34075757575764,148.20247272727272,150.96648484848487,153.66200303030294
50 day,128.3416,127.6458,126.59259999999999,126.25779999999999,125.95379999999999,127.61719999999997,127.83799999999995,128.54839999999996,128.94419999999997,128.7686,128.9072,129.44339999999997,130.02159999999995,131.8218,132.3824
50 min,110.18747999999998,115.41903999999997,114.69008,112.08801999999996,116.41075999999995,147.39300000000006,146.18957999999998,149.69502,146.15438000000003,145.07258,140.84987999999998,143.98119999999994,148.80857999999998,151.47047999999998,152.181
55 min,110.13352727272724,115.36092727272725,114.71825454545456,112.05019999999998,116.41559999999996,147.36510909090913,146.17494545454545,149.7151818181818,146.1446,145.08598181818184,140.86894545454544,143.97990909090905,148.81290909090905,151.45879999999997,152.27718181818184
6 hr,110.06652499999998,112.64302777777768,115.48298333333341,112.47934166666676,116.19744722222228,146.48832222222228,146.51586388888882,150.6307583333333,145.9789861111112,145.30547222222222,142.68051388888892,143.18664444444443,148.17000555555552,150.7809361111111,153.48940833333324
6.5 hr,110.28013846153848,112.53977948717939,115.64349743589749,112.54885641025643,116.12798461538462,146.30591794871802,146.6320076923076,150.6070051282051,146.30685128205138,145.1831282051282,142.88077948717958,143.13302820512817,148.0950102564103,150.62153589743585,153.32094102564085
60 day,128.90883333333332,127.29116666666665,126.55649999999997,126.32016666666665,126.20066666666665,127.73316666666665,127.9698333333333,128.6128333333333,129.3023333333333,129.93666666666667,130.72366666666665,131.10316666666662,131.3668333333333,131.39266666666663,131.5593333333333
70 day,130.72742857142856,129.2772857142857,128.06971428571427,127.68057142857143,127.31114285714284,127.42814285714284,127.74214285714281,128.44457142857138,129.25571428571425,129.82171428571428,130.42442857142856,130.79342857142854,131.04471428571426,132.26428571428568,132.6545714285714
80 day,132.37324999999996,131.18012499999998,129.87975,129.4895,129.128125,128.8225,128.91799999999995,129.13574999999997,129.25762499999996,129.28375,129.918375,130.37362499999998,130.70162499999998,131.86612499999998,132.11024999999998
90 day,132.50988888888884,131.98899999999998,131.25533333333328,130.92266666666663,130.6994444444444,130.38544444444443,130.43266666666662,130.5481111111111,130.59533333333331,130.6071111111111,130.72177777777776,130.77366666666663,130.81755555555554,131.0652222222222,131.3144444444444
Tomorrow,108.32,117.94,112.26,116.24,129.95,147.05,149.5,150.82,144.08,141.36,141.78,148.74,145.16,152.73,149.05
