,2018-12-11,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-02-01,2019-02-07
4 hr,67.06415000000005,67.62396666666665,66.74460833333336,65.8725208333333,65.1733875,65.07695416666671,63.54492916666664,62.78264166666668,62.422375,64.03670833333332,64.07836249999997,63.29397916666665,65.04195833333333,65.5907833333333,65.8525375,66.62171666666664,66.54261666666667,68.24256666666663,67.19520416666668,67.280325,67.51049999999996,68.36274166666664,67.71425,69.23772916666658,68.90342499999998
4.5 hr,67.08311851851855,67.64145925925921,66.76264074074074,65.9362555555555,65.17781851851852,65.12115925925929,63.555888888888866,62.852225925925936,62.34118518518517,64.02027037037034,64.06919259259257,63.323177777777786,65.01594074074069,65.58017777777775,65.82272962962963,66.6206296296296,66.5395259259259,68.23927037037032,67.22717037037039,67.27317777777778,67.52518888888892,68.36805185185182,67.7015037037037,69.25551111111108,68.8939148148148
40 day,68.4210475,68.28009499999999,68.1691175,68.06136000000001,67.94933999999999,67.81928,67.6885975,67.5754775,67.3254625,67.071685,66.9485825,66.80144999999999,66.699365,66.5998475,66.4806225,66.3240225,66.28298500000001,66.127225,66.14381999999999,66.14930749999999,66.16893999999999,66.1828,66.1829275,66.12806000000002,66.37093249999998
45 min,67.27597777777777,67.68417777777776,66.61264444444443,65.42255555555552,64.95753333333336,64.09397777777778,63.606155555555546,62.379422222222196,62.99622222222222,64.00899999999996,63.9548,63.10506666666668,65.02337777777778,65.53860000000002,65.98346666666664,66.78486666666663,66.56033333333332,68.19904444444445,67.09217777777778,67.41946666666668,67.60319999999999,68.31522222222222,67.82126666666665,69.19115555555555,68.9727111111111
5 day,67.04472,66.69197999999999,66.58297999999999,66.31345999999999,66.01976,65.40536,64.69084000000001,63.95233999999999,62.89,63.274,63.86600000000001,63.788,64.05199999999999,64.374,64.72999999999999,65.974,66.286,67.172,67.39000000000001,67.522,67.64,67.81,67.744,68.648,69.55199999999999
5 hr,67.11311333333339,67.64831999999993,66.79374333333334,65.99715666666663,65.18010000000004,65.15520999999998,63.59630666666664,62.90199333333335,62.24134666666664,64.00773666666663,64.06473333333331,63.32031,64.99787333333327,65.55629666666665,65.80707333333332,66.6128,66.53303999999997,68.23160333333328,67.25963000000002,67.28514333333331,67.52955000000001,68.37114999999994,67.6993033333333,69.26226999999996,68.90690999999997
5 min,67.064,67.718,66.626,65.49,65.03999999999999,64.184,63.44199999999999,62.355999999999995,63.392999999999994,63.9852,64.1172,63.04600000000001,65.077,65.47,65.97179999999999,66.827,66.60600000000001,68.20020000000001,67.13399999999999,67.426,67.64099999999999,68.324,67.8508,69.23300000000002,69.0396
5.5 hr,67.15713939393945,67.66267272727265,66.81934545454548,66.02329999999998,65.19566969696972,65.19004848484846,63.64691212121212,62.97113939393941,62.14565151515152,64.00808484848481,64.03624848484844,63.29660303030305,64.96900606060599,65.52989393939393,65.78785757575757,66.5958303030303,66.52545757575754,68.21657878787873,67.2865878787879,67.30176666666662,67.53780303030305,68.3766969696969,67.70079999999999,69.27207272727267,68.94288181818179
50 day,69.102772,68.839794,68.689578,68.535,68.38830999999999,68.225998,68.055262,67.90234,67.62781399999999,67.25792799999999,67.154888,67.02727199999998,66.943424,66.878278,66.86078199999999,66.83657000000001,66.84060000000001,66.705292,66.663078,66.598898,66.54861199999999,66.525218,66.517988,66.541076,66.73775199999999
50 min,67.29278,67.67416,66.62566,65.44639999999997,64.94218000000002,64.09966,63.60993999999999,62.403039999999976,62.96019999999999,64.00369999999997,63.95502,63.10126000000001,65.02516000000001,65.53758000000002,65.97741999999998,66.77477999999996,66.55749999999999,68.19758,67.08196,67.41162000000001,67.60417999999999,68.3177,67.81953999999998,69.18303999999999,68.96623999999998
55 min,67.28345454545455,67.66687272727272,66.6276909090909,65.46339999999996,64.92452727272729,64.08514545454544,63.599163636363635,62.43394545454542,62.92796363636363,64.00354545454542,63.956836363636356,63.101145454545474,65.02660000000002,65.53480000000003,65.96892727272726,66.76852727272724,66.55439999999999,68.19516363636363,67.07159999999999,67.40383636363637,67.60343636363635,68.32007272727273,67.81636363636363,69.17603636363636,68.96069090909089
6 hr,67.20148888888895,67.69042499999996,66.84690277777779,66.03883055555552,65.2139638888889,65.21709999999999,63.692372222222225,63.032161111111115,62.07152777777777,64.02158055555553,64.00524999999996,63.294097222222234,64.91588055555547,65.49445555555553,65.79068611111111,66.56751944444443,66.51834444444442,68.19180833333327,67.30615000000002,67.33317222222219,67.54194166666667,68.37444444444439,67.6950972222222,69.27766388888882,68.97076111111109
6.5 hr,67.24277435897443,67.708041025641,66.8621717948718,66.04774102564097,65.23064102564103,65.22480512820512,63.72012564102564,63.067569230769216,62.036994871794874,64.03643846153844,63.957566666666644,63.31904102564104,64.85091538461533,65.45994615384613,65.80500512820512,66.53565128205125,66.5078205128205,68.1705256410256,67.3322358974359,67.36236410256407,67.53679230769234,68.36257692307686,67.68933333333332,69.27566410256404,68.99111538461537
60 day,69.84378333333332,69.65254499999999,69.53099666666665,69.38120833333332,69.23023166666667,69.070035,68.89802833333333,68.70684666666666,68.32812333333332,67.84351,67.70066666666666,67.54675833333332,67.42833166666667,67.318885,67.25228333333332,67.17001166666667,67.12679833333333,66.90768666666666,66.884565,66.895985,66.89354999999999,66.91880833333333,66.94350000000001,66.97446666666667,66.95934333333331
70 day,70.2073157142857,70.04042428571427,69.94968857142855,69.8483357142857,69.75077714285715,69.63866285714286,69.51543428571428,69.37308,69.07394000000001,68.68559285714286,68.54517857142861,68.38862714285716,68.26574428571432,68.14645285714288,68.03472571428573,67.83567714285715,67.73324,67.32842714285712,67.26133,67.22652857142857,67.21028571428572,67.19286714285717,67.17411285714289,67.11105142857144,67.19632857142857
80 day,70.54028749999999,70.41679999999998,70.33529999999999,70.2399275,70.14849375,70.03887375000001,69.91346,69.77255124999999,69.48826125000001,69.15762375,69.05841875000002,68.94930500000001,68.86383000000002,68.78063000000002,68.70169500000002,68.54982250000002,68.47542500000002,68.07365125000001,67.99264625000002,67.91438500000001,67.83762375,67.77246750000002,67.69883500000002,67.49019375000002,67.435625
90 day,70.72857888888888,70.60405999999999,70.5257811111111,70.4362722222222,70.34850222222221,70.26031111111111,70.17063222222222,70.06398666666666,69.86413111111112,69.58839666666667,69.49426888888891,69.39188333333335,69.30566555555558,69.21607555555558,69.1313788888889,68.97634333333335,68.90393666666668,68.62662666666667,68.5734488888889,68.5206177777778,68.46361555555556,68.4142866666667,68.36237777777781,68.15126555555558,67.96822111111112
Tomorrow,67.122,65.9825,64.9817,64.95,64.05,63.49,62.29,61.18,63.74,64.14,63.05,65.06,65.46,65.94,66.55,66.62,66.24,67.33,67.5,67.62,68.37,67.9,67.91,69.64,69.03
