,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-23,2019-02-01,2019-02-05,2019-02-11
2 day,35.519999999999996,33.935,32.61,31.685000000000002,30.56,29.689999999999998,29.57,30.965,30.135,30.825000000000003,31.305,32.13,31.134999999999998,34.665000000000006,34.305,34.864999999999995
2 hr,35.651799999999994,32.529258333333324,32.41394166666668,31.11729999999999,30.700783333333337,28.69170833333334,30.389633333333318,30.353749999999973,30.08290833333334,31.25710833333333,31.54747500000001,32.61556666666665,30.54267500000001,34.415266666666675,34.616933333333314,34.337950000000006
2.5 hr,35.80319333333335,32.54917333333333,32.46572666666667,31.15609333333333,30.829380000000008,28.651520000000012,30.343239999999987,30.37676666666664,30.12782666666667,31.265960000000014,31.45260000000002,32.50975333333332,30.556393333333332,34.451246666666684,34.56702666666663,34.35505333333333
20 day,32.88849999999999,33.007499999999986,33.20599999999999,33.352999999999994,33.6055,33.6485,33.44349999999999,32.622,32.267,31.7065,31.4895,31.309500000000003,31.950500000000005,32.832499999999996,33.1805,33.46
20 min,35.08125,32.9671,32.31425,30.94515,30.262499999999996,28.971999999999998,30.698850000000004,30.2986,29.975150000000006,30.997500000000002,31.747300000000003,32.621,30.799750000000007,34.244749999999996,34.68625,34.25665
200 day,49.49702499999999,49.42287499999998,49.344975,49.253875,49.03782499999999,48.91352499999999,48.52067499999999,47.98492499999998,47.848624999999984,47.58367499999998,47.464574999999975,47.35597499999998,46.437374999999975,45.791274999999985,45.655474999999996,45.39432499999999
25 min,35.102199999999996,32.9326,32.318400000000004,30.951720000000005,30.28532,28.9944,30.677880000000005,30.28612,29.986560000000008,31.034800000000004,31.752239999999997,32.659800000000004,30.77,34.25512,34.6734,34.22912
3 hr,35.971266666666686,32.556544444444434,32.51992777777778,31.20076111111112,30.897727777777774,28.629005555555572,30.295811111111107,30.42057222222221,30.178888888888903,31.28025555555557,31.3629777777778,32.45379999999999,30.567666666666653,34.503422222222255,34.53624444444442,34.37940555555555
3.5 hr,36.12921904761906,32.59764761904759,32.56627142857143,31.261366666666664,30.941080952380936,28.645942857142874,30.251109523809514,30.422771428571433,30.241371428571437,31.275576190476205,31.274219047619063,32.39611428571427,30.560323809523805,34.534442857142885,34.51580476190474,34.45480952380951
30 day,34.09966666666666,33.88566666666666,33.623,33.257999999999996,32.56099999999999,32.16266666666666,32.08633333333332,32.33899999999999,32.37266666666666,32.581333333333326,32.66733333333333,32.771,32.02633333333334,31.96166666666667,32.269333333333336,32.88966666666667
30 min,35.12916666666667,32.91766666666667,32.324666666666666,30.961700000000004,30.302433333333337,29.005133333333333,30.661733333333338,30.273600000000002,29.99613333333334,31.055666666666674,31.745866666666668,32.68566666666668,30.7421,34.26259999999999,34.66506666666667,34.20393333333333
4 hr,36.24558333333335,32.635424999999984,32.579820833333336,31.340587500000005,30.992966666666653,28.630633333333353,30.20280833333333,30.4055625,30.283391666666667,31.255091666666683,31.216908333333343,32.33312083333332,30.559608333333337,34.56287083333336,34.488870833333316,34.59124999999998
4.5 hr,36.31275185185186,32.70535925925923,32.60624814814815,31.402755555555544,31.053674074074074,28.630103703703718,30.124874074074064,30.44712592592592,30.301288888888884,31.206929629629652,31.1542888888889,32.27651111111111,30.582377777777793,34.5780666666667,34.47488518518517,34.70589629629628
40 day,35.55237499999999,35.34062499999999,35.112624999999994,34.88362499999999,34.43062499999999,34.14287499999999,33.34574999999999,32.521249999999995,32.22975,31.733750000000004,31.778000000000002,31.855250000000005,32.77550000000001,32.549749999999996,32.4435,32.31425
45 min,35.26400000000001,32.834511111111105,32.38395555555555,31.017244444444447,30.344288888888897,28.994600000000005,30.61902222222222,30.285733333333326,29.996933333333345,31.111400000000007,31.729688888888898,32.7500888888889,30.693666666666658,34.268622222222206,34.62786666666666,34.20006666666667
5 day,36.052,35.215999999999994,34.471999999999994,33.45,31.466,30.715999999999998,29.348000000000003,31.272,31.092000000000002,30.7,30.736,31.166000000000004,32.676,33.712,34.308,34.556
5 hr,36.362106666666676,32.73193666666667,32.59772666666666,31.475179999999995,31.108886666666677,28.646876666666675,30.025013333333323,30.546563333333324,30.263683333333333,31.148316666666698,31.084916666666675,32.20516,30.625423333333348,34.583656666666705,34.47798666666666,34.81288999999998
5 min,35.02,32.899,32.4,30.982999999999997,30.314999999999998,29.067,30.7854,30.363999999999997,29.937,30.874000000000002,31.747000000000003,32.485,30.782,34.236000000000004,34.672,34.307
5.5 hr,36.36016969696973,32.75642424242423,32.57729696969697,31.53625757575758,31.171681818181842,28.73169393939393,29.915021212121196,30.64519393939394,30.212333333333323,31.108321212121243,31.00264242424241,32.147833333333324,30.667054545454558,34.611600000000045,34.47861212121211,34.878784848484834
50 day,36.51489999999999,36.32649999999999,36.12209999999999,35.88969999999999,35.457499999999996,35.25029999999999,34.69629999999999,33.96909999999999,33.7831,33.4037,33.253099999999996,33.07000000000001,32.042400000000015,32.5566,32.821000000000005,33.08379999999999
50 min,35.30840000000001,32.77371999999999,32.39587999999999,31.036120000000004,30.35876000000001,28.98152000000001,30.599920000000008,30.290559999999985,29.989580000000014,31.130380000000006,31.720120000000016,32.75878,30.675499999999992,34.27155999999998,34.60948,34.197460000000014
55 min,35.332,32.72012727272727,32.39972727272727,31.050927272727275,30.366600000000012,28.968290909090914,30.57647272727273,30.299418181818172,29.98607272727274,31.148618181818183,31.70834545454547,32.766890909090904,30.653999999999993,34.282109090909074,34.60825454545454,34.19776363636365
6 hr,36.356455555555584,32.79806111111111,32.56083888888888,31.54460000000001,31.205508333333363,28.825297222222222,29.82926111111109,30.729936111111105,30.15358611111111,31.126863888888916,30.962922222222197,32.1347861111111,30.721619444444457,34.63573888888894,34.471024999999976,34.922480555555545
6.5 hr,36.365746153846175,32.90171538461537,32.54380769230769,31.564828205128208,31.188446153846186,28.918348717948703,29.78136923076922,30.769961538461523,30.134453846153832,31.136076923076942,30.96946666666663,32.111912820512806,30.776558974358984,34.63707692307696,34.445310256410245,34.96206666666665
60 day,37.68249999999999,37.48583333333332,37.29033333333332,37.062333333333314,36.65058333333332,36.40674999999999,35.69708333333333,34.959916666666665,34.76158333333333,34.44975,34.34008333333333,34.24575000000001,33.22758333333334,32.430666666666674,32.21600000000001,32.50566666666667
70 day,38.91457142857142,38.70242857142856,38.48385714285713,38.28899999999999,37.86171428571428,37.60414285714285,36.842571428571425,36.097857142857144,35.913714285714285,35.55535714285715,35.40221428571429,35.249214285714295,34.16292857142857,33.51150000000001,33.339928571428594,33.07942857142858
80 day,40.04174999999998,39.85249999999998,39.65137499999998,39.439999999999976,39.023499999999984,38.79037499999998,38.080625,37.29175,37.10425,36.709500000000006,36.512375,36.336125,35.11443750000001,34.2793125,34.132437500000016,33.93331250000001
90 day,41.07633333333331,40.79511111111108,40.6042222222222,40.38244444444442,39.951222222222206,39.748444444444424,39.14877777777776,38.42566666666666,38.23066666666666,37.86333333333333,37.68366666666667,37.51155555555556,36.13322222222222,35.229000000000006,35.02761111111113,34.64794444444445
Tomorrow,32.84,32.38,30.99,30.83,29.09,28.22,32.1,29.92,30.8,31.76,32.5,33.89,31.13,33.9,34.08,35.99
