,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
3 hr,43.60437222222223,43.93609444444449,42.686672222222214,41.68531666666666,41.45706666666668,40.76460000000001,40.70032777777774,39.737222222222194,39.34899444444445,39.7466611111111,40.3798388888889,41.38411111111111,41.63061666666665,42.58246111111111,43.12439999999995,43.11336111111108,43.69348888888888,43.685538888888914,43.98152222222222,44.40334444444445,44.56962222222221,45.774344444444445,46.271094444444444,47.024877777777775,46.472283333333344,48.09012222222225,48.407455555555536,48.814049999999995,48.73447222222225,48.56045555555557,48.324788888888904,47.3983,48.18345555555553,48.742977777777796,48.68959999999999,48.879172222222216,49.22418888888887,48.92748888888889,49.37882222222226,49.92354444444441,49.72265000000004,49.04254444444445,50.00606666666666
3.5 hr,43.62465714285716,43.93778571428575,42.738285714285695,41.7071238095238,41.4873904761905,40.81064285714287,40.793890476190434,39.75315238095235,39.37217619047619,39.6952619047619,40.37873809523809,41.36035714285712,41.686042857142844,42.5895619047619,43.11898571428569,43.10019047619045,43.70862380952381,43.67406190476193,43.98805714285715,44.40272380952379,44.57257142857142,45.775300000000044,46.238247619047634,47.025033333333354,46.50023809523812,48.082104761904795,48.439223809523796,48.84073809523808,48.729552380952384,48.58262380952379,48.34786190476192,47.35982857142858,48.17118095238092,48.72697142857144,48.663161904761935,48.85979047619045,49.23301904761901,48.919942857142864,49.40101904761911,49.93165238095238,49.68328571428573,49.045299999999976,50.004690476190454
30 day,47.339880000000015,47.23933666666668,47.10298000000002,46.929876666666686,46.72772333333334,46.49189333333334,46.219053333333335,45.91583666666667,45.57296333333333,44.87883999999999,44.07371,43.849399999999996,43.61482000000001,43.41999666666668,43.26791666666668,43.13770666666667,43.02273333333334,42.87993000000001,42.74971666666668,42.617516666666674,42.504866666666665,42.40845,42.34881333333333,42.38724666666667,42.40845,42.50784666666666,42.65264,42.82592666666667,42.99424333333332,43.18475999999998,43.39813666666666,43.61018666666666,43.85967666666666,44.153896666666654,44.45507666666665,44.783756666666655,45.14126333333333,45.42388666666667,45.72075666666667,46.034193333333334,46.336026666666676,46.589360000000006,46.88964666666667
30 min,43.55426666666666,43.85770000000003,42.47363333333333,41.50443333333333,41.17266666666667,40.73516666666668,40.05336666666667,39.806000000000004,38.992000000000004,40.321000000000005,40.51110000000001,41.419333333333334,41.4519,42.62896666666668,42.9215,43.160066666666665,43.57436666666668,43.831800000000015,43.971333333333334,44.348666666666674,44.76200000000001,45.78809999999999,46.49483333333334,47.103500000000004,46.33706666666668,48.056299999999986,48.55753333333333,48.651433333333316,48.765833333333326,48.36383333333334,48.06763333333334,47.4783,48.27846666666667,48.87006666666666,48.7681,48.983700000000006,49.22866666666667,48.93979999999998,49.36803333333332,49.918,49.78060000000003,49.119500000000016,50.049933333333314
4 hr,43.66207500000003,43.94147916666669,42.7622708333333,41.72933749999998,41.533008333333335,40.857749999999996,40.84777083333328,39.782145833333296,39.389520833333336,39.650337500000006,40.36360416666666,41.33445416666665,41.71672083333332,42.579699999999974,43.10949166666665,43.091458333333314,43.702716666666674,43.67962083333336,43.98369583333336,44.39806249999995,44.58007083333333,45.7647083333334,46.210058333333365,47.02989166666669,46.517233333333365,48.07067500000002,48.453087499999974,48.854170833333335,48.70596250000001,48.60877916666665,48.35723333333333,47.31282916666668,48.171483333333306,48.72813333333332,48.62262083333334,48.84185833333326,49.23869166666663,48.90282083333334,49.39887083333339,49.95478333333335,49.644158333333365,49.042462499999964,50.003816666666665
4.5 hr,43.72865925925931,43.935407407407425,42.794966666666625,41.74883703703703,41.58153333333334,40.89253703703702,40.869681481481436,39.807851851851815,39.42752962962964,39.57611851851853,40.33411111111111,41.3391296296296,41.73995555555556,42.56132592592589,43.09582592592591,43.04716666666666,43.68662592592593,43.68974444444449,43.98150740740741,44.37535555555552,44.56245185185187,45.748644444444515,46.17444074074078,47.02551111111114,46.53422592592595,48.090540740740764,48.468218518518476,48.85404444444445,48.68449629629632,48.62345555555554,48.35235555555556,47.290633333333346,48.17246666666663,48.71422592592593,48.602133333333335,48.823077777777705,49.244281481481465,48.874488888888905,49.38892962962969,49.975603703703726,49.6288703703704,49.021514814814815,49.99451851851852
40 day,47.132900000000014,47.033780000000014,46.900145000000016,46.735985000000014,46.590050000000005,46.44281500000001,46.31993750000001,46.142170000000014,45.98603500000001,45.63512250000001,45.175292500000005,45.033370000000005,44.87116000000001,44.72840500000001,44.57678500000001,44.42201250000001,44.2588975,44.107425,43.97945000000001,43.86464500000001,43.7891025,43.72449250000001,43.67877000000001,43.64273750000001,43.621615000000006,43.646465,43.6857275,43.70088500000001,43.7227525,43.72126249999999,43.71554749999999,43.68895749999999,43.68647249999999,43.76400249999998,43.83705999999998,43.93322749999998,44.05921749999999,44.19812749999999,44.33976999999999,44.52340999999999,44.72990499999999,44.929597499999986,45.16947499999999
45 min,43.62006666666666,43.87428888888891,42.48244444444445,41.53797777777777,41.21515555555555,40.6937777777778,40.0688,39.83833333333333,39.032666666666664,40.21308888888888,40.44082222222222,41.380999999999986,41.445022222222235,42.60362222222223,42.97326666666666,43.10248888888889,43.606244444444464,43.840199999999996,43.955844444444466,44.37284444444447,44.744644444444454,45.80364444444443,46.45344444444446,47.125555555555565,46.35115555555557,48.08908888888889,48.55200000000001,48.67317777777778,48.78706666666665,48.41055555555556,48.14164444444444,47.46113333333335,48.238844444444446,48.85348888888887,48.75828888888888,48.96826666666667,49.2294,48.9593111111111,49.34935555555555,49.93,49.804688888888904,49.1528888888889,50.04039999999999
5 day,44.64394,44.212540000000004,43.538599999999995,42.82888,42.224540000000005,41.68978,40.976099999999995,40.42742,39.9344,39.35192,39.88868,40.499,40.666000000000004,41.0954,41.56456,42.04964,42.44126,42.92036,43.192719999999994,43.49687999999999,43.82091999999999,44.25828,44.82088,45.429199999999994,45.868539999999996,46.524559999999994,47.09114,47.506620000000005,47.85452,48.19646,48.17062,47.96982,47.89228,47.93402,48.04932,48.24812,48.588080000000005,48.73718,48.81867999999999,49.029399999999995,49.2023,49.18758,49.46056
5 hr,43.79104666666672,43.9269766666667,42.825513333333284,41.77895333333334,41.62904666666667,40.935666666666656,40.89540333333329,39.84230999999995,39.44983666666668,39.472996666666695,40.320049999999995,41.33932333333332,41.74113666666668,42.5408033333333,43.07320666666666,43.00520000000001,43.65069666666666,43.68807000000004,43.954809999999995,44.33970999999996,44.53010000000002,45.72684666666673,46.114933333333376,47.02128333333335,46.552970000000016,48.102310000000024,48.48251333333331,48.85740333333333,48.67969,48.63827999999998,48.357470000000006,47.28674666666667,48.16899333333331,48.686436666666665,48.60927666666667,48.806396666666615,49.250336666666655,48.84207333333335,49.38585666666674,49.99066000000004,49.637690000000035,48.99212,49.97961333333334
5 min,43.468,43.748,42.497,41.562,41.168,40.790000000000006,40.15,39.671,39.044000000000004,40.462,40.581999999999994,41.553,41.38,42.631,42.843,43.16,43.514,43.771,43.98,44.314,44.781,45.777,46.54600000000001,47.025999999999996,46.375,48.06999999999999,48.633,48.681999999999995,48.772000000000006,48.263,47.964,47.626,48.288,48.992,48.81699999999999,48.992000000000004,49.29299999999999,48.99300000000001,49.411,49.875,49.566,48.9944,50.084
5.5 hr,43.86526969696974,43.926084848484884,42.866845454545405,41.814963636363636,41.636527272727264,40.988827272727264,40.91148181818177,39.882903030302984,39.49783636363639,39.364345454545465,40.315966666666654,41.3216,41.713148484848496,42.51132424242423,43.046521212121206,42.96840909090911,43.60131515151516,43.6637454545455,43.9055696969697,44.32873636363633,44.482630303030305,45.688987878787934,46.050181818181834,47.003012121212144,46.55338181818184,48.107933333333364,48.489072727272706,48.86266060606059,48.68211212121211,48.66584545454544,48.342572727272724,47.304269696969705,48.17408181818178,48.65130909090909,48.611696969696986,48.78761212121208,49.28518787878787,48.836806060606065,49.37755454545462,49.988930303030315,49.6449878787879,48.97201818181818,49.96094545454546
50 day,47.67400200000001,47.56368400000001,47.43188,47.25431600000001,47.054976,46.8542,46.622722,46.391788000000005,46.16413200000001,45.81049000000001,45.371096000000016,45.262102000000006,45.15604400000001,45.107242000000014,45.02566200000001,44.98266,44.916779999999996,44.866733999999994,44.811776,44.766144000000004,44.72729,44.69665,44.671052,44.644916,44.597970000000004,44.572158,44.54206,44.51869000000001,44.511931999999995,44.498216,44.5008,44.48569,44.48290599999999,44.49304399999999,44.52186999999998,44.55904599999998,44.604371999999984,44.62365399999998,44.65347199999999,44.68488199999999,44.71747999999999,44.72873199999998,44.768951999999985
50 min,43.63606000000001,43.88286000000002,42.48232,41.553779999999996,41.22774,40.69010000000002,40.07222,39.83942,39.057199999999995,40.18158,40.42473999999999,41.37369999999998,41.44182000000001,42.60376,42.98014,43.08644,43.614320000000006,43.83782,43.95546000000002,44.38366000000002,44.742979999999996,45.80017999999999,46.43080000000002,47.11900000000001,46.35394000000002,48.092980000000004,48.55619999999999,48.683,48.787559999999985,48.421100000000024,48.16007999999999,47.46472000000003,48.22086,48.84823999999999,48.751159999999985,48.964079999999996,49.23406000000001,48.95927999999999,49.34491999999998,49.93119999999999,49.80882000000001,49.15140000000001,50.04116
55 min,43.628600000000006,43.89060000000001,42.485290909090914,41.5608909090909,41.23494545454545,40.681000000000026,40.07092727272727,39.83147272727273,39.08745454545454,40.152981818181814,40.41285454545454,41.36945454545452,41.43856363636364,42.60269090909091,42.98485454545455,43.07038181818182,43.619290909090914,43.84120000000001,43.95505454545456,44.39460000000002,44.73616363636363,45.797618181818194,46.410727272727286,47.105727272727265,46.35587272727274,48.09252727272729,48.556454545454535,48.69336363636364,48.7847818181818,48.427909090909104,48.18269090909091,47.4719272727273,48.20485454545455,48.841127272727256,48.743563636363625,48.95689090909091,49.23514545454546,48.957709090909084,49.33981818181817,49.933836363636345,49.81029090909093,49.15227272727274,50.045145454545455
6 hr,43.92762222222227,43.91314722222226,42.895883333333266,41.872363888888884,41.63009444444444,41.05292499999999,40.9150944444444,39.91484722222219,39.54360277777781,39.274947222222224,40.31689166666667,41.281844444444445,41.69059444444445,42.49268333333332,43.02533888888889,42.96349722222223,43.582058333333336,43.639600000000044,43.86616111111111,44.320736111111074,44.43974722222222,45.65953055555562,45.987263888888904,46.97768055555558,46.56402222222224,48.12192222222225,48.50026388888885,48.861911111111105,48.67948055555553,48.68583055555555,48.32841944444444,47.3174277777778,48.17750833333328,48.61419999999999,48.62295000000002,48.78047499999995,49.30743333333335,48.83668055555557,49.370866666666764,49.98749166666669,49.65882222222225,48.97063333333333,49.939333333333316
6.5 hr,43.99288717948721,43.89984615384619,42.940284615384556,41.92107179487179,41.62389487179487,41.08638717948717,40.90779999999996,39.93078717948717,39.5597153846154,39.20976410256411,40.3363641025641,41.216971794871796,41.67437435897437,42.47260256410255,42.98647948717947,42.964423076923076,43.573071794871794,43.62323333333338,43.83722564102564,44.29396153846153,44.41677948717948,45.622717948718005,45.95326923076925,46.93974871794873,46.57963333333337,48.119725641025674,48.480489743589686,48.86623333333332,48.6846717948718,48.705805128205114,48.317682051282056,47.348792307692335,48.16891794871792,48.58095384615382,48.648210256410266,48.78755384615384,49.34937435897436,48.84806666666669,49.36513333333338,49.9810564102564,49.67608461538466,48.97080256410254,49.919443589743565
60 day,48.21635666666666,48.08918833333333,47.94510166666666,47.775726666666664,47.59363666666666,47.40327166666666,47.21350166666666,47.01875166666666,46.82673333333333,46.48181,46.03052000000001,45.870865,45.71332666666668,45.561678333333354,45.41976166666668,45.298303333333344,45.20997666666667,45.14093833333334,45.079331666666675,45.02039333333334,44.96512666666667,44.94338,44.941806666666665,44.974528333333325,44.968503333333324,45.01433999999999,45.04310166666666,45.08290333333333,45.116789999999995,45.14387,45.164006666666666,45.168955,45.175785,45.186474999999994,45.18545666666666,45.17835999999999,45.16487499999999,45.151363333333315,45.15600166666665,45.171739999999986,45.204868333333316,45.21937999999998,45.25223333333331
70 day,48.79851999999999,48.66721999999999,48.50970285714285,48.33982571428571,48.17217571428571,48.00632428571427,47.82912714285713,47.64300428571428,47.46021,47.11699857142856,46.65227142857143,46.501732857142855,46.346941428571434,46.21963857142858,46.09602,45.989937142857144,45.898421428571424,45.81200571428572,45.73704142857143,45.66874,45.588342857142855,45.510708571428566,45.45008285714285,45.383004285714286,45.31446857142857,45.280365714285715,45.27636714285714,45.287054285714284,45.30255,45.307837142857146,45.30547857142857,45.31296571428571,45.33575571428571,45.391634285714275,45.41912999999998,45.47077285714284,45.5053657142857,45.54459285714283,45.58244142857141,45.628939999999986,45.672749999999986,45.70022285714284,45.736225714285695
80 day,49.33085124999998,49.210529999999984,49.07196249999998,48.918503749999985,48.76254749999998,48.60729999999998,48.44620124999998,48.27716874999998,48.101539999999986,47.76381124999999,47.286289999999994,47.14444249999999,47.00665375,46.88254375,46.7575825,46.64882874999999,46.55257499999999,46.45152124999999,46.35949999999999,46.27404874999999,46.18764749999999,46.10773749999999,46.037401249999995,45.981053749999994,45.91935624999999,45.88778749999999,45.87045749999999,45.85597375,45.850143749999994,45.839209999999994,45.80824875,45.76317999999999,45.73125374999999,45.696912499999996,45.66552124999999,45.64649124999999,45.65168999999999,45.66551374999999,45.68677499999999,45.71177749999999,45.73294499999999,45.75982374999998,45.80614499999998
90 day,49.668204444444434,49.568812222222206,49.457145555555535,49.33323999999998,49.20219333333331,49.072183333333314,48.93619777777775,48.80125333333332,48.647883333333326,48.35196222222222,47.91773,47.783409999999996,47.65192888888888,47.536229999999996,47.419664444444436,47.309053333333324,47.2007711111111,47.100407777777775,47.00126777777776,46.898855555555556,46.80284444444444,46.7228122222222,46.65820555555554,46.59681222222221,46.5270411111111,46.484818888888874,46.45503444444443,46.41954666666666,46.390873333333325,46.35832111111111,46.31652999999999,46.26582,46.22207333333333,46.19363333333332,46.16419333333332,46.14574111111109,46.13806777777778,46.12916888888887,46.13083333333332,46.13922666666665,46.13235555555555,46.110363333333325,46.105433333333316
Tomorrow,43.4571,42.2444,41.2902,40.9423,40.5149,39.8887,39.501,38.8251,38.2784,40.2167,41.33,41.1014,42.3637,42.5327,42.9204,43.2881,43.4969,43.7255,44.0535,44.5406,45.4749,46.3099,46.7671,46.2502,47.8207,48.3078,48.3873,48.5066,47.9599,47.6915,47.3038,47.9996,48.7153,48.5364,48.6855,49.0036,48.7451,49.1228,49.59,49.55,48.93,50.11,NULL
