,2018-12-12,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2019-01-04,2019-01-07,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12
20 min,144.11635,123.94060000000002,124.61839999999998,117.12010000000001,106.79204999999999,118.49895000000001,124.59215000000002,151.363,155.11384999999999,147.16385,142.13039999999998,148.93874999999997,152.76479999999998
200 day,98.37134999999998,99.53395,99.86185000000002,100.47165,100.7148,102.9123,103.2526,111.23415000000003,111.74005000000002,112.20690000000002,112.64850000000003,113.60635000000002,114.11070000000001
25 min,144.15896,123.76487999999999,124.60991999999996,117.35296000000002,106.79696,118.53256000000002,124.50656000000002,151.36175999999998,155.12731999999997,147.17748,142.02552,148.87947999999997,152.72627999999997
3 hr,143.95848333333333,125.58472222222224,124.30492777777775,116.11958333333334,108.53625555555557,119.31711111111106,124.39042222222226,152.60638888888886,155.45741666666677,147.38545555555558,142.55751666666663,148.71452222222223,152.49038333333334
3.5 hr,143.98535238095243,125.86679047619056,124.25455238095236,115.91054285714287,108.42249523809527,119.25391428571422,124.55773333333335,152.87337619047616,155.37270000000015,147.33978571428568,142.40705238095236,148.6819714285714,152.553380952381
30 day,127.53200000000001,128.6846666666667,128.54700000000003,128.33133333333336,127.48700000000002,126.045,126.42166666666667,127.25033333333336,128.51933333333335,129.88433333333333,131.13933333333333,133.48299999999998,134.76733333333334
30 min,144.09666666666666,123.64873333333334,124.57419999999999,117.45096666666669,106.8909,118.61513333333333,124.40813333333337,151.349,155.15859999999992,147.20669999999998,141.98826666666668,148.83786666666668,152.69323333333332
4 hr,144.03160833333337,126.44089166666672,124.12746666666666,115.62938333333338,108.25674583333334,119.21387916666659,124.62353333333337,153.05670833333332,155.37017083333342,147.4655666666667,142.25062083333333,148.63019999999997,152.58784583333338
4.5 hr,144.23647407407412,126.8339481481482,123.93658148148145,115.2168,108.3183148148148,119.08741111111104,124.70385925925932,153.13367777777776,155.37064814814818,147.74520740740743,142.17939259259265,148.56981851851847,152.5542333333334
40 day,125.66925,126.09725,126.16025000000002,125.94750000000003,125.76625000000001,124.54775,124.60925000000002,128.85725,129.1895,129.53775,129.71999999999997,130.06674999999998,130.41625000000002
45 min,143.7237777777778,123.8870222222222,124.33675555555554,117.61117777777777,107.2205777777778,118.8561777777778,124.29084444444445,151.57286666666667,155.21295555555548,147.1629111111111,142.0360888888889,148.75671111111117,152.67173333333332
5 day,138.28,136.244,133.446,124.694,118.69800000000001,114.83,116.854,142.844,146.964,148.454,148.32599999999996,147.956,147.52
5 hr,144.47681666666676,127.25908333333335,123.8229333333333,115.08159333333334,108.47034,118.95279666666654,124.66289666666664,153.17528000000001,155.26235333333344,148.0053266666666,142.20774000000003,148.57817999999995,152.5253500000001
5 min,143.546,124.34100000000001,124.10799999999999,116.91819999999998,106.63400000000001,117.923,124.74300000000001,151.48160000000001,155.0898,147.36599999999999,142.1056,148.858,152.85
5.5 hr,144.548596969697,127.46787878787882,123.83487575757566,115.24430303030306,108.79854242424251,118.74680606060593,124.55127878787879,153.08161515151517,155.15909393939404,148.07330303030298,142.30360606060609,148.56722121212118,152.5480454545455
50 day,126.25499999999998,126.08619999999999,125.89460000000001,125.45100000000002,125.20900000000002,123.4102,123.44660000000002,129.4382,130.27599999999998,130.85539999999997,131.30919999999995,132.03419999999997,132.3806
50 min,143.69576000000004,123.98035999999998,124.26199999999999,117.64205999999999,107.37312000000001,118.93684000000003,124.24495999999999,151.66232,155.21503999999993,147.15995999999998,142.01882,148.71764000000005,152.65476
55 min,143.64987272727274,124.06065454545454,124.15854545454545,117.6457818181818,107.52765454545457,119.00780000000003,124.19932727272727,151.7498181818182,155.24085454545448,147.17403636363636,142.00967272727272,148.68694545454548,152.6298181818182
6 hr,144.57483611111118,127.6141888888889,123.93179999999992,115.49288611111106,109.11922777777785,118.51589999999986,124.31290833333333,152.9297861111111,155.10578055555567,148.14185555555548,142.4409944444445,148.47855833333327,152.55241388888894
6.5 hr,144.41590000000002,127.93748974358974,124.08173333333329,115.8600974358974,109.52752820512823,118.16069230769216,124.04949487179485,152.59763076923076,155.02604615384627,148.60965897435895,142.46685641025638,148.38962564102553,152.425476923077
60 day,129.77566666666664,129.22899999999998,128.92833333333334,128.00533333333334,127.18533333333333,123.52216666666666,123.44966666666667,127.87449999999998,128.42533333333333,128.68566666666663,129.0163333333333,130.04266666666663,130.72466666666665
70 day,131.80999999999997,131.41257142857143,131.15328571428574,130.41728571428573,129.856,126.35514285714284,125.925,126.58671428571428,127.04971428571426,127.53114285714284,127.89971428571428,128.98042857142855,129.519
80 day,132.37437500000001,132.573625,132.412625,131.91975,131.5005,128.58487499999998,128.2955,126.27362499999997,126.60162499999994,126.96224999999995,127.26612499999996,127.86799999999997,128.156625
90 day,130.2226666666667,131.66011111111115,131.99933333333337,131.83288888888893,131.53900000000002,130.0351111111111,129.86677777777777,128.1713333333333,128.17666666666662,128.08499999999995,127.94188888888885,127.94911111111107,128.16699999999997
Tomorrow,139.0,123.82,121.55,106.55,104.39,124.57,128.05,155.16,147.5,142.04,146.18,152.98,151.34
