,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-16,2019-01-18,2019-01-24,2019-01-28,2019-01-30,2019-01-31,2019-02-15
4 hr,23.134295833333333,22.410216666666667,22.212249999999997,21.860879166666663,21.517887500000008,21.993554166666684,22.576350000000012,23.094920833333333,23.837637499999996,24.454962500000004,25.152050000000006,25.137020833333324,26.157566666666657,26.51512500000001,27.47570416666665,31.62856666666668,31.83813749999998,31.91866249999999,31.618937499999983,30.255691666666664,32.92961666666667
4.5 hr,23.11826666666667,22.436044444444445,22.251055555555542,21.903307407407404,21.503896296296304,22.0194925925926,22.543885185185204,23.1080037037037,23.832122222222214,24.433555555555568,25.125714814814824,25.112633333333328,26.180911111111104,26.496037037037045,27.44674074074071,31.62936296296297,31.875692592592557,31.88232962962962,31.62828518518516,30.259148148148142,32.91591851851851
40 day,26.485172499999994,26.136604999999996,25.462527499999993,25.371294999999996,25.17866499999999,25.11519999999999,24.650854999999993,24.546482499999993,24.447317499999993,24.373934999999996,24.315427499999995,24.271297499999996,24.234359999999995,24.247747499999996,24.310869999999998,24.483714999999997,24.884082499999995,25.141824999999994,25.4004975,25.487149999999996,27.8670325
45 min,23.121355555555546,22.238955555555563,22.14722222222221,21.767088888888892,21.63128888888889,21.728422222222225,22.641244444444443,23.024111111111118,23.694355555555557,24.425622222222227,25.165244444444436,25.195711111111113,26.23511111111111,26.4108,27.48564444444444,31.81297777777778,31.858600000000024,32.150622222222225,31.539488888888894,30.262355555555555,32.91457777777778
5 day,23.151220000000002,22.73868,22.17742,22.0624,21.57054,21.514999999999997,22.13178,22.522479999999998,22.74264,23.1512,23.62522,24.127000000000002,25.164279999999998,25.5431,26.496319999999997,28.006,30.936,31.758,31.808,31.514,32.17
5 hr,23.110596666666677,22.454189999999997,22.28352333333332,21.947713333333333,21.503636666666672,22.029186666666664,22.51865000000001,23.117900000000002,23.80911333333333,24.41355333333334,25.09283000000001,25.076029999999996,26.199909999999996,26.455343333333353,27.42216666666663,31.62730000000001,31.910846666666632,31.870093333333323,31.630269999999975,30.271276666666655,32.89804666666664
5 min,23.034,22.264,22.146,21.868000000000002,21.607,21.679000000000002,22.761000000000003,23.167,23.674,24.461000000000002,24.983999999999998,25.337,26.185000000000002,26.359,27.4592,32.084999999999994,31.808999999999997,32.108000000000004,31.578000000000003,30.317,32.885000000000005
5.5 hr,23.10500000000001,22.477509090909084,22.287424242424223,21.989796969696975,21.505139393939398,22.042078787878783,22.497366666666675,23.09940303030303,23.769496969696966,24.395315151515145,25.055430303030313,25.051193939393933,26.19993333333333,26.404778787878808,27.393363636363606,31.604796969696967,31.936990909090877,31.869372727272705,31.624172727272715,30.306984848484834,32.8791636363636
50 day,28.638027999999995,28.334358,27.684955999999996,27.3625,26.69520799999999,26.374901999999988,24.986777999999994,24.755721999999995,24.718633999999998,24.699195999999997,24.695625999999997,24.718037999999996,24.754134,24.754928,24.753068000000003,24.854058000000006,25.136073999999997,25.374598000000002,25.609300000000005,25.693696,26.837795999999997
50 min,23.128879999999995,22.232620000000008,22.148699999999995,21.76938,21.62036,21.744680000000006,22.625679999999992,23.020180000000003,23.694840000000003,24.42616000000001,25.178319999999996,25.17754,26.236000000000004,26.42196,27.48827999999999,31.77038,31.864140000000024,32.145559999999996,31.547040000000003,30.266,32.92412
55 min,23.13389090909091,22.23174545454546,22.144799999999996,21.769163636363636,21.60487272727273,21.761527272727285,22.61505454545454,23.021890909090914,23.697036363636368,24.42605454545456,25.186563636363633,25.164781818181815,26.240000000000002,26.43241818181818,27.48858181818181,31.725618181818184,31.863945454545476,32.14063636363636,31.55585454545455,30.271054545454543,32.935745454545454
6 hr,23.091991666666672,22.487716666666657,22.28750555555554,22.039975000000005,21.498697222222233,22.055858333333326,22.487166666666674,23.071341666666665,23.7189,24.39147777777779,25.018741666666664,25.055444444444444,26.202297222222224,26.36981388888891,27.379702777777766,31.55417777777778,31.97960555555553,31.87224444444444,31.622324999999982,30.35789722222221,32.850202777777746
6.5 hr,23.078835897435905,22.51898974358973,22.270474358974347,22.066358974358977,21.478323076923086,22.055830769230763,22.492082051282065,23.029497435897436,23.676271794871816,24.372366666666693,24.98195128205129,25.065220512820492,26.199700000000007,26.36095641025645,27.355835897435874,31.476838461538467,32.00377179487177,31.86571025641025,31.630202564102547,30.42807179487179,32.81509743589741
60 day,30.26024333333333,29.99880166666667,29.416706666666663,29.117093333333333,28.53274499999999,28.258263333333325,26.978521666666666,26.725546666666666,26.48674833333333,26.255419999999997,26.03991833333333,25.83398333333333,25.49566333333333,25.332205,24.893003333333336,25.04508833333334,25.401580000000006,25.609440000000003,25.77907833333334,25.83172333333334,26.790926666666667
70 day,31.52716285714286,31.271512857142866,30.75905,30.503084285714287,29.99108571428571,29.742431428571425,28.58662142857143,28.346962857142856,28.115792857142857,27.908071428571425,27.708562857142855,27.525567142857142,27.189549999999997,27.034668571428572,26.56181285714286,26.32958142857143,26.091307142857147,25.982175714285717,25.857848571428576,25.79757428571429,26.735630000000004
80 day,32.606175,32.37779625,31.9085575,31.676451250000007,31.206140000000005,30.976980000000005,29.86333,29.655231250000003,29.453697499999997,29.2672575,29.08763374999999,28.915801249999994,28.603912499999996,28.451749999999997,28.001018750000004,27.766381249999995,27.523798750000005,27.390585000000005,27.242772500000008,27.144711250000007,26.619163750000006
90 day,33.4134111111111,33.21227111111111,32.80185333333333,32.595865555555555,32.18756333333333,31.988138888888887,30.993405555555555,30.799662222222228,30.613288888888892,30.438470000000006,30.268065555555555,30.105025555555553,29.790863333333334,29.638075555555556,29.202362222222227,28.990289999999995,28.755047777777776,28.610666666666667,28.464155555555553,28.359238888888893,27.586736666666674
Tomorrow,22.0941,21.7669,21.6578,21.0132,21.4892,21.0529,23.0064,23.4527,24.2559,24.7716,25.1484,25.6839,26.15,26.38,27.6,31.63,31.64,31.87,30.34,30.7,NULL
