,2018-12-11,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-15,2019-01-22,2019-02-07,2019-02-14,2019-02-15
20 min,48.99874999999999,48.98884999999999,48.91625,48.623000000000005,48.53824999999999,48.126,47.73100000000001,46.652,47.30445,47.72825,47.359249999999996,47.25614999999999,47.73000000000002,48.33725000000001,48.4795,48.28744999999999,48.2973,49.1328,49.604500000000016,49.992450000000005
200 day,42.577912499999975,42.63845199999999,42.702559999999984,42.83626449999998,42.89961049999997,42.95709499999996,43.01480699999998,43.06548099999997,43.16287899999997,43.326971499999985,43.38196299999998,43.43734699999999,43.49607949999999,43.61664699999999,43.682464499999995,43.93049049999999,44.1829845,44.95781900000001,45.29710349999999,45.36733449999999
25 min,49.02499999999999,48.966280000000005,48.9116,48.614,48.522,48.10611999999999,47.7746,46.64880000000002,47.28576000000001,47.7358,47.346,47.26603999999998,47.72740000000002,48.346200000000024,48.489,48.280359999999995,48.300239999999995,49.12883999999999,49.60579999999999,49.98555999999999
3 hr,49.09626666666667,49.04082222222218,48.994761111111096,48.75875000000003,48.52906666666668,48.36390555555559,47.73438333333333,47.01023888888889,46.93324444444445,47.67211111111113,47.43555555555555,47.09473333333333,47.823255555555534,48.356027777777825,48.434516666666674,48.247566666666664,48.32047777777779,49.08739444444441,49.62460555555555,49.90895000000005
3.5 hr,49.09977619047618,49.05359523809515,49.00284761904758,48.77899047619049,48.554533333333346,48.391590476190494,47.749138095238095,47.04169523809523,46.9275142857143,47.65672380952385,47.450809523809504,47.08693809523808,47.843219047619,48.35290476190481,48.42331904761909,48.25423809523814,48.32534761904768,49.075866666666656,49.61771428571427,49.904647619047665
30 day,47.83133333333333,47.955000000000005,48.076,48.28233333333333,48.36299999999999,48.42233333333333,48.45399999999999,48.435333333333325,48.38033333333332,48.40866666666666,48.397999999999996,48.379666666666665,48.35433333333333,48.336000000000006,48.32966666666667,48.24833333333334,48.12466666666667,48.38033333333333,48.66466666666666,48.75933333333332
30 min,49.04650000000001,48.95156666666667,48.92033333333334,48.61433333333332,48.51116666666667,48.09076666666666,47.79483333333335,46.66600000000002,47.26256666666668,47.74016666666667,47.33299999999999,47.280866666666654,47.72416666666668,48.351500000000016,48.49549999999999,48.2743,48.29753333333333,49.12569999999998,49.606499999999976,49.98196666666666
4 hr,49.09211666666667,49.06407916666655,49.000074999999946,48.807495833333384,48.57514583333336,48.41782083333336,47.76374583333335,47.07212916666665,46.91480416666669,47.638529166666686,47.449374999999996,47.084629166666645,47.85285833333329,48.34656250000003,48.41106250000003,48.269604166666696,48.32951250000008,49.06733333333332,49.60530833333333,49.897975000000024
4.5 hr,49.088622222222206,49.074485185185104,49.00425185185181,48.82393333333337,48.577555555555605,48.43114074074075,47.785125925925946,47.11922592592592,46.85526666666668,47.627511111111126,47.46564444444443,47.09462592592592,47.85381851851847,48.33642962962967,48.4005925925926,48.281788888888904,48.33228148148159,49.0589148148148,49.59165555555551,49.888544444444484
40 day,47.1685,47.26325,47.347249999999995,47.51424999999999,47.588499999999996,47.65724999999999,47.716249999999995,47.773999999999994,47.872499999999995,48.05925,48.090999999999994,48.1185,48.15275,48.21175,48.23675,48.325250000000004,48.337500000000006,48.321250000000006,48.37774999999999,48.41574999999999
45 min,49.08046666666668,48.9428888888889,48.95488888888888,48.6411111111111,48.474888888888906,48.105711111111106,47.823355555555565,46.71055555555555,47.19113333333335,47.73433333333333,47.325444444444436,47.28268888888888,47.71944444444446,48.363222222222255,48.50744444444444,48.26953333333334,48.293911111111115,49.122666666666625,49.61279999999999,49.97662222222222
5 day,49.034000000000006,49.034000000000006,48.972,48.884,48.782000000000004,48.636,48.398,47.958,47.209999999999994,47.336,47.63,47.56,47.566,47.745999999999995,47.946,48.404,48.24,49.102,49.336,49.474000000000004
5 hr,49.08998666666667,49.08068666666658,49.00749999999998,48.84099000000001,48.579386666666714,48.446763333333344,47.818663333333355,47.15678666666666,46.79997666666668,47.612310000000015,47.48414666666665,47.08453333333331,47.85478333333332,48.32578666666668,48.39153333333332,48.295573333333365,48.334483333333466,49.05410333333333,49.57673333333329,49.880440000000036
5 min,48.97099999999999,48.949,48.912,48.705,48.544,48.217999999999996,47.705999999999996,46.549,47.483999999999995,47.672000000000004,47.480000000000004,47.213,47.784000000000006,48.358000000000004,48.477,48.3,48.249,49.132000000000005,49.623000000000005,49.986000000000004
5.5 hr,49.09734848484848,49.090487878787776,49.00506060606058,48.84204545454546,48.593336363636396,48.46444545454548,47.84978484848487,47.21084848484848,46.75637272727275,47.60756969696971,47.49024545454544,47.07205151515149,47.84986363636364,48.31346060606061,48.389951515151495,48.30354242424246,48.33589696969708,49.052624242424244,49.561745454545445,49.880793939393975
50 day,46.8446,46.9062,46.961000000000006,47.056799999999996,47.110200000000006,47.1646,47.214,47.257999999999996,47.333999999999996,47.474,47.51480000000001,47.547799999999995,47.59459999999999,47.727399999999996,47.800999999999995,48.0624,48.21019999999999,48.46840000000001,48.50159999999999,48.5142
50 min,49.09062,48.94750000000001,48.96340000000001,48.6506,48.46260000000001,48.11174,47.81842,46.73209999999999,47.16842,47.73459999999999,47.321299999999994,47.29331999999999,47.72016000000001,48.36130000000005,48.50549999999998,48.272580000000005,48.28774000000001,49.12179999999996,49.61481999999998,49.97666
55 min,49.09147272727272,48.950909090909086,48.97163636363637,48.65563636363635,48.449818181818195,48.11340000000001,47.80365454545455,46.75865454545455,47.148563636363626,47.736636363636364,47.321,47.30610909090909,47.72378181818183,48.35547272727277,48.501909090909066,48.27370909090911,48.28158181818181,49.11981818181813,49.6183818181818,49.976690909090905
6 hr,49.10571944444447,49.10137777777767,49.0067527777778,48.84266944444447,48.611125000000065,48.47180555555557,47.881663888888895,47.26513888888888,46.72318888888891,47.62187500000002,47.494111111111096,47.07224166666663,47.824486111111106,48.3047638888889,48.38901944444443,48.30616666666669,48.34157777777788,49.05424166666672,49.54656111111111,49.873552777777796
6.5 hr,49.11331282051287,49.11001538461529,49.005700000000054,48.84169743589749,48.62845641025646,48.47670256410256,47.89576666666665,47.307076923076934,46.69975128205131,47.6367435897436,47.48324358974355,47.08352307692305,47.79228974358974,48.299564102564126,48.38246666666666,48.31374358974361,48.34184102564112,49.05044102564108,49.527517948717936,49.86372820512823
60 day,46.48516666666667,46.5615,46.64083333333334,46.79266666666667,46.86950000000001,46.9285,46.97716666666667,46.9995,47.036500000000004,47.1135,47.133500000000005,47.156,47.1945,47.305166666666665,47.366499999999995,47.57416666666666,47.75899999999999,48.38333333333334,48.53133333333333,48.5695
70 day,46.198607142857135,46.25863285714286,46.31908571428572,46.43812571428571,46.49442857142858,46.550428571428576,46.59928571428572,46.633428571428574,46.701,46.849428571428575,46.89614285714286,46.94314285714287,46.987857142857145,47.07685714285714,47.11942857142857,47.25085714285714,47.39414285714285,48.05114285714286,48.336857142857134,48.393142857142855
80 day,45.9936375,46.04703125,46.10092375000001,46.205208750000004,46.25546875,46.30284999999999,46.3441075,46.37136499999999,46.423281249999995,46.53833875,46.572985,46.60575000000001,46.649625,46.746875,46.798,47.002625,47.194,47.694,47.94599999999999,48.00212499999999
90 day,45.86066555555554,45.907131111111106,45.94972333333333,46.037661111111106,46.07790999999998,46.11626444444444,46.151831111111115,46.171965555555545,46.216122222222225,46.318727777777774,46.35096333333333,46.38097222222223,46.41853333333333,46.50132444444444,46.54179333333334,46.70907888888889,46.876000000000005,47.46544444444445,47.64388888888889,47.69044444444444
Tomorrow,48.92,48.92,48.8,48.5,48.19,47.73,46.6,46.0,47.75,47.47,47.18,47.78,47.94,48.47,48.47,48.05,48.45,49.33,50.02,NULL
