,2018-12-17,2018-12-18,2018-12-20,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-11,2019-01-16,2019-01-23,2019-01-24,2019-01-25,2019-01-31,2019-02-01,2019-02-13
1 hr,38.10511666666667,39.377133333333326,37.49216666666666,39.583233333333325,39.564183333333325,41.75646666666667,43.09606666666669,43.91049999999999,44.894900000000014,45.502483333333316,44.586066666666646,44.93758333333333,44.94429999999999,46.10218333333331,48.0993,48.2418,49.181350000000016
1 min,38.27,39.58,37.23,39.79,39.32,41.72,43.56,43.98,44.88,45.2,44.15,45.09,45.05,45.89,48.37,48.32,49.0
1.5 hr,38.16421111111112,39.40794444444444,37.28382222222222,39.73426666666667,39.61387777777777,41.84168888888888,43.1581777777778,44.03073333333335,44.82844444444444,45.551733333333324,44.51842222222222,44.87275555555555,44.946944444444426,46.08835555555556,48.19481111111112,48.25454444444445,49.25326666666667
10 day,40.388,40.43599999999999,40.073,38.479,38.451,38.69500000000001,39.328,40.230000000000004,41.163000000000004,42.294,43.86,44.98,44.99799999999999,45.04599999999999,45.543000000000006,45.891000000000005,48.601
10 min,38.1705,39.617000000000004,37.2265,39.6345,39.458200000000005,41.7941,43.44449999999999,43.8838,44.8155,45.1905,44.18,45.015899999999995,44.925,45.830200000000005,48.382600000000004,48.291,48.984500000000004
100 day,39.06190000000001,39.0612,39.0908,39.211000000000006,39.22130000000001,39.25710000000001,39.31210000000001,39.37670000000001,39.46200000000001,39.57420000000001,39.70930000000001,39.69520000000001,39.674200000000006,39.6941,39.810700000000004,39.833400000000005,40.383500000000005
125 day,38.936600000000006,38.95032,38.988080000000004,39.12584000000002,39.147040000000025,39.177120000000016,39.20664000000002,39.250160000000015,39.29624000000002,39.378880000000024,39.45728000000003,39.60504000000003,39.635760000000026,39.68552000000002,40.002960000000016,40.09328000000002,40.80568000000002
15 min,38.10813333333333,39.64666666666666,37.26233333333333,39.54633333333334,39.5106,41.7954,43.291333333333334,43.86220000000001,44.846,45.255,44.25933333333334,45.01959999999999,44.896,45.83866666666666,48.353000000000016,48.28133333333333,48.98066666666667
150 day,37.74436666666668,37.82563333333334,37.97283333333334,38.52716666666668,38.619300000000024,38.72270000000002,38.82523333333335,38.92370000000001,39.02203333333335,39.16983333333335,39.261633333333364,39.396366666666694,39.435700000000026,39.48906666666669,39.75960000000003,39.851000000000035,40.46206666666669
175 day,36.385057142857136,36.45094285714285,36.57031428571428,36.98545714285716,37.05505714285716,37.1331142857143,37.21831428571431,37.30557142857145,37.391228571428584,37.57140000000002,37.86511428571432,38.247685714285744,38.34248571428574,38.44808571428574,38.87934285714289,39.00065714285717,40.00911428571431
2 day,40.370000000000005,38.935,38.28,39.510000000000005,39.565,40.545,42.665000000000006,43.769999999999996,44.43,45.305,44.735,44.82,45.055,45.475,46.945,48.345,49.55
2 hr,38.16814166666668,39.466033333333336,37.07769166666666,39.741550000000025,39.579016666666654,41.86452499999997,43.16633333333336,44.13562500000001,44.78228333333335,45.56971666666667,44.31711666666665,44.86515000000001,44.97829166666665,46.102,48.212466666666685,48.21620833333332,49.239174999999996
