,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-11,2019-01-15,2019-01-16,2019-01-18,2019-01-23,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13
1 hr,106.3177166666667,109.50976666666664,107.53335,105.26358333333332,100.06329999999997,101.70540000000001,100.49396666666665,96.02021666666663,91.86665,104.06521666666669,100.48953333333337,108.6732833333333,112.64498333333336,114.7573333333333,115.81688333333332,116.47823333333335,118.07631666666666,116.69118333333333,120.81144999999998,118.68733333333331,118.92706666666669,123.0759,124.80841666666669,126.86496666666666,129.04528333333334,129.3268833333333,127.83138333333338,130.87925,131.50493333333338,134.0728333333333,134.2129
1 min,106.26,109.41,107.79,105.15,100.7,102.26,100.27,96.56,91.85,105.01,100.81,108.053,112.89,115.1,115.84,117.18,117.88,116.79,120.721,119.47,118.2,122.83,124.74,127.29,128.789,129.64,128.21,130.88,130.92,134.31,133.83
1.5 hr,106.29854444444447,109.43765555555552,107.29037777777778,105.24454444444444,99.98817777777774,101.67697777777778,101.2726,95.85428888888886,92.06833333333336,104.11154444444448,100.57772222222228,108.84381111111111,112.3690666666667,114.73455555555552,115.68308888888883,116.51413333333338,118.03105555555558,116.7068888888888,120.74972222222216,118.60613333333329,118.98152222222225,123.05240000000005,124.8986555555556,126.7854888888889,129.21974444444444,129.4313666666667,127.76196666666668,130.9416555555556,131.4632222222223,134.11109999999996,134.3196888888889
10 day,105.45,107.144,108.006,108.369,107.253,106.471,105.70099999999998,104.24600000000001,102.86499999999998,99.44099999999999,99.572,100.344,101.979,104.303,106.622,109.758,112.21399999999998,113.56099999999999,116.603,117.646,119.21300000000001,119.703,120.50800000000001,121.38300000000001,122.194,123.252,124.955,125.83800000000001,126.975,128.581,129.684
10 min,106.3884,109.513,107.8826,105.20450000000001,100.334,102.27849999999998,100.5205,96.28800000000001,91.7907,103.979,100.86300000000001,108.06280000000001,113.1955,115.11499999999998,115.7228,116.744,117.83149999999998,116.70169999999999,120.6926,119.22250000000001,118.4366,122.63190000000002,124.99950000000001,127.04249999999999,128.80939999999998,129.1205,128.1387,130.77190000000002,131.2415,134.2682,133.7045
100 day,106.93455000000002,106.97345000000003,107.00005000000003,107.02835000000003,106.99365000000002,106.97575000000002,106.96795000000002,106.97965000000003,106.93715000000002,106.87795000000004,106.83305000000004,106.85555000000004,106.92745000000005,107.02045000000004,107.15005000000005,107.41395000000003,107.64365000000004,107.74290000000005,107.82140000000007,107.71950000000007,107.41470000000002,107.42320000000001,107.43730000000004,107.45670000000001,107.49180000000003,107.53190000000002,107.58420000000002,107.63940000000001,107.75370000000001,107.9333,108.11710000000001
125 day,106.69916000000002,106.61836000000002,106.55356000000003,106.45780000000003,106.32844000000003,106.21948000000003,106.11668000000003,106.04724000000004,105.97220000000004,106.02556000000004,106.07356000000006,106.12684000000007,106.21284000000007,106.33196000000007,106.44260000000008,106.61924000000005,106.76924000000005,106.84372000000006,107.06380000000007,107.31092000000007,107.91260000000004,108.12604000000002,108.33188000000004,108.52684000000002,108.75372000000003,108.96716000000004,109.36524000000003,109.56948000000003,109.77052000000002,109.99900000000001,110.22316000000002
15 min,106.3956,109.51366666666668,107.87306666666667,105.15333333333336,100.26259999999999,102.28633333333332,100.44766666666666,96.286,91.85246666666669,103.93833333333333,100.91866666666667,108.06986666666667,113.20166666666664,115.111,115.69786666666667,116.62213333333334,117.86266666666667,116.66313333333333,120.70526666666666,119.18266666666666,118.5514,122.67660000000001,125.05393333333333,126.98833333333332,128.75026666666665,129.073,128.11113333333333,130.81393333333335,131.31953333333334,134.23966666666666,133.72246666666666
150 day,108.05896666666668,108.02270000000001,107.96216666666669,107.89023333333336,107.81336666666668,107.7411666666667,107.64230000000003,107.52023333333337,107.35456666666668,106.8905666666667,106.78530000000003,106.76683333333338,106.75983333333338,106.75510000000004,106.75096666666671,106.7603666666667,106.74956666666671,106.73883333333339,106.7528333333334,106.78836666666673,106.98010000000005,107.12376666666671,107.27770000000005,107.48343333333338,107.68770000000004,107.89070000000004,108.2677666666667,108.48050000000003,108.67743333333338,108.8915666666667,109.11563333333338
175 day,107.41248571428574,107.47065714285718,107.51814285714288,107.56271428571432,107.5773428571429,107.57997142857147,107.5696285714286,107.51340000000005,107.44311428571432,107.29585714285717,107.2886571428572,107.34808571428579,107.41654285714293,107.49048571428575,107.5662571428572,107.72442857142862,107.83368571428576,107.87282857142863,107.93734285714294,107.96894285714295,108.10940000000006,108.1441428571429,108.2009428571429,108.27488571428576,108.34454285714288,108.42025714285715,108.6359142857143,108.7467142857143,108.8616285714286,108.97774285714287,109.08065714285718
2 day,107.345,107.845,108.58000000000001,106.51,102.91499999999999,101.41,101.285,98.435,94.19999999999999,103.82,102.065,104.42500000000001,110.47,113.995,115.5,116.935,116.1,117.33500000000001,119.63499999999999,119.21000000000001,118.88,120.495,123.81,126.07,128.065,129.195,128.21,129.55,130.90499999999997,132.595,134.04000000000002
2 hr,106.11504166666667,109.74693333333333,107.13796666666669,105.23976666666671,100.01133333333333,101.81254166666668,101.64434166666666,95.43015833333334,92.30015833333333,103.94855833333334,100.58452500000003,108.77252499999999,112.22723333333332,114.57680833333332,115.70790833333326,116.56518333333337,118.10230833333337,116.6518916666666,120.71456666666661,118.59371666666657,119.17711666666669,122.92831666666669,125.00050000000002,126.66203333333337,129.31915833333332,129.5672166666667,127.66174166666669,130.91338333333334,131.4573833333334,134.25568333333334,134.28944166666665
2.5 hr,106.00493333333333,110.03048666666668,107.09709333333335,105.15302666666672,100.03717333333333,101.84312,102.31297333333333,95.34153333333333,92.49094666666666,103.99027333333333,100.55942000000005,108.78616,112.28046666666667,114.45908000000003,115.74928666666655,116.58268666666667,118.18156000000003,116.6403333333333,120.72431333333331,118.58223999999994,119.40114666666663,122.68622666666673,124.99676,126.69209333333337,129.45290666666665,129.5296933333334,127.68549333333338,130.80270000000002,131.43599333333344,134.30171333333337,134.28115333333332
20 day,100.31199999999998,100.964,101.47850000000001,101.85350000000003,101.8,101.8865,102.439,102.873,102.83250000000001,103.905,103.02150000000002,103.02250000000001,103.1125,103.58399999999999,103.9595,104.8685,105.82749999999999,106.63849999999998,108.47349999999999,110.97449999999999,115.06200000000001,115.9585,117.03450000000001,118.35900000000001,119.39850000000001,120.23149999999998,121.50250000000001,122.21200000000003,122.89950000000002,123.897,124.6935
20 min,106.37769999999998,109.57430000000002,107.89380000000001,105.1045,100.20919999999998,102.2355,100.32024999999999,96.34624999999998,91.81155000000003,103.94575,100.92974999999998,108.072,113.13199999999999,115.06565,115.72565000000002,116.55785,117.95650000000003,116.60220000000001,120.71545,119.15025,118.6303,122.64595000000001,125.02595000000004,126.97175,128.7077,129.06844999999998,128.09515000000002,130.8443,131.34065000000004,134.20184999999998,133.78975
200 day,106.85402500000004,106.93232500000003,107.00512500000002,107.06322500000005,107.05447500000004,107.05887500000004,107.04102500000005,106.99552500000006,106.92247500000005,106.74557500000006,106.69797500000008,106.68812500000008,106.70822500000007,106.75427500000005,106.82157500000007,106.96757500000005,107.15692500000006,107.25402500000007,107.46497500000008,107.67252500000009,108.02977500000009,108.12292500000005,108.22782500000007,108.32642500000006,108.43657500000005,108.55482500000004,108.78932500000002,108.94197500000001,109.10837500000004,109.27512500000005,109.43342500000004
25 min,106.40276,109.57032000000001,107.83864000000001,105.11024000000002,100.16635999999998,102.17312,100.28375999999999,96.37379999999997,91.72384000000004,103.97116000000001,100.90692000000001,108.17720000000001,113.07812,115.04688,115.75452000000001,116.52228000000001,117.99008000000002,116.58056000000005,120.71668,119.0696,118.70464000000001,122.68116000000002,125.00556000000002,126.99500000000002,128.70015999999998,129.07631999999998,128.04532000000003,130.84544,131.34452000000005,134.17228,133.8828
3 hr,106.0484277777778,110.20350555555552,107.00544444444448,105.13676666666667,100.16271666666663,102.00618888888896,102.73621111111115,95.26180555555555,92.54345555555558,104.06428333333334,100.55504444444446,108.78376666666665,112.34019444444445,114.33893333333339,115.82155555555546,116.6090944444445,118.17844444444452,116.6331666666666,120.74300555555557,118.55529999999993,119.52966666666664,122.51974444444444,125.00118333333332,126.7142222222223,129.57213888888882,129.46642222222226,127.63089444444448,130.73067777777777,131.44143888888897,134.25892222222222,134.2497277777778
3.5 hr,106.06487142857146,110.26551428571427,106.95476666666674,105.20150952380949,100.40692857142855,102.07787142857144,103.0382428571429,95.13464285714286,92.53421904761909,104.1406761904762,100.62295714285717,108.70545238095237,112.37953809523809,114.1521571428572,115.86426190476178,116.67096666666673,118.13279047619052,116.62900476190468,120.78047619047618,118.45784761904756,119.61299047619042,122.41061428571425,124.97821904761902,126.74836190476199,129.68381428571425,129.38172857142857,127.49955714285718,130.60787142857143,131.4759714285715,134.23573333333331,134.2035333333333
30 day,100.03933333333332,100.58266666666665,100.99266666666666,101.17333333333333,101.09166666666665,100.98566666666666,100.95833333333331,101.01199999999999,100.68233333333333,101.04933333333332,101.11500000000001,101.74066666666667,102.575,103.32266666666666,104.10066666666667,105.627,106.67466666666668,106.84333333333333,107.54933333333335,108.27133333333336,109.86866666666668,110.45266666666666,111.26166666666667,112.09666666666666,113.047,114.14733333333331,116.54233333333333,117.57966666666668,118.519,119.56833333333334,120.53366666666668
30 min,106.4323,109.5549,107.82536666666668,105.11713333333336,100.1238,102.1466,100.29509999999999,96.34366666666664,91.72753333333338,104.00196666666669,100.87343333333334,108.32106666666667,113.0146,115.0289,115.77403333333335,116.48603333333334,118.0173,116.57880000000003,120.73236666666665,118.98039999999999,118.78616666666667,122.75113333333334,124.98563333333335,126.99770000000002,128.7318,129.1199333333333,128.02210000000002,130.85723333333334,131.3540666666667,134.16039999999998,133.96283333333335
4 hr,106.10635000000003,110.33406666666663,106.88206250000006,105.26752499999996,100.71352500000002,102.08877916666668,103.25315416666668,94.91239166666668,92.48996666666672,104.13953333333339,100.73731249999999,108.5978708333333,112.33905,113.95566250000003,115.92119999999987,116.66440000000009,118.09117916666675,116.5798416666666,120.82548749999998,118.36962083333329,119.64569583333326,122.26017499999996,125.05307916666666,126.7783875000001,129.70167083333328,129.3641166666667,127.29527500000007,130.4599583333333,131.49847916666673,134.20700416666665,134.11330416666664
4.5 hr,106.15921851851851,110.39658148148149,106.94482592592601,105.3603222222222,100.91983333333336,102.03747037037037,103.39137037037038,94.74473333333333,92.55595185185189,104.03658148148153,100.86839259259257,108.46648518518515,112.27351481481482,113.77571481481483,115.9188037037036,116.63972222222232,118.00235185185193,116.50002222222216,120.84934074074073,118.37967037037029,119.64540370370365,122.12150370370364,125.14435555555553,126.74306666666676,129.59928148148146,129.37317777777776,127.09934444444448,130.32019999999997,131.53660740740747,134.12548518518514,133.97186666666656
40 day,99.45874999999998,99.66974999999998,99.71599999999998,99.70124999999999,99.68374999999999,99.86999999999998,99.95299999999997,99.93949999999998,99.96724999999998,100.74024999999997,100.63225,100.80475,101.25375,101.58749999999999,101.942,102.91624999999999,103.84049999999999,104.21925000000002,105.45625000000003,106.90350000000001,109.40299999999999,109.93175,110.25950000000003,110.69025000000003,111.21050000000002,111.67199999999998,112.731,113.346,113.88399999999999,114.54674999999997,115.26050000000001
45 min,106.4009777777778,109.52437777777777,107.73851111111111,105.24506666666667,100.08664444444443,101.94237777777778,100.49193333333332,96.21264444444441,91.77540000000002,103.98811111111114,100.65531111111112,108.55251111111107,112.80080000000002,114.89759999999995,115.81302222222223,116.45582222222224,118.04975555555556,116.65562222222223,120.8068,118.79966666666664,118.94095555555555,123.01582222222221,124.81346666666668,126.9386666666667,128.8868666666667,129.2450888888889,127.91131111111113,130.9086666666667,131.45117777777784,134.09502222222218,134.12471111111108
5 day,107.894,108.17,107.502,107.422,105.856,105.048,103.232,100.99,98.30799999999999,100.574,102.902,103.96199999999999,105.984,108.03200000000001,110.55,115.554,116.396,116.572,117.652,118.896,119.84200000000001,120.51000000000002,121.48800000000001,122.53599999999999,124.39200000000001,126.66199999999999,128.422,129.14000000000004,129.558,130.5,131.62
5 hr,106.19613666666666,110.48113333333339,106.9996700000001,105.47946666666667,101.16415666666671,102.04243333333335,103.50247666666668,94.8315833333333,92.64948333333335,103.92098333333338,100.88824666666666,108.33238666666665,112.16057333333335,113.64914000000005,115.88601999999989,116.62945666666677,117.84709333333339,116.46040666666663,120.84577666666677,118.45673000000001,119.61206333333331,122.00813666666657,125.25323333333328,126.67891333333347,129.48817333333326,129.4209133333333,126.98743,130.25901999999994,131.60396000000006,134.0397933333332,133.9051866666665
5 min,106.43199999999999,109.38399999999999,107.83800000000001,105.27800000000002,100.38000000000001,102.047,100.52000000000001,96.518,91.837,104.13600000000001,100.914,108.01759999999999,113.24000000000001,115.1,115.85700000000001,116.98600000000002,117.81599999999999,116.773,120.6722,119.37600000000002,118.3122,122.651,124.90900000000002,127.282,128.8168,129.3418,128.138,130.76399999999998,131.0302,134.27040000000002,133.695
5.5 hr,106.3069242424243,110.49597575757582,107.05525151515155,105.62841515151513,101.33831212121217,102.09339090909094,103.65684242424243,95.12624848484846,92.84837575757578,103.82091515151522,100.82006666666665,108.19455757575754,112.02807272727276,113.49459999999998,115.816009090909,116.62646666666681,117.68936666666676,116.39396060606057,120.82485757575766,118.59673939393937,119.62707272727269,121.90869090909082,125.30214545454545,126.61945454545464,129.3836121212121,129.52950303030303,126.9483303030303,130.1990515151515,131.67456363636376,133.93459393939378,133.87679090909074
50 day,101.1274,100.9642,100.866,100.67,100.4438,100.277,100.1834,100.0308,99.8988,99.64920000000001,99.81040000000003,100.03120000000003,100.34740000000002,100.83440000000002,101.27980000000001,102.29699999999998,103.035,103.31040000000002,103.96440000000003,104.79920000000001,106.51260000000002,107.013,107.47700000000003,108.01260000000002,108.80380000000001,109.63759999999998,111.06139999999999,111.7668,112.53599999999999,113.23859999999996,113.8822
50 min,106.40862000000003,109.54794,107.65566000000001,105.26315999999998,100.08233999999999,101.8576,100.52635999999998,96.16537999999997,91.78312000000001,103.98456000000002,100.57726000000001,108.60675999999995,112.74600000000004,114.84551999999996,115.81834,116.47474000000003,118.06856000000002,116.66302000000002,120.81373999999998,118.75069999999998,118.94186000000002,123.04644,124.79480000000001,126.91820000000001,128.94476,129.2722,127.87550000000003,130.92050000000003,131.46964000000006,134.08451999999997,134.14869999999996
55 min,106.36205454545457,109.52965454545452,107.5851090909091,105.26045454545452,100.0773636363636,101.77316363636365,100.48341818181817,96.0908727272727,91.8240181818182,104.01614545454547,100.52440000000003,108.64112727272723,112.6957272727273,114.79694545454542,115.82205454545453,116.48030909090912,118.08027272727273,116.6820181818182,120.8104909090909,118.7162727272727,118.93841818181821,123.0564,124.8008181818182,126.88998181818181,128.99387272727273,129.30063636363636,127.84169090909096,130.90118181818184,131.48470909090912,134.07374545454542,134.1809818181818
6 hr,106.50104166666667,110.46751944444455,107.25556111111115,105.75336111111115,101.48183611111114,102.05396666666667,103.76667777777776,95.44235555555551,93.00285000000005,103.78085277777781,100.8091472222222,107.9350638888888,111.8579805555556,113.46450277777777,115.76073055555551,116.67522777777789,117.55411666666677,116.49735555555554,120.73013333333341,118.79055833333332,119.65348888888883,121.73228333333329,125.38055555555553,126.52001388888895,129.2769416666667,129.60628611111107,126.91897499999999,130.06139166666665,131.66124722222233,133.8443416666665,133.825236111111
6.5 hr,106.69009487179488,110.31933846153854,107.42538974358973,105.79072307692316,101.53851282051285,102.08287948717944,103.78151282051282,95.72208974358966,93.1346897435898,103.74729487179486,100.91267692307689,107.58439743589736,111.68590512820519,113.54259230769232,115.68799487179483,116.5925641025642,117.41206666666679,116.64046666666663,120.65841538461548,118.95159999999997,119.61475641025636,121.57993333333329,125.38504871794872,126.37825641025648,129.140117948718,129.63043846153843,126.87697948717945,129.88009487179482,131.6627435897437,133.71953333333315,133.80823589743582
60 day,103.835,103.66683333333334,103.52433333333333,103.35483333333333,103.10333333333332,102.86750000000002,102.60433333333336,102.25566666666668,101.82900000000001,100.46516666666668,100.15950000000004,100.21016666666671,100.35550000000003,100.63283333333337,100.9131666666667,101.40266666666668,101.74333333333335,102.00200000000002,102.79316666666672,103.63633333333337,105.43066666666668,105.81300000000002,106.17666666666669,106.54116666666668,107.00266666666668,107.57966666666667,108.46216666666668,109.00133333333335,109.57733333333334,110.19066666666666,110.79150000000001
70 day,106.92914285714285,106.66128571428571,106.363,106.12485714285714,105.7982857142857,105.46814285714287,105.111,104.6967142857143,104.20971428571428,102.7957142857143,102.39671428571432,102.28142857142862,102.2161428571429,102.18242857142862,102.14542857142861,102.07971428571432,102.14357142857146,102.21371428571433,102.55200000000006,103.06328571428575,104.0671428571429,104.30900000000003,104.64571428571432,105.11000000000004,105.56471428571432,106.02857142857144,107.0577142857143,107.64314285714288,108.18342857142858,108.73785714285714,109.22314285714288
80 day,107.97543749999997,108.05031249999999,108.0953125,108.0976875,108.019,107.95050000000003,107.65837500000002,107.35050000000004,106.90575000000001,105.28937500000002,104.73112500000002,104.51512500000004,104.35700000000004,104.22137500000004,104.10462500000006,103.96725,103.97300000000003,103.98712500000003,104.07162500000007,104.11537500000006,104.24200000000003,104.33850000000002,104.50050000000006,104.70937500000005,105.00725000000004,105.32450000000003,106.06050000000002,106.402375,106.77687500000002,107.131375,107.48087500000001
90 day,107.53016666666664,107.6293888888889,107.68361111111113,107.7042777777778,107.6743888888889,107.63983333333337,107.57905555555557,107.47727777777781,107.32238888888891,107.13583333333335,107.0195555555556,106.84566666666672,106.7536666666667,106.61655555555559,106.4855555555556,106.26288888888891,106.0587777777778,105.98500000000004,105.85822222222228,105.71300000000006,105.63911111111113,105.72077777777778,105.82277777777782,105.94388888888892,106.08522222222224,106.21955555555557,106.44700000000002,106.5578888888889,106.70633333333335,106.94633333333333,107.15466666666669
Tomorrow,109.4,107.76,105.26,100.57,102.25,100.32,96.55,91.85,92.72,103.32,108.04,112.9,115.09,115.91,116.7,114.32,116.79,118.55,118.98,119.95,122.78,124.84,127.3,128.83,129.56,128.21,130.89,130.92,134.27,133.81,134.53
