,2018-12-17,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-07,2019-01-22,2019-01-23,2019-01-25,2019-01-31,2019-02-01,2019-02-11,2019-02-13,2019-02-14,2019-02-15
25 min,44.140600000000006,44.67719999999999,43.579040000000006,44.36936000000001,44.3112,43.296800000000005,45.76172,48.42612000000001,48.31376,50.6852,51.2966,52.027799999999985,53.79940000000001,55.526439999999965,56.23928,59.84992000000001
3 hr,44.33558888888887,45.327000000000005,43.01175555555557,43.81794444444443,44.56063333333335,43.467544444444435,45.69809444444443,48.468861111111075,48.23527777777778,50.70203888888885,51.351994444444436,52.11706111111112,53.64105000000005,55.538938888888886,56.147133333333315,59.59827777777779
3.5 hr,44.42588571428571,45.38030476190475,42.962352380952375,43.7646238095238,44.52258571428573,43.54608571428572,45.70430952380952,48.5160047619047,48.211819047619045,50.6869428571428,51.36400952380953,52.128095238095256,53.650728571428616,55.534314285714295,56.10578095238095,59.592785714285725
30 day,47.32113666666666,46.96632,46.77704666666668,45.94487,45.631653333333325,45.49760666666666,45.52391333333333,45.73033333333333,45.790333333333336,46.065000000000005,46.759999999999984,47.00533333333332,48.770999999999994,49.46399999999999,49.86133333333334,50.41100000000001
30 min,44.119600000000005,44.717333333333336,43.57536666666667,44.338200000000015,44.30663333333333,43.294666666666664,45.7541,48.42243333333336,48.3058,50.67983333333335,51.29783333333333,52.032499999999985,53.79016666666668,55.54256666666664,56.22389999999999,59.86610000000001
4 hr,44.5565875,45.39383749999999,42.91312916666666,43.67845,44.478979166666655,43.605025,45.681924999999964,48.55681666666661,48.188945833333364,50.668708333333285,51.39325,52.14402083333335,53.65492083333338,55.52375416666667,56.06997083333332,59.581225
4.5 hr,44.659629629629634,45.38010370370369,42.89194814814814,43.567377777777764,44.46869629629627,43.65313333333334,45.66787777777775,48.591677777777726,48.19169259259264,50.64389629629625,51.42170000000001,52.16284814814816,53.65802222222225,55.50640740740741,56.028285185185176,59.56394444444444
40 day,48.00136249999999,47.73000750000001,47.52890000000001,46.9983625,46.52035249999999,46.343692499999996,46.145284999999994,46.038934999999995,46.11057,46.325615000000006,46.64374999999999,46.71849999999999,47.64999999999999,48.12399999999998,48.42549999999999,48.806749999999994
45 min,44.12653333333334,44.78655555555556,43.544000000000004,44.243866666666676,44.33317777777777,43.250844444444446,45.744622222222226,48.39104444444445,48.300244444444445,50.69755555555558,51.27499999999999,52.02044444444444,53.77115555555557,55.58759999999998,56.22444444444445,59.860155555555565
5 day,45.614,45.056,44.571999999999996,43.374,44.86,44.614,44.738,48.11,48.338,49.156,50.762,51.02,52.628,53.89,54.758,56.141999999999996
5 hr,44.74833666666667,45.35696999999998,42.95196999999997,43.44943333333331,44.47400333333331,43.66640333333334,45.64942333333331,48.61912666666663,48.20229000000004,50.608903333333295,51.44116666666669,52.166726666666676,53.66907000000003,55.512879999999996,55.98022333333332,59.53664333333335
5 min,44.2376,44.624,43.592,44.540000000000006,44.394000000000005,43.386,45.751999999999995,48.38,48.335,50.698,51.471000000000004,51.986000000000004,53.757999999999996,55.479,56.342,59.778
