,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2019-01-07,2019-01-11,2019-01-25,2019-01-30,2019-02-04
5 hr,3.739296666666671,3.6335733333333278,3.7253033333333314,3.585663333333336,4.686259999999993,5.151126666666661,5.202520000000005,5.050059999999999,5.665630000000008
5 min,3.6,3.6079999999999997,3.845,3.564,4.703,5.142,5.2330000000000005,5.0809999999999995,5.763
5.5 hr,3.747087878787878,3.63883939393939,3.7144030303030218,3.604766666666668,4.669951515151509,5.1415515151515105,5.20705151515152,5.041681818181817,5.6577242424242495
50 day,4.996,4.948999999999999,4.907999999999999,4.859199999999999,4.537799999999999,4.509799999999999,4.5604,4.5766,4.610600000000001
50 min,3.5982400000000028,3.5794000000000006,3.8145200000000012,3.613359999999999,4.715160000000001,5.147680000000001,5.226519999999998,5.088559999999998,5.7534
55 min,3.59996363636364,3.576363636363637,3.8071090909090923,3.612781818181818,4.713472727272728,5.148800000000002,5.222036363636362,5.08823636363636,5.751272727272729
6 hr,3.7546083333333273,3.6440611111111068,3.7074527777777715,3.6176166666666676,4.649555555555551,5.1424388888888855,5.210630555555562,5.036277777777773,5.6460944444444525
6.5 hr,3.756517948717942,3.641435897435895,3.701792307692305,3.6305205128205134,4.621312820512815,5.1362641025641,5.21325897435898,5.031384615384609,5.629838461538471
60 day,5.224999999999999,5.174833333333331,5.126999999999998,5.072499999999999,4.707166666666666,4.659833333333334,4.6115,4.621166666666667,4.6475
70 day,5.375857142857141,5.339571428571427,5.304999999999998,5.267285714285713,4.911714285714284,4.816857142857143,4.7368571428571435,4.706,4.705857142857143
80 day,5.483124999999999,5.457499999999999,5.429624999999999,5.397124999999998,5.102249999999998,5.027375,4.86875,4.835750000000001,4.819625000000001
90 day,5.4750000000000005,5.4574444444444445,5.441777777777777,5.4239999999999995,5.235999999999998,5.165555555555555,5.053,5.016222222222222,4.975444444444444
Tomorrow,3.61,3.83,3.56,3.68,4.5,5.04,5.07,5.25,5.82
