,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2 day,115.93,119.75,121.42500000000001,119.66,118.995,119.035,117.455,114.375,117.96000000000001,121.505,122.47999999999999,123.85499999999999,126.45500000000001,131.325,134.98000000000002,135.93,133.805,131.885,135.945,141.685,143.69,148.605,150.76999999999998,149.66,149.14,150.16,150.795,148.78,148.21,146.965,146.38,146.765,146.325,146.695,148.125,149.20499999999998,153.555,156.29500000000002,155.06,152.97
2 hr,117.11454166666667,122.55105833333333,119.01837500000005,119.14010000000003,118.87064166666664,119.201175,115.72124166666663,115.342575,120.84508333333329,121.64745000000002,123.6295916666667,124.62115000000004,128.59120833333336,133.94082499999996,136.1498416666667,136.64990833333334,131.23784166666667,131.41075833333338,139.89563333333334,142.13889166666664,145.30195000000003,151.1835083333334,149.26433333333327,149.26791666666662,148.30805833333338,152.23180833333336,149.6263833333333,149.39146666666667,147.27295833333335,146.35735000000003,146.58110833333328,147.478375,145.43744999999998,146.35831666666667,148.6828833333334,149.79685000000003,156.70655000000005,155.2123416666667,155.18939999999995,151.28356666666667
2.5 hr,117.02481333333337,122.56458000000003,119.08673333333337,119.20944666666668,119.0585666666666,119.25405333333336,116.20671333333331,115.26796000000004,120.62431333333325,121.81193333333336,123.73533333333336,124.51128666666669,128.64190000000002,133.99851333333328,136.11789333333337,136.6533533333333,131.17038,131.4352866666667,139.91165333333336,142.04115333333326,145.37318000000002,151.12749333333335,149.36115999999998,149.32495333333327,148.22306000000006,152.25189333333336,149.68983999999995,149.36321999999998,147.28207999999992,146.38613333333333,146.60545333333326,147.42043333333325,145.4365933333333,146.15464666666662,148.70398000000006,149.80286666666674,156.73322666666672,155.14745333333332,155.19321333333332,151.40556666666666
20 day,128.497,127.8585,126.93350000000001,125.883,124.835,124.06849999999997,123.50450000000001,122.67850000000001,122.24350000000001,121.5,121.03999999999999,120.2635,120.00999999999999,120.143,121.24249999999999,122.29199999999999,123.03,123.50549999999998,124.48199999999997,126.75099999999998,128.04799999999997,129.86599999999999,131.58899999999997,133.39450000000002,135.153,136.61450000000005,137.93250000000003,140.66,141.88299999999998,142.971,143.87550000000002,144.51500000000004,145.01,145.5915,146.44199999999998,147.3235,148.20299999999997,148.91,149.54049999999998,149.83799999999994
20 min,116.70734999999999,122.87989999999999,119.69045000000001,119.09555,118.27205000000001,119.53600000000002,115.44335000000004,114.58634999999997,122.2014,121.34914999999998,123.31269999999999,124.54530000000003,128.5591,133.99245000000002,136.07525,136.36295,131.5616,132.1446,139.7545,142.183,145.22545,151.7294,149.21405000000001,149.66225000000003,148.44639999999998,152.1608,149.54145000000003,148.50719999999998,147.38565,146.174,146.51874999999998,147.28235000000004,145.75565,147.22795000000002,148.40749999999997,149.70845,157.12255,155.03224999999998,155.06135,151.0082
200 day,121.15865,121.36959999999999,121.56509999999999,121.75549999999997,121.9395,122.12984999999999,122.28994999999999,122.62334999999999,122.99629999999998,123.62724999999996,123.84019999999998,124.0606,124.29594999999999,124.56295,124.83675,125.11920000000002,125.37555,125.64280000000001,125.91165000000001,126.44655,126.72890000000001,127.04805,127.33905,127.64025000000001,127.93420000000002,128.23860000000005,128.53170000000003,129.10085000000004,129.37110000000004,129.62870000000004,129.88690000000005,130.14490000000006,130.39215000000004,130.64710000000005,130.90570000000002,131.16540000000003,131.4599,131.74040000000005,132.01565000000002,132.2726
25 min,116.77828000000001,122.90471999999998,119.60696000000002,119.07464,118.25816000000003,119.43268000000002,115.35336000000002,114.61827999999997,122.07032000000001,121.43323999999998,123.28655999999997,124.57320000000003,128.60548,134.04196000000005,136.15040000000002,136.45976000000002,131.51132,132.11728,139.79224,142.19732,145.26312,151.68088,149.18772,149.60220000000004,148.46156000000002,152.19235999999998,149.53996000000004,148.54652,147.37067999999996,146.1754,146.49219999999997,147.35372000000004,145.74600000000004,147.13567999999998,148.4424,149.69904,157.09456,155.10819999999998,155.10476,151.01612
3 hr,117.17077777777779,122.63608333333333,118.99614444444451,119.32613333333336,119.16039999999994,119.46355555555563,116.57242777777772,115.15313888888895,120.29081111111104,121.94469444444444,123.7784444444444,124.6078888888889,128.70409999999995,134.10651666666666,136.03670555555559,136.66333333333333,131.16817777777771,131.51305000000002,139.94572222222226,141.96804999999992,145.33928333333336,151.06005000000002,149.36398333333338,149.29754999999997,148.12690000000003,152.2287833333333,149.73547222222214,149.37525000000002,147.2648388888888,146.43657777777773,146.56508333333326,147.3574999999999,145.44760555555547,145.91146666666663,148.70980555555562,149.883588888889,156.73337777777786,155.09307222222225,155.20768888888887,151.56603333333334
3.5 hr,117.27729047619053,122.6368952380952,119.01482380952389,119.41264285714293,119.3066714285714,119.55347619047626,116.95246666666661,115.13357142857146,120.04461904761895,122.00319999999994,123.66089999999993,124.68837619047623,128.7088095238095,134.1353619047619,135.96712380952386,136.6805904761904,131.24638571428562,131.60079047619053,140.07695714285722,141.91989999999993,145.25384285714287,151.07362380952387,149.42626190476193,149.23390952380947,148.07150000000004,152.240338095238,149.77004761904757,149.46267142857147,147.24974761904755,146.39997142857143,146.4003,147.32969523809516,145.38289047619043,145.6846523809523,148.67995238095244,150.04531428571434,156.6944285714287,155.06007619047622,155.28390000000002,151.78091904761905
30 day,132.7086666666667,132.26766666666668,131.53666666666666,130.81633333333332,129.97299999999998,129.2123333333333,128.32933333333332,126.47566666666667,125.01200000000001,123.41533333333334,122.86600000000001,122.527,122.57900000000001,123.0026666666667,123.40200000000002,123.90666666666668,124.16833333333332,124.48133333333332,124.83933333333331,125.5513333333333,125.7263333333333,126.34133333333331,126.94233333333331,128.14166666666668,129.25566666666666,130.4236666666667,131.32533333333333,133.26666666666668,134.23133333333334,135.12866666666667,136.1596666666667,137.22233333333335,138.28966666666668,139.43533333333335,140.30066666666667,141.1823333333333,142.37966666666665,143.50166666666667,144.55166666666665,145.44266666666664
30 min,116.93023333333333,122.85409999999999,119.58580000000002,119.05773333333333,118.28733333333336,119.3299,115.31916666666669,114.69706666666666,121.93816666666667,121.48803333333333,123.23413333333332,124.61866666666671,128.6244,134.06333333333336,136.19750000000002,136.54280000000003,131.4698,132.034,139.78126666666668,142.21706666666665,145.2977,151.60469999999998,149.14676666666668,149.54753333333338,148.44363333333337,152.2098,149.5639666666667,148.6068333333333,147.37556666666663,146.1770666666667,146.4858333333333,147.39126666666667,145.68156666666667,147.06606666666667,148.4895,149.71439999999998,157.0628,155.16049999999998,155.1326333333333,151.02883333333332
4 hr,117.30257500000003,122.57838333333332,119.10459166666674,119.47172916666669,119.55274999999999,119.55740000000007,117.29877083333328,115.15204583333335,119.79161249999994,122.0060541666666,123.47451666666664,124.7017208333334,128.66990416666658,134.16560833333332,135.90787500000005,136.6594833333333,131.25794583333328,131.69328750000008,140.40765833333344,141.87795833333334,145.22992083333332,151.0708083333333,149.48739166666672,149.1046,148.06173750000008,152.21955416666657,149.75662083333324,149.51157083333337,147.26716249999993,146.30093750000003,146.25643749999998,147.3163916666666,145.3657541666666,145.51360416666657,148.65222499999996,150.22161250000008,156.63142916666678,154.98665833333345,155.40044166666667,151.97783333333334
4.5 hr,117.3967703703704,122.47409259259261,119.21067037037041,119.57495925925926,119.72012592592593,119.56060740740746,117.55727777777774,115.3872111111111,119.51784074074068,121.95931851851844,123.31811481481475,124.73983333333341,128.59804814814805,134.16460370370368,135.80665555555558,136.63254444444442,131.24434074074074,131.82095925925935,140.85581481481503,141.87568518518512,145.23422222222217,151.04567407407401,149.62409259259266,149.0548222222222,148.04355555555557,152.16126666666662,149.7527666666666,149.4967703703704,147.23499999999993,146.14480370370367,146.1694851851852,147.31991481481475,145.3810111111111,145.38949629629627,148.61381481481482,150.33608518518523,156.61752222222233,154.92202222222238,155.45049259259264,152.19450740740749
40 day,134.48200000000003,133.93675000000002,133.27100000000002,132.65975,132.0645,131.62525,131.01925,129.945,129.042,127.73225000000002,127.21175000000002,126.77025,126.42900000000002,126.25325000000002,126.06900000000003,125.91225000000001,125.7635,125.68199999999999,125.70774999999996,125.79299999999998,126.05824999999997,126.68525,127.38725,128.03650000000002,128.72575,129.42900000000003,130.10225,131.07999999999998,131.4615,131.61724999999998,131.94275,132.329,133.12625,133.94175,134.736,135.41449999999998,136.34249999999997,137.24624999999997,138.14574999999996,138.94299999999996
45 min,117.24459999999999,122.72240000000002,119.52893333333333,119.082,118.51260000000002,119.11893333333335,115.11904444444444,114.91186666666668,121.70320000000001,121.51057777777775,123.1970888888889,124.60051111111116,128.57895555555558,134.21908888888888,136.16617777777776,136.67044444444446,131.37342222222222,131.79895555555558,139.84313333333336,142.28617777777777,145.20284444444445,151.4761333333333,149.1869777777778,149.45773333333335,148.45695555555557,152.27922222222224,149.58260000000007,148.75539999999998,147.31604444444443,146.14860000000004,146.5602222222222,147.46006666666665,145.58304444444443,146.9456,148.59666666666666,149.81797777777774,156.98142222222225,155.20773333333335,155.1709555555555,151.0317333333333
5 day,122.15799999999999,119.96399999999998,117.71600000000001,118.766,119.53800000000001,120.008,118.62,116.506,116.076,120.454,122.47200000000001,122.81200000000001,123.854,126.394,129.244,131.774,133.22400000000002,133.946,135.072,137.374,140.07999999999998,144.06199999999998,146.01,147.754,148.992,150.342,149.868,149.516,149.392,148.238,147.62600000000003,147.214,146.644,146.608,147.108,147.738,149.824,151.726,153.17000000000002,153.664
5 hr,117.4899966666667,122.39888666666671,119.44559666666675,119.68115333333327,119.89573666666668,119.52279333333337,117.80977666666658,115.61111333333332,119.20926666666666,121.94824666666662,123.17944333333325,124.52833666666668,128.57412333333332,134.1467766666667,135.69917666666666,136.62632333333326,131.2987866666667,131.91401666666675,141.13576000000018,141.8773666666666,145.2167433333333,151.0536633333333,149.77448666666666,149.07886333333335,147.99701666666675,152.08553999999995,149.79262666666668,149.50799333333333,147.26000999999988,146.01572000000004,146.06024999999997,147.40543666666665,145.32894333333334,145.3223033333333,148.5709066666667,150.35024000000004,156.6257200000001,154.96707333333345,155.48000333333337,152.35935333333336
