,2018-12-11,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
5 min,1051.694,1062.7844,1043.5196,1015.4162,1030.3218000000002,1026.3539999999998,1007.1034,1038.2930000000001,1044.9342000000001,1017.0360000000001,1068.5196,1067.5172,1076.03,1075.471,1069.9642,1056.9740000000002,1044.6508,1080.7684000000002,1088.9119999999998,1096.6046000000001,1074.2414,1074.0099999999998,1090.5040000000001,1069.411,1060.2598,1089.324,1116.344,1110.4540000000002,1145.7404,1116.4568,1093.9227999999998,1095.4270000000001,1120.9404,1119.89,1122.036,1112.9263999999998
5.5 hr,1048.8801454545453,1061.4335787878786,1049.553981818183,1032.395627272727,1039.2126484848468,1045.5421545454542,1010.5463454545454,1008.8780060606061,1040.4327090909094,1023.0345090909092,1062.504251515151,1065.0867636363628,1070.6282484848489,1075.008251515152,1065.5993393939393,1054.1865787878783,1047.6267757575752,1082.930381818182,1081.1524090909086,1102.1272727272726,1068.95127878788,1067.3790636363633,1089.4023909090904,1069.5406696969703,1062.5673333333332,1077.1577363636366,1113.4869636363637,1114.5109181818182,1129.7249757575764,1120.8339636363648,1094.206403030303,1096.4181333333345,1121.0044818181814,1127.636927272728,1123.825427272728,1114.3950060606062
50 day,1081.6980000000003,1076.3012000000003,1073.0842000000002,1070.0510000000002,1067.4782000000002,1064.9590000000003,1062.3708000000001,1056.8627999999999,1051.7674,1050.1594,1049.5503999999999,1048.8444,1049.3558,1048.9376,1048.9148,1049.657,1049.8265999999996,1050.0536,1050.6958,1051.8592,1051.7970000000005,1051.6270000000004,1052.1238000000003,1052.7528000000007,1053.2442000000003,1054.1522000000002,1055.1854000000003,1056.1706000000004,1060.8312000000003,1062.3836000000003,1064.8090000000004,1065.8210000000001,1066.5238000000002,1067.1610000000003,1067.7058000000002,1067.8502
50 min,1056.4030599999999,1059.6624400000003,1044.6085600000001,1013.5606400000003,1031.9907399999997,1022.1574800000002,1010.3488199999999,1026.33806,1041.8002,1017.44022,1066.0968799999996,1067.9554000000003,1076.3089599999998,1075.4082999999998,1069.0164800000005,1056.8430200000003,1045.29782,1082.1537199999998,1085.2439999999997,1097.65774,1073.284,1071.8743200000001,1088.7978799999996,1070.01766,1060.68708,1087.29912,1114.6214799999998,1112.86862,1143.4358200000001,1116.3356,1094.43602,1095.39764,1122.7386399999998,1123.74632,1122.4003799999998,1112.35504
55 min,1055.9821090909093,1059.3309454545456,1044.628981818182,1014.1555636363639,1031.5913636363634,1021.6899454545454,1009.9773454545456,1025.5007636363637,1042.0602909090908,1017.5179636363636,1066.1005090909089,1067.730854545455,1076.1150545454545,1075.4298,1068.8962181818185,1056.7734000000003,1045.4718363636366,1082.2997454545452,1085.1667999999995,1097.5731818181819,1073.0841090909091,1071.6950363636365,1088.6559999999997,1070.1378909090909,1060.6965636363636,1087.338909090909,1114.513327272727,1112.7896363636362,1143.1584181818184,1116.1602000000003,1094.5030181818183,1095.4007454545454,1122.5612545454546,1123.8905454545452,1122.5341272727271,1112.4518545454546
6 hr,1049.0809527777778,1062.4457138888888,1049.9694027777787,1032.6861888888886,1038.618380555554,1046.3145333333337,1011.916402777778,1007.3233222222223,1039.3917027777786,1023.5921527777784,1060.7586638888886,1064.592891666666,1070.7236083333337,1075.1654527777782,1065.3209222222226,1054.2250138888887,1047.3434638888882,1083.5100500000003,1081.2639305555551,1101.5991333333332,1069.476552777779,1067.8120583333327,1089.3511666666664,1069.6098388888895,1062.904097222222,1076.6207027777773,1113.3110277777782,1114.9569333333338,1129.289919444445,1121.3968916666677,1093.997188888889,1096.6695138888895,1120.5488194444442,1127.9158250000007,1123.3396083333337,1114.4207472222222
6.5 hr,1049.4132487179484,1063.276028205128,1049.9392205128213,1032.6659948717945,1037.8061897435884,1046.0530538461542,1012.7277461538463,1006.619441025641,1038.1689179487187,1025.0550256410265,1058.6913358974352,1064.9492256410254,1071.20978974359,1075.5205435897435,1065.3175358974365,1054.4952846153844,1047.2642153846145,1083.7838076923076,1081.289243589743,1101.0823230769229,1070.3232384615392,1068.4063384615376,1088.9117512820512,1069.9798820512829,1063.310858974359,1076.4617743589736,1112.4633205128214,1114.9889358974367,1129.2659205128211,1122.721584615386,1093.670271794872,1096.9698461538471,1119.855394871795,1128.13077948718,1122.6150025641027,1114.8403102564102
60 day,1097.5473333333334,1094.3525000000004,1092.2026666666668,1089.3636666666669,1087.074,1084.5680000000002,1081.6473333333333,1072.091,1062.0220000000002,1059.6671666666668,1058.3628333333334,1057.189,1057.1066666666668,1057.029,1056.3665,1055.7821666666666,1054.5056666666667,1053.7466666666667,1053.6373333333333,1053.5890000000002,1053.4505000000001,1053.0893333333336,1053.4146666666668,1054.2480000000003,1054.6548333333335,1054.8596666666667,1055.6325000000004,1056.515166666667,1059.5633333333337,1059.9273333333338,1060.6810000000005,1061.620666666667,1063.042666666667,1064.317666666667,1065.2670000000003,1066.1363333333336
70 day,1109.192285714286,1105.0550000000005,1102.992428571429,1100.7794285714288,1098.8348571428573,1096.8115714285716,1094.4122857142856,1087.0485714285714,1079.7227142857143,1077.5794285714285,1076.1128571428574,1074.4520000000002,1072.963285714286,1071.2492857142859,1069.4901428571432,1067.5170000000003,1065.2967142857146,1062.2535714285718,1061.2900000000002,1060.5655714285717,1059.5091428571432,1059.4317142857146,1059.1590000000006,1058.8422857142864,1057.9757142857147,1057.595285714286,1058.0010000000007,1058.2051428571435,1059.2614285714292,1060.1831428571434,1060.5650000000005,1061.6354285714287,1062.852,1063.471857142857,1064.21,1065.0080000000003
80 day,1123.1070000000004,1119.5676250000004,1117.5736250000004,1115.1886250000002,1112.98025,1110.5097500000002,1107.604625,1098.55025,1090.916625,1089.057,1087.882875,1086.5207500000001,1085.439,1084.180625,1082.9031250000003,1081.667375,1080.21075,1077.7127500000001,1076.7603750000003,1075.8215000000005,1073.0833750000006,1071.5741250000005,1070.2931250000006,1068.727750000001,1066.9841250000006,1065.5605000000007,1064.9127500000009,1064.330250000001,1064.217750000001,1064.642875000001,1064.6975000000007,1064.7320000000004,1064.7331250000004,1064.7890000000004,1065.2102500000005,1065.4251250000004
90 day,1135.217333333334,1131.6295555555562,1129.4060000000006,1126.8606666666672,1124.4118888888893,1122.0274444444449,1119.520777777778,1112.1013333333335,1104.8206666666667,1102.717111111111,1101.0511111111111,1099.124111111111,1097.4033333333334,1095.462888888889,1093.5874444444448,1091.7985555555556,1090.1062222222224,1087.8862222222224,1087.053666666667,1086.3161111111115,1084.159555555556,1083.032555555556,1082.126555555556,1081.171333333334,1080.053555555556,1079.1421111111115,1078.3587777777784,1077.7438888888896,1076.8635555555566,1076.1384444444452,1073.979111111112,1072.8646666666673,1071.9897777777785,1071.0698888888896,1070.5530000000008,1070.067444444445
