,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
25 min,226.52796000000006,228.80532000000002,226.46668000000005,206.09516000000002,201.37216,203.25732000000005,201.33724000000007,196.92795999999998,194.7856,197.72148,203.1602,203.86376,205.77771999999996,207.60136000000003,208.74860000000007,210.48244000000003,210.71996000000001,209.02715999999992,210.27915999999996,211.08127999999996,213.41303999999994,211.76008,211.89520000000005,210.24451999999997,208.98275999999998,210.20876,210.37767999999994,211.26164000000006,211.97444,209.90128,211.50004,211.52808000000002,206.91783999999998,208.43924000000007,211.63120000000004,213.14803999999995,214.00900000000004,216.68148000000002
3 hr,225.68798888888904,229.28783888888898,226.20109444444435,207.00794999999994,203.39103333333335,202.95636111111105,203.52157777777776,196.4303111111112,196.59647777777775,195.73239444444448,203.29046111111114,203.96630555555555,206.3710777777778,207.95073888888885,207.91590000000005,209.85582777777782,210.77163333333328,208.9854944444443,210.54640000000003,210.64090555555543,213.4841666666667,211.8614388888888,211.53724444444438,210.4667777777777,209.49735000000004,209.7394388888889,210.05171666666666,210.98911666666675,210.7946944444445,209.93011111111102,211.5108555555555,211.3341444444445,207.2499111111111,208.0939277777779,211.53341666666665,212.5598222222222,213.97906666666677,216.5927777777778
3.5 hr,225.71877142857156,229.3567047619048,226.24222857142848,207.15740952380952,203.66056190476198,203.06160476190473,203.87018571428564,196.57570952380954,196.68652380952372,195.70146666666676,203.29043333333337,203.86739999999998,206.49832857142863,207.97805714285718,207.73190952380963,209.91825714285721,210.7782095238095,209.081780952381,210.4952666666667,210.64001428571413,213.53990476190478,212.02007142857127,211.4779904761904,210.41100952380953,209.64347619047624,209.6412619047618,209.9642095238095,210.9285000000001,210.80778571428579,209.97732380952374,211.5294904761903,211.32378095238104,207.24907619047625,208.06705714285718,211.4609714285714,212.47231904761898,213.98033809523818,216.52000476190483
30 day,228.46993999999998,228.66631999999998,228.63741333333334,227.93837333333335,227.0465966666667,226.16151,225.08162333333337,223.7845,222.27923000000004,219.3597866666667,216.1983266666667,215.3612566666667,213.5960266666667,213.18679666666668,212.85369666666668,212.22306333333336,211.80752,211.09810333333334,209.73279333333338,209.04731,208.62312333333335,207.9316566666667,207.5071366666667,207.09657666666666,206.51714333333334,205.95100666666667,205.41246,205.55507333333335,205.9672933333334,206.2093066666667,207.01546333333334,207.58326333333332,208.55749333333335,208.83021666666673,209.1770266666667,209.49832000000004,209.81937333333335,210.37237000000002
30 min,226.6133,228.82010000000002,226.4406666666667,206.08243333333337,201.3595,203.20150000000004,201.25860000000006,197.0549,194.89356666666666,197.50680000000003,203.18606666666665,203.78566666666666,205.7617666666666,207.63326666666666,208.75400000000005,210.4392,210.70526666666672,209.01773333333324,210.2916333333333,211.08899999999994,213.4261666666666,211.71909999999997,211.87826666666672,210.24446666666663,208.97993333333335,210.17843333333334,210.3912666666666,211.2272666666667,211.7867333333333,209.86540000000005,211.55849999999998,211.47943333333333,206.91036666666668,208.4448666666667,211.64573333333334,213.19799999999995,214.03496666666675,216.68473333333336
4 hr,225.73742083333346,229.37766249999999,226.2731874999999,207.26744583333328,204.03983333333335,203.18247916666667,204.11397499999987,196.65054166666673,196.8317124999999,195.58281250000002,203.17633333333345,203.68786249999994,206.51245000000003,207.99025833333334,207.50830000000005,209.95647916666684,210.7661874999999,209.19035833333342,210.42546249999995,210.64167499999988,213.55661250000003,212.16532083333317,211.34678749999995,210.39669999999992,209.7877875,209.5081958333332,209.89423333333337,210.92024166666673,210.91897083333336,210.13389166666656,211.59315833333312,211.2742333333334,207.22916666666666,208.0584083333334,211.43307916666672,212.3875458333333,213.99830000000014,216.4644916666667
4.5 hr,225.79611481481484,229.33243703703707,226.3331407407406,207.3535407407407,204.28874814814816,203.25021111111113,204.20714444444434,196.68481481481493,197.0443185185184,195.28414814814823,203.0407000000002,203.56411481481473,206.4842333333334,207.89675555555553,207.33852222222228,209.9938629629631,210.73940740740727,209.3116407407409,210.37222962962963,210.64371851851843,213.52388888888893,212.3509444444444,211.33228148148146,210.3934444444444,209.89471481481488,209.4442555555555,209.8060666666667,210.8727222222223,210.94989629629632,210.2108925925925,211.59522222222205,211.22906666666668,207.15806666666666,208.04804444444457,211.43801111111122,212.31786666666662,213.93851851851863,216.3822888888889
40 day,227.69325249999997,227.78855249999998,227.77283999999995,227.25204,226.60857750000005,225.95695,225.28110250000003,224.506255,223.79045250000007,222.42125500000006,220.66275249999998,220.05699999999996,218.63962,217.9128625,217.13371500000002,215.73998,215.14234500000003,214.51554000000004,213.4673725,212.97969000000003,212.60196000000002,212.42967500000003,212.26811000000004,212.025015,211.76621500000002,211.46104,210.96163750000005,210.47171000000003,210.05658250000005,209.51280000000003,208.59627500000002,208.26567,207.48692,207.02526250000005,206.67526750000007,206.8327125,207.13658250000003,207.48725500000006
45 min,226.71877777777777,228.8016222222222,226.3416222222222,206.2472222222223,201.60513333333333,203.0172444444445,201.24000000000004,197.2428222222222,195.17786666666663,196.9589777777778,203.10251111111106,203.727,205.77728888888888,207.72935555555551,208.7265333333334,210.29428888888893,210.74604444444452,209.00815555555548,210.38077777777778,210.94313333333332,213.42251111111108,211.64422222222217,211.88948888888888,210.36784444444444,209.00695555555552,210.11320000000003,210.2926,211.22893333333337,211.29477777777777,209.75260000000006,211.66157777777775,211.42639999999997,206.9952444444445,208.4280666666667,211.63913333333338,213.21824444444445,214.02588888888894,216.64831111111118
5 day,226.10324,226.39245999999997,225.05806,221.50766000000004,217.43266,212.74331999999998,207.47954,201.61936,199.11811999999998,195.80707999999998,198.55365999999998,201.4997,202.88596,203.87528,204.84068000000002,207.90438,208.75607999999997,209.15502,209.70554,209.86909999999997,210.48343999999997,211.1616,211.37302,211.39893999999998,210.92224000000002,210.35976,209.94287999999997,209.79528,210.65695999999997,210.89629999999997,211.23737999999997,211.28725999999997,209.8962,209.51798,209.69,210.044,211.002,212.746
