,2018-12-11,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-25,2019-01-31,2019-02-01,2019-02-05,2019-02-07,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
3 hr,31.632161111111124,30.792377777777777,30.61087777777777,29.128205555555567,28.64589444444445,26.621877777777794,25.468294444444446,24.392138888888894,25.689427777777798,26.542050000000003,28.13585000000001,28.66574444444445,28.735155555555554,28.327699999999993,28.529900000000023,27.90593888888888,27.99605555555555,28.434433333333324,29.334205555555553,29.756216666666663,29.23325000000002,28.887600000000024,30.103744444444455,30.631005555555568,30.571111111111076,31.023927777777796,30.897777777777776,31.339644444444456,31.294688888888874,28.724155555555566,29.78923888888891,30.813777777777787
3.5 hr,31.622990476190473,30.82305238095237,30.63883333333333,29.150619047619056,28.771919047619065,26.65743809523813,25.503376190476192,24.34232857142858,25.675657142857144,26.532233333333338,28.140947619047616,28.6619238095238,28.69840952380952,28.351114285714274,28.55593809523812,27.9056476190476,28.020376190476156,28.418052380952368,29.34082380952381,29.751690476190465,29.231976190476196,28.851885714285736,30.08831428571429,30.639104761904775,30.590890476190445,31.01737619047621,30.889185714285716,31.359642857142862,31.27769999999998,28.67668571428571,29.79241904761907,30.821566666666666
30 day,31.701333333333334,31.885333333333335,31.882333333333335,31.761666666666667,31.66133333333333,31.49433333333333,31.25766666666667,30.044,29.802666666666664,29.58833333333333,29.480999999999998,29.43333333333333,29.346999999999998,29.266666666666666,29.150999999999996,28.81233333333333,28.655333333333328,28.514999999999993,28.379999999999995,28.309000000000005,28.226,28.132000000000005,28.018666666666668,27.913,27.959333333333333,28.192,28.63933333333333,29.086666666666662,29.296666666666663,29.42633333333333,29.55366666666666,29.702999999999992
30 min,31.67566666666668,30.803166666666673,30.498833333333334,29.0,27.902466666666665,26.570533333333334,25.11146666666666,24.742633333333334,25.66916666666667,26.365099999999995,28.1904,28.642699999999998,28.764,28.21833333333333,28.6643,27.65143333333334,28.17973333333333,28.51446666666666,29.320733333333333,29.791566666666657,29.401166666666665,29.089000000000002,30.073866666666657,30.60516666666668,30.442033333333328,31.212966666666674,30.957699999999985,31.207200000000007,31.247333333333327,28.89066666666667,29.845933333333328,30.885366666666663
4 hr,31.613629166666666,30.876133333333325,30.657970833333327,29.175408333333344,28.868970833333357,26.67393333333336,25.53156666666666,24.311633333333337,25.64898750000001,26.533620833333337,28.11742916666666,28.647429166666658,28.651245833333338,28.35920833333332,28.561345833333355,27.90031249999998,28.047674999999973,28.39647083333332,29.33426249999999,29.75324166666666,29.227716666666673,28.81158750000002,30.06664166666667,30.64709166666667,30.585854166666653,31.005804166666678,30.87286666666667,31.377445833333354,31.285254166666654,28.667095833333345,29.80524166666669,30.816808333333352
4.5 hr,31.626614814814822,30.954348148148146,30.68034444444444,29.1825925925926,28.92210370370373,26.698914814814835,25.584392592592582,24.27771481481482,25.64002592592594,26.55140740740741,28.093040740740733,28.626718518518487,28.599055555555548,28.37197407407406,28.570344444444466,27.896825925925913,28.041792592592557,28.385970370370355,29.326237037037032,29.739329629629633,29.2442074074074,28.8027814814815,30.061396296296294,30.64002592592593,30.580018518518525,30.982603703703717,30.850118518518517,31.38784074074075,31.29101851851851,28.67146666666668,29.80623333333336,30.8046
40 day,31.940750000000016,31.82000000000001,31.725250000000006,31.467249999999996,31.299749999999996,31.1675,31.04125,30.452500000000004,30.307499999999997,30.194750000000006,30.127500000000005,30.05525,29.96925,29.87175,29.79449999999999,29.59849999999999,29.502249999999993,29.387999999999995,29.30025,29.257749999999998,29.244749999999993,29.190749999999998,29.12625,28.845750000000002,28.772000000000002,28.709249999999997,28.671999999999997,28.64375,28.655250000000002,28.610500000000002,28.604499999999994,28.65075
45 min,31.71964444444444,30.816733333333335,30.503377777777775,28.9842,27.92653333333334,26.634111111111118,25.176111111111105,24.663466666666668,25.64004444444444,26.359844444444438,28.17286666666667,28.668466666666664,28.748355555555555,28.257577777777765,28.62186666666667,27.69357777777778,28.126599999999993,28.517511111111098,29.287844444444445,29.786755555555544,29.367022222222218,29.079222222222207,30.094444444444456,30.587555555555557,30.43993333333333,31.20133333333335,30.944244444444443,31.23495555555556,31.254444444444434,28.881088888888883,29.847666666666655,30.85257777777777
5 day,31.892000000000003,31.706,31.45,30.528,29.68,28.815999999999995,27.690000000000005,24.636000000000003,25.016,25.321999999999996,26.101999999999997,26.830000000000002,27.572000000000003,28.048000000000002,28.492,28.268,28.182,28.24,28.380000000000003,28.71,29.089999999999996,29.262,29.724,30.1,30.172000000000004,30.445999999999998,30.856,31.267999999999994,31.273999999999994,30.776,30.502,30.374000000000002
5 hr,31.642350000000018,31.003513333333327,30.69767666666665,29.178023333333343,28.949183333333362,26.751313333333357,25.632586666666665,24.263273333333345,25.62524000000002,26.565930000000005,28.08098,28.605636666666637,28.55640666666666,28.38207999999998,28.574983333333353,27.90550666666665,28.044553333333297,28.38015999999999,29.31447,29.742703333333328,29.256336666666666,28.80115333333334,30.062893333333346,30.643993333333324,30.561463333333354,30.958040000000008,30.839896666666665,31.399773333333354,31.292356666666656,28.695066666666673,29.794516666666695,30.79200666666667
5 min,31.607,30.823,30.689,29.07,27.981,26.456,25.0512,24.848999999999997,25.866000000000003,26.4,28.274,28.636000000000003,28.707,28.229999999999997,28.578000000000003,27.609999999999996,28.228999999999996,28.551,29.339999999999996,29.784000000000002,29.451,29.089999999999996,30.096000000000004,30.688,30.464,31.212,31.034999999999997,31.147000000000002,31.254,28.875999999999998,29.726,30.884999999999998
5.5 hr,31.681393939393956,31.048018181818176,30.706266666666636,29.20145454545455,28.977490909090925,26.815015151515162,25.713045454545455,24.273018181818188,25.601384848484855,26.531387878787886,28.053603030303016,28.57776060606058,28.528142424242436,28.374381818181792,28.562048484848486,27.911366666666634,28.041748484848462,28.365575757575755,29.291566666666665,29.742860606060578,29.27222121212119,28.829760606060606,30.069342424242425,30.626939393939377,30.549681818181835,30.94639090909091,30.872863636363647,31.411390909090944,31.292606060606055,28.749427272727278,29.77155454545457,30.75969393939394
50 day,32.44880000000001,32.27620000000001,32.16620000000001,31.935400000000005,31.804800000000004,31.651000000000007,31.490400000000008,30.612800000000007,30.442400000000003,30.272600000000008,30.145000000000003,30.0816,30.053800000000003,30.014,30.021599999999992,29.987199999999998,29.937399999999997,29.874799999999997,29.842999999999996,29.819599999999994,29.77999999999999,29.719799999999996,29.645999999999994,29.477999999999998,29.4298,29.427599999999998,29.437199999999997,29.401600000000002,29.355600000000003,29.273600000000005,29.212400000000002,29.1626
50 min,31.725859999999994,30.81326,30.508639999999993,28.98318,27.926780000000008,26.637300000000003,25.201700000000002,24.639420000000005,25.634159999999994,26.366460000000004,28.169940000000008,28.67142,28.74412,28.264859999999985,28.614079999999998,27.70981999999999,28.114499999999992,28.51295999999999,29.278560000000002,29.788879999999985,29.351779999999994,29.069399999999987,30.101600000000012,30.5839,30.438140000000004,31.196900000000014,30.940760000000004,31.23844,31.252799999999993,28.87807999999999,29.84329999999999,30.850719999999992
55 min,31.718490909090907,30.809690909090907,30.50930909090908,28.976981818181827,27.9147090909091,26.62254545454546,25.232509090909094,24.624490909090913,25.6330909090909,26.37314545454546,28.16585454545455,28.672854545454552,28.73438181818182,28.27145454545453,28.617254545454546,27.722199999999983,28.09774545454545,28.511727272727263,29.277636363636365,29.792436363636345,29.336618181818174,29.05727272727272,30.104090909090925,30.58439999999999,30.439127272727276,31.193818181818198,30.93961818181819,31.241309090909095,31.25472727272727,28.87379999999999,29.84190909090908,30.849381818181804
6 hr,31.731180555555557,31.095844444444428,30.710722222222188,29.251361111111116,28.99341111111113,26.883152777777795,25.800561111111115,24.306877777777785,25.561469444444462,26.466780555555545,27.99965277777778,28.55528055555553,28.52349444444446,28.399736111111093,28.528261111111117,27.921880555555543,28.041363888888878,28.365797222222223,29.26209166666666,29.734633333333306,29.280166666666652,28.882366666666666,30.06788611111112,30.601902777777777,30.54383333333335,30.924111111111102,30.898936111111123,31.428766666666686,31.30279166666667,28.83220277777777,29.71608055555559,30.70069166666666
6.5 hr,31.798397435897442,31.163323076923064,30.695743589743547,29.31842307692308,29.009189743589754,26.9432717948718,25.866653846153852,24.35908205128206,25.48121282051285,26.419548717948704,27.9399282051282,28.521730769230743,28.535061538461555,28.427202564102565,28.490525641025645,27.923656410256402,28.01509487179485,28.3538717948718,29.221597435897436,29.707964102564073,29.28868717948716,28.96402051282051,30.067376923076928,30.570943589743592,30.536615384615402,30.89528717948717,30.92659743589745,31.43650000000003,31.308994871794873,28.90394615384613,29.64677948717951,30.637117948717947
60 day,33.06333333333334,32.88600000000001,32.784000000000006,32.54833333333334,32.42400000000001,32.27250000000001,32.09633333333334,31.165666666666674,30.993166666666674,30.861833333333344,30.758333333333344,30.66550000000001,30.592666666666673,30.53250000000001,30.461166666666667,30.26,30.156833333333335,30.05933333333333,29.9665,29.885499999999997,29.847833333333327,29.831833333333332,29.86,29.868666666666666,29.8605,29.84316666666666,29.812166666666663,29.80066666666666,29.789166666666663,29.735166666666665,29.678166666666662,29.645666666666667
70 day,33.37942857142858,33.2737142857143,33.21800000000001,33.06342857142858,32.964714285714294,32.84385714285716,32.69700000000001,31.83814285714287,31.684714285714303,31.54057142857145,31.438571428571446,31.339000000000013,31.240285714285722,31.13714285714287,31.03542857142857,30.808714285714295,30.69585714285715,30.58614285714286,30.515285714285717,30.44828571428572,30.38171428571429,30.325428571428574,30.259857142857143,30.02771428571428,29.96385714285714,29.892285714285716,29.92228571428572,30.01371428571428,30.03957142857142,30.012714285714285,29.984428571428563,29.983999999999995
80 day,33.644625000000005,33.55500000000001,33.49362500000001,33.353875,33.260250000000006,33.14437500000001,33.003000000000014,32.33612500000002,32.22812500000002,32.11725000000003,32.03487500000002,31.95562500000002,31.872875000000015,31.769750000000016,31.67300000000001,31.449500000000018,31.343000000000018,31.242125000000016,31.152500000000014,31.082250000000016,31.00650000000001,30.92550000000001,30.787500000000005,30.492624999999997,30.444374999999997,30.353875,30.322625000000006,30.27375,30.237624999999998,30.167875,30.109124999999988,30.05899999999999
90 day,33.85955555555556,33.77733333333334,33.71000000000001,33.56055555555556,33.480444444444444,33.3858888888889,33.2678888888889,32.679111111111126,32.576333333333345,32.480555555555576,32.40088888888891,32.32144444444446,32.23644444444446,32.149000000000015,32.073333333333345,31.91066666666669,31.840666666666685,31.77433333333335,31.70822222222224,31.65188888888891,31.591555555555573,31.522777777777794,31.38177777777779,31.086111111111123,31.018666666666675,30.91233333333334,30.816222222222233,30.72188888888889,30.666888888888888,30.58588888888889,30.513333333333325,30.475555555555548
Tomorrow,32.2,30.65,29.94,27.96,26.48,25.02,23.98,25.88,26.42,28.28,28.6,28.68,28.26,28.64,28.15,28.25,28.55,29.34,29.8,29.51,29.11,30.12,30.3,30.44,30.19,31.35,31.54,31.26,28.86,29.7,30.9,NULL
