,2018-12-14,2018-12-18,2018-12-20,2018-12-31,2019-01-02,2019-01-09,2019-01-11,2019-01-17,2019-01-22,2019-01-25
1 hr,191.69251666666662,189.7192,185.41871666666668,188.57303333333337,194.4516333333333,211.94375,215.21763333333337,224.8218333333334,225.5325666666666,242.31525000000002
1 min,191.67,189.67,185.14,189.77,195.73,210.82,215.27,225.31,225.83,242.13
1.5 hr,191.75778888888894,189.61493333333334,185.53537777777782,188.26283333333345,194.27371111111114,212.04208888888888,215.20101111111111,224.89023333333333,225.67967777777775,242.47242222222224
10 day,217.31400000000002,204.47500000000002,195.667,188.059,188.36700000000002,197.181,201.632,213.558,218.686,225.237
10 min,191.6645,190.3355,184.52800000000002,188.70120000000003,195.4535,210.6015,215.2705,224.64200000000005,225.34650000000002,242.09410000000003
100 day,285.68539999999996,283.28950000000003,280.81530000000004,272.97490000000005,271.71380000000005,265.9709000000001,263.8266000000001,259.6229000000001,257.61250000000007,254.86110000000005
125 day,289.07784,287.05495999999994,285.01696,279.92287999999996,279.17744,275.32896,273.98456,271.2504800000001,269.9107200000001,268.00576
15 min,191.506,190.44833333333332,184.66866666666672,188.81860000000003,195.36700000000002,210.82433333333339,215.36439999999996,224.4720000000001,225.37033333333335,242.39140000000003
150 day,294.18886666666646,292.4682666666665,290.6419333333332,285.26159999999993,284.5206,280.7195333333333,279.2645333333333,276.5797333333333,275.40920000000006,273.6909333333333
175 day,291.5279999999999,290.95445714285705,290.25359999999995,288.2295428571428,287.89588571428567,285.810857142857,284.7609714285713,282.790857142857,281.758457142857,280.24005714285704
2 day,193.92000000000002,191.2,185.75,189.92,192.88,208.905,213.87,225.07,228.365,235.22500000000002
2 hr,191.90574999999995,189.82319166666676,185.12668333333343,188.10375000000002,194.0353,212.0804916666667,215.3335083333333,224.66572499999995,226.09693333333328,242.52095
2.5 hr,192.0033999999999,190.00031333333342,185.1459466666667,188.19153333333335,193.89328666666663,212.05320666666668,215.29142000000002,224.60276666666667,226.41684666666663,242.2928466666667
20 day,226.9275,222.023,217.11849999999998,202.6865,199.73800000000003,194.10500000000002,195.2455,200.9625,205.22400000000002,212.17349999999996
20 min,191.48700000000002,190.33465,184.92970000000005,188.96570000000003,195.20075,211.03845000000007,215.34254999999993,224.44910000000004,225.50085000000004,242.22305000000006
200 day,286.7428499999999,286.07494999999994,285.26974999999993,282.9789499999999,282.6391499999999,281.3014499999999,280.9967499999999,280.691,280.5592,280.44399999999996
25 min,191.43159999999997,190.23808,185.15496000000002,188.91656000000003,195.12295999999998,211.27356000000003,215.36043999999995,224.53408000000007,225.42455999999999,242.09304000000003
3 hr,192.04491666666655,190.34961666666672,185.0634333333333,188.2266666666667,193.80202222222215,212.07168888888887,215.16751111111117,224.48243888888888,226.3977999999999,242.26093888888894
3.5 hr,192.109257142857,190.5054285714286,185.0928666666667,188.2401857142858,193.59257142857135,212.12919999999997,215.128080952381,224.1905904761905,226.579538095238,242.16741428571433
30 day,232.709,229.29466666666667,225.34033333333335,213.97133333333335,212.48800000000003,207.41400000000004,205.951,202.13333333333333,202.03833333333336,204.868
30 min,191.41633333333328,190.1544,185.27943333333334,188.93113333333332,194.91296666666668,211.52030000000005,215.32553333333328,224.68373333333344,225.38946666666664,242.01920000000007
4 hr,192.18887916666645,190.7101958333334,185.06465833333334,188.24474583333338,193.43506250000002,212.02344166666666,214.9412208333334,223.99767083333336,226.72912499999993,241.88968333333338
4.5 hr,192.29967037037017,190.8517481481482,185.0256296296296,188.13576666666668,193.5026703703704,211.84078518518518,214.75028888888892,223.8658,226.7875185185185,241.43971851851856
40 day,238.65324999999993,233.93699999999998,229.46525000000005,221.5465,220.42575000000002,214.82225000000003,213.30749999999998,211.49275000000003,211.17125000000001,211.29699999999997
45 min,191.56564444444444,189.9220888888889,185.49762222222228,188.6747111111111,194.60335555555554,211.8509777777778,215.2669111111111,224.8270444444445,225.49964444444439,242.10697777777781
5 day,199.394,194.85399999999998,189.122,188.712,191.782,202.57999999999998,210.118,219.97000000000003,225.11599999999999,230.504
5 hr,192.47141333333317,191.04936000000012,185.13924999999992,188.10786333333328,193.51561000000004,211.53870999999998,214.4406466666667,223.65207999999998,226.79572666666664,240.86612333333332
5 min,191.97299999999998,189.828,184.72,189.0384,195.26399999999998,210.53999999999996,215.18500000000003,225.22000000000003,225.41400000000004,242.1996
5.5 hr,192.58518484848466,191.36648484848487,185.3624848484848,188.15739999999997,193.4067727272728,211.13297575757585,214.08286969696974,223.40136666666675,226.7187424242425,240.26555454545465
50 day,251.6717999999999,246.51339999999993,241.25499999999997,228.53440000000003,226.66700000000003,219.84340000000003,219.27859999999998,217.9618,217.2938,216.20739999999995
50 min,191.64016,189.87044000000003,185.51160000000007,188.62674000000004,194.51340000000005,211.90284000000008,215.25362000000004,224.83194000000006,225.49123999999992,242.15538000000004
55 min,191.65961818181816,189.80058181818183,185.46590909090912,188.59336363636365,194.4544181818182,211.9242363636364,215.24221818181823,224.8428000000001,225.4960727272727,242.24300000000005
6 hr,192.79936111111087,191.73886111111108,185.56820277777777,188.248388888889,193.18362500000003,210.9032972222222,213.7990555555556,223.15732222222235,226.70518888888898,239.56138333333348
6.5 hr,192.97874102564086,191.91362051282056,185.64745897435898,188.43715897435908,192.81337692307693,210.71417692307702,213.5457974358975,223.09827948717955,226.80670769230767,239.05793589743604
60 day,262.6421666666666,258.15283333333326,253.64383333333328,241.06966666666665,238.99016666666662,230.06916666666666,227.5788333333333,222.9455,221.38483333333338,220.4203333333333
70 day,270.8178571428571,267.0922857142857,263.1207142857143,251.98742857142855,250.10414285714288,241.77557142857145,238.98571428571424,233.4988571428571,230.96042857142854,228.2711428571428
80 day,277.656875,274.288,270.7096250000001,260.47300000000007,258.9151250000001,251.52075000000005,248.89425,243.85525,241.53887500000002,238.47874999999993
90 day,282.40999999999997,279.5372222222222,276.64233333333334,267.7015555555556,266.25355555555564,259.35722222222233,256.9584444444445,252.39677777777786,250.25477777777783,247.41344444444442
Tomorrow,192.76,186.39,183.13,195.84,189.64,212.47,215.73,230.99,225.34,243.64
