,2018-12-11,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
50 day,108.48800000000001,108.17420000000001,107.84460000000001,107.10540000000003,106.74100000000003,106.35220000000002,105.94080000000004,104.81360000000002,103.7516,103.4416,103.17,103.02859999999998,102.96659999999999,103.04539999999997,103.11559999999997,103.34939999999999,103.42019999999997,103.52359999999997,103.53519999999995,103.56899999999996,103.61779999999995,103.62219999999996,103.55779999999997,103.51019999999998,103.54440000000001,103.66940000000001,103.79500000000002,103.90580000000001,104.01020000000003,104.45820000000002,104.53660000000002,104.5932,104.666,104.70360000000001,104.74880000000003,104.77120000000002,104.80500000000002
50 min,104.49215999999998,105.84500000000001,103.87700000000001,99.99748,97.89618000000002,96.14405999999997,94.82077999999997,94.13087999999999,96.32477999999998,96.87052000000007,98.19495999999998,102.56638000000001,106.10141999999998,106.74387999999998,107.74805999999997,109.00704000000002,107.63888000000001,108.98827999999997,108.78944000000003,109.73476000000002,110.14642000000002,108.42344000000001,107.71784,107.7394,109.32875999999999,107.43681999999994,107.96627999999997,109.49020000000002,110.08778000000002,109.98997999999997,107.01906,107.53523999999999,108.2131,109.32696000000004,109.98254000000006,110.31576000000003,111.65519999999997
55 min,104.45799999999997,105.85269090909091,103.8672,100.0465090909091,97.84303636363639,96.0899636363636,94.7961636363636,94.07856363636364,96.30543636363635,96.8664545454546,98.17378181818181,102.57416363636365,106.0803636363636,106.71679999999996,107.76041818181815,109.00494545454545,107.65534545454545,108.98094545454542,108.80030909090912,109.73716363636366,110.14083636363638,108.39985454545455,107.69943636363637,107.74372727272728,109.31905454545453,107.42787272727267,107.98314545454542,109.48483636363639,110.07165454545456,110.00534545454543,107.0067818181818,107.5263090909091,108.1924909090909,109.32205454545458,109.98685454545462,110.32214545454549,111.65307272727271
6 hr,104.37397222222224,106.12606388888891,103.99100555555559,101.54978888888884,98.93552777777782,98.5158555555554,94.79414722222221,92.61476388888892,96.17036111111113,96.87417777777783,98.73030555555546,102.31359166666655,106.02916666666678,106.13876944444448,107.62114722222219,108.64591388888897,107.81774722222231,108.75826111111108,109.04578888888898,109.57212777777778,110.08693888888888,108.55637500000006,107.78942777777756,107.78673888888882,108.84238333333336,107.2401333333333,107.05606388888899,109.31301388888882,110.0162055555555,110.00557500000018,107.4703722222222,107.17807777777782,108.14556111111102,109.12612777777777,109.87917499999995,110.05767499999997,111.2993555555556
6.5 hr,104.42452307692308,106.08317179487179,104.09820256410252,101.49955128205121,99.05613333333339,98.56774102564088,94.8689897435897,92.51777692307692,96.1865948717949,96.77264871794875,98.80044358974347,102.14540256410245,105.92282564102572,106.17124871794877,107.58881538461534,108.62157948717956,107.81898461538474,108.67535897435897,109.0957051282052,109.52844615384616,110.04334102564104,108.59443846153853,107.90314615384595,107.77178974358966,108.79293846153848,107.25246923076921,107.04519230769239,109.25267692307685,109.98020512820507,110.01486153846169,107.57441538461538,107.1474435897436,108.12894102564088,109.10016923076923,109.89759487179482,110.02292307692305,111.25544102564108
60 day,110.30011333333333,110.12180166666667,109.89532833333332,109.31689166666668,108.98009,108.584795,108.15750000000001,106.67183333333335,105.39899999999999,105.05933333333333,104.7445,104.52616666666667,104.37383333333332,104.29783333333332,104.27149999999999,104.21433333333331,104.08799999999997,103.99716666666663,103.92466666666661,103.9008333333333,103.91499999999995,103.90883333333328,103.99216666666662,104.05549999999997,104.15266666666665,104.29416666666664,104.363,104.39,104.42616666666666,104.46983333333334,104.41916666666667,104.42033333333333,104.48516666666667,104.57500000000002,104.70550000000003,104.8066666666667,104.9231666666667
70 day,111.52310000000001,111.28485571428573,111.04089142857144,110.51609571428574,110.23897714285715,109.92900142857144,109.60259571428573,108.48452571428572,107.55801999999998,107.24719285714285,106.94893428571427,106.7006814285714,106.49771428571427,106.29971428571427,106.09442857142855,105.73442857142855,105.54585714285712,105.37414285714283,105.24228571428566,105.14599999999996,105.07199999999996,104.98042857142853,104.93042857142854,104.91199999999998,104.88614285714284,104.74171428571427,104.64899999999999,104.60171428571427,104.58814285714284,104.71185714285713,104.75671428571428,104.81657142857141,104.89842857142857,104.98114285714284,105.06228571428572,105.09300000000002,105.14928571428572
80 day,112.3958525,112.26111875000001,112.10900875,111.69742375000001,111.46019375000003,111.19571375000002,110.88486500000003,109.78158750000003,108.81631,108.55520874999998,108.30435499999999,108.11237624999998,107.96964624999998,107.83566625,107.70018874999998,107.50010124999999,107.37124624999997,107.26639249999997,107.13379374999995,107.02469249999999,106.90647124999998,106.76299999999999,106.60299999999998,106.42699999999999,106.27074999999999,105.93562499999999,105.77237499999998,105.66999999999999,105.59174999999998,105.44287499999999,105.4185,105.37537499999999,105.35350000000001,105.28687499999998,105.225125,105.19037499999999,105.20062500000002
90 day,112.89904,112.76950111111114,112.62485111111113,112.25055555555556,112.03912888888891,111.8114777777778,111.56738222222225,110.7508688888889,110.05058,109.82315444444443,109.60483888888888,109.44019,109.29087999999999,109.14346111111111,108.98760222222221,108.6959988888889,108.5426933333333,108.41727555555553,108.30907444444442,108.22109333333333,108.13844555555556,108.0419077777778,107.93459222222224,107.81739000000003,107.7251866666667,107.51488555555558,107.4101266666667,107.30381666666668,107.21217111111113,106.87266666666666,106.70888888888888,106.55177777777776,106.40922222222223,106.28755555555553,106.15966666666665,106.07455555555555,106.02466666666666
Tomorrow,105.48,103.89,101.93,98.31,96.21,94.56,90.86,95.16,97.5,97.64,102.55,105.99,106.75,107.5,108.9,107.17,109.24,108.65,109.79,110.47,108.72,107.81,107.79,109.44,107.26,108.2,109.69,110.27,110.24,107.13,107.8,108.34,109.42,109.75,110.22,112.04,NULL
