,2018-12-13,2018-12-17,2018-12-18,2019-01-09,2019-01-10,2019-01-15,2019-02-13,2019-02-14,2019-02-15
30 day,5.0295,5.1771666666666665,5.254166666666666,5.4959999999999996,5.481333333333335,5.441999999999999,3.4646666666666657,3.4549999999999987,3.4699999999999984
30 min,7.201233333333333,8.333333333333334,8.325133333333333,3.5907999999999998,3.6956666666666678,3.5679000000000003,3.788400000000002,3.6252999999999997,4.0118
4 hr,6.286474999999998,8.269537499999995,8.197558333333337,3.4808333333333334,3.732354166666664,3.5999750000000126,3.762033333333334,3.6559208333333215,4.040675
4.5 hr,6.303462962962957,8.275444444444437,8.15287037037037,3.4552259259259257,3.736055555555552,3.598311111111126,3.7482703703703706,3.6580037037036903,4.018107407407408
40 day,5.134124999999999,5.225125,5.292375,5.385125,5.341875000000002,5.208625,4.515499999999999,4.395249999999999,4.289249999999998
45 min,7.110533333333333,8.337311111111111,8.300911111111109,3.6016888888888894,3.6922000000000015,3.5671333333333335,3.7887555555555563,3.631199999999998,4.019866666666666
5 day,6.068,7.24,7.7219999999999995,3.46,3.4899999999999998,3.5780000000000003,3.382,3.4479999999999995,3.614
5 hr,6.325539999999993,8.280956666666663,8.103056666666667,3.4312400000000025,3.735119999999999,3.5964266666666806,3.7384266666666712,3.663169999999991,3.9961399999999982
5 min,7.1542,8.386,8.286999999999999,3.5321999999999996,3.7370000000000005,3.5729999999999995,3.7919999999999994,3.604,4.024
5.5 hr,6.367427272727269,8.285766666666662,8.067142424242425,3.417175757575758,3.7275060606060606,3.594581818181829,3.73044242424243,3.6670303030302986,3.9779393939393914
50 day,5.358099999999999,5.4185,5.4543,5.4329,5.4053,5.302899999999999,4.6335999999999995,4.639599999999999,4.654399999999999
50 min,7.04926,8.337200000000001,8.308599999999997,3.608120000000001,3.687780000000001,3.5714200000000016,3.7869000000000006,3.6312999999999978,4.021079999999999
55 min,6.970636363636364,8.338127272727274,8.317272727272723,3.612581818181819,3.682236363636364,3.5749272727272756,3.785672727272728,3.6319090909090876,4.022818181818181
6 hr,6.421852777777773,8.288741666666663,8.061044444444443,3.4064749999999986,3.7273750000000008,3.589991666666679,3.715638888888891,3.6752361111111047,3.961008333333331
6.5 hr,6.486084615384613,8.273120512820514,8.08868717948718,3.396792307692306,3.734782051282052,3.5837487179487293,3.694271794871798,3.679733333333327,3.9453666666666636
60 day,5.478583333333332,5.569416666666666,5.616749999999999,5.494916666666667,5.454750000000001,5.312416666666666,4.61275,4.583749999999999,4.563083333333333
70 day,5.441357142857141,5.514499999999999,5.556071428571427,5.610071428571429,5.566642857142857,5.4464999999999995,4.765214285714285,4.730357142857143,4.702785714285715
80 day,5.5378124999999985,5.575687499999999,5.596312499999998,5.617312499999999,5.5989375,5.5408124999999995,4.8395624999999995,4.8101875,4.7908124999999995
90 day,5.5861666666666645,5.614499999999998,5.632055555555554,5.6003888888888875,5.5761666666666665,5.501722222222221,4.996388888888888,4.963722222222222,4.9365
Tomorrow,7.5,8.29,9.55,3.75,3.71,3.6,3.59,4.05,NULL
