,2018-12-13,2018-12-17,2018-12-19,2018-12-20,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-07,2019-02-08,2019-02-14
2 day,5.529,5.15555,4.8881499999999996,4.65015,4.218,3.684,3.6550000000000002,3.7190000000000003,3.7380000000000004,3.7680000000000002,3.786,3.9059999999999997,4.329000000000001,4.769,4.87,4.547000000000001,3.572,2.96,2.84,2.19,1.4499499999999999,0.93355
2 hr,0.27312166666666654,0.24439666666666665,0.23810583333333346,0.21566416666666668,0.185995,0.1789175,0.18070166666666657,0.18447416666666666,0.1936083333333333,0.1836641666666667,0.19610083333333336,0.19517000000000026,0.23033000000000017,0.23208833333333345,0.250515,0.20795166666666687,2.881883333333332,2.961749999999997,2.716699999999999,1.9346250000000003,0.9786124999999998,0.9117891666666663
2.5 hr,0.27318000000000014,0.2465906666666667,0.23809933333333339,0.21228666666666662,0.18564533333333333,0.17885933333333331,0.1803146666666665,0.184674,0.1936553333333334,0.1840226666666667,0.1961260000000001,0.19538666666666707,0.2296240000000001,0.23191400000000012,0.2501753333333334,0.20728600000000014,2.9042799999999986,2.9757466666666623,2.711466666666665,1.9508000000000003,0.9848499999999992,0.9127833333333328
20 day,5.793939999999999,5.709794999999999,5.62691,5.5641099999999994,4.758684999999999,4.664384999999999,4.583435,4.5207299999999995,4.405715,4.361515,4.340615,4.334714999999999,4.315215,4.298265,4.298565000000001,4.2529650000000006,4.1527650000000005,4.0544,3.952400000000001,3.6998000000000006,3.5172950000000007,2.965065
20 min,0.2729349999999999,0.24349500000000002,0.2375199999999999,0.22547,0.187845,0.17839999999999998,0.18677000000000002,0.18402,0.19249000000000002,0.18323499999999998,0.19563,0.19443000000000005,0.23663499999999998,0.232385,0.24855999999999998,0.20617000000000002,2.87745,2.9238500000000007,2.73015,1.9115500000000005,0.964395,0.9119850000000002
200 day,8.952136999999999,8.766692499999998,8.601573999999998,8.519293999999997,7.4590155,7.3828755,7.309575499999999,7.2400755,7.1051554999999995,7.037455500000001,6.9738855,6.909385500000001,6.7895755,6.734575500000001,6.681335500000001,6.623735500000001,6.5576855000000025,6.492335500000001,6.427215500000002,6.292615500000002,6.221555000000002,5.973822
25 min,0.27295200000000003,0.24128400000000005,0.23758799999999985,0.22545199999999999,0.18748,0.17845200000000003,0.18648800000000004,0.18400399999999997,0.19248,0.18323599999999995,0.19573999999999997,0.19451600000000002,0.235736,0.23225599999999996,0.24887199999999993,0.20594800000000002,2.8628000000000005,2.92348,2.72924,1.9141200000000003,0.961,0.9117480000000002
3 hr,0.273407777777778,0.2481600000000001,0.23803500000000008,0.20988055555555551,0.18559888888888892,0.17893055555555556,0.17992222222222215,0.18453166666666654,0.1936155555555556,0.18432111111111113,0.1961111111111112,0.1957966666666669,0.22960888888888892,0.2320505555555556,0.24947500000000003,0.20687500000000003,2.9623777777777756,2.986672222222217,2.7070111111111106,1.9658166666666679,0.9884555555555543,0.9135561111111105
3.5 hr,0.27386952380952406,0.2495057142857144,0.2379923809523809,0.20788714285714283,0.18646857142857137,0.17904428571428582,0.17938095238095242,0.18461523809523805,0.19369809523809528,0.18478666666666665,0.19570238095238104,0.195857142857143,0.22936571428571426,0.23217904761904767,0.24843714285714286,0.2081976190476192,3.003819047619046,2.9920095238095175,2.7046761904761927,1.9688000000000012,0.9899090476190466,0.9147804761904756
30 day,5.794583333333333,5.81193,5.816473333333333,5.784806666666666,5.106149999999999,5.021883333333332,4.946949999999999,4.870283333333332,4.715656666666666,4.6456566666666665,4.590656666666666,4.539056666666665,4.459656666666666,4.4377233333333335,4.423823333333333,4.397153333333334,4.329486666666667,4.26861,4.208810000000001,4.076543333333334,3.974873333333334,3.428686666666667
30 min,0.2729766666666667,0.2401833333333334,0.23766666666666658,0.22535,0.18717000000000003,0.17847000000000002,0.18623000000000003,0.18388666666666664,0.19253333333333333,0.18324999999999997,0.19587333333333332,0.1944866666666667,0.23519666666666666,0.2322566666666666,0.24912666666666664,0.20612666666666665,2.8508666666666675,2.923833333333334,2.7283666666666666,1.9161000000000004,0.9594099999999999,0.9115833333333334
4 hr,0.27420791666666683,0.2505462500000001,0.23810791666666656,0.20512041666666667,0.1876412500000001,0.17899375000000015,0.1790012500000002,0.18498374999999992,0.19391333333333344,0.1850120833333332,0.19385249999999987,0.1961304166666668,0.22641958333333337,0.23247541666666677,0.24712541666666674,0.20859625000000018,3.0359749999999974,3.0021083333333265,2.703745833333337,1.9683875000000013,0.9903699999999992,0.9157587499999992
4.5 hr,0.27430814814814825,0.25139777777777783,0.23824148148148136,0.2032240740740741,0.18835851851851868,0.17894777777777798,0.1787074074074077,0.18518481481481477,0.19449444444444453,0.18516185185185177,0.19232999999999992,0.19600111111111107,0.22328851851851855,0.23262037037037048,0.24597592592592601,0.20968148148148164,3.0639296296296252,3.01312592592592,2.7090925925925955,1.975577777777778,0.9886118518518511,0.9177162962962958
40 day,5.649984999999999,5.6245625,5.591469999999999,5.5727199999999995,5.3548624999999985,5.229162499999999,5.165262499999999,5.115262499999998,5.0163125,4.962812499999999,4.9200124999999995,4.8800124999999985,4.7950124999999995,4.7625125,4.7363625,4.6902125,4.6105125000000005,4.5353425000000005,4.460092500000002,4.294342500000001,4.183090000000002,3.7428975000000015
45 min,0.27286000000000016,0.23802444444444457,0.23777999999999977,0.2231933333333334,0.1862266666666667,0.17846222222222227,0.18563777777777776,0.18362,0.19288666666666662,0.1832844444444444,0.19646,0.19460444444444447,0.23365111111111111,0.23212888888888886,0.24959777777777772,0.20676,2.8211555555555563,2.9303111111111124,2.7276666666666665,1.9193777777777787,0.9568044444444443,0.9118022222222221
5 day,5.501600000000001,5.36182,5.10908,4.92628,4.5316,4.288,4.097600000000001,3.8892,3.6972,3.7148000000000003,3.7496,3.7896,4.026000000000001,4.254,4.4596,4.5104,4.3244,3.9628,3.5528,2.6100000000000003,2.20998,0.9502600000000001
5 hr,0.2743740000000002,0.2522823333333334,0.2386386666666666,0.20361533333333331,0.1876970000000001,0.1789753333333336,0.17834800000000023,0.18492499999999998,0.19516333333333344,0.18530866666666657,0.19115066666666666,0.19568033333333326,0.22127133333333338,0.2327293333333335,0.24498466666666682,0.2122310000000001,3.0950299999999964,3.0209766666666624,2.7153233333333344,1.9822966666666666,0.9817449999999996,0.9206186666666666
5 min,0.27287999999999996,0.2468,0.23694,0.22864,0.18932000000000002,0.17836,0.1867,0.18464,0.19333999999999998,0.1834,0.19563999999999998,0.19462,0.23645999999999998,0.23466,0.24672,0.20698,2.979,2.9238,2.7256000000000005,1.9125999999999999,0.97622,0.91476
5.5 hr,0.2745075757575759,0.2532127272727273,0.23896424242424247,0.2042381818181817,0.18704454545454555,0.17913030303030336,0.17802727272727295,0.18455303030303025,0.19570121212121222,0.1853796969696968,0.19029999999999997,0.1954115151515151,0.21990606060606074,0.2327487878787881,0.2441190909090911,0.21838575757575776,3.1246030303030254,3.0348939393939354,2.7199909090909093,2.002369696969697,0.9773754545454543,0.9227651515151509
50 day,5.855588,5.747730000000001,5.659336,5.592296,5.3684639999999995,5.342503999999999,5.318463999999999,5.295449999999999,5.252169999999999,5.21549,5.178169999999999,5.139449999999999,5.056209999999999,4.98021,4.953129999999999,4.92221,4.87333,4.81193,4.75093,4.61605,4.512448000000001,4.108196000000001
50 min,0.2728600000000001,0.23839200000000008,0.2378019999999998,0.2223780000000001,0.18616200000000002,0.17844600000000008,0.18519200000000002,0.18364,0.19305000000000003,0.1832879999999999,0.196624,0.19459400000000002,0.233084,0.23209999999999997,0.2497139999999999,0.20692800000000003,2.819680000000001,2.9318400000000007,2.7273999999999994,1.9198400000000013,0.957014,0.911808
55 min,0.2728763636363637,0.23917818181818185,0.23782909090909077,0.2215327272727274,0.18606727272727278,0.17848363636363643,0.18465818181818186,0.18374727272727273,0.19319272727272732,0.18330545454545447,0.19665090909090907,0.19458909090909093,0.2326636363636364,0.2321363636363636,0.24973636363636356,0.20713636363636367,2.824781818181818,2.9331090909090913,2.7274545454545445,1.9204545454545467,0.9583054545454547,0.9117090909090909
6 hr,0.2747597222222224,0.2536163888888889,0.23948666666666685,0.20508944444444432,0.18527305555555565,0.17930333333333365,0.1777138888888891,0.18419722222222215,0.19610111111111117,0.1853511111111109,0.18963111111111117,0.19520972222222205,0.21892833333333353,0.23307861111111133,0.2434936111111113,0.22366472222222253,3.1497999999999986,3.048019444444441,2.725616666666667,2.026205555555555,0.9747897222222219,0.9247202777777768
6.5 hr,0.27508666666666676,0.25401102564102557,0.2399064102564105,0.20613692307692308,0.1837635897435899,0.17971076923076953,0.1777528205128208,0.18387897435897432,0.1963099999999999,0.18519487179487165,0.18906153846153856,0.19513974358974345,0.21805538461538485,0.23387974358974384,0.24292000000000016,0.2269917948717951,3.1748948717948715,3.034535897435894,2.733030769230767,2.0493435897435877,0.9750179487179489,0.9259053846153839
60 day,5.409026666666667,5.484978333333333,5.548983333333334,5.576283333333334,5.346251666666665,5.321451666666665,5.287618333333332,5.256618333333332,5.1962183333333325,5.168985000000001,5.1537533333333325,5.138020000000001,5.117320000000001,5.116153333333335,5.116153333333334,5.104541666666667,5.075375,5.0425416666666685,4.996808333333336,4.876241666666669,4.799406666666668,4.398530000000002
70 day,5.130422857142857,5.165638571428572,5.197871428571428,5.212785714285715,5.53375857142857,5.515244285714284,5.447215714285713,5.39715857142857,5.301158571428569,5.240644285714285,5.192129999999998,5.171844285714285,5.134158571428571,5.130444285714287,5.118615714285714,5.09853,5.060530000000001,5.024530000000002,4.988187142857145,4.912617142857145,4.858187142857146,4.629625714285716
80 day,5.0369525,5.05391625,5.06527,5.067270000000001,5.213466249999999,5.222866249999999,5.233266249999999,5.243916249999999,5.263166249999999,5.27259125,5.285566249999999,5.29776375,5.32473875,5.323888750000001,5.279388750000001,5.24126375,5.19738875,5.137813750000001,5.073488750000001,4.970388750000001,4.910837500000001,4.6837300000000015
90 day,5.036114444444445,5.037971111111112,5.030362222222223,5.015384444444446,5.032592222222222,5.0268588888888885,5.023925555555555,5.022325555555555,5.021836666666665,5.023614444444444,5.0303033333333325,5.035992222222222,5.063258888888889,5.08525888888889,5.107858888888889,5.12237,5.123836666666667,5.122192222222224,5.12045888888889,5.104701111111112,5.082366666666668,4.856693333333334
Tomorrow,5.357,5.02,4.544,4.33,3.572,3.738,3.7,3.6,3.66,3.912,3.9,3.92,4.8,4.94,4.154,2.99,2.93,2.75,2.47,0.9899,0.97,0.87
