,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
2.5 hr,6.2782066666666605,6.385173333333319,6.218680000000017,6.187779999999991,6.12998666666666,6.13383333333333,6.070439999999996,5.896046666666667,5.631239999999992,5.627446666666675,5.6746199999999885,5.848146666666668,5.965966666666673,6.184073333333349,6.247186666666662,6.31198666666667,6.049739999999996,6.042966666666654,6.046299999999992,5.969346666666675,5.9490066666666666,6.0292599999999865,6.042439999999987,6.096213333333338,5.853120000000004,5.768873333333333,5.745193333333334,5.817273333333334,5.745500000000001,5.768673333333331,5.982653333333342,5.933939999999999,5.9422533333333165,6.052006666666658,5.972593333333332,5.894659999999989,5.9206066666666555,5.873573333333334,5.880666666666661,5.895619999999995,5.935100000000016,5.9935600000000075
20 day,6.169804999999999,6.179785000000001,6.184275000000001,6.180280000000001,6.170300000000001,6.164315,6.162815,6.163815000000001,6.141360000000001,6.0934550000000005,6.021105,6.00464,5.98568,5.98468,5.97819,5.98468,5.977695000000001,5.968215,5.9557400000000005,5.941269999999999,5.9317899999999995,5.926799999999999,5.92181,5.92331,5.921315000000001,5.93379,5.945765,5.950255,5.9512550000000015,5.952250000000001,5.962725000000001,5.959230000000001,5.961225000000001,5.94476,5.925794999999999,5.91731,5.910934999999999,5.901059999999999,5.89917,5.895784999999999,5.891405000000001,5.891025000000001
20 min,6.270500000000001,6.3447499999999994,6.229,6.1795,6.109,6.156000000000001,5.99825,5.9094999999999995,5.573499999999999,5.692500000000001,5.702850000000001,5.8497499999999985,5.94675,6.1675,6.24025,6.327249999999999,6.048500000000001,6.0584,6.067,5.9510000000000005,5.9716499999999995,6.00975,6.043750000000001,6.061499999999998,5.850700000000001,5.8135,5.736999999999999,5.811649999999999,5.743249999999999,5.795,5.909,5.856,5.969999999999999,6.05625,5.958749999999998,5.9022499999999996,5.921750000000001,5.8675000000000015,5.869249999999999,5.907250000000001,5.9363,6.02125
200 day,6.581642999999997,6.5819544999999975,6.5819164999999975,6.581479499999998,6.580743,6.580057500000001,6.578524500000001,6.575797000000002,6.571522500000002,6.562380000000002,6.551652500000001,6.548925000000001,6.547092000000003,6.546506000000001,6.545921000000001,6.546531500000001,6.546141500000001,6.545056499999999,6.544566999999998,6.543602999999998,6.542466000000001,6.542173999999999,6.541783499999999,6.540748,6.538615,6.5366805,6.534297000000002,6.532212500000003,6.529878500000004,6.527593500000005,6.5264055000000045,6.524867500000003,6.5236810000000025,6.520814000000002,6.519279500000002,6.517247000000003,6.515772500000002,6.514047500000003,6.512224500000003,6.510451000000002,6.508629000000003,6.507406500000002
25 min,6.2762,6.3468399999999985,6.2276,6.182999999999998,6.1088,6.15112,5.998759999999999,5.914,5.569400000000001,5.687799999999999,5.70128,5.842999999999998,5.9479999999999995,6.167599999999998,6.238400000000001,6.3278,6.048480000000001,6.05712,6.066999999999999,5.952000000000002,5.9705200000000005,6.010399999999999,6.043399999999999,6.063399999999997,5.85096,5.81,5.734799999999999,5.8093200000000005,5.741199999999999,5.795599999999999,5.911999999999999,5.855119999999999,5.967399999999999,6.0632,5.96104,5.900599999999998,5.920599999999999,5.8698000000000015,5.8696,5.909200000000001,5.93708,6.018399999999999
3 hr,6.2850777777777695,6.392127777777767,6.209594444444462,6.186311111111104,6.1371611111111015,6.141949999999994,6.086061111111107,5.897216666666665,5.637766666666655,5.622422222222233,5.6763611111111,5.851333333333335,5.965638888888897,6.183838888888902,6.250683333333332,6.310755555555557,6.046533333333331,6.041938888888874,6.040222222222216,5.971738888888895,5.945522222222217,6.027861111111099,6.041427777777765,6.103833333333341,5.852877777777783,5.7651666666666666,5.742450000000003,5.813949999999993,5.74256666666667,5.7633777777777775,5.974994444444456,5.947288888888888,5.9372388888888725,6.055355555555548,5.978333333333335,5.890833333333325,5.923255555555548,5.876833333333333,5.87846666666666,5.890138888888885,5.936355555555575,5.992550000000006
3.5 hr,6.291623809523798,6.394999999999993,6.2068000000000145,6.187752380952379,6.144461904761895,6.1476238095238065,6.098357142857143,5.900138095238102,5.641599999999994,5.622214285714291,5.676880952380945,5.852723809523807,5.9666428571428645,6.181933333333351,6.253419047619052,6.307404761904763,6.046599999999998,6.045657142857126,6.037214285714284,5.972004761904763,5.943633333333329,6.025728571428559,6.039009523809518,6.111409523809536,5.854395238095237,5.76387619047619,5.737642857142862,5.812404761904755,5.741809523809525,5.761228571428568,5.96729047619049,5.961571428571427,5.9358904761904645,6.061952380952367,5.98124761904762,5.885780952380938,5.923204761904756,5.8803761904762,5.874923809523797,5.885147619047609,5.9373761904762095,5.992861904761901
30 day,6.135596666666668,6.159240000000001,6.172256666666669,6.177630000000002,6.178353333333336,6.180076666666668,6.177473333333335,6.162910000000002,6.1396933333333354,6.1004433333333346,6.055203333333334,6.0412333333333335,6.0302566666666655,6.034246666666665,6.045889999999999,6.056203333333332,6.056203333333332,6.053873333333332,6.052873333333332,6.044889999999997,6.033579999999998,6.026593333333332,6.017613333333332,6.012956666666666,5.996323333333334,5.9836833333333335,5.968713333333334,5.954076666666667,5.935116666666669,5.918483333333335,5.910166666666668,5.900520000000001,5.894863333333333,5.899853333333332,5.912493333333332,5.925133333333332,5.932193333333331,5.936919999999999,5.9433099999999985,5.950033333333332,5.951103333333333,5.95451
30 min,6.280500000000001,6.347699999999998,6.2297,6.187166666666666,6.108666666666667,6.148766666666664,5.999299999999999,5.915333333333334,5.573000000000001,5.683166666666666,5.6994333333333325,5.837466666666666,5.950166666666666,6.166999999999998,6.237833333333336,6.327166666666666,6.048233333333333,6.057100000000001,6.066366666666666,5.952166666666669,5.969600000000001,6.010333333333332,6.043833333333333,6.065833333333331,5.852133333333334,5.806833333333332,5.732999999999999,5.808766666666668,5.738666666666664,5.7958333333333325,5.919299999999998,5.853266666666666,5.967,6.067333333333335,5.963866666666667,5.899333333333331,5.919666666666666,5.871333333333334,5.870333333333334,5.908500000000001,5.935633333333333,6.015833333333332
4 hr,6.294412499999989,6.395674999999997,6.206608333333345,6.195179166666667,6.15484583333332,6.149754166666669,6.107687500000003,5.904762500000006,5.64787083333333,5.620458333333332,5.676654166666665,5.850304166666661,5.964616666666675,6.17886666666669,6.254483333333339,6.306975000000003,6.0518791666666605,6.046095833333321,6.0345333333333375,5.971533333333332,5.943333333333327,6.020091666666651,6.037654166666663,6.114670833333353,5.858079166666669,5.760254166666666,5.735795833333336,5.812016666666659,5.740979166666665,5.762266666666666,5.955341666666679,5.975166666666664,5.936762499999991,6.069820833333326,5.9827958333333315,5.882487499999981,5.9214791666666695,5.88391666666668,5.872549999999984,5.879983333333317,5.938241666666682,5.9925291666666585
