,2018-12-19,2018-12-20,2018-12-21,2019-01-03,2019-01-09,2019-01-10,2019-01-24,2019-01-25,2019-01-30,2019-01-31,2019-02-01,2019-02-07,2019-02-11,2019-02-12
20 day,44.2715,44.26650000000001,44.1495,42.89775,42.56425,42.633250000000004,44.863249999999994,45.29725,46.338999999999984,46.75849999999999,47.29899999999999,48.88099999999999,49.361000000000004,49.6425
20 min,42.955,41.68575,40.28415,39.84325,45.38465000000001,46.300999999999995,48.488749999999996,50.4945,49.1229,50.31100000000001,50.43899999999999,50.7248,51.71449999999999,52.01075000000001
200 day,43.21464999999999,43.20874999999999,43.19549999999998,43.154374999999966,43.17792499999998,43.20222499999997,43.54617499999997,43.58647499999997,43.69852499999996,43.74867499999996,43.796674999999965,44.00252499999997,44.12427499999996,44.18362499999996
25 min,42.92115999999999,41.731399999999994,40.260439999999996,39.8696,45.37212,46.291199999999996,48.473800000000004,50.516400000000004,49.10771999999999,50.30008000000001,50.47079999999999,50.70644,51.72259999999999,52.00820000000001
3 hr,43.724538888888894,41.432655555555534,40.563755555555566,40.04491111111111,45.408599999999986,46.02048333333333,48.488894444444426,50.59820000000002,49.44995000000001,50.554538888888885,50.842555555555585,50.4393333333333,51.69849444444447,52.21349444444446
3.5 hr,43.81571428571429,41.428438095238086,40.56919047619047,40.07994285714286,45.41728095238094,46.020657142857104,48.53352857142853,50.58295714285716,49.36879047619048,50.728204761904756,50.88151428571428,50.416547619047606,51.705319047619064,52.22274761904763
30 day,43.57033333333334,43.61366666666667,43.612,43.25883333333332,43.37116666666667,43.4445,44.2175,44.40083333333334,44.84616666666666,45.07816666666666,45.29983333333334,46.65483333333335,47.303166666666684,47.661166666666674
30 min,42.9088,41.75483333333332,40.26136666666666,39.88433333333333,45.36726666666666,46.27836666666667,48.467833333333346,50.52086666666666,49.13176666666666,50.2584,50.504000000000005,50.68236666666666,51.72716666666666,52.02816666666668
4 hr,43.84137083333335,41.44029583333331,40.581616666666655,40.125179166666676,45.40364999999998,46.008412499999956,48.5737458333333,50.52382083333335,49.27377500000001,50.93064583333332,50.926666666666655,50.397895833333315,51.71945833333333,52.22326666666668
4.5 hr,43.839000000000006,41.467188888888856,40.64069629629628,40.18554814814815,45.361118518518516,45.97882222222219,48.593444444444394,50.44108518518519,49.16848518518518,51.09136666666666,50.93602592592593,50.39983333333332,51.726811111111104,52.235303703703714
40 day,42.13875,42.238,42.3795,42.917874999999995,43.218875,43.289624999999994,44.409375,44.567375000000006,44.834375,44.991625,45.098375000000004,45.722625000000015,46.048375000000014,46.22962500000001
45 min,42.90535555555555,41.763577777777776,40.2689111111111,39.87444444444445,45.40877777777778,46.25940000000001,48.49442222222224,50.54740000000002,49.29328888888889,50.07637777777778,50.55231111111113,50.62313333333333,51.74333333333332,52.04055555555555
5 day,43.742000000000004,43.108000000000004,42.446,41.533,42.462,43.784,48.00599999999999,48.412,49.152,49.524,49.540000000000006,50.952000000000005,51.362,51.577999999999996
5 hr,43.84342333333333,41.5243933333333,40.69583999999996,40.207836666666665,45.322073333333314,45.93367999999998,48.59224999999996,50.369870000000006,49.093543333333336,51.16774,50.921670000000006,50.43358666666666,51.72040333333331,52.273370000000014
5 min,43.089999999999996,41.626,40.257600000000004,39.754,45.439,46.278000000000006,48.577999999999996,50.39,49.243,50.435,50.483999999999995,50.64399999999999,51.777,52.11400000000001
5.5 hr,43.83594242424242,41.621460606060566,40.774987878787826,40.18735757575758,45.27321212121212,45.88038484848484,48.59542727272722,50.314945454545445,49.03774242424244,51.206778787878804,50.922454545454556,50.48621212121215,51.71464545454546,52.26736666666671
50 day,40.937200000000004,41.0606,41.172,41.861299999999986,42.396899999999995,42.59669999999999,44.07989999999999,44.21889999999999,44.591899999999995,44.7217,44.874900000000004,45.57510000000001,45.87150000000001,45.992300000000014
50 min,42.91142,41.74654,40.28268,39.8652,45.418600000000005,46.251279999999994,48.495680000000014,50.54622000000001,49.34425999999999,50.046139999999994,50.54816000000002,50.60177999999999,51.741399999999985,52.04785999999999
55 min,42.905290909090915,41.719218181818185,40.30352727272728,39.86129090909092,45.42336363636363,46.24716363636364,48.49316363636364,50.5500181818182,49.39581818181817,50.03849090909091,50.5418181818182,50.58183636363635,51.739545454545436,52.05705454545453
6 hr,43.85534722222223,41.71000555555551,40.82853055555549,40.180913888888895,45.238708333333335,45.835186111111085,48.565911111111056,50.289397222222235,48.9781277777778,51.08969166666667,50.90577777777779,50.53353611111113,51.698600000000006,52.265550000000005
6.5 hr,43.8657512820513,41.794799999999945,40.8769743589743,40.21923333333334,45.20729230769229,45.78119999999997,48.54053846153841,50.21013589743591,48.935441025641026,51.073246153846135,50.88814871794876,50.584589743589774,51.67570000000002,52.26552051282052
60 day,40.32733333333335,40.36166666666668,40.397666666666666,40.87624999999998,41.426749999999984,41.622416666666645,43.25141666666666,43.48658333333333,44.04241666666666,44.20674999999999,44.37825,45.10625000000001,45.40575000000001,45.54658333333335
70 day,40.482142857142854,40.45728571428572,40.41385714285714,40.43049999999998,40.67321428571427,40.79364285714284,42.2977857142857,42.52435714285713,43.0207857142857,43.203214285714274,43.414928571428575,44.24950000000001,44.68064285714287,44.88064285714287
80 day,41.18837499999999,41.11874999999999,41.054374999999986,40.59218749999998,40.59268749999998,40.644062499999976,41.52956249999998,41.68643749999999,42.12706249999998,42.298062499999986,42.481937499999994,43.2903125,43.7075625,43.8899375
90 day,41.812555555555555,41.717333333333336,41.60677777777777,41.24205555555553,41.09216666666664,41.0817222222222,41.36283333333331,41.45427777777776,41.74127777777777,41.84338888888888,41.95683333333333,42.497166666666665,42.80361111111111,42.970055555555554
Tomorrow,41.71,40.21,38.7,41.13,46.3,47.06,50.42,49.32,50.43,50.5,50.41,51.12,52.13,52.04
