,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,65.84058333333333,66.45863333333332,66.31191666666665,65.54505,64.5798166666667,64.41678333333333,64.84398333333334,64.36438333333334,62.196383333333344,62.2769,63.368166666666646,64.77301666666666,65.17004999999999,67.33076666666672,68.4186,67.90786666666668,67.8061,68.01035,68.7872,68.08294999999998,67.06705,66.87176666666663,65.95103333333333,66.98956666666669,66.41323333333334,67.51816666666667,68.50803333333334,68.41635000000001,67.58098333333335,67.64541666666668,68.38426666666668,69.76219999999996,69.56356666666665,69.23808333333335,67.22603333333333,66.98746666666665,67.89010000000002,68.20741666666665,68.33891666666668,69.52498333333334,69.06133333333334,70.26051666666667,71.83581666666666
1 min,65.54,66.1,66.34,65.66,64.84,64.75,64.89,64.27,61.93,63.0,63.65,65.28,65.01,67.51,68.44,67.75,67.72,67.95,69.0,67.89,67.13,66.69,66.25,66.95,66.84,67.83,68.65,68.54,67.62,67.78,68.32,69.62,69.63,69.43,66.84,66.93,68.28,68.4,68.44,69.58,69.05,70.51,72.06
1.5 hr,65.86043333333333,66.46741111111109,66.24573333333332,65.5486,64.68000000000004,64.42792222222225,65.12004444444443,64.29066666666668,62.262,62.04075555555554,63.364377777777776,64.77666666666666,65.2186111111111,67.3104555555556,68.40337777777775,67.79147777777777,67.71033333333334,68.04057777777778,68.64616666666667,68.0588777777778,67.21151111111111,66.97971111111109,65.9399111111111,67.02140000000004,66.37653333333333,67.46756666666668,68.4490444444445,68.41487777777778,67.55662222222223,67.56743333333334,68.43247777777779,69.81114444444438,69.54650000000001,69.21195555555556,67.31074444444441,67.01864444444445,67.8533777777778,68.19958888888888,68.27936666666666,69.5121,69.0710777777778,70.16799999999998,71.77464444444445
10 day,67.216,67.07700000000001,66.821,66.518,66.154,65.852,65.68199999999999,65.378,65.002,64.257,63.396,63.44100000000001,63.464999999999996,63.727,64.145,64.729,65.42099999999999,65.916,66.551,67.018,67.371,67.51399999999998,67.63699999999999,67.58399999999999,67.423,67.426,67.52,67.57199999999999,67.434,67.42099999999999,67.53900000000002,67.83200000000001,68.17,68.41499999999999,68.417,68.33099999999999,68.293,68.283,68.36499999999998,68.547,68.62199999999999,68.71,68.952
10 min,65.59689999999999,66.27450000000002,66.3355,65.6155,64.69500000000001,64.828,64.92049999999999,64.176,61.99000000000001,62.802499999999995,63.33799999999999,65.11850000000001,65.10249999999999,67.434,68.501,68.02099999999999,67.5845,67.88600000000001,68.9965,67.88250000000001,66.9287,66.635,66.10499999999999,66.90350000000001,66.65799999999999,67.724,68.554,68.4417,67.53999999999999,67.71000000000001,68.28500000000001,69.7165,69.64,69.28800000000001,66.89399999999999,66.87,68.334,68.30030000000002,68.4375,69.58099999999999,69.057,70.413,72.011
100 day,66.5513,66.6198,66.69980000000001,66.76850000000002,66.82830000000001,66.8824,66.935,66.97940000000001,66.99870000000001,67.02140000000003,66.98460000000001,66.9822,66.98270000000001,67.0078,67.0352,67.05330000000001,67.0764,67.09620000000001,67.12720000000002,67.14790000000002,67.1542,67.16300000000001,67.1734,67.18890000000002,67.1992,67.22130000000001,67.24810000000001,67.2728,67.2886,67.3087,67.3348,67.3758,67.4282,67.46669999999999,67.4761,67.4663,67.46430000000001,67.46560000000001,67.4758,67.48690000000002,67.49410000000002,67.50780000000002,67.53760000000003
125 day,65.31248000000001,65.36504000000002,65.41584000000002,65.45816000000002,65.49232000000002,65.52784000000001,65.56680000000001,65.59456000000002,65.61216000000002,65.65032000000002,65.73016000000001,65.77912,65.81880000000002,65.8696,65.9264,65.97912,66.03944,66.09048,66.14904,66.19927999999999,66.24672,66.29607999999999,66.35079999999999,66.41248000000002,66.48024000000001,66.5524,66.63104000000001,66.70392000000001,66.768,66.83168,66.89824,66.98031999999999,67.03992,67.1028,67.10719999999999,67.12008,67.14232000000001,67.1696,67.19728,67.22848,67.25336000000001,67.29408000000002,67.34264000000003
15 min,65.63726666666666,66.32266666666668,66.363,65.588,64.60373333333334,64.80733333333333,64.86126666666665,64.20866666666667,62.04666666666667,62.720333333333336,63.331999999999994,65.05966666666669,65.11233333333332,67.43426666666667,68.47586666666666,67.98733333333332,67.617,67.90133333333333,68.99233333333333,67.90466666666667,66.95046666666667,66.63966666666667,66.11800000000001,66.92800000000001,66.62299999999999,67.67800000000001,68.55013333333333,68.42813333333334,67.5534,67.68900000000001,68.30600000000001,69.73533333333333,69.65033333333332,69.26033333333335,66.94733333333333,66.914,68.299,68.26786666666668,68.43666666666668,69.56293333333333,69.06333333333333,70.38366666666667,72.00099999999999
150 day,63.9288666666667,63.994066666666704,64.05746666666671,64.11920000000005,64.17486666666673,64.2309333333334,64.2865333333334,64.33706666666673,64.37040000000006,64.4333333333334,64.55940000000005,64.61700000000005,64.67493333333339,64.75353333333337,64.83066666666669,64.90166666666669,64.97206666666669,65.04113333333335,65.11566666666668,65.18306666666668,65.24406666666668,65.3014,65.35186666666667,65.40140000000002,65.44686666666668,65.49646666666669,65.55060000000002,65.6048666666667,65.65566666666668,65.70226666666667,65.75953333333335,65.82566666666666,65.89426666666668,65.95793333333334,66.00526666666666,66.05213333333333,66.11306666666667,66.16853333333334,66.2172,66.27226666666668,66.32486666666668,66.39366666666668,66.46346666666668
175 day,63.50822857142862,63.544514285714335,63.58194285714291,63.616228571428636,63.64520000000006,63.65462857142864,63.6657714285715,63.67285714285722,63.67274285714293,63.66154285714293,63.66302857142865,63.680000000000064,63.69394285714292,63.714285714285765,63.73908571428576,63.757657142857184,63.79885714285719,63.84760000000004,63.9163428571429,63.98485714285717,64.04131428571432,64.09931428571431,64.16028571428573,64.22108571428576,64.27811428571432,64.34331428571434,64.41302857142863,64.48222857142864,64.54560000000005,64.60902857142862,64.67411428571434,64.7451428571429,64.81628571428575,64.88708571428576,64.94348571428574,65.0026285714286,65.06925714285718,65.13811428571432,65.21091428571431,65.28365714285717,65.35194285714287,65.42817142857145,65.51074285714289
2 day,65.63,65.815,66.22999999999999,66.005,65.23,64.795,64.825,64.565,63.095,61.905,63.425,64.435,65.14,66.255,67.965,68.10499999999999,67.745,67.84,68.47999999999999,68.455,67.525,66.91499999999999,66.47,66.60499999999999,66.895,67.315,68.22999999999999,68.57,68.05000000000001,67.7,68.05,68.97,69.625,69.52,68.13,66.895,67.61,68.33,68.41,69.02,69.335,69.785,71.275
2 hr,65.78969166666668,66.5164833333333,66.19720833333335,65.57885833333333,64.76569166666668,64.50572500000003,65.23623333333332,64.14851666666671,62.35620833333335,61.913999999999966,63.380158333333334,64.78230833333332,65.30480833333333,67.30730000000004,68.41184166666666,67.74314166666667,67.64488333333331,68.08883333333334,68.59824166666665,68.0245,67.39705833333333,67.01281666666662,65.89481666666667,67.0473416666667,66.38772500000002,67.44665,68.37778333333338,68.44014166666666,67.493125,67.59710833333334,68.41934166666667,69.81851666666664,69.49789166666666,69.21343333333336,67.35169166666665,66.97193333333334,67.80095833333334,68.17975833333333,68.24256666666665,69.50931666666669,69.08340000000001,70.11151666666662,71.71886666666666
2.5 hr,65.78214666666669,66.60165333333333,66.20009999999998,65.60256666666668,64.83719333333332,64.59210000000004,65.41167333333334,64.17782000000004,62.50689999999999,61.839479999999966,63.41108000000003,64.8003866666667,65.37036666666665,67.25944000000005,68.39000666666666,67.70553333333334,67.60911333333331,68.08400000000002,68.64300666666668,68.02950000000001,67.52007333333333,67.00331333333332,65.9094466666667,67.07243333333341,66.38795333333334,67.3884066666667,68.29786000000004,68.51392000000001,67.46426666666665,67.63356000000003,68.32940666666666,69.78876666666665,69.45995333333333,69.19417333333332,67.38813333333333,66.9318066666667,67.7936,68.1359,68.24060666666666,69.49224666666665,69.08467999999998,70.09068666666666,71.63743333333333
20 day,67.4855,67.39600000000002,67.2935,67.17,67.0065,66.78849999999998,66.63199999999998,66.5165,66.274,65.7365,64.957,64.79749999999999,64.6585,64.7045,64.76149999999998,64.86549999999998,64.96499999999999,65.08649999999999,65.23149999999998,65.309,65.3835,65.47749999999999,65.551,65.65549999999999,65.784,66.0775,66.47049999999999,66.744,66.99249999999999,67.2195,67.45500000000001,67.673,67.90350000000001,67.9995,67.92,67.8785,67.90650000000002,67.92750000000001,67.8995,67.98400000000001,68.0805,68.27099999999999,68.56099999999999
20 min,65.66695,66.3695,66.36975,65.55250000000001,64.55550000000001,64.75899999999999,64.80645,64.2579,62.039750000000005,62.68275000000001,63.35005000000001,64.99925,65.1095,67.40110000000001,68.4664,67.97359999999999,67.65700000000001,67.9575,68.97850000000001,67.9395,66.97395,66.66875,66.112,66.93540000000002,66.63024999999999,67.62750000000001,68.55184999999999,68.41585,67.55724999999998,67.68875,68.29820000000001,69.73344999999999,69.6425,69.26005,66.97325,66.93724999999999,68.2796,68.24665000000002,68.418,69.56344999999999,69.0615,70.36115,71.9725
