,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-29,2019-01-30,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-14,2019-02-15
3 hr,105.95639444444451,110.30605,108.0855888888889,107.11126111111112,106.00206666666668,102.5797166666667,98.11735555555563,95.1392277777778,97.27795000000002,97.98671666666665,104.91112222222219,103.86810555555559,107.74062777777777,109.88154444444443,112.47251111111115,114.52839444444447,111.33618888888894,112.82251111111111,108.0494222222223,107.88330555555547,112.15135555555565,115.37826666666662,113.24951666666665,114.2356777777778,118.58036666666666,116.78759444444451,120.73837777777771,125.1413833333334,126.94098333333329,130.41546666666662,126.81167777777782,124.74498333333334,126.56259999999995,123.64753888888877,124.2325055555556
3.5 hr,106.0725238095239,110.2808333333333,108.26380000000002,107.24565714285716,106.29429047619045,102.52898095238102,98.13468571428572,95.2878761904762,97.07986666666667,98.00513809523805,104.95312380952373,103.89388571428577,107.77277619047615,109.7951476190476,112.42628095238094,114.5493571428572,111.40444761904764,112.7713333333333,108.11067619047627,107.99737619047612,112.19780952380958,115.372119047619,113.23444285714284,114.21571904761906,118.50620000000002,116.78875238095242,120.72922380952375,125.11335238095243,126.95530476190471,130.3101142857143,126.82923809523814,124.82643809523812,126.57170952380952,123.60377619047613,124.23384761904771
30 day,105.48016,106.00696666666666,106.37851333333333,106.60464,106.36143000000001,106.10308000000002,105.39977000000003,104.74498333333334,104.58990333333334,104.31595333333334,104.27505000000001,104.15593666666669,104.29146666666666,104.57379666666665,104.81138999999999,105.14408999999999,105.14011333333332,105.16396999999999,105.00822666666664,104.99662666666664,105.06621666666665,105.04301999999997,105.29519666666667,105.56593,105.99638333333331,106.57098666666666,107.02761999999998,108.40314999999997,110.23995333333332,111.50049999999997,112.65599666666665,114.40763666666666,115.36497666666668,116.96882666666669,117.69309000000001
30 min,105.98540000000001,109.95723333333332,108.01123333333332,106.50323333333331,103.94643333333335,103.4046666666667,98.08363333333335,93.32353333333334,98.76910000000002,98.47749999999999,104.3083,103.53806666666667,107.24936666666666,109.73766666666668,112.90546666666664,114.3348,111.46260000000001,113.4973333333333,107.87843333333335,107.51909999999998,111.74816666666668,115.36419999999997,113.21716666666664,114.51909999999998,118.52410000000002,116.68203333333335,120.4954,125.51103333333336,127.31236666666668,131.09083333333334,126.61706666666663,124.8501666666667,126.38343333333334,123.61316666666667,124.46836666666667
4 hr,106.19382083333342,110.2230041666666,108.4046041666667,107.35050416666667,106.59483333333333,102.49136250000002,98.09925000000001,95.39965416666669,96.84845,97.98327916666662,104.88515833333328,103.87802500000002,107.7735,109.68833749999999,112.3512791666666,114.53574583333337,111.51493750000002,112.69234166666661,108.17792916666674,108.1794875,112.27944583333336,115.39039583333324,113.12845416666663,114.32866666666669,118.39962916666667,116.81266666666667,120.64840833333331,125.1304541666667,127.03552499999995,130.22274583333328,126.70937916666672,124.87799166666666,126.58482916666667,123.55120833333326,124.2777333333334
4.5 hr,106.40665185185193,110.18238518518514,108.53046666666667,107.46766666666664,106.80524814814814,102.44452962962967,98.00237407407405,95.59118518518524,96.58185555555558,97.93400370370364,104.82402222222218,103.95071851851851,107.70021111111113,109.54916296296297,112.1180777777777,114.65436296296296,111.67700000000002,112.58162962962955,108.22456666666676,108.25781481481476,112.42321481481484,115.39299629629618,113.07554074074072,114.47422962962965,118.27418518518517,116.83349629629629,120.47731111111109,125.15834074074077,127.12273333333327,130.18392222222218,126.62469629629636,124.83425925925923,126.59008888888886,123.4617592592592,124.29077037037045
40 day,105.99014749999999,105.87968000000001,105.65918249999997,105.39229250000001,105.17928750000002,105.02229,104.68233000000001,104.55074249999998,104.27676250000002,104.37602500000003,104.19162750000001,104.00532250000003,103.98162500000004,103.99577500000001,103.98907,104.3882725,104.730935,105.09791500000001,105.2680075,105.399055,105.54483499999999,106.01692749999998,106.472485,106.72300499999999,106.89722249999996,107.12636749999999,107.43354999999997,107.92787749999998,108.64488749999998,109.30249749999999,109.8154625,110.69203000000002,111.13988250000003,112.14717499999999,112.69783
45 min,106.10037777777781,109.96862222222225,107.96846666666663,106.63637777777777,104.33597777777781,103.08904444444444,98.2117777777778,93.6078888888889,98.35413333333337,98.31760000000001,104.24682222222224,103.53460000000001,107.31957777777777,109.82126666666666,112.75235555555552,114.48575555555557,111.42375555555559,113.43295555555552,107.85202222222219,107.48968888888889,111.82348888888886,115.40086666666666,113.28257777777775,114.56559999999999,118.60295555555557,116.5710666666667,120.54831111111113,125.37135555555558,127.30555555555553,131.08279999999996,126.59388888888886,124.8817555555556,126.5088,123.5694444444444,124.35013333333336
5 day,107.27349999999998,107.08261999999999,106.22767999999999,106.56766,106.21774,105.73062,101.49170000000001,98.84932,95.60252,96.53103999999999,98.99446,99.82158,101.69846,104.13007999999999,106.91162,108.8939,110.48647999999999,111.67743999999998,111.40506,110.38510000000001,109.81448,110.70917999999999,112.52644000000001,113.10502000000001,113.952,115.48494000000001,116.96220000000001,120.17121999999999,123.50550000000001,125.6866,126.45604,126.40634,126.18764000000002,124.87144,124.87868
5 hr,106.59291000000006,110.21093999999992,108.61797999999997,107.56023666666667,106.9274033333333,102.50454333333339,98.07832333333336,95.72762666666671,96.23700000000004,97.86686666666665,104.77674333333333,103.94591333333338,107.67702000000004,109.39534333333337,111.99018,114.71291333333335,111.78696000000001,112.41515333333324,108.27455000000008,108.2628433333333,112.52965666666671,115.36702999999987,113.05450999999996,114.54562666666669,118.09607999999997,116.79688333333334,120.28367666666672,125.13535000000006,127.11917666666659,130.1234633333333,126.63522666666668,124.79815333333337,126.55447,123.44568333333332,124.28121666666675
5 min,105.58340000000001,109.5056,108.17999999999999,106.734,104.434,103.41900000000001,97.67800000000001,93.5,99.24319999999999,98.53599999999999,104.28800000000001,103.43800000000002,107.46400000000001,109.606,113.078,114.322,111.458,113.606,107.798,107.70599999999999,111.55199999999999,115.178,112.978,114.43199999999999,118.5426,116.624,120.62959999999998,126.12100000000001,127.25999999999999,131.452,126.768,124.86600000000001,126.12820000000002,123.494,124.45
5.5 hr,106.83169393939397,110.17383333333323,108.68977575757575,107.59687575757577,106.86803030303027,102.67651818181817,98.21582121212123,95.94644848484852,95.93234242424245,97.86179090909091,104.6372878787879,103.90044242424244,107.60811818181824,109.24654545454545,111.77038787878784,114.70143030303034,111.91687878787876,112.27663636363637,108.36416666666672,108.28323333333324,112.5506363636364,115.37921515151501,113.03446969696964,114.63194545454543,117.94631212121209,116.7994606060606,120.10523939393948,125.16122727272732,127.10930909090901,130.0353727272727,126.7768606060607,124.73656969696974,126.51374242424248,123.40368181818177,124.3098636363637
50 day,108.54740799999999,108.249402,107.954962,107.56675600000003,107.20744800000003,106.87597000000001,106.13341600000001,105.718436,104.92543200000004,103.85187000000005,103.67987400000004,103.56024200000006,103.55312800000006,103.70262200000003,103.98486000000001,104.221316,104.452216,104.850812,105.073542,105.230492,105.22413999999999,105.42396199999997,105.48241,105.80256799999998,106.21845799999996,106.910564,107.26810799999996,107.99304199999997,108.93149199999999,109.44286799999998,109.891216,110.40537400000002,110.67040800000002,111.35018800000002,111.45867600000001
50 min,106.15054000000005,110.00816000000005,107.89421999999996,106.68776,104.46302000000003,103.01394000000002,98.24058000000002,93.73550000000002,98.25756000000005,98.28384,104.22332000000002,103.55284,107.35432,109.83973999999998,112.70511999999997,114.49994000000001,111.42538000000002,113.41555999999997,107.83429999999997,107.48962,111.82965999999999,115.40857999999999,113.26537999999996,114.56814,118.60752000000002,116.56556,120.56316000000002,125.34150000000001,127.28979999999997,131.07891999999998,126.58883999999996,124.87878000000005,126.52751999999998,123.57769999999995,124.33592000000003
55 min,106.13796363636368,110.03050909090913,107.85101818181816,106.69878181818181,104.56727272727275,102.927,98.23170909090912,93.88329090909093,98.18447272727276,98.27487272727274,104.20447272727276,103.59285454545454,107.36992727272727,109.86190909090908,112.65665454545451,114.50630909090908,111.43203636363637,113.40132727272724,107.8433636363636,107.49614545454544,111.8273818181818,115.40863636363635,113.26339999999996,114.56481818181821,118.62301818181822,116.5564909090909,120.59305454545455,125.31334545454548,127.27463636363636,131.06574545454546,126.58652727272724,124.86618181818186,126.5444727272727,123.60027272727268,124.3347090909091
6 hr,107.04204722222222,110.13726388888881,108.76008611111114,107.54744444444442,106.80703333333331,102.89129444444447,98.36793611111113,96.16004722222223,95.61454444444452,97.978925,104.41969722222224,103.81735000000006,107.43465555555558,109.12541666666662,111.6249166666667,114.70476111111113,112.00751111111109,112.16315000000002,108.44348888888894,108.31326388888881,112.58498055555557,115.36246388888877,113.02597777777771,114.65195833333334,117.79493333333333,116.83041944444443,119.9085194444445,125.24088888888892,127.02884166666652,129.95701388888884,126.89374722222227,124.65341388888896,126.51550277777784,123.31919444444445,124.26408055555557
6.5 hr,107.24385384615381,110.00108717948709,108.82807692307688,107.47898461538462,106.73869743589741,103.15059230769235,98.43074871794869,96.31658974358979,95.4031333333334,98.05346410256409,103.92194102564105,103.77398205128218,107.30437435897436,109.00572051282052,111.56037435897439,114.68551794871794,112.08811025641023,112.04215641025642,108.48429230769241,108.37573076923064,112.52739487179487,115.3333743589743,112.97731025641022,114.59514102564101,117.6845487179487,116.87772307692305,119.77134871794873,125.30674102564105,126.89334871794857,129.79328974358967,127.0661333333334,124.6664487179488,126.53995384615389,123.20577948717953,124.11692564102563
60 day,112.33030666666667,111.96419000000002,111.56814666666668,111.1033416666667,110.57576500000003,110.03469666666669,108.89461833333336,108.27639833333335,107.23393500000003,105.92066000000005,105.61991000000005,105.34865000000006,105.21819833333339,105.07514500000003,105.05225166666669,105.03545666666669,104.9635316666667,104.9586466666667,104.81148333333336,104.65128500000002,104.62559333333336,104.82649166666667,105.23001166666668,105.42772166666666,105.73827166666663,106.47475,106.81612999999996,107.25311499999997,107.81986166666665,108.12274166666664,108.59615,109.48777000000001,109.89989833333334,110.62193833333332,110.92451333333334
70 day,115.47341,114.93555428571432,114.45424714285714,113.99042000000001,113.67159285714288,113.32555142857146,112.33748571428575,111.7614785714286,110.66405857142861,109.18717571428577,108.73383000000005,108.27431857142864,107.92690000000006,107.59307142857148,107.33996000000002,107.1462185714286,106.93680571428574,106.78288142857146,106.57242571428574,106.31033142857146,106.1533785714286,106.07178571428572,105.96704000000003,105.95321285714286,105.99282,106.04995571428573,106.09314714285713,106.47122999999999,107.06416857142858,107.52920999999999,107.87577,108.68414571428572,109.09929571428572,109.66757,109.87150857142856
80 day,119.09467124999995,118.69819374999997,118.24312374999995,117.77608375,117.28491125000001,116.77535500000002,115.57843625000002,114.91380125000003,113.62255500000006,111.95289000000007,111.67292125000003,111.37386375000003,111.05482125000006,110.76827375000002,110.50646000000003,110.25995250000003,109.97530500000002,109.75228750000004,109.45513125000002,109.11982375000002,108.81137500000003,108.33520125000003,107.85443625000002,107.68541,107.59077375,107.43597125000001,107.36457999999998,107.4486625,107.67336750000001,107.88671,108.02956875,108.28585500000001,108.3995325,108.66323125,108.86006000000002
90 day,122.02113222222216,121.60200777777774,121.12761555555551,120.63394,120.10919777777777,119.58622888888888,118.51852666666667,117.98081666666666,117.04710444444444,115.5443166666667,115.10683444444446,114.65721000000002,114.24531111111115,113.82347555555556,113.44797111111114,113.07993111111114,112.6816077777778,112.30911555555558,111.93465555555558,111.58572000000002,111.41528444444448,111.07020888888891,110.61193888888891,110.39326333333334,110.21899888888889,109.90242666666667,109.74476777777775,109.49084777777777,109.34306333333333,109.35109888888888,109.33859333333332,109.33501444444445,109.37048222222224,109.40288222222222,109.46346333333335
Tomorrow,108.7567,107.4743,106.0726,103.8657,102.4838,97.8115,92.8607,91.469,97.5431,103.7861,102.7821,106.9275,108.8263,112.2361,113.6975,110.745,112.8823,107.4644,107.1363,110.8444,113.5981,111.3017,113.7373,117.833,117.4752,119.7716,122.2867,123.6586,130.6771,126.1339,124.4738,125.3884,126.8,124.51,NULL
