,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-11,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-05,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14
1 hr,49.53655000000002,50.322333333333326,48.654033333333345,48.45340000000001,47.53996666666667,47.09403333333334,46.655,47.68081666666668,49.029366666666675,48.40925000000001,49.775400000000005,50.36546666666665,50.99069999999999,51.95501666666665,51.52645000000002,54.33571666666665,54.48159999999998,55.17561666666667,54.96524999999999,55.28135000000001,56.336483333333334,56.052299999999995,56.47318333333332,55.411799999999985,55.749116666666666,55.92538333333334,54.604049999999994,54.0320833333333,54.30965000000001,55.567049999999995,55.842333333333336,55.54108333333333
1 min,49.2,50.14,48.86,48.42,47.56,46.88,46.54,48.22,49.17,48.22,50.06,50.53,51.27,51.98,51.5,54.36,54.36,55.37,55.04,55.33,56.29,56.21,56.4,55.3,55.95,56.05,54.64,54.19,54.26,55.59,55.72,55.51
1.5 hr,49.576311111111124,50.30855555555556,48.61411111111114,48.443522222222235,47.52342222222222,47.14016666666669,46.7268888888889,47.49724444444446,49.110633333333354,48.4889888888889,49.791188888888925,50.32207777777776,50.972511111111096,51.946033333333304,51.52734444444446,54.29501111111107,54.52234444444443,55.13743333333336,54.932077777777785,55.226444444444475,56.370899999999985,56.027077777777755,56.476355555555536,55.508811111111115,55.7373,55.96975555555556,54.61435555555556,54.02167777777775,54.27138888888886,55.58351111111111,55.844744444444444,55.53286666666669
10 day,51.6947,51.40223999999999,50.89791,50.43039,49.13523,48.260850000000005,47.95844000000001,47.53469,47.57647000000001,47.64113000000001,47.90673,48.26882,48.73934,49.34712,49.925059999999995,50.98844,51.59921000000001,52.12642000000001,52.93912,53.272360000000006,53.74287,54.212379999999996,54.70876,55.067859999999996,55.22403999999999,55.86263,55.90268000000001,55.72627,55.55984000000001,55.508500000000005,55.57958,55.564
10 min,49.219,50.189,48.802,48.408,47.7051,46.820499999999996,46.5202,48.0936,49.101,48.2925,50.016999999999996,50.459,51.1815,51.854499999999994,51.53900000000001,54.3895,54.361000000000004,55.2626,54.9375,55.3018,56.253499999999995,56.109500000000004,56.355,55.253,55.8695,56.09150000000001,54.638099999999994,54.170500000000004,54.30949999999999,55.5235,55.769499999999994,55.484000000000016
100 day,53.904211000000004,53.837070000000004,53.74123500000002,53.63550399999999,53.38942700000001,53.164718000000015,53.064526000000015,52.880792000000014,52.54981400000001,52.448237000000006,52.36714000000002,52.29823400000001,52.229667000000006,52.16865600000001,52.020967,51.879464,51.857063,51.841346,51.77238499999999,51.73767699999999,51.717164999999994,51.697145,51.67911299999999,51.658248999999984,51.65967599999999,51.712200999999965,51.731728999999966,51.722750999999974,51.719614999999976,51.72750399999996,51.72927599999996,51.72953999999996
125 day,54.28574880000002,54.21185600000002,54.13179840000003,54.04918480000001,53.87360720000003,53.69730880000002,53.62369760000002,53.49239840000002,53.32078560000003,53.28261680000003,53.24900080000003,53.20800960000002,53.17669120000002,53.15575200000002,53.10678880000002,53.016418400000006,52.9958152,52.9837224,52.923376,52.88573919999999,52.8545576,52.83030960000001,52.820659199999994,52.810217599999994,52.805657599999996,52.818859199999984,52.77980959999997,52.74841679999998,52.719165599999975,52.70664639999996,52.689549599999964,52.67108799999996
15 min,49.26533333333334,50.23566666666668,48.78,48.393666666666675,47.72606666666666,46.87266666666667,46.54559999999999,48.05706666666667,49.0648,48.31833333333332,49.9684,50.44299999999999,51.138333333333335,51.87299999999998,51.539333333333325,54.3834,54.39573333333333,55.2344,54.95133333333334,55.295199999999994,56.28033333333333,56.09100000000001,56.368333333333325,55.28033333333334,55.823333333333345,56.09033333333335,54.62906666666667,54.12199999999999,54.31933333333334,55.51266666666667,55.77999999999999,55.51400000000002
150 day,55.22803400000001,55.157128000000014,55.07819466666669,54.99483200000001,54.82861266666669,54.654435333333346,54.56438533333335,54.385007333333355,54.10962666666669,54.03820666666669,53.9813546666667,53.92144400000002,53.86026600000003,53.80478133333336,53.66800333333336,53.50125133333336,53.465162666666686,53.43826866666668,53.38679800000001,53.364696666666674,53.347186000000015,53.33138066666668,53.321828000000004,53.318578666666674,53.31937733333334,53.366642666666664,53.383953333333324,53.39370333333333,53.395378666666666,53.396723999999985,53.40208933333331,53.40992933333331
175 day,55.65927428571428,55.61818514285714,55.564041714285715,55.5162617142857,55.39670114285714,55.260667999999995,55.191092,55.04674171428572,54.79770457142858,54.74042742857143,54.70359771428573,54.66590400000001,54.630060000000014,54.59959828571431,54.52458000000003,54.42240285714289,54.3900622857143,54.3590142857143,54.29197942857147,54.2630125714286,54.24096514285718,54.21925314285716,54.19586228571431,54.168470857142886,54.14319771428574,54.0883817142857,54.051078857142855,54.02548228571428,54.002199428571416,53.98127999999998,53.95581085714283,53.929929142857105
2 day,48.921350000000004,49.39385,49.24465,48.3892,47.498850000000004,46.89705,46.469300000000004,46.8026,48.80695,48.438900000000004,48.88655,50.0355,50.63235,51.3535,51.244099999999996,52.756099999999996,54.08405,54.57645,54.69585,54.89975,55.501549999999995,55.9442,56.013850000000005,55.5563,55.332499999999996,56.715,55.099999999999994,54.425,54.230000000000004,54.925,55.655,55.61
2 hr,49.521066666666684,50.3518,48.63325000000001,48.47534166666667,47.5907,47.13446666666668,46.76864166666667,47.400466666666674,49.1751416666667,48.55980833333334,49.773116666666695,50.35639999999999,50.96526666666662,51.940716666666646,51.522758333333364,54.26582499999998,54.48979166666664,55.14212500000004,54.91195833333334,55.18037500000004,56.4085,56.003799999999984,56.489216666666636,55.57571666666665,55.714583333333316,56.04227500000002,54.60793333333333,54.01129999999996,54.26473333333331,55.60919999999997,55.84990833333333,55.53478333333336
2.5 hr,49.488920000000036,50.39757333333332,48.70689333333336,48.51388,47.64096666666666,47.17411333333335,46.82562666666666,47.31111999999999,49.22536666666669,48.62118,49.774120000000025,50.368766666666644,50.93262666666662,51.94453999999999,51.49880666666669,54.25162666666666,54.475233333333314,55.140966666666706,54.87277333333333,55.13864000000004,56.40441999999995,55.98727999999998,56.498359999999984,55.571539999999985,55.66314,56.02656666666666,54.637913333333344,54.0086733333333,54.27455333333331,55.63177333333331,55.84251333333335,55.524720000000016
