,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-19,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-13
200 day,41.3009,41.297050000000006,41.28865,41.27895,41.26355,41.231500000000004,41.0882,41.068099999999994,41.05174999999999,41.01304999999999,40.99544999999999,40.92494999999999,40.89994999999998,40.844599999999986,40.81199999999998,40.74834999999998,40.719799999999985,40.68504999999998,40.651499999999984,40.57444999999999,40.49444999999999,40.45829999999999,40.38314999999999,40.24799999999999
25 min,35.082,35.48,33.685600000000015,33.09604,33.25040000000001,33.0984,32.33428,32.4948,32.78388000000001,32.492399999999996,32.504760000000005,31.976799999999997,31.946199999999997,31.971200000000003,31.914799999999996,32.269600000000004,32.46260000000001,32.1012,32.16868,31.238120000000002,31.54260000000001,31.121800000000004,30.898720000000015,30.82332000000001
3 hr,34.85272222222223,35.582155555555545,33.74041666666666,33.097827777777795,33.31537222222222,33.32251111111111,32.824944444444455,32.807588888888866,32.70498888888888,32.22682777777778,32.623866666666665,32.01561666666666,31.987011111111098,31.97266666666665,31.894711111111086,32.23279999999996,32.48917222222224,32.19013333333333,32.177883333333334,31.379250000000038,31.448855555555554,31.151122222222213,30.935033333333365,30.713788888888885
3.5 hr,34.86815238095239,35.582204761904755,33.75341428571428,33.11951904761906,33.328804761904756,33.34546666666667,32.86371904761906,32.823242857142844,32.694109523809516,32.22192857142856,32.662709523809525,31.99099047619047,31.991795238095236,31.976599999999983,31.85646190476188,32.235395238095215,32.48296666666668,32.19587142857142,32.17151428571429,31.392723809523822,31.4338380952381,31.144119047619046,30.9514571428572,30.68696666666668
30 day,38.389333333333326,38.264333333333326,38.04133333333333,37.833333333333336,37.61099999999999,37.163666666666664,35.092,34.95633333333333,34.801,34.57466666666667,34.42366666666667,33.85733333333334,33.611000000000004,33.251,33.083666666666666,32.78033333333334,32.691,32.638333333333335,32.605333333333334,32.486000000000004,32.39566666666666,32.370333333333335,32.25866666666666,32.02833333333333
30 min,35.087333333333326,35.48866666666666,33.688166666666675,33.094033333333336,33.24050000000002,33.09866666666667,32.3584,32.50199999999999,32.780733333333345,32.470166666666664,32.48813333333333,31.979166666666668,31.95983333333333,31.973500000000005,31.912399999999995,32.25566666666667,32.468166666666676,32.11216666666666,32.1719,31.248199999999997,31.547500000000017,31.122000000000003,30.903366666666674,30.827766666666676
4 hr,34.87790416666669,35.55127916666665,33.768333333333324,33.15692916666668,33.35727916666666,33.368766666666666,32.8784875,32.844108333333324,32.68881666666666,32.23380833333333,32.7010375,31.97742499999999,31.99570833333333,31.97817083333332,31.820320833333312,32.20932916666665,32.46975833333335,32.199070833333344,32.17113333333333,31.417762500000023,31.43287083333333,31.149683333333318,30.963883333333392,30.65985833333335
4.5 hr,34.93684444444449,35.5080037037037,33.80032222222222,33.20783703703705,33.368407407407396,33.3697111111111,32.876777777777754,32.867629629629626,32.638381481481474,32.26298518518518,32.734644444444434,31.97724814814815,31.994833333333325,31.993792592592587,31.800966666666643,32.1761259259259,32.47299259259262,32.184985185185205,32.1606962962963,31.415433333333343,31.448770370370376,31.157440740740736,30.990148148148208,30.637000000000018
40 day,38.18575,38.11024999999999,38.004749999999994,37.88825,37.80149999999999,37.63175,36.089749999999995,35.89375,35.695249999999994,35.307,35.125750000000004,34.6425,34.514500000000005,34.32325,34.18875,33.955499999999994,33.839749999999995,33.69125,33.57,33.224000000000004,32.91850000000001,32.77050000000001,32.51075,32.292750000000005
45 min,35.040111111111116,35.505755555555545,33.70015555555557,33.11326666666669,33.241222222222234,33.10142222222222,32.42562222222222,32.52533333333332,32.77451111111111,32.42188888888888,32.44406666666665,31.990155555555557,31.97133333333333,31.977822222222226,31.91186666666668,32.23991111111112,32.486733333333326,32.12533333333335,32.19675555555555,31.233977777777774,31.547444444444455,31.116377777777785,30.909800000000015,30.811666666666667
5 day,37.042,36.582,35.736000000000004,34.972,34.116,33.406000000000006,32.92,32.746,32.653999999999996,32.762,32.828,32.266000000000005,32.138,32.068,32.08200000000001,32.058,32.05200000000001,32.06000000000001,32.102000000000004,32.068,31.782,31.560000000000002,31.336000000000002,31.15
