,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-09,2019-01-10,2019-01-11,2019-01-15,2019-01-16,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14
2 day,319.615,321.20000000000005,321.375,317.345,313.82500000000005,303.925,293.72,292.51,286.46500000000003,286.83500000000004,297.22,302.805,305.845,312.66499999999996,320.365,325.53499999999997,328.90999999999997,332.2,333.98,334.78499999999997,338.19,338.09000000000003,335.045,334.82,333.39,332.245,331.17,330.82,332.345,335.53,335.115,320.985,311.925,315.995,318.15,320.485,323.125
2 hr,320.6222666666668,324.7234083333333,320.40949166666655,315.18366666666645,314.39914166666676,292.0758333333334,293.66323333333327,293.78009999999995,284.2402833333332,290.99529166666673,299.648725,304.4495999999999,309.65468333333325,319.87595,323.6110083333335,328.0111833333333,330.4518999999999,332.4628500000001,336.28709166666664,332.067025,337.3840750000001,336.47903333333335,332.99611666666664,336.47152500000004,328.32185,334.1581583333331,327.0687166666666,331.8379249999999,329.13764999999984,337.6755000000002,334.95582499999995,309.04934166666675,314.7809916666664,316.27434999999974,319.85815833333334,322.2615666666666,323.6146916666667
2.5 hr,320.3672199999999,324.82219333333325,320.5167399999999,315.19059999999973,314.7525866666666,292.23340666666667,294.2145266666666,293.95760666666666,285.0539933333333,290.7979733333334,299.8376800000001,304.6675133333333,309.8542933333332,320.01176000000015,324.0369866666668,328.1955599999998,330.1410133333332,332.3412266666667,336.5098266666667,332.16222666666687,337.4213933333332,336.36204666666674,333.1297933333334,336.33956666666666,328.2300999999999,333.9542733333332,326.9330066666666,331.49072666666666,328.73023333333316,337.4729266666669,335.0671133333333,309.82753999999994,314.8243733333331,316.2200133333332,319.7660466666666,322.09119333333314,323.39107333333334
20 day,322.2545,322.44000000000005,322.4930000000001,322.54300000000006,322.1120000000001,320.647,319.321,317.9635,316.2155,312.91999999999996,308.22950000000003,306.7779999999999,305.51849999999996,305.29849999999993,305.0835,305.82849999999996,306.3985,306.92850000000004,308.59200000000004,309.5385,316.28599999999994,319.117,321.83549999999997,323.91549999999995,325.6954999999999,327.7434999999999,329.0904999999999,330.54499999999996,331.7405,333.25699999999995,333.697,332.80199999999996,331.99850000000004,331.1815,330.632,329.83200000000005,329.466
20 min,320.63325000000003,324.1335,320.25249999999994,314.6963999999999,312.64880000000005,293.99725,293.04245,292.74115000000006,282.40925,293.6567,299.4256999999999,303.9215999999999,308.47025,317.946,323.217,326.1006,330.96705,332.61474999999996,336.70725000000004,331.534,337.89465000000007,337.2681,332.60435,336.35325,329.14130000000006,334.4769,326.85745,333.0167,330.35855000000004,337.61895,334.543,307.99339999999995,314.29580000000004,316.7803,319.73075,321.9027,324.73435000000006
200 day,311.7132000000001,311.8757500000001,312.0315000000001,312.1925000000001,312.3232000000001,312.36220000000014,312.39575000000013,312.43470000000013,312.4142500000001,312.4526000000001,312.6185500000001,312.70390000000003,312.84705,313.0403,313.26585,313.8611,314.17605000000003,314.5163,315.12790000000007,315.45360000000005,316.5079,316.90575,317.2825,317.6409,317.961,318.29619999999994,318.60855,318.9619,319.29269999999997,319.97774999999996,320.32885000000005,320.57599999999996,320.84085,321.07795000000004,321.30580000000003,321.5295,321.78505
25 min,320.9184,324.31444000000005,320.1592,314.7055199999999,312.65104,293.63332,293.05695999999995,293.0941200000001,282.38419999999996,293.42816,299.54351999999994,303.81687999999997,308.5846,318.00379999999996,323.14239999999995,326.15691999999996,330.89284,332.55356,336.5244,331.51304,337.8453200000001,337.16704,332.68408000000005,336.30796000000004,329.0921600000001,334.44732,326.79168,332.9386,330.31404000000003,337.68055999999996,334.6116,307.89632,314.2986400000001,316.79124,319.7638,322.10292000000004,324.65348000000006
3 hr,320.44511666666654,325.1219611111111,320.43329999999986,315.44431666666645,315.3651333333333,292.6176277777777,294.44136111111106,294.2512555555556,285.4417111111111,290.57736111111114,299.8750611111112,304.98937222222213,310.1125333333333,320.41189444444456,324.4146333333334,328.27259444444434,329.9641944444444,332.14682222222234,336.6655333333334,332.2554333333335,337.21417222222203,336.23510555555566,333.16221111111116,336.1166444444444,328.1751222222221,333.5745777777777,327.01405,331.1783222222223,328.4045333333333,337.29742222222245,335.102811111111,310.54922777777773,314.6745388888888,316.2232222222222,319.68248333333327,321.9716111111109,323.19734444444435
3.5 hr,320.54180952380943,325.304661904762,320.41849523809503,315.7422142857141,315.863976190476,293.141476190476,294.74476190476196,294.4618000000001,285.6810047619048,290.4671476190476,299.8729809523811,305.09083333333325,310.5259952380952,320.77040952380963,324.580519047619,328.33895714285705,329.9889047619047,332.1576952380954,336.6786428571431,332.3384761904764,337.1661761904761,336.16140952380965,333.25792857142864,335.9387809523808,328.23677142857144,333.3426142857143,326.8401619047619,331.076423809524,328.1294380952381,337.34025238095256,335.13000952380946,311.1068523809524,314.4488523809522,316.2164952380953,319.63462857142844,321.816976190476,323.0587714285714
30 day,320.1603333333333,320.8820000000001,321.3440000000001,321.6866666666667,321.6123333333334,321.01400000000007,320.1986666666668,319.26700000000005,317.57000000000005,314.98433333333327,312.8949999999999,312.32733333333323,311.7589999999999,311.72966666666656,311.827,312.34133333333335,312.731,313.0443333333333,313.348,313.2916666666667,314.39500000000004,315.0780000000001,315.52566666666667,316.0916666666666,316.33833333333325,316.8163333333333,317.26,317.9493333333333,319.1546666666666,322.0226666666666,323.77733333333333,324.78499999999997,325.45,326.1986666666667,327.06233333333336,327.7496666666667,328.41700000000003
