,2018-12-21,2018-12-26,2019-01-07,2019-01-08,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-02-13
4.5 hr,81.76869999999997,82.6051777777778,90.68102222222221,92.02589999999992,95.23468148148147,95.89011851851845,97.43353333333332,97.59838518518515,93.15741481481476,95.38992962962963
40 day,94.07750000000001,93.32875,91.61425000000001,91.44525000000002,91.31475,91.33875,91.38400000000001,91.48350000000002,91.58800000000001,91.74800000000002
45 min,81.1998222222222,83.34711111111109,90.24097777777777,92.59988888888891,95.21482222222225,95.88906666666664,97.64193333333328,97.19802222222225,93.28266666666667,95.14808888888888
5 day,86.93199999999999,83.31,86.32000000000001,87.75,93.468,94.43799999999999,95.15199999999999,95.798,96.03,94.234
5 hr,81.87383,82.34604999999998,90.68886666666664,91.92707666666658,95.16974666666667,95.88061999999992,97.40205333333333,97.58850333333328,93.24708999999996,95.43615
5 min,80.98859999999999,83.59,90.224,92.43599999999999,94.85999999999999,95.75280000000001,97.60799999999999,97.58000000000001,93.60059999999999,95.174
5.5 hr,81.9801,82.10714545454546,90.67061515151512,91.7494878787878,95.12549090909093,95.9181484848484,97.37076060606059,97.53521818181814,93.37544848484843,95.46375757575754
50 day,95.5026,94.84479999999999,92.382,92.3704,92.27900000000001,92.24420000000002,92.23520000000002,92.23400000000001,92.10600000000001,92.26700000000001
50 min,81.25523999999997,83.31457999999996,90.22208,92.58490000000002,95.23280000000003,95.89695999999996,97.62387999999996,97.22222000000004,93.24711999999998,95.16887999999999
55 min,81.30518181818178,83.29161818181817,90.18625454545455,92.55027272727276,95.23696363636365,95.90123636363633,97.61470909090905,97.24309090909094,93.22076363636363,95.18596363636364
6 hr,82.08286944444443,81.97385277777776,90.63056666666664,91.65121666666663,95.06460555555556,95.99741388888877,97.33365,97.43260277777772,93.55582222222218,95.46076944444441
6.5 hr,82.28432820512819,81.93435897435897,90.51643076923075,91.62157435897426,94.97837179487183,96.01598461538454,97.2983282051282,97.38475128205128,93.71777179487177,95.4790205128205
60 day,96.18750000000001,95.6705,93.94483333333332,93.8425,93.15916666666666,93.02400000000002,92.92883333333334,92.8315,92.76683333333334,92.75150000000001
70 day,96.542,96.04114285714287,94.74928571428572,94.6667142857143,94.311,94.26757142857143,94.21642857142858,94.16442857142857,93.972,93.23500000000001
80 day,96.7065,96.26525000000001,95.2455,95.167,94.80300000000001,94.74437500000002,94.74025000000002,94.74100000000001,94.677,93.775625
90 day,97.07511111111111,96.65055555555557,95.53955555555555,95.46600000000001,95.19666666666667,95.19166666666669,95.18577777777779,95.18777777777777,95.12055555555555,94.60300000000001
Tomorrow,80.14,84.0,92.3,90.86,95.71,97.51,97.69,95.66,92.68,93.47
