,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-16,2019-01-18,2019-01-29,2019-02-01,2019-02-04,2019-02-11,2019-02-13,2019-02-14
20 day,7.194000000000001,7.031000000000001,6.981,6.928500000000001,6.859999999999999,6.770999999999999,6.697499999999998,6.6679999999999975,6.728499999999999,6.800999999999999,6.8925,6.946,7.1305000000000005,7.333500000000001,7.975499999999999,8.41,8.5505,8.9575,9.122,9.2235
20 min,6.896499999999999,6.186849999999998,6.381899999999998,6.120050000000001,5.931700000000001,6.442450000000001,6.99945,7.10375,7.707550000000002,8.209900000000001,8.51775,7.9990000000000006,7.957149999999999,8.3328,9.2577,10.03175,10.19725,9.384099999999998,9.523349999999999,9.989949999999999
200 day,8.671749999999998,8.649199999999999,8.638599999999999,8.626999999999999,8.614099999999999,8.593849999999998,8.575050000000001,8.5748,8.581299999999999,8.588099999999999,8.595049999999999,8.601049999999999,8.6182,8.62465,8.631150000000003,8.645500000000006,8.647700000000004,8.636650000000005,8.631900000000003,8.634300000000003
25 min,6.903999999999999,6.186879999999999,6.385319999999998,6.130440000000001,5.926160000000001,6.4381200000000005,6.994080000000001,7.103199999999999,7.704040000000001,8.203120000000002,8.5162,7.994199999999999,7.962720000000002,8.331240000000001,9.25976,10.023600000000002,10.189200000000001,9.37856,9.52568,9.986279999999999
3 hr,6.9358888888888925,6.267233333333345,6.472716666666668,6.103188888888879,5.983316666666666,6.2582611111111195,7.026477777777766,7.194072222222223,7.680538888888888,8.11438888888888,8.538188888888888,7.938300000000002,8.007811111111103,8.366844444444437,9.254516666666671,9.985011111111119,10.182355555555562,9.339744444444424,9.526744444444438,9.950744444444473
3.5 hr,6.9411857142857185,6.285528571428589,6.477519047619047,6.0993619047618886,5.981685714285716,6.254128571428578,7.020519047619037,7.2066761904761885,7.681104761904767,8.108471428571416,8.529633333333331,7.949180952380953,8.015961904761893,8.348009523809521,9.243380952380964,9.980471428571438,10.185723809523815,9.342242857142832,9.529304761904754,9.941161904761927
30 day,7.4043333333333345,7.273666666666667,7.208333333333333,7.123666666666667,7.042,6.944,6.898666666666665,6.869333333333331,6.891666666666665,6.921999999999999,6.968999999999999,6.996666666666666,7.069333333333334,7.129666666666667,7.444333333333332,7.788666666666665,7.915999999999999,8.489333333333333,8.657,8.753333333333334
30 min,6.909,6.186566666666666,6.390599999999998,6.138533333333334,5.924133333333333,6.431433333333334,6.987733333333334,7.103833333333333,7.7052666666666685,8.201066666666668,8.516833333333333,7.990833333333332,7.969600000000001,8.336033333333335,9.260466666666666,10.019166666666669,10.1818,9.372466666666666,9.526733333333333,9.978633333333333
4 hr,6.945750000000005,6.300683333333352,6.484374999999997,6.095433333333312,5.982737500000002,6.248445833333341,7.015183333333326,7.218808333333327,7.683162500000009,8.105349999999984,8.522995833333335,7.955004166666667,8.016674999999989,8.325150000000002,9.24076666666667,9.975883333333337,10.183987500000002,9.342224999999978,9.530558333333326,9.931254166666683
4.5 hr,6.955244444444449,6.3142888888889095,6.485081481481479,6.090285185185161,5.986492592592594,6.234729629629638,7.013466666666659,7.2258259259259185,7.686792592592603,8.103099999999987,8.518611111111104,7.961888888888891,8.01769259259259,8.299929629629627,9.241688888888886,9.967322222222224,10.187022222222216,9.330792592592568,9.524855555555547,9.91295185185186
